source,target,tgt_lng
"""4""",“4”,ja-JP
"""???""",「？？？」,ja-JP
"""A Disrupted Recording""",「不完全な映像」,ja-JP
"""A Janela de Entrada do Invasor""",「破壊者の潜入期間」,ja-JP
"""A Soiled Note""",「汚れたメモ」,ja-JP
"""Abracadabra""",「ミスター・マギア」,ja-JP
"""Abraço-amasso""",「ビッグベア」,ja-JP
"""Acólita Sênior""",年上の女性侍祭,ja-JP
"""Acólito Cético""",疑っている侍祭,ja-JP
"""Acólito Tagarela""",同感する侍祭,ja-JP
"""Aemeath""",「エイメス」,ja-JP
"""Aeschylus""",「アイスキュロス」,ja-JP
"""Aldeão""",「村人」,ja-JP
"""Alter Ego""",「もう一人の私」,ja-JP
"""Amigo da Raposa Lunar""",「心狐の友」,ja-JP
"""Ancient Calamity""",「旧日の災厄」,ja-JP
"""Anxious Noble""",「苛立つ貴族」,ja-JP
"""Anátema Grave""",「怨恨の災厄」,ja-JP
"""Anúncio de negócios portuários""",『船着場の企業誘致プロモーション』,ja-JP
"""Artista Local""",「民間芸術家」,ja-JP
"""Ascend""",「上昇」,ja-JP
"""Ascender""",「上昇」,ja-JP
"""Assassino dos Sonhos""",「ドリームキラー」,ja-JP
"""Assistir ao Drama""",「観劇」,ja-JP
"""Assistir ao Drama"" (Tradução)",「観劇」（翻訳）,ja-JP
"""Avatar Silencioso""",「無言の化身」,ja-JP
"""Backwindow""",「バックウィンドウ」,ja-JP
"""Bakie""",「ベイキー」,ja-JP
"""Bastião de Ferro""",「鉄山」,ja-JP
"""Besessenheit""",「執念」,ja-JP
"""Bliss""",「ブリス」,ja-JP
"""Blu""",「藍ちゃん」,ja-JP
"""Blue Rain""",「ブルーレイン」,ja-JP
"""Bolito""",「ベイキー」,ja-JP
"""Branco""",「ホワイト」,ja-JP
"""Bud-Headed Lionarch""",「爆薬苞頭獣尊」,ja-JP
"""Caged Beast""",「檻の中の獣」,ja-JP
"""Calamidade Ancestral""",「旧日の災厄」,ja-JP
"""Capollo""",「コッポラ」,ja-JP
"""Carlotta""",「カルロッタ」,ja-JP
"""Carma Paradoxal""",「因果のパラドクス」,ja-JP
"""Carta de Claire""",「クレア夫人の手紙」,ja-JP
"""Cat of the Nether Lamp""",「提灯下げの化け猫」,ja-JP
"""Chatty Acolyte""",同感する侍祭,ja-JP
"""Chen Da'bao"" ที่ถูกเปิดโปง",見破られた「陳大宝」,ja-JP
"""Chen Da'bao"", exposed",見破られた「陳大宝」,ja-JP
"""Chen Da'bao"", expuesto",見破られた「陳大宝」,ja-JP
"""Chen Dabao"", exposto",見破られた「陳大宝」,ja-JP
"""Chixia""",「熾霞」,ja-JP
"""Chunkie""",「デカ」,ja-JP
"""Ciaccona""",「シャコンヌ」,ja-JP
"""Cidadão Ansioso""",「焦っている平民」,ja-JP
"""Cidadão Sereno""",「落ち着いている平民」,ja-JP
"""Claire's Letter""",「クレア夫人の手紙」,ja-JP
"""Cleaner""",「清掃員」,ja-JP
"""Clockwork""",「クロックワーク」,ja-JP
"""Collected Citizen""",「落ち着いている平民」,ja-JP
"""Comerciante""",「取引相手」,ja-JP
"""Comerciante""",「行商人」,ja-JP
"""Companheira""",「仲間」,ja-JP
"""Companion""",「仲間」,ja-JP
"""Conversation Record I""",「会話ログ・一」,ja-JP
"""Conversation Record II""",「会話ログ・二」,ja-JP
"""Coração"" Evasivo",「逃避」の本心,ja-JP
"""Corpo Apreendido""",「空しき骸」,ja-JP
"""Cosmo""",「黒メェ」,ja-JP
"""Cosmos""",「黒メェ」,ja-JP
"""Cuddle Wuddle""",「ビッグベア」,ja-JP
"""Cão Pastor""",「牧羊犬」,ja-JP
"""Cãobanheira""",「タブドッグ」,ja-JP
"""Declaração de Responsabilidade""",「反省文」,ja-JP
"""Deixado para Trás?""",「過ぎし人？」,ja-JP
"""Denia""",「ダーニャ」,ja-JP
"""Dente de Sabre""",「鋼の牙」,ja-JP
"""Descend""",「下降」,ja-JP
"""Descender""",「下降」,ja-JP
"""Dextra""",「レフト」,ja-JP
"""Diggy Duggy""",「シャベルおじさん」,ja-JP
"""Digue-dugue""",「シャベルおじさん」,ja-JP
"""Distressed Gladiator""",「悩んでいるグラディエーター」,ja-JP
"""Donnis""",「ドニス」,ja-JP
"""Door of Unity""",繋ぎの扉,ja-JP
"""Dorothy""",「ドロシー」,ja-JP
"""Dorothy?""",「ドロシー？」,ja-JP
"""Drama de Herói""",「ヒーローショー」,ja-JP
"""Drama de Herói"" (Tradução)",「ヒーローショー」（翻訳）,ja-JP
"""Drew""",「ナット」,ja-JP
"""Duncan""",「ダンカン」,ja-JP
"""Eager Citizen""",「焦っている平民」,ja-JP
"""Easygoing"" Researcher",「気立てのよい」研究員,ja-JP
"""Entidade Sem Nome""",「ネームレスオブジェクト」,ja-JP
"""Equipe da Caravana de Comerciantes""",「商隊の若者」,ja-JP
"""Espírito Maligno""",「呪眼の邪霊」,ja-JP
"""Esson""",「イサン」,ja-JP
"""Esson“",「イサン」,ja-JP
"""Evil Spirit""",「呪眼の邪霊」,ja-JP
"""Exilado"" Cansado",疲れそうな「追放者」,ja-JP
"""Exilado"" Concordando",同調する「追放者」,ja-JP
"""Exilado"" Confiante",自信家の「追放者」,ja-JP
"""Exilado"" Descansando",息抜きしている「追放者」,ja-JP
"""Exilado"" Enigmático",中立の「追放者」,ja-JP
"""Exilado"" Entusiasmado",熱血な「追放者」,ja-JP
"""Exilado"" Focado",集中している「追放者」,ja-JP
"""Exilado"" Fraco",病弱な「追放者」,ja-JP
"""Exilado"" Franco",素朴な「追放者」,ja-JP
"""Exilado"" Irritadiço",イライラしている「追放者」,ja-JP
"""Exilado"" Pensativo",考え込む「追放者」,ja-JP
"""Exilado"" Preocupado",心配性の「追放者」,ja-JP
"""Exilado"" Supervisionando",監督役の「追放者」,ja-JP
"""Expressway Bulletin""",『高速道路掲示板』,ja-JP
"""Fantasma Assombrado""",「影の祟り」,ja-JP
"""Fantasma""",「幽霊」,ja-JP
"""Fate Mender""",「改運師」,ja-JP
"""Father""",「父親」,ja-JP
"""Faxineiro""",「清掃員」,ja-JP
"""Fera Enjaulada""",「檻の中の獣」,ja-JP
"""Fisalia แห่งอวิโนเลียม"" (บทคัดย่อ)",『アヴィノレームのフィサリア人』より抜粋,ja-JP
"""Folk Artist""",「民間芸術家」,ja-JP
"""Francesco""",「フランチェスコ」,ja-JP
"""Friend of the Moon Fox""",「心狐の友」,ja-JP
"""Funeral Attendees""",「葬儀屋」,ja-JP
"""Fórum Interno de Logística Lollo""",『ブブ物流内部掲示板』,ja-JP
"""GUILT-E""",「安全TARD-Eユニット」,ja-JP
"""Galbrena"" do Passado",昔の「ガルブレーナ」,ja-JP
"""Galbrena"" of the Past",昔の「ガルブレーナ」,ja-JP
"""Galbrena"" ในอดีต",昔の「ガルブレーナ」,ja-JP
"""Gardener""",「庭師」,ja-JP
"""Garota""",「少女」,ja-JP
"""Gato Fantasma da Lanterna""",「提灯下げの化け猫」,ja-JP
"""Gatão"" Glutão",食いしん坊の「大きな猫」,ja-JP
"""Georanha Modelo""",「模範イワグモ」,ja-JP
"""Gerente""",「管理人」,ja-JP
"""Gladiador Aflito""",「悩んでいるグラディエーター」,ja-JP
"""Gladiador Sombrio""",「冷静なグラディエーター」,ja-JP
"""Gramp""",イエル,ja-JP
"""Grave Anathema""",「怨恨の災厄」,ja-JP
"""Gulpuff-Headed Lionarch""",「グルッポ頭獣尊」,ja-JP
"""HAST-E""",「交通TARD-Eユニット」,ja-JP
"""Haunting Ghost""",「影の祟り」,ja-JP
"""Headless Lionarch""",「首なし獣尊」,ja-JP
"""Hebe""",「ヘベ」,ja-JP
"""Hero Play""",「ヒーローショー」,ja-JP
"""Hero Play"" (Translation)",「ヒーローショー」（翻訳）,ja-JP
"""Hocus Pocus""",「ミスター・マギア」,ja-JP
"""Homem de Meia-idade""",「中年」,ja-JP
"""Infiltrado""",「木禺のそばの潜入者」,ja-JP
"""Inside Man""",「木禺のそばの潜入者」,ja-JP
"""Ipsicorda""",人形「ケンシ」,ja-JP
"""Ironhold""",「鉄山」,ja-JP
"""Iuno""",「ユーノ」,ja-JP
"""Jardineiro""",「庭師」,ja-JP
"""Joshua""",「ジョシュア」,ja-JP
"""Jovem""",「若者」,ja-JP
"""Jungle Wars"" คือที่สุดของโลก",『ジャングルバトル』は神,ja-JP
"""Juniper""",「ジュニパー」,ja-JP
"""Jué""",「角」,ja-JP
"""Kernel Puppet ที่ขัดข้อง""",「故障した心傀」,ja-JP
"""Killer in Dreams""",「ドリームキラー」,ja-JP
"""King of Ginga Street""",「銀河通りのキング」,ja-JP
"""King""",「キング」,ja-JP
"""La Llorona""",「ラ・ジョローナ」,ja-JP
"""Lahai-Roi""",「ラハイロイ」,ja-JP
"""Lantern-Headed Lionarch""",「灯籠頭獣尊」,ja-JP
"""Lança da Glória""",「栄光の槍」,ja-JP
"""Lario""",「ラリオ」,ja-JP
"""Lazy"" Autopuppet from the Past",過去の「怠惰」の機傀,ja-JP
"""Lazy"" Trooper 3",「怠惰」機襲三,ja-JP
"""Leah""",「リーア」,ja-JP
"""Left Behind?""",「過ぎし人？」,ja-JP
"""Leftless""",「レフト」,ja-JP
"""Leão Soberano Sem Cabeça""",「首なし獣尊」,ja-JP
"""Leão Soberano com Cabeça de Baiagu""",「グルッポ頭獣尊」,ja-JP
"""Leão Soberano com Cabeça de Botão""",「爆薬苞頭獣尊」,ja-JP
"""Leão Soberano com Cabeça de Espinho""",「尖った頭の獣尊」,ja-JP
"""Leão Soberano com Cabeça de Lanterna""",「灯籠頭獣尊」,ja-JP
"""Liaison""",「連絡員」,ja-JP
"""Ligação""",「連絡員」,ja-JP
"""Lingering Signs of Battle""",「残した戦闘の痕跡」,ja-JP
"""Lionarch หัว Gulpuff""",「グルッポ頭獣尊」,ja-JP
"""Lionarch หัวลูกชิ้น""",「爆薬苞頭獣尊」,ja-JP
"""Lionarch หัวแหลม""",「尖った頭の獣尊」,ja-JP
"""Lionarch หัวโคมไฟ""",「灯籠頭獣尊」,ja-JP
"""Lionarch ไร้หัว""",「首なし獣尊」,ja-JP
"""Little Boss""",「小さき店主」,ja-JP
"""Little Girl""",「女の子」,ja-JP
"""Little One""",「ちびっ子」,ja-JP
"""Lollo Logistics Interal Forum""",『ブブ物流内部掲示板』,ja-JP
"""Lottie Lost""",「ミス・ロンリー」,ja-JP
"""Lâmina Imaculada""",「錆びを知らぬ刃」,ja-JP
"""Líder"" Proscrito",流れ者「首領」,ja-JP
"""Malfunctioning Kernel Puppet""",「故障した心傀」,ja-JP
"""Malícia Imortal""",「不死の怨念」,ja-JP
"""Manager""",「管理人」,ja-JP
"""Mandra""",「マンダ」,ja-JP
"""Maquinete do Núcleo com Defeito""",「故障した心傀」,ja-JP
"""Mechascout""",「メカスカウト」,ja-JP
"""Meiyifang""",「美宜方」,ja-JP
"""Meme do Olhar Fixo""",「凝視のミーム」,ja-JP
"""Menininha""",「女の子」,ja-JP
"""Mentor""",「メンター」,ja-JP
"""Merchant Caravan Staff""",「商隊の若者」,ja-JP
"""Merchant""",「行商人」,ja-JP
"""Mercurio""",「メルクリオ」,ja-JP
"""Mercúrio""",「メルクリオ」,ja-JP
"""Mestre das Curvas""",「限界のカーブ曲がり」,ja-JP
"""Meticulous"" Researcher",「几帳面」な研究員,ja-JP
"""Middle-aged Man""",「中年」,ja-JP
"""Minghu""",「明虎」,ja-JP
"""Misteltein""",「ミスティン」,ja-JP
"""Model Geospider""",「模範イワグモ」,ja-JP
"""Modelo de Registro de Recibo de Suprimento""",『物資申請書テンプレート』,ja-JP
"""Mr. C-MOSS""",「ミスター・シモス」,ja-JP
"""NUS8910""",NUS8910,ja-JP
"""Nanami""",ナナミ,ja-JP
"""Nervous"" Researcher",「慎み深い」研究員,ja-JP
"""Nivora""",「ニヴォラ」,ja-JP
"""Nobre Apreensivo""",「苛立つ貴族」,ja-JP
"""Noise""",「声」,ja-JP
"""O Moldador""",織る者,ja-JP
"""O Monumento""",「不朽の巨碑」,ja-JP
"""O Outro Daigo""",「世界にいるもう一人の大吾」,ja-JP
"""O Tesouro""",「凝珍藏物」,ja-JP
"""Obsession""",「執念」,ja-JP
"""Obsessão""",「執念」,ja-JP
"""Occupied Body""",「空しき骸」,ja-JP
"""Old Captain"" Davide",「オールドキャプテン」ダヴィデ,ja-JP
"""Olá"" Distante",遥か遠くの呼びかけ,ja-JP
"""Optimistic"" Researcher",「楽観的」な研究員,ja-JP
"""Os Reincidentes""",「帰りしもの」,ja-JP
"""Pai""",「父親」,ja-JP
"""Painful"" Autopuppet from the Past",過去の「苦痛」の機傀,ja-JP
"""Painful"" Sentry 4",「苦痛」機戍四,ja-JP
"""Painter""",「画伯」,ja-JP
"""Paradoxical Karma""",「因果のパラドクス」,ja-JP
"""Participantes do Funeral""",「葬儀屋」,ja-JP
"""Peach""",「山桃」,ja-JP
"""Pelotão de Pelúcia""",「ぬいぐるみスクワッド」,ja-JP
"""Pequenininho""",「ちびっ子」,ja-JP
"""Pequenino""",「チビ」,ja-JP
"""Pequeno Chefe""",「小さき店主」,ja-JP
"""Pero""",「ペロ」,ja-JP
