source,target,tgt_lng
アル,爱露,zh-CN
亞瑠,爱露,zh-CN
Aru,爱露,zh-CN
아루,爱露,zh-CN
อารุ,爱露,zh-CN
エイミ,艾米,zh-CN
英美,艾米,zh-CN
Eimi,艾米,zh-CN
에이미,艾米,zh-CN
เอมิ,艾米,zh-CN
ハルナ,晴奈,zh-CN
羽留奈,晴奈,zh-CN
Haruna,晴奈,zh-CN
하루나,晴奈,zh-CN
ฮารุนะ,晴奈,zh-CN
ヒフミ,日富美,zh-CN
日步美,日富美,zh-CN
Hifumi,日富美,zh-CN
히후미,日富美,zh-CN
ฮิฟุมิ,日富美,zh-CN
ヒナ,日奈,zh-CN
陽奈,日奈,zh-CN
Hina,日奈,zh-CN
히나,日奈,zh-CN
ฮินะ,日奈,zh-CN
ホシノ,星野,zh-CN
Hoshino,星野,zh-CN
호시노,星野,zh-CN
โฮชิโนะ,星野,zh-CN
イオリ,伊织,zh-CN
伊織,伊织,zh-CN
Iori,伊织,zh-CN
이오리,伊织,zh-CN
อิโอริ,伊织,zh-CN
マキ,真纪,zh-CN
真紀,真纪,zh-CN
Maki,真纪,zh-CN
마키,真纪,zh-CN
มากิ,真纪,zh-CN
ネル,妮露,zh-CN
寧瑠,妮露,zh-CN
Neru,妮露,zh-CN
네루,妮露,zh-CN
เนรุ,妮露,zh-CN
イズミ,泉,zh-CN
Izumi,泉,zh-CN
이즈미,泉,zh-CN
อิซุมิ,泉,zh-CN
シロコ,白子,zh-CN
Shiroko,白子,zh-CN
시로코,白子,zh-CN
ชิโรโกะ,白子,zh-CN
シュン,瞬,zh-CN
旬,瞬,zh-CN
Shun,瞬,zh-CN
슌,瞬,zh-CN
ชุน,瞬,zh-CN
スミレ,堇,zh-CN
Sumire,堇,zh-CN
스미레,堇,zh-CN
สึมิเระ,堇,zh-CN
ツルギ,鹤城,zh-CN
弦生,鹤城,zh-CN
Tsurugi,鹤城,zh-CN
츠루기,鹤城,zh-CN
ซึรุกิ,鹤城,zh-CN
イズナ,泉奈,zh-CN
伊樹菜,泉奈,zh-CN
Izuna,泉奈,zh-CN
이즈나,泉奈,zh-CN
อิซุนะ,泉奈,zh-CN
アリス,爱丽丝,zh-CN
愛麗絲,爱丽丝,zh-CN
Aris,爱丽丝,zh-CN
아리스,爱丽丝,zh-CN
อาริสึ,爱丽丝,zh-CN
ミドリ,绿,zh-CN
綠,绿,zh-CN
Midori,绿,zh-CN
미도리,绿,zh-CN
มิโดริ,绿,zh-CN
チェリノ,切里诺,zh-CN
潔莉諾,切里诺,zh-CN
Cherino,切里诺,zh-CN
체리노,切里诺,zh-CN
เชริโน่,切里诺,zh-CN
ユズ,柚子,zh-CN
Yuzu,柚子,zh-CN
유즈,柚子,zh-CN
ยูสึ,柚子,zh-CN
アズサ,梓,zh-CN
Azusa,梓,zh-CN
아즈사,梓,zh-CN
อาซึสะ,梓,zh-CN
コハル,小春,zh-CN
Koharu,小春,zh-CN
코하루,小春,zh-CN
โคฮารุ,小春,zh-CN
アズサ（水着）,梓（泳装）,zh-CN
梓(泳裝),梓（泳装）,zh-CN
Azusa (Swimsuit),梓（泳装）,zh-CN
아즈사(수영복),梓（泳装）,zh-CN
อาซึสะ (ชุดว่ายน้ำ),梓（泳装）,zh-CN
ヒナ（水着）,日奈（泳装）,zh-CN
陽奈(泳裝),日奈（泳装）,zh-CN
Hina (Swimsuit),日奈（泳装）,zh-CN
히나(수영복),日奈（泳装）,zh-CN
ฮินะ (ชุดว่ายน้ำ),日奈（泳装）,zh-CN
イオリ（水着）,伊织（泳装）,zh-CN
伊織(泳裝),伊织（泳装）,zh-CN
Iori (Swimsuit),伊织（泳装）,zh-CN
이오리(수영복),伊织（泳装）,zh-CN
อิโอริ (ชุดว่ายน้ำ),伊织（泳装）,zh-CN
シロコ（ライディング）,白子（骑行）,zh-CN
白子(單車),白子（骑行）,zh-CN
Shiroko (Cycling),白子（骑行）,zh-CN
시로코(라이딩),白子（骑行）,zh-CN
ชิโรโกะ (นักปั่น),白子（骑行）,zh-CN
シュン（幼女）,瞬（小）,zh-CN
旬(幼女),瞬（小）,zh-CN
Shun (Small),瞬（小）,zh-CN
슌(어린이),瞬（小）,zh-CN
ชุน (วัยเด็ก),瞬（小）,zh-CN
ネル（バニーガール）,妮露（邦妮）,zh-CN
寧瑠(兔女郎),妮露（邦妮）,zh-CN
Neru (Bunny),妮露（邦妮）,zh-CN
네루(바니걸),妮露（邦妮）,zh-CN
เนรุ (บันนี่เกิร์ล),妮露（邦妮）,zh-CN
カリン（バニーガール）,花凛（邦妮）,zh-CN
花凛(兔女郎),花凛（邦妮）,zh-CN
Karin (Bunny),花凛（邦妮）,zh-CN
카린(바니걸),花凛（邦妮）,zh-CN
คาริน (บันนี่เกิร์ล),花凛（邦妮）,zh-CN
アスナ（バニーガール）,明日奈（邦妮）,zh-CN
明日奈(兔女郎),明日奈（邦妮）,zh-CN
Asuna (Bunny),明日奈（邦妮）,zh-CN
아스나(바니걸),明日奈（邦妮）,zh-CN
อาสึนะ (บันนี่เกิร์ล),明日奈（邦妮）,zh-CN
ナツ,夏,zh-CN
Natsu,夏,zh-CN
나츠,夏,zh-CN
นัตสึ,夏,zh-CN
チナツ（温泉）,千夏（温泉）,zh-CN
千夏(溫泉),千夏（温泉）,zh-CN
Chinatsu (Hot Spring),千夏（温泉）,zh-CN
치나츠(온천),千夏（温泉）,zh-CN
ชินัตสึ (ออนเซ็น),千夏（温泉）,zh-CN
アル（正月）,爱露（新年）,zh-CN
亞瑠(正月),爱露（新年）,zh-CN
Aru (New Year),爱露（新年）,zh-CN
아루(새해),爱露（新年）,zh-CN
อารุ (ปีใหม่),爱露（新年）,zh-CN
ムツキ（正月）,睦月（新年）,zh-CN
無月(正月),睦月（新年）,zh-CN
Mutsuki (New Year),睦月（新年）,zh-CN
무츠키(새해),睦月（新年）,zh-CN
มุสึกิ (ปีใหม่),睦月（新年）,zh-CN
ワカモ,若藻,zh-CN
Wakamo,若藻,zh-CN
와카모,若藻,zh-CN
วาคาโมะ,若藻,zh-CN
ミモリ,三森,zh-CN
Mimori,三森,zh-CN
미모리,三森,zh-CN
มิโมริ,三森,zh-CN
ウイ,忧,zh-CN
憂,忧,zh-CN
Ui,忧,zh-CN
우이,忧,zh-CN
อุย,忧,zh-CN
ヒナタ,日向,zh-CN
Hinata,日向,zh-CN
히나타,日向,zh-CN
ฮินาตะ,日向,zh-CN
マリナ,真里奈,zh-CN
瑪麗娜,真里奈,zh-CN
Marina,真里奈,zh-CN
마리나,真里奈,zh-CN
มารินะ,真里奈,zh-CN
ミヤコ,宫子,zh-CN
都子,宫子,zh-CN
Miyako,宫子,zh-CN
미야코,宫子,zh-CN
มิยาโกะ,宫子,zh-CN
ミユ,美游,zh-CN
美優,美游,zh-CN
Miyu,美游,zh-CN
미유,美游,zh-CN
มิยุ,美游,zh-CN
ツクヨ,月咏,zh-CN
月夜,月咏,zh-CN
Tsukuyo,月咏,zh-CN
츠쿠요,月咏,zh-CN
สึคุโยะ,月咏,zh-CN
ミサキ,美咲,zh-CN
Misaki,美咲,zh-CN
미사키,美咲,zh-CN
มิซากิ,美咲,zh-CN
アツコ,亚津子,zh-CN
敦子,亚津子,zh-CN
Atsuko,亚津子,zh-CN
아츠코,亚津子,zh-CN
อาสึโกะ,亚津子,zh-CN
ワカモ（水着）,若藻（泳装）,zh-CN
若藻(泳裝),若藻（泳装）,zh-CN
Wakamo (Swimsuit),若藻（泳装）,zh-CN
와카모(수영복),若藻（泳装）,zh-CN
วาคาโมะ (ชุดว่ายน้ำ),若藻（泳装）,zh-CN
ノノミ（水着）,野宫（泳装）,zh-CN
野乃美(泳裝),野宫（泳装）,zh-CN
Nonomi (Swimsuit),野宫（泳装）,zh-CN
노노미(수영복),野宫（泳装）,zh-CN
โนโนมิ (ชุดว่ายน้ำ),野宫（泳装）,zh-CN
ホシノ（水着）,星野（泳装）,zh-CN
星野(泳裝),星野（泳装）,zh-CN
Hoshino (Swimsuit),星野（泳装）,zh-CN
호시노(수영복),星野（泳装）,zh-CN
โฮชิโนะ (ชุดว่ายน้ำ),星野（泳装）,zh-CN
イズナ（水着）,泉奈（泳装）,zh-CN
伊樹菜(泳裝),泉奈（泳装）,zh-CN
Izuna (Swimsuit),泉奈（泳装）,zh-CN
이즈나(수영복),泉奈（泳装）,zh-CN
อิซุนะ (ชุดว่ายน้ำ),泉奈（泳装）,zh-CN
チセ（水着）,千世（泳装）,zh-CN
知世(泳裝),千世（泳装）,zh-CN
Chise (Swimsuit),千世（泳装）,zh-CN
치세(수영복),千世（泳装）,zh-CN
ชิเซะ (ชุดว่ายน้ำ),千世（泳装）,zh-CN
サオリ,纱织,zh-CN
沙織,纱织,zh-CN
Saori,纱织,zh-CN
사오리,纱织,zh-CN
ซาโอริ,纱织,zh-CN
カズサ,和纱,zh-CN
千紗,和纱,zh-CN
Kazusa,和纱,zh-CN
