id,term,src_table
BattleScene.10101.address1,昆士區,Battle/BattleScene.txt
BattleScene.10101.address2,普通街道-黃昏,Battle/BattleScene.txt
BattleScene.10301.address1,昆士區,Battle/BattleScene.txt
BattleScene.10301.address2,Funny電玩城-大廳,Battle/BattleScene.txt
BattleScene.10601.address1,昆士區,Battle/BattleScene.txt
BattleScene.10601.address2,貝克街-雨,Battle/BattleScene.txt
BattleScene.10701.address1,南港區,Battle/BattleScene.txt
BattleScene.10701.address2,玩偶工廠,Battle/BattleScene.txt
BattleScene.10801.address1,昆士區,Battle/BattleScene.txt
BattleScene.10801.address2,澀穀,Battle/BattleScene.txt
BattleScene.10901.address1,功能,Battle/BattleScene.txt
BattleScene.10901.address2,竹林副本,Battle/BattleScene.txt
BattleScene.10902.address1,功能,Battle/BattleScene.txt
BattleScene.10902.address2,竹林副本,Battle/BattleScene.txt
BattleScene.11001.address1,竹林活動,Battle/BattleScene.txt
BattleScene.11001.address2,竹林副本,Battle/BattleScene.txt
BattleScene.11101.address1,南港區,Battle/BattleScene.txt
BattleScene.11101.address2,小紅帽場景,Battle/BattleScene.txt
BattleScene.11201.address1,昆士區,Battle/BattleScene.txt
BattleScene.11201.address2,新街道-夜,Battle/BattleScene.txt
BattleScene.11401.address1,凜北區,Battle/BattleScene.txt
BattleScene.11401.address2,足球場景,Battle/BattleScene.txt
BattleScene.11501.address1,昆士區,Battle/BattleScene.txt
BattleScene.11501.address2,商業街,Battle/BattleScene.txt
BattleScene.11599.address1,昆士區,Battle/BattleScene.txt
BattleScene.11599.address2,商業街,Battle/BattleScene.txt
BattleScene.11901.address1,功能,Battle/BattleScene.txt
BattleScene.11901.address2,定向副本-藍,Battle/BattleScene.txt
BattleScene.12001.address1,功能,Battle/BattleScene.txt
BattleScene.12001.address2,定向副本-藍,Battle/BattleScene.txt
BattleScene.12002.address1,功能,Battle/BattleScene.txt
BattleScene.12002.address2,定向副本-綠,Battle/BattleScene.txt
BattleScene.12003.address1,功能,Battle/BattleScene.txt
BattleScene.12003.address2,定向副本-紫,Battle/BattleScene.txt
BattleScene.12004.address1,功能,Battle/BattleScene.txt
BattleScene.12004.address2,定向副本-紅,Battle/BattleScene.txt
BattleScene.12005.address1,功能,Battle/BattleScene.txt
BattleScene.12005.address2,定向副本-黃,Battle/BattleScene.txt
BattleScene.12101.address1,南港區,Battle/BattleScene.txt
BattleScene.12101.address2,依依家門外-夜,Battle/BattleScene.txt
BattleScene.12201.address1,昆士區,Battle/BattleScene.txt
BattleScene.12201.address2,貝克街-雨,Battle/BattleScene.txt
BattleScene.12301.address1,昆士區,Battle/BattleScene.txt
BattleScene.12301.address2,情緒干預中心大廳,Battle/BattleScene.txt
BattleScene.12401.address1,昆士區,Battle/BattleScene.txt
BattleScene.12401.address2,情緒干預中心大廳,Battle/BattleScene.txt
BattleScene.12601.address1,利茲城,Battle/BattleScene.txt
BattleScene.12601.address2,舊城區街道-晝,Battle/BattleScene.txt
BattleScene.12901.address1,利茲城,Battle/BattleScene.txt
BattleScene.12901.address2,郊外遺跡,Battle/BattleScene.txt
BattleScene.13001.address1,離島區,Battle/BattleScene.txt
BattleScene.13001.address2,離島大街-晝,Battle/BattleScene.txt
BattleScene.13101.address1,離島區,Battle/BattleScene.txt
BattleScene.13101.address2,離島大街-夜,Battle/BattleScene.txt
BattleScene.13201.address1,離島區,Battle/BattleScene.txt
BattleScene.13201.address2,破敗大街,Battle/BattleScene.txt
BattleScene.13299.address1,離島區,Battle/BattleScene.txt
BattleScene.13299.address2,破敗大街,Battle/BattleScene.txt
BattleScene.13301.address1,離島區,Battle/BattleScene.txt
BattleScene.13301.address2,拍賣行,Battle/BattleScene.txt
BattleScene.13401.address1,離島區,Battle/BattleScene.txt
BattleScene.13401.address2,拍賣行,Battle/BattleScene.txt
BattleScene.13402.address1,南港區,Battle/BattleScene.txt
BattleScene.13402.address2,臨邊街道,Battle/BattleScene.txt
BattleScene.13501.address1,昆士區,Battle/BattleScene.txt
BattleScene.13501.address2,音樂節入口,Battle/BattleScene.txt
BattleScene.13601.address1,昆士區,Battle/BattleScene.txt
BattleScene.13601.address2,音樂節內部,Battle/BattleScene.txt
BattleScene.13701.address1,離島區,Battle/BattleScene.txt
BattleScene.13701.address2,破敗街道,Battle/BattleScene.txt
BattleScene.13702.address1,離島區,Battle/BattleScene.txt
BattleScene.13702.address2,破敗街道,Battle/BattleScene.txt
BattleScene.13801.address1,昆士區,Battle/BattleScene.txt
BattleScene.13801.address2,情緒干預中心,Battle/BattleScene.txt
