source,target,tgt_lng
Ambient/Environment,环境,zh-CN
Ambiente,环境,zh-CN
Ambiente/Entorno,环境,zh-CN
Ana Ses,主音量,zh-CN
Arayüz,用户界面,zh-CN
Assistente vocale,复述功能/语音,zh-CN
Atmosphäre/Umgebung,环境,zh-CN
Benutzeroberfläche,用户界面,zh-CN
BGM,音乐,zh-CN
Blocchi,方块,zh-CN
Blocchi musicali,唱片机/音符盒,zh-CN
Blocks,方块,zh-CN
Blocos,方块,zh-CN
Blocs,方块,zh-CN
Blocs musicaux,唱片机/音符盒,zh-CN
Bloklar,方块,zh-CN
Bloques,方块,zh-CN
Bloques musicales,唱片机/音符盒,zh-CN
Blöcke,方块,zh-CN
Clima,天气,zh-CN
Creature ostili,敌对生物,zh-CN
Creature pacifiche,友好生物,zh-CN
Criaturas hostiles,敌对生物,zh-CN
Criaturas hostis,敌对生物,zh-CN
Criaturas inofensivas,友好生物,zh-CN
Criaturas pacíficas,友好生物,zh-CN
Créatures hostiles,敌对生物,zh-CN
Créatures passives,友好生物,zh-CN
Dost Canlılar,友好生物,zh-CN
Environnement,环境,zh-CN
Feindliche Kreaturen,敌对生物,zh-CN
Freundliche Kreaturen,友好生物,zh-CN
Friendly Mobs,友好生物,zh-CN
Gesamtlautstärke,主音量,zh-CN
Giao diện người dùng,用户界面,zh-CN
Giocatori,玩家,zh-CN
Giọng nói,复述功能/语音,zh-CN
Hava Durumu,天气,zh-CN
Hostile Mobs,敌对生物,zh-CN
Interfaccia,用户界面,zh-CN
Interface,用户界面,zh-CN
Interfaz,用户界面,zh-CN
Jogadores,玩家,zh-CN
Joueurs,玩家,zh-CN
Jugadores,玩家,zh-CN
Jukebox/Note Blocks,唱片机/音符盒,zh-CN
Khối,方块,zh-CN
Khối phát nhạc,唱片机/音符盒,zh-CN
Master Volume,主音量,zh-CN
Metin Okuyucu/Konuşma,复述功能/语音,zh-CN
Music,音乐,zh-CN
Musica,音乐,zh-CN
Musik,音乐,zh-CN
Musikblöcke,唱片机/音符盒,zh-CN
Musique,音乐,zh-CN
Météo,天气,zh-CN
Môi trường,环境,zh-CN
Música,音乐,zh-CN
Müzik,音乐,zh-CN
Müzik/Nota Bloğu,唱片机/音符盒,zh-CN
Narrador/Voz,复述功能/语音,zh-CN
Narrateur,复述功能/语音,zh-CN
Narrator/Voice,复述功能/语音,zh-CN
Người chơi,玩家,zh-CN
Oyuncular,玩家,zh-CN
Players,玩家,zh-CN
Saldırgan Canlılar,敌对生物,zh-CN
Sinh vật lành,友好生物,zh-CN
Sinh vật ác,敌对生物,zh-CN
Spieler,玩家,zh-CN
Sprachausgabe/Stimme,复述功能/语音,zh-CN
Tempo,天气,zh-CN
Tempo atmosferico,天气,zh-CN
Thời tiết,天气,zh-CN
Toca-Discos/Blocos Musicais,唱片机/音符盒,zh-CN
UI,用户界面,zh-CN
Volume generale,主音量,zh-CN
Volume principal,主音量,zh-CN
Volume-mestre,主音量,zh-CN
Volumen general,主音量,zh-CN
Voz/Diálogos,复述功能/语音,zh-CN
Weather,天气,zh-CN
Wetter,天气,zh-CN
Âm lượng tổng,主音量,zh-CN
Âm nhạc,音乐,zh-CN
Çevresel,环境,zh-CN
Блоки,方块,zh-CN
Враждебные мобы,敌对生物,zh-CN
Диктор/Голос,复述功能/语音,zh-CN
Игроки,玩家,zh-CN
Интерфейс,用户界面,zh-CN
Мирные мобы,友好生物,zh-CN
Музыка,音乐,zh-CN
Музыкальные блоки,唱片机/音符盒,zh-CN
Общая громкость,主音量,zh-CN
Окружение,环境,zh-CN
Погода,天气,zh-CN
ตู้เพลง/กล่องตัวโน้ต,唱片机/音符盒,zh-CN
บล็อก,方块,zh-CN
ผู้บรรยาย/เสียงพูด,复述功能/语音,zh-CN
ผู้เล่น,玩家,zh-CN
ม็อบเป็นมิตร,友好生物,zh-CN
ม็อบไม่เป็นมิตร,敌对生物,zh-CN
สภาพอากาศ,天气,zh-CN
อินเทอร์เฟซผู้ใช้,用户界面,zh-CN
เพลง,音乐,zh-CN
เสียงหลัก,主音量,zh-CN
แอมเบียนต์/สิ่งแวดล้อม,环境,zh-CN
ジュークボックス／音符ブロック,唱片机/音符盒,zh-CN
ブロック,方块,zh-CN
プレイヤー,玩家,zh-CN
友好的Mob,友好生物,zh-CN
唱片機／音階盒,唱片机/音符盒,zh-CN
天候,天气,zh-CN
天氣,天气,zh-CN
敵対的Mob,敌对生物,zh-CN
敵對生物,敌对生物,zh-CN
方塊,方块,zh-CN
朗讀功能／語音,复述功能/语音,zh-CN
環境音,环境,zh-CN
環境音效／環境,环境,zh-CN
音声読み上げ／声,复述功能/语音,zh-CN
音樂,音乐,zh-CN
날씨,天气,zh-CN
내레이터/음성,复述功能/语音,zh-CN
분위기/환경,环境,zh-CN
블록,方块,zh-CN
음악,音乐,zh-CN
적대적 몹,敌对生物,zh-CN
전체 음량,主音量,zh-CN
주크박스/소리 블록,唱片机/音符盒,zh-CN
친화적 몹,友好生物,zh-CN
플레이어,玩家,zh-CN
