id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
AffinityQuest.10301.1,琥珀完成{1}次星塔探索,Complete {1} Ascension with Amber,コハクと星ノ塔を{1}回探索する,코하쿠와 별의 탑 탐색 {1}회 완료,琥珀完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.10302.1,完成{1}次与琥珀的邀约,Invited and hung out with Amber {1} time,コハクと{1}回デートする,코하쿠와 약속 {1}회 진행,完成{1}次與琥珀的邀約,AffinityQuest.json
AffinityQuest.10303.1,琥珀进阶到{1}阶,Amber reaches Tier {1},コハクをランク{1}にする,코하쿠 {1}승급 달성,琥珀進階到{1}階,AffinityQuest.json
AffinityQuest.10304.1,琥珀累计升级{1}次技能,Upgraded Amber's skills {1} times,コハクのスキルを{1}回レベルアップする,코하쿠 스킬 {1}회 레벨업,琥珀升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.10305.1,琥珀保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Amber,コハクを含む記録レベルが{2}以上の記録を{1}件保存する,코하쿠로 {1}개의 평점 레벨 {2} 기록 저장,琥珀保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.10307.1,琥珀所有技能等级提升到{1}级或以上,All Amber's skills ≥ Lv.{1},コハクのすべてのスキルレベルを{1}以上にする,코하쿠의 모든 스킬 {1}레벨 이상 달성,琥珀的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.10309.1,累计收集琥珀的潜能数量达到{1},Collect Amber's Potential ×{1},コハクの素質を{1}種類収集する,코하쿠 잠재력 수집 누적 수량 {1}개 달성,收集琥珀的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.10701.1,缇莉娅完成{1}次星塔探索,Complete {1} Ascension with Tilia,ティリアと星ノ塔を{1}回探索する,틸리아와 별의 탑 탐색 {1}회 완료,緹莉婭完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.10702.1,完成{1}次与缇莉娅的邀约,Invited and hung out with Tilia {1} time,ティリアと{1}回デートする,틸리아와 약속 {1}회 진행,完成{1}次與緹莉婭的邀約,AffinityQuest.json
AffinityQuest.10703.1,缇莉娅进阶到{1}阶,Tilia reaches Tier {1},ティリアをランク{1}にする,틸리아 {1}승급 달성,緹莉婭進階到{1}階,AffinityQuest.json
AffinityQuest.10704.1,缇莉娅累计升级{1}次技能,Upgraded Tilia's skills {1} times,ティリアのスキルを{1}回レベルアップする,틸리아 스킬 {1}회 레벨업,緹莉婭升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.10705.1,缇莉娅保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Tilia,ティリアを含む記録レベルが{2}以上の記録を{1}件保存する,틸리아로 {1}개의 평점 레벨 {2} 기록 저장,緹莉婭保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.10707.1,缇莉娅所有技能等级提升到{1}级或以上,All Tilia's skills ≥ Lv.{1},ティリアのすべてのスキルレベルを{1}以上にする,틸리아의 모든 스킬 {1}레벨 이상 달성,緹莉婭的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.10709.1,累计收集缇莉娅的潜能数量达到{1},Collect Tilia's Potentials ×{1},ティリアの素質を{1}種類収集する,틸리아 잠재력 수집 누적 수량 {1}개 달성,收集緹莉婭的潛能數量累計達到{1},AffinityQuest.json
