source,target,tgt_lng
Abendrot-Mondfisch,Pesce luna ondarossa,it-IT
Abiding Angelfish,Pesce angelo perpetuo,it-IT
Abutre Vermelho,Avvoltoio rosso,it-IT
Acará Chousei,Pesce angelo perpetuo,it-IT
Acará Raimei,Pesce angelo Raimei,it-IT
Acuibara,Capibara,it-IT
Adorned Unagi,Unagi ornato,it-IT
Aerofidio,Serpente volante,it-IT
Afídio de Flogisto,Afide del Flogisto,it-IT
Aigle à couronne,Aquila coronata,it-IT
Aizen Medaka,Medaka azzurro,it-IT
Aizen-Medaka,Medaka azzurro,it-IT
Ak Kanatlı Kaz,Oca dalle ali di neve,it-IT
Akai maou,Akai Maou,it-IT
Akaralev Kuşu,Pinguino Solcafiamme,it-IT
Akarsu Kuşu,Pinguino Solcacorrenti,it-IT
Akrep,Scorpione,it-IT
Alabardo,Uccello alabardiere,it-IT
Alacakaranlık Güneş Balığı,Pesce luna ondarossa,it-IT
Alacakaranlık Keçisi,Capra tramontina,it-IT
Alacakaranlık Kuşu,Uccello del crepuscolo,it-IT
Alce da Neve,Alce delle nevi,it-IT
Alce de las nieves,Alce delle nevi,it-IT
Alevli Balta Kafalı Balık,Pesce testascia ardente,it-IT
Alevli Kalp Tüylü Levrek,Spigola Cuor di piuma ardente,it-IT
Alpaca de carga,Alpaca,it-IT
Alpacktier,Alpaca,it-IT
Alpaga,Alpaca,it-IT
Alpaka,Alpaca,it-IT
Altın Ejder Balığı,Koi dorato,it-IT
Altın Hırsız Gelincik,Donnoladra dorata,it-IT
Altın Levrek,Spigola dorata,it-IT
Altın Serçe,Canarino dorato,it-IT
Altın Yengeç,Granchio dorato,it-IT
Altın Çopra,Cobite dorato,it-IT
Amateur Weasel Thief,Donnoladra dilettante,it-IT
Amatör Hırsız Gelincik,Donnoladra dilettante,it-IT
Amber Hunting Hound,Segugio ambrato,it-IT
Ancien pinson écarlate,Fringuello piumarossa ancestrale,it-IT
Ancien sanglier rougeoyant,Cinghiale chiomarossa ancestrale,it-IT
Ancienne spatule flamboyante,Mestolone Varcafiamme ancestrale,it-IT
Ancienne tortue lustrée,Tartaruga smaltata ancestrale,it-IT
Ancient Firewalker Spoonbill,Mestolone Varcafiamme ancestrale,it-IT
Ancient Glazeback Turtle,Tartaruga smaltata ancestrale,it-IT
Ancient Red-Mane Boar,Cinghiale chiomarossa ancestrale,it-IT
Ancient Scarlet-Plume Finch,Fringuello piumarossa ancestrale,it-IT
Anemo Crystalfly,Cristallottero di Anemo,it-IT
Anemo-Kristallschmetterling,Cristallottero di Anemo,it-IT
Anfänger-Schatzmarder,Donnoladra dilettante,it-IT
Anguila adornada,Unagi ornato,it-IT
Anguila de aleta roja,Unagi pinna rossa,it-IT
Anguila de las profundidades,Unagi degli abissi,it-IT
Anguila del desierto,Anguilla delle sabbie mobili,it-IT
Anguille des sables,Anguilla delle sabbie mobili,it-IT
Animal de Carga Branco,Bestia da soma bianca,it-IT
Animal de Carga Desgrenhado,Bestia da soma irsuta,it-IT
Animal de Carga do Deserto,Bestia da soma del deserto,it-IT
Animal de carga albino,Bestia da soma bianca,it-IT
Apanhador da Aurora,Pesce dell'alba,it-IT
Ardilla,Scoiattolo,it-IT
Arduvaz Şemsiyeli Serçe,Frimbrello grigio ardesia,it-IT
Arpente-neige,Guazzaneve,it-IT
Arraia Divda,Manta Divda,it-IT
Arraia Flutuante,Manta fluttuante,it-IT
Arraia Formalo,Manta Formàlo,it-IT
Aschegraue Schneeflosse,Pinnaneve carbone,it-IT
Atapetra Conch,Conchiglia Fossilpietra,it-IT
Atapetra-Schnecke,Conchiglia Fossilpietra,it-IT
Atataşı Kabuğu,Conchiglia Fossilpietra,it-IT
Ateş Kristal Kelebeği,Cristallottero di Pyro,it-IT
Atrapaauroras,Pesce dell'alba,it-IT
Attrape-aube,Pesce dell'alba,it-IT
Avcı Hırsız Gelincik,Donnoladra accaparratrice,it-IT
Ave fluyeardiente,Pinguino Solcafiamme,it-IT
Ave fluyecorriente,Pinguino Solcacorrenti,it-IT
Axolote,Cobite dorato,it-IT
Ay Işığı Balığı,Pinnaluna,it-IT
Ay Işığı Karyüzgeç,Pinnaneve lunare,it-IT
Ayaz Sığını,Alce delle nevi,it-IT
Azure Crane,Airone azzurro,it-IT
Azuregaze Crystal-Eye,Pesce cristallocchio celeste,it-IT
Azurreiher,Airone azzurro,it-IT
Ağaç Kurbağası,Rana degli alberi,it-IT
Bahtınur Böceği,Lucciola della fortuna,it-IT
Bake-Danuki,Bake-danuki,it-IT
Bakedanuki,Bake-danuki,it-IT
Bakır Yeşili Işık Böceği,Luccinella malachitica,it-IT
Baleia de Barbatana Congelada,Balena pinnagelata,it-IT
Baleia de Barbatana Congelada do Luar,Balena pinnagelata lunare,it-IT
Baleine givreuse,Balena pinnagelata,it-IT
Baleine givreuse lunière,Balena pinnagelata lunare,it-IT
Balon Balığı,Pesce palla,it-IT
Bar plumé brûlant,Spigola Cuor di piuma ardente,it-IT
Bar plumé cordial de jade,Spigola Cuor di piuma color giada,it-IT
