source,target,tgt_lng
/s,/秒,zh-TW
/초,/秒,zh-TW
1 additional stack,一層,zh-TW
1回の配置につき、1回のみ発動可能,單次部署只觸發一次,zh-TW
2つ,戰術裝備,zh-TW
5 times,五次,zh-TW
5回,五次,zh-TW
5회,五次,zh-TW
6-hit combo,六連擊,zh-TW
6回攻撃,六連擊,zh-TW
6연 공격,六連擊,zh-TW
ASPD,攻擊速度,zh-TW
ASPD,攻擊速度略微,zh-TW
ASPD,自身攻擊速度,zh-TW
ASPD. The summons deal,召喚物傷害類型變為,zh-TW
ATK,攻擊力,zh-TW
ATK,自身攻擊力,zh-TW
ATK and Max HP increase after every battle,攻擊力和最大生命值,zh-TW
ATK until skill ends,持續到技能結束,zh-TW
ATK. If,若剩餘部署費用不小於,zh-TW
Advanced Armory Plug-in,高級戰術擴充,zh-TW
Allied units with,攻擊範圍內擁有,zh-TW
Anti-Witchcraft Repositionable Bomb,反巫術變位炸彈,zh-TW
AoE,群體,zh-TW
Applies,全場所有敵人,zh-TW
Arts Fragility,法術脆弱,zh-TW
Arts damage,法術傷害,zh-TW
Arts on the field at once,個法術,zh-TW
Attack Interval slightly,攻擊間隔略微,zh-TW
Attack Range,自身攻擊距離,zh-TW
Attack Range expands,攻擊範圍擴大,zh-TW
Attack range,攻擊距離,zh-TW
Attack range becomes,攻擊範圍改為自身周圍,zh-TW
Attacks 2 enemies simultaneously,攻擊時同時攻擊兩個目標,zh-TW
Attacks at most,同時攻擊至多,zh-TW
Attacks deal,攻擊造成相當於攻擊力,zh-TW
Attacks hit,改為同時攻擊,zh-TW
Attacks ignore,攻擊無視目標,zh-TW
Barrier,屏障,zh-TW
Barrier,點屏障,zh-TW
Become immune to,自身免疫,zh-TW
Bind,束縛,zh-TW
Block,阻擋數,zh-TW
Blocks the water flow,阻隔水流,zh-TW
Blood Amber,血珀,zh-TW
Bloodborn Spawn,新生血裔,zh-TW
Burn,灼燃損傷,zh-TW
Camouflage,迷彩,zh-TW
Can attack,自身可以攻擊,zh-TW
Charged,蓄力,zh-TW
Cherry-3,櫻桃三號,zh-TW
Cinder lasts until this skill expires,灼痕效果持續至技能結束,zh-TW
Class,職業,zh-TW
Clockwork Fowlbeast gains,發條羽獸攻擊速度,zh-TW
Clockwork Fowlbeasts gain,發條羽獸攻擊力,zh-TW
Cold,寒冷,zh-TW
Collects,從周圍每個敵方單位獲取,zh-TW
Corrosion,侵蝕損傷,zh-TW
Critically Wounded,重傷,zh-TW
DEF,部署後防禦力,zh-TW
DEF,防禦力,zh-TW
DEF (triggers once per deployment,單次部署只觸發一次,zh-TW
DP,點部署費用,zh-TW
Deals,對目標造成相當於攻擊力,zh-TW
Deployment Points ATK,點部署費用 攻擊力,zh-TW
Destroy to gain materials,擊破後可以獲得一些素材,zh-TW
Destroy to gain treasure,擊破後可以獲得一些寶物,zh-TW
Destroy to unlock hidden area,擊破後可解鎖隱藏區域,zh-TW
Does not stack,不疊加,zh-TW
Drifter based on damage received,漂流艇,zh-TW
Elemental Injury,元素損傷,zh-TW
Elite,精銳,zh-TW
Enemies will attack this drone first,敵人會優先攻擊此裝置,zh-TW
Enfeeble,虛弱,zh-TW
Equipment Alteration,裝備應變,zh-TW
Expert Facility Builders,高級設施建築工,zh-TW
Extends,略微延長特性,zh-TW
Extends,稍微延長特性,zh-TW
Facility Builders,設施建築工,zh-TW
Fear,恐懼,zh-TW
Foldable Facility Maintainer,城防屏障,zh-TW
Foldable Facility Maintainer,折疊設施維護員,zh-TW
Fragile,脆弱,zh-TW
Freeling,小自在,zh-TW
Frighten,戰慄,zh-TW
Frightened,戰慄,zh-TW
Frozen,凍結,zh-TW
Gains,擁有,zh-TW
Gains 1 Device on skill activation,技能開啟時獲得一個裝置,zh-TW
Gitano stops attacking for,技能時間結束後遠山停止攻擊,zh-TW
Gives 1 deployment slot after deployment,部署後增加一個部署位,zh-TW
Gradually generates,逐漸回復總共,zh-TW
Gradually recovers,期間逐漸回復,zh-TW
HP,生命值,zh-TW
HP increase stacks up to,生命加成最多疊加,zh-TW
HP per second instead,生命值,zh-TW
HP 증가 버프는 최대,生命加成最多疊加,zh-TW
HPが,不再以生命值低於,zh-TW
HPが現在値の,立即流失,zh-TW
HP가,不再以生命值低於,zh-TW
Healing range,治療範圍,zh-TW
If the equipped Operator is from Tier,裝備者若為,zh-TW
Immediately,立刻,zh-TW
Immediately fire an arrow that deals,立即發射箭矢對目標進行攻擊力,zh-TW
Immediately loses,立即流失,zh-TW
Immediately summons,立刻在攻擊範圍內召喚,zh-TW
Increase the maximum number of jumps to,攻擊最大彈跳次數提升至,zh-TW
Increases,提升,zh-TW
Increases the ATK of the next attack to,下次攻擊時攻擊力提升至,zh-TW
Increases the Max HP,最大生命值提升,zh-TW
Inflicts,對攻擊範圍內所有敵人施加,zh-TW
Initial,初始,zh-TW
Inspiration,鼓舞,zh-TW
Invisibility,隱匿,zh-TW
Invisible,隱匿,zh-TW
Laios's Party,萊歐斯小隊,zh-TW
Lazy Charge,怠惰裝藥,zh-TW
Levitates,浮空,zh-TW
Lower Level Test Area,下層測試區,zh-TW
Mana,魔力,zh-TW
Max HP,最大生命,zh-TW
Max HP,生命上限,zh-TW
Moves,移動,zh-TW
Necrosis,凋亡損傷,zh-TW
Nervous Impairment,神經損傷,zh-TW
Next attack strikes twice with,下一次攻擊變為攻擊力,zh-TW
Nyamu Yūtenji can,祐天寺若麥可以進行,zh-TW
Operator,幹員,zh-TW
Operator in the Deployment Waiting Zone,名幹員部署費用,zh-TW
Operator within range gains ATK,名幹員攻擊力,zh-TW
Overload,超載,zh-TW
Paralysis,麻痺,zh-TW
Performs,演奏出,zh-TW
Physical,物理,zh-TW
Physical and Arts Dodge,物理和法術閃避,zh-TW
Physical damage,物理傷害,zh-TW
Piano,鋼琴,zh-TW
Poison Mist Control Parameters,控制毒霧參數,zh-TW
RES,法術抗性,zh-TW
RES,點法術抗性,zh-TW
Randomly drops,立即對攻擊範圍內隨機投下,zh-TW
Range,攻擊範圍,zh-TW
Realigned Flux,重整束流,zh-TW
Redeployment Time,再部署時間,zh-TW
Releases Drone to attack enemies,釋放浮游單元鎖定敵人攻擊,zh-TW
Replenishes,補彈,zh-TW
Restore,恢復攻擊範圍內一名友方單位,zh-TW
Rhine Lab Operators,萊茵生命幹員,zh-TW
SP after deployment,技力,zh-TW
SP every,秒額外回復,zh-TW
SP recovery rate,技力自然回復速度,zh-TW
SP 자연 회복 속도,技力自然回復速度,zh-TW
SP自然回復速度,技力自然回復速度,zh-TW
Sanctuary,庇護,zh-TW
Shield,護盾,zh-TW
Shields,護盾,zh-TW
Shoots,下次攻擊變為,zh-TW
Significant,大幅度減小,zh-TW
Skill activation grants,技能擁有,zh-TW
Skill activation grants,攻擊裝有,zh-TW
Skill activation grants,裝有,zh-TW
Skills use,技能消耗,zh-TW
Sleep,沉睡,zh-TW
Slow,停頓,zh-TW
Sniper,狙擊幹員,zh-TW
Starting SP,初始技力,zh-TW
Starts cooking and stops attacking for,開始烹飪,zh-TW
Stops attacking,停止攻擊,zh-TW
Support Device,個支援裝置,zh-TW
Tactical Equipment,戰術裝備,zh-TW
Takes Off,起飛,zh-TW
Talent 1 activation chance increases to,第一天賦觸發機率提升至,zh-TW
Tenacity,堅忍,zh-TW
The duration of the Talent's,天賦,zh-TW
The next attack deals,下一次攻擊造成相當於攻擊力,zh-TW
The next attack deals,下次攻擊造成攻擊力,zh-TW
The next attack deals an additional,下次攻擊額外造成攻擊力,zh-TW
The next attack has,下一次攻擊濺射範圍,zh-TW
The next attack shoots,下次攻擊時連續射擊,zh-TW
The next attack targets,下次攻擊額外攻擊,zh-TW
Training Handbooks,培訓手冊,zh-TW
Trait Max drone damage increased to,特性浮游單元傷害上限提升至,zh-TW
Trait effect increased by,特性提升至,zh-TW
Trait effect increases to,自身特性效果提高至,zh-TW
Triggers the Vengeance status,觸發復仇狀態,zh-TW
True,真實,zh-TW
True damage every second,點真實傷害,zh-TW
Unlimited duration,持續時間無限,zh-TW
Vigor,精力充沛,zh-TW
Weakness damage,弱點傷害,zh-TW
Weightless,失重,zh-TW
When inflicting,對敵人造成,zh-TW
Whenever an enemy triggers a,全場有敵人,zh-TW
additional bullet(s,發子彈,zh-TW
additional times,次,zh-TW
all,全部,zh-TW
all enemies within Attack Range are put to,攻擊範圍內所有敵人全部進入,zh-TW
allied units instead of attacking,友方單位,zh-TW
allies by,名友方單位恢復相當於傷害量,zh-TW
ammo,發彈藥,zh-TW
ammo,顆彈藥,zh-TW
ammo to resist the damage,發彈藥抵擋此次傷害,zh-TW
any,任意,zh-TW
attack range increases,範圍擴大,zh-TW
attack target count,攻擊目標數,zh-TW
attacks Silence the target for,攻擊目標失去特殊能力,zh-TW
attacks cannot be dodged,攻擊無法被閃避,zh-TW
attacks continuously lock onto,持續鎖定,zh-TW
attacks deal,攻擊時傷害類型變為,zh-TW
attacks deal,攻擊造成攻擊力,zh-TW
attacks deal an additional,攻擊附帶造成法術傷害,zh-TW
attacks have increased splash area,攻擊濺射範圍擴大,zh-TW
attacks hit,攻擊變為,zh-TW
auto-activated,自動釋放,zh-TW
boomerang projectiles deal,迴旋投射物造成相當於攻擊力,zh-TW
burst,爆發結束,zh-TW
but ASPD,但攻擊速度,zh-TW
but no longer targets enemies below,不再以生命值低於,zh-TW
cannot attack,無法攻擊,zh-TW
chance of triggering an additional heal,機率額外治療一次,zh-TW
chance to inflict,機率造成,zh-TW
chance to refund half the SP cost,機率立即回復一半技力,zh-TW
changes,改變,zh-TW
changing the Hui-Ming Attribute,屬性變化,zh-TW
continuously attack,持續攻擊,zh-TW
deals an additional,爆發期間則額外造成攻擊力,zh-TW
deals damage an extra time,額外一次傷害,zh-TW
deployment slots,個部署位,zh-TW
duration,持續時間,zh-TW
effect of Talent 1 by,獲取效果提升,zh-TW
enemies,個敵人,zh-TW
enemies,個敵人間跳躍,zh-TW
enemies,個敵方單位,zh-TW
enemies at once,名敵人,zh-TW
enemies within range,個敵人發射熔岩,zh-TW
expands,擴大,zh-TW
expands forward and to both sides,朝前方和兩側擴大,zh-TW
expands significantly,大幅度擴大,zh-TW
expands significantly,更加擴大,zh-TW
expands slightly,略微擴大,zh-TW
explosion area and increasing ATK to,攻擊力提升至,zh-TW
from Trait,時間延長,zh-TW
gain,疊加,zh-TW
gains,爆發時獲得,zh-TW
gains,自身獲得,zh-TW
greatly,較大力地,zh-TW
greatly,較大力度,zh-TW
greatly,較大力度地,zh-TW
greatly increased,大幅增大,zh-TW
greatly increased,大幅擴大,zh-TW
greatly reduced,大幅降低,zh-TW
half,一半,zh-TW
heals,治療,zh-TW
heals,額外治療,zh-TW
hit combos,連擊,zh-TW
if the equipped Operator also has,當裝備者同時裝備,zh-TW
increases,加長,zh-TW
