source,target,tgt_lng
"""A Sombra da Meia-Noite""",「真夜中の影」,ja-JP
"""Além dos penhascos, um caminho no céu alcança os quatro sinos.""",「丘渓開き、懸橋は天を渡り四方に轟く」,ja-JP
"""Aqueles Superiores""",「あの方々」,ja-JP
"""Até a Próxima""",「また会う日まで」,ja-JP
"""Automata Elder's Workbook""",『千機老人の宿題帳』,ja-JP
"""Because of you, this song has never fallen silent.""",「君ゆえに、想いは尽きず」,ja-JP
"""Beyond the cliffs, a sky path reaches the four chimes.""",「丘渓開き、懸橋は天を渡り四方に轟く」,ja-JP
"""Bolsa das Maravilhas de Qingxu""",「青虚如意袋」,ja-JP
"""Deinetwegen ist dieses Lied nie verstummt.""",「君ゆえに、想いは尽きず」,ja-JP
"""Encore! Encore! Encore!""",「アンコール！アンコール！アンコール！」,ja-JP
"""Esta mesma lua já brilhou sobre os antigos.""",「今宵のこの月は、かつて昔の人々を照らしていた」,ja-JP
"""Honor the past, and press onward, even in the face of death.""",「往昔を継ぎ、生路を拓く」,ja-JP
"""Honre o que foi; viva em direção à morte.""",「往昔を継ぎ、生路を拓く」,ja-JP
"""Lionarch ไร้หัว"" ที่ว่านั้น แท้จริงแล้วคืออะไร?",その正体は、実は？,ja-JP
"""Livro de Exercícios do Ancião Autômato""",『千機老人の宿題帳』,ja-JP
"""Nightmare"" Incursion",「悪夢」襲来,ja-JP
"""Novo dia, mesma dor""",新たな日、古い傷跡,ja-JP
"""Paz e prosperidade""",「太平有象」,ja-JP
"""Peace and Prosperity""",「太平有象」,ja-JP
"""Por sua causa, esta canção nunca se calou.""",「君ゆえに、想いは尽きず」,ja-JP
"""Qingxu Pouch of Wonders""",「青虚如意袋」,ja-JP
"""The Midnight Shadow""",「真夜中の影」,ja-JP
"""This same moon once shone upon the ancients.""",「今宵のこの月は、かつて昔の人々を照らしていた」,ja-JP
"""Those Higher-ups""",「あの方々」,ja-JP
"""Until We Meet Again""",「また会う日まで」,ja-JP
"""{PlayerName}""的溯言",「{PlayerName}」の遡言,ja-JP
"""{PlayerName}""의 메모",「{PlayerName}」の遡言,ja-JP
"""กวาดล้าง"": ฟื้นฟูพลังงานจำแลงร่าง {0} หน่วย",「殲滅」：擬形エネルギーを{0}Pt獲得する。,ja-JP
"""การทดลอง"" ครั้งนี้ ได้เดินทางมาถึงบทสรุปแล้ว",「実験」も、終わりを告げる頃合いだ。,ja-JP
"""จันทราในวันนี้เคยสาดส่องผู้คนในวันวาน""",「今宵のこの月は、かつて昔の人々を照らしていた」,ja-JP
"""จิตข่มขวัญ"": ความเสียหายที่ได้รับลดลง {0}",「威圧」：被ダメージが{0}軽減される。,ja-JP
"""จิตข่มขวัญ"": ความเสียหายที่ได้รับลดลง {0}%",「威圧」：被ダメージが{0}%軽減される。,ja-JP
"""จิตข่มขวัญ"": ความเสียหายสกิลเรโซแนนซ์เพิ่มขึ้น {0}%",「威圧」：共鳴スキルダメージが{0}%アップ。,ja-JP
"""ถุงสมประสงค์ชิงซวี""",「青虚如意袋」,ja-JP
"""ทิวเขาลำธารดั่งม่านเปิดถ้ำขยาย สะพานแขวนลอยฟ้าก้องกังวานทั่วทิศ""",「丘渓開き、懸橋は天を渡り四方に轟く」,ja-JP
"""นายท่านเหล่านั้น""",「あの方々」,ja-JP
"""ผู้สดับสุรเสียง""",「声を祀りし者」,ja-JP
"""ฝันร้าย"" จู่โจม",「悪夢」襲来,ja-JP
"""ยืนหยัด"": Crit. Rate เพิ่มขึ้น {0}",「不屈」：クリティカル率が{0}アップ。,ja-JP
"""ยืนหยัด"": ความเสียหายที่ได้รับลดลง {0}",「不屈」：被ダメージが{0}軽減される。,ja-JP
"""ยืนหยัด"": ความเสียหายที่ได้รับลดลง {0}%",「不屈」：被ダメージが{0}%軽減される。,ja-JP
"""ยืนหยัด"": ความเสียหายสกิลเรโซแนนซ์เพิ่มขึ้น {0}%",「不屈」：共鳴スキルダメージが{0}%アップ。,ja-JP
"""ยืนหยัด"": ความเสียหายเพิ่มขึ้น {0}%",「不屈」：ダメージが{0}%アップ。,ja-JP
"""ศุภมงคล""",「太平有象」,ja-JP
"""สมุดการบ้านของจอมยุทธ์พันกล""",『千機老人の宿題帳』,ja-JP
"""สืบสานอดีตเบิกทางสู่อนาคต เผชิญความตายเพื่อก่อเกิดชีวิตใหม่""",「往昔を継ぎ、生路を拓く」,ja-JP
"""เงาดำยามวิกาล""",「真夜中の影」,ja-JP
"""เพียงเพื่อเธอ ฉันจึงเฝ้าคะนึงหาตราบจนบัดนี้""",「君ゆえに、想いは尽きず」,ja-JP
"""เอาอีกเพลง! เล่นอีก! เล่นอีก!""",「アンコール！アンコール！アンコール！」,ja-JP
"""แล้วพบกันใหม่นะ""",「また会う日まで」,ja-JP
"(EN) Bring sie zu mir, jene zurückgelassenen Wünsche...",（英）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(EN) Confíame esos deseos que quedaron atrás...,（英）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(EN) Donnez-les-moi, ces souhaits abandonnés...",（英）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(EN) ให้ฉันรับความปรารถนาทั้งหมดที่หลงเหลืออยู่ในโลกนี้...,（英）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(JP) Bring sie zu mir, jene zurückgelassenen Wünsche...",（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(JP) Confíame esos deseos que quedaron atrás...,（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(JP) Deixe-os comigo, esses desejos que foram deixados para trás...",（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(JP) Donnez-les-moi, ces souhaits abandonnés...",（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(JP) Lay them on me, those wishes that have been left behind...",（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(JP) ให้ฉันรับความปรารถนาทั้งหมดที่หลงเหลืออยู่ในโลกนี้..,（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(KR) Bring sie zu mir, jene zurückgelassenen Wünsche...",（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(KR) Confíame esos deseos que quedaron atrás...,（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(KR) Deixe-os comigo, esses desejos que foram deixados para trás...",（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(KR) Donnez-les-moi, ces souhaits abandonnés...",（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(KR) Lay them on me, those wishes that have been left behind...",（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(KR) ให้ฉันรับความปรารถนาทั้งหมดที่หลงเหลืออยู่ในโลกนี้..,（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
(Remaining: {0}),（残り：{0}）,ja-JP
(Restant : {0}),（残り：{0}）,ja-JP
(Restante: {0}),（残り：{0}）,ja-JP
(Verbleibend: {0}),（残り：{0}）,ja-JP
(เหลือ: {0}),（残り：{0}）,ja-JP
(남은 횟수: {0}),（残り：{0}）,ja-JP
"(영어) 세상에 남겨진 그 모든 염원들을, 제가 이어받겠습니다...",（英）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(일본어) 세상에 남겨진 그 모든 염원들을, 제가 이어받겠습니다...",（日）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(중국어) 세상에 남겨진 그 모든 염원들을, 제가 이어받겠습니다...",妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"(한국어) 세상에 남겨진 그 모든 염원들을, 제가 이어받겠습니다...",（韓）妾が受け継ごう、この世に遺された数多の願いを……,ja-JP
"+{0} Zonen, in denen ein Verbrauchsmaterial aktiv bleibt.",消費アイテムの効果持続エリア数+{0}。,ja-JP
... Ich setze mich ganz bestimmt NICHT darauf!,……絶対に乗らないから！,ja-JP
... Warum kämpfen sie?,……この子たち、どうしてケンカしてるチュ？,ja-JP
... Was für ein intensiver Austausch an Kochkünsten.,……ずいぶん激しい料理の交流チュ。,ja-JP
... 난 절대 이거 안 탈 거야!,……絶対に乗らないから！,ja-JP
... 쟤들은 왜 싸우는 거야?,……この子たち、どうしてケンカしてるチュ？,ja-JP
... 정말 격렬한 요리 교류였어,……ずいぶん激しい料理の交流チュ。,ja-JP
...Eu definitivamente NÃO vou sentar nisso!,……絶対に乗らないから！,ja-JP
...I'm definitely NOT sitting on this!,……絶対に乗らないから！,ja-JP
...Je ne vais certainement PAS m'asseoir là-dessus !,……絶対に乗らないから！,ja-JP
...Por que eles estão brigando?,……この子たち、どうしてケンカしてるチュ？,ja-JP
...Que troca intensa de técnicas culinárias.,……ずいぶん激しい料理の交流チュ。,ja-JP
...What an intense exchange of culinary techniques.,……ずいぶん激しい料理の交流チュ。,ja-JP
...Why are they fighting?,……この子たち、どうしてケンカしてるチュ？,ja-JP
...ฉันไม่มีทางนั่งเจ้านี่เด็ดขาด!,……絶対に乗らないから！,ja-JP
...ทำไมพวกเธอถึงตีกันล่ะ?,……この子たち、どうしてケンカしてるチュ？,ja-JP
...เป็นการแลกเปลี่ยนฝีมือทำอาหารที่ดุเดือดจริงๆ,……ずいぶん激しい料理の交流チュ。,ja-JP
/ {0},/{0},ja-JP
/3,{0}/3,ja-JP
"01. ""O Desaparecimento de Rover""",01.「漂泊者失踪事件」,ja-JP
"01. ""Rover's Disappearance""",01.「漂泊者失踪事件」,ja-JP
"01. ""เหตุผู้พเนจรหายตัวไป""",01.「漂泊者失踪事件」,ja-JP
01. Al Ministerio de Fomento,01.天工部へ向かう,ja-JP
01. Au Ministèredu Développement,01.天工部へ向かう,ja-JP
01. Der Autopuppen-Käufer,01.機傀の買い手,ja-JP
01. Der nächtliche Angriff,01.深夜の襲撃事件,ja-JP
01. Der verdächtige Ausreißer,01.不審な逃亡者,ja-JP
01. Die streunende Autopuppe,01.行方不明の機傀,ja-JP
01. Die ungehorsame Autopuppe,01.仕事をサボる機傀,ja-JP
01. El Títere ausente,01.仕事をサボる機傀,ja-JP
01. El Títere perdido,01.行方不明の機傀,ja-JP
01. El asalto de medianoche,01.深夜の襲撃事件,ja-JP
01. El comprador de Títeres,01.機傀の買い手,ja-JP
01. Ins Entwicklungsministerium,01.天工部へ向かう,ja-JP
01. L'acheteur d'automate,01.機傀の買い手,ja-JP
01. L'assaut nocturne,01.深夜の襲撃事件,ja-JP
01. L'automate errant,01.行方不明の機傀,ja-JP
01. L'automate fugueur,01.仕事をサボる機傀,ja-JP
01. La desaparición de Errante,01.「漂泊者失踪事件」,ja-JP
01. La sospechosa fuga,01.不審な逃亡者,ja-JP
01. Le fugitif suspect,01.不審な逃亡者,ja-JP
01. O Ataque Noturno,01.深夜の襲撃事件,ja-JP
01. O Comprador de Maquinetes,01.機傀の買い手,ja-JP
01. O Fugitivo Suspeito,01.不審な逃亡者,ja-JP
01. O Maquinete Faltoso,01.仕事をサボる機傀,ja-JP
01. O Maquinete Perdido,01.行方不明の機傀,ja-JP
01. Para o Ministério do Desenvolvimento,01.天工部へ向かう,ja-JP
01. The Autopuppet Buyer,01.機傀の買い手,ja-JP
01. The Late-Night Assault,01.深夜の襲撃事件,ja-JP
01. The Stray Autopuppet,01.行方不明の機傀,ja-JP
01. The Suspicious Runaway,01.不審な逃亡者,ja-JP
01. The Truant Autopuppet,01.仕事をサボる機傀,ja-JP
01. To the Ministry of Development,01.天工部へ向かう,ja-JP
01. « La disparition de Nomade »,01.「漂泊者失踪事件」,ja-JP
01. ผู้ซื้อหุ่นกล,01.機傀の買い手,ja-JP
01. ผู้หลบหนีที่น่าสงสัย,01.不審な逃亡者,ja-JP
01. มุ่งหน้าไปที่กระทรวงการพัฒนา,01.天工部へ向かう,ja-JP
01. หุ่นกลที่หลงหาย,01.行方不明の機傀,ja-JP
01. หุ่นกลที่แอบโดดงาน,01.仕事をサボる機傀,ja-JP
01. เหตุลอบโจมตียามวิกาล,01.深夜の襲撃事件,ja-JP
01. 「방랑자 실종 사건」,01.「漂泊者失踪事件」,ja-JP
01. 기관 인형 구매자,01.機傀の買い手,ja-JP
01. 땡땡이친 기관 인형,01.仕事をサボる機傀,ja-JP
01. 수상한 도망자,01.不審な逃亡者,ja-JP
01. 실종된 기관 인형,01.行方不明の機傀,ja-JP
01. 심야 습격 사건,01.深夜の襲撃事件,ja-JP
01. 천공부로 이동,01.天工部へ向かう,ja-JP
01.“漂泊者失踪事件”,01.「漂泊者失踪事件」,ja-JP
01.「漂泊者失蹤事件」,01.「漂泊者失踪事件」,ja-JP
01.前往天工部,01.天工部へ向かう,ja-JP
01.可疑的潛逃者,01.不審な逃亡者,ja-JP
01.可疑的潜逃者,01.不審な逃亡者,ja-JP
01.机傀买家,01.機傀の買い手,ja-JP
01.機傀買家,01.機傀の買い手,ja-JP
01.深夜袭击事件,01.深夜の襲撃事件,ja-JP
01.深夜襲擊事件,01.深夜の襲撃事件,ja-JP
01.走失的机傀,01.行方不明の機傀,ja-JP
01.走失的機傀,01.行方不明の機傀,ja-JP
01.跷班的机傀,01.仕事をサボる機傀,ja-JP
01.蹺班的機傀,01.仕事をサボる機傀,ja-JP
02. 4명의 용의자 심문,02.4人の容疑者に話を聞く,ja-JP
02. A Resident's Tip,02.住民からの手がかり,ja-JP
02. A Sombra Desconhecida,02.正体不明の影,ja-JP
02. A Sudden Quarrel,02.突然の口論,ja-JP
02. Befragung der vier Verdächtigen,02.4人の容疑者に話を聞く,ja-JP
02. Clues Emerge,02.現れる手がかり,ja-JP
02. Das Phantom in der Kammer,02.囿間の虚影,ja-JP
02. Der unbekannte Schatten,02.正体不明の影,ja-JP
02. Dica de um Residente,02.住民からの手がかり,ja-JP
02. Ein Hinweis eines Bewohners,02.住民からの手がかり,ja-JP
02. Ein plötzlicher Streit,02.突然の口論,ja-JP
02. El fantasma en la cámara,02.囿間の虚影,ja-JP
02. Enquêter sur l'acheteur,02.買い手の調査,ja-JP
02. Ermittle den Käufer,02.買い手の調査,ja-JP
02. Hinweise tauchen auf,02.現れる手がかり,ja-JP
02. Indice venu d'un citoyen,02.住民からの手がかり,ja-JP
02. Indices trouvés,02.現れる手がかり,ja-JP
02. Interrogación de los cuatro sospechosos,02.4人の容疑者に話を聞く,ja-JP
02. Interrogatório dos Quatro Suspeitos,02.4人の容疑者に話を聞く,ja-JP
02. Interroger les quatre suspects,02.4人の容疑者に話を聞く,ja-JP
02. Investigar al comprador,02.買い手の調査,ja-JP
02. Investigate the Buyer,02.買い手の調査,ja-JP
02. Investigue o Comprador,02.買い手の調査,ja-JP
02. L'ombre inconnue,02.正体不明の影,ja-JP
02. La silhouette dans la chambre,02.囿間の虚影,ja-JP
02. La sombra desconocida,02.正体不明の影,ja-JP
02. Las pistas salen a la luz,02.現れる手がかり,ja-JP
