category,source,target,tgt_lng
01_character,灵魂伴侣,魂の伴侶,ja-JP
01_character,Soulmate,魂の伴侶,ja-JP
01_character,영혼단짝,魂の伴侶,ja-JP
01_character,靈魂伴侶,魂の伴侶,ja-JP
01_character,珀尔娜&维嘉尔,ヴェルナー&ヴェルジュ,ja-JP
01_character,Bernina & Virigia,ヴェルナー&ヴェルジュ,ja-JP
01_character,베르너&베르주,ヴェルナー&ヴェルジュ,ja-JP
01_character,珀爾娜&維嘉爾,ヴェルナー&ヴェルジュ,ja-JP
01_character,情人节雾语,ミスティ,ja-JP
01_character,Valentine's Day Mistique,ミスティ,ja-JP
01_character,발렌타인 미스티,ミスティ,ja-JP
01_character,情人節霧語,ミスティ,ja-JP
01_character,薇洛,ウィロー,ja-JP
01_character,Willow,ウィロー,ja-JP
01_character,윌로,ウィロー,ja-JP
01_character,布洛克,ブロッチ,ja-JP
01_character,Bloc,ブロッチ,ja-JP
01_character,블롯치,ブロッチ,ja-JP
01_character,布洛可,ブロッチ,ja-JP
01_character,彼岸,カナタ,ja-JP
01_character,Horizon,カナタ,ja-JP
01_character,카나타,カナタ,ja-JP
01_character,伊织,イオリ,ja-JP
01_character,Iori,イオリ,ja-JP
01_character,이오리,イオリ,ja-JP
01_character,伊織,イオリ,ja-JP
01_character,琥珀,コハク,ja-JP
01_character,Amber,コハク,ja-JP
01_character,코하쿠,コハク,ja-JP
01_character,缇莉娅,ティリア,ja-JP
01_character,Tilia,ティリア,ja-JP
01_character,틸리아,ティリア,ja-JP
01_character,緹莉婭,ティリア,ja-JP
01_character,卡西米拉,カシミラ,ja-JP
01_character,Kasimira,カシミラ,ja-JP
01_character,카시미라,カシミラ,ja-JP
01_character,翡冷翠,フィレン,ja-JP
01_character,Firenze,フィレン,ja-JP
01_character,피렌,フィレン,ja-JP
01_character,鸢尾,アヤメ,ja-JP
01_character,Iris,アヤメ,ja-JP
01_character,아야메,アヤメ,ja-JP
01_character,鳶尾,アヤメ,ja-JP
01_character,尘沙,セイナ,ja-JP
01_character,Noya,セイナ,ja-JP
01_character,세이나,セイナ,ja-JP
01_character,塵沙,セイナ,ja-JP
01_character,师渺,シーミャオ,ja-JP
01_character,Shimiao,シーミャオ,ja-JP
01_character,시먀오,シーミャオ,ja-JP
01_character,師渺,シーミャオ,ja-JP
01_character,猫眼,シャトン,ja-JP
01_character,Chaton,シャトン,ja-JP
01_character,샤통,シャトン,ja-JP
01_character,貓眼,シャトン,ja-JP
01_character,火垂,ホタル,ja-JP
01_character,Firefly,ホタル,ja-JP
01_character,호타루,ホタル,ja-JP
01_character,岭川,レイセン,ja-JP
