id,term,src_table
Item.1,啟動石碎片,items.json
Item.2,加成券,items.json
Item.3,啟動石,items.json
Item.7,總力戰硬幣,items.json
Item.8,戰術硬幣,items.json
Item.9,高級總力戰硬幣,items.json
Item.10,初級活動報告,items.json
Item.11,一般活動報告,items.json
Item.12,高級活動報告,items.json
Item.13,最高級活動報告,items.json
Item.23,神名文字碎片,items.json
Item.30,咖啡廳設備核心 LV1,items.json
Item.31,咖啡廳設備核心 LV2,items.json
Item.32,咖啡廳設備核心 LV3,items.json
Item.60,綜合戰術考試硬幣,items.json
Item.61,懸賞通緝硬幣,items.json
Item.70,大決戦コイン,items.json
Item.71,大決戦レアコイン,items.json
Item.80,下級合成用啟動石,items.json
Item.81,一般合成用啟動石,items.json
Item.82,高級合成用啟動石,items.json
Item.83,最高級合成用啟動石,items.json
Item.90,下級製造用原料,items.json
Item.91,一般製造用原料,items.json
Item.92,高級製造用原料,items.json
Item.100,內布拉盤碎片,items.json
Item.101,破損的內布拉盤,items.json
Item.102,磨損的內布拉盤,items.json
Item.103,完整的內布拉盤,items.json
Item.110,斐斯托斯圓盤碎片,items.json
Item.111,破損的斐斯托斯圓盤,items.json
Item.112,磨損的斐斯托斯圓盤,items.json
Item.113,完整的斐斯托斯圓盤,items.json
Item.120,沃普賽克鐵礦,items.json
Item.121,沃普賽克鐵塊,items.json
Item.122,低純度沃普賽克鋼鐵,items.json
Item.123,高純度沃普賽克鋼鐵,items.json
Item.130,尼姆魯德透鏡碎片,items.json
Item.131,破損的尼姆魯德透鏡,items.json
Item.132,磨損的尼姆魯德透鏡,items.json
Item.133,完整的尼姆魯德透鏡,items.json
Item.140,曼陀羅草種子,items.json
Item.141,曼陀羅草新芽,items.json
Item.142,曼陀羅草汁,items.json
Item.143,曼陀羅草濃縮液,items.json
Item.150,羅洪特抄本書頁,items.json
Item.151,毀損的羅洪特抄本,items.json
Item.152,編輯過的羅洪特抄本,items.json
Item.153,完整的羅洪特抄本,items.json
Item.160,乙太粉末,items.json
Item.161,乙太碎片,items.json
Item.162,乙太結晶,items.json
Item.163,乙太精髓,items.json
Item.170,安迪基西拉裝置碎片,items.json
Item.171,破損的安迪基西拉裝置,items.json
Item.172,磨損的安迪基西拉裝置,items.json
Item.173,完整的安迪基西拉裝置,items.json
Item.180,伏尼契手稿書頁,items.json
Item.181,毀損的伏尼契手稿,items.json
Item.182,編輯過的伏尼契手稿,items.json
Item.183,完整的伏尼契手稿,items.json
Item.190,水晶埴輪碎片,items.json
Item.191,破損的水晶埴輪,items.json
Item.192,修好的水晶埴輪,items.json
Item.193,完整的水晶埴輪,items.json
Item.200,圖騰柱碎片,items.json
Item.201,破損的圖騰柱,items.json
Item.202,修復的圖騰柱,items.json
Item.203,完好的圖騰柱,items.json
Item.210,古代電池碎片,items.json
Item.211,破損的古代電池,items.json
Item.212,磨損的古代電池,items.json
Item.213,完整的古代電池,items.json
Item.220,黃金羊毛,items.json
Item.221,黃金毛線,items.json
Item.222,黃金羊毛織物,items.json
Item.223,黃金連身裙,items.json
Item.230,長髮娃娃碎片,items.json
Item.231,破損的長髮娃娃,items.json
Item.232,修復的長髮娃娃,items.json
Item.233,完整的長髮娃娃,items.json
Item.240,圓盤墜飾碎片,items.json
Item.241,破損的圓盤墜飾,items.json
Item.242,修好的圓盤墜飾,items.json
Item.243,完好的圓盤墜飾,items.json
Item.250,亞特蘭提斯徽章碎片,items.json
Item.251,破損的亞特蘭提斯徽章,items.json
Item.252,磨耗的亞特蘭提斯徽章,items.json
Item.253,完好的亞特蘭提斯徽章,items.json
Item.260,羅馬十二面體碎片,items.json
Item.261,破損的羅馬十二面體,items.json
Item.262,修好的羅馬十二面體,items.json
Item.263,完好的羅馬十二面體,items.json
Item.290,溫尼珀索基石頭碎片,items.json
Item.291,破損的溫尼珀索基石頭,items.json
Item.292,磨耗的溫尼珀索基石頭,items.json
Item.293,完好的溫尼珀索基石頭,items.json
Item.3000,基礎戰術教育BD (百鬼夜行),items.json
Item.3001,一般戰術教育BD (百鬼夜行),items.json
Item.3002,高級戰術教育BD (百鬼夜行),items.json
Item.3003,最高級戰術教育BD (百鬼夜行),items.json
Item.3010,基礎戰術教育BD (赤冬),items.json
Item.3011,一般戰術教育BD (赤冬),items.json
Item.3012,高級戰術教育BD (赤冬),items.json
Item.3013,最高級戰術教育BD (赤冬),items.json
Item.3020,基礎戰術教育BD (三一),items.json
Item.3021,一般戰術教育BD (三一),items.json
Item.3022,高級戰術教育BD (三一),items.json
Item.3023,最高級戰術教育BD (三一),items.json
Item.3030,基礎戰術教育BD (格黑娜),items.json
Item.3031,一般戰術教育BD (格黑娜),items.json
Item.3032,高級戰術教育BD (格黑娜),items.json
Item.3033,最高級戰術教育BD (格黑娜),items.json
Item.3040,基礎戰術教育BD (阿拜多斯),items.json
Item.3041,一般戰術教育BD (阿拜多斯),items.json
Item.3042,高級戰術教育BD (阿拜多斯),items.json
Item.3043,最高級戰術教育BD (阿拜多斯),items.json
Item.3050,基礎戰術教育BD (千年),items.json
Item.3051,一般戰術教育BD (千年),items.json
Item.3052,高級戰術教育BD (千年),items.json
Item.3053,最高級戰術教育BD (千年),items.json
Item.3060,基礎戰術教育BD (奧利斯),items.json
Item.3061,一般戰術教育BD (奧利斯),items.json
Item.3062,高級戰術教育BD (奧利斯),items.json
Item.3063,最高級戰術教育BD (奧利斯),items.json
Item.3070,基礎戰術教育BD (山海經),items.json
Item.3071,一般戰術教育BD (山海經),items.json
Item.3072,高級戰術教育BD (山海經),items.json
Item.3073,最高級戰術教育BD (山海經),items.json
Item.3080,基礎戰術教育BD (女武神),items.json
Item.3081,一般戰術教育BD (女武神),items.json
Item.3082,高級戰術教育BD (女武神),items.json
Item.3083,最高級戰術教育BD (女武神),items.json
Item.4000,基礎技術筆記 (百鬼夜行),items.json
Item.4001,一般技術筆記 (百鬼夜行),items.json
Item.4002,高級技術筆記 (百鬼夜行),items.json
Item.4003,最高級技術筆記 (百鬼夜行),items.json
Item.4010,基礎技術筆記 (赤冬),items.json
Item.4011,一般技術筆記 (赤冬),items.json
Item.4012,高級技術筆記 (赤冬),items.json
Item.4013,最高級技術筆記 (赤冬),items.json
Item.4020,基礎技術筆記 (三一),items.json
Item.4021,一般技術筆記 (三一),items.json
Item.4022,高級技術筆記 (三一),items.json
Item.4023,最高級技術筆記 (三一),items.json
Item.4030,基礎技術筆記 (格黑娜),items.json
Item.4031,一般技術筆記 (格黑娜),items.json
Item.4032,高級技術筆記 (格黑娜),items.json
Item.4033,最高級技術筆記 (格黑娜),items.json
Item.4040,基礎技術筆記 (阿拜多斯),items.json
Item.4041,一般技術筆記 (阿拜多斯),items.json
Item.4042,高級技術筆記 (阿拜多斯),items.json
Item.4043,最高級技術筆記 (阿拜多斯),items.json
Item.4050,基礎技術筆記 (千年),items.json
Item.4051,一般技術筆記 (千年),items.json
Item.4052,高級技術筆記 (千年),items.json
Item.4053,最高級技術筆記 (千年),items.json
Item.4060,基礎技術筆記 (奧利斯),items.json
Item.4061,一般技術筆記 (奧利斯),items.json
Item.4062,高級技術筆記 (奧利斯),items.json
Item.4063,最高級技術筆記 (奧利斯),items.json
Item.4070,基礎技術筆記 (山海經),items.json
Item.4071,一般技術筆記 (山海經),items.json
Item.4072,高級技術筆記 (山海經),items.json
Item.4073,最高級技術筆記 (山海經),items.json
Item.4080,基礎技術筆記 (女武神),items.json
Item.4081,一般技術筆記 (女武神),items.json
Item.4082,高級技術筆記 (女武神),items.json
Item.4083,最高級技術筆記 (女武神),items.json
Item.7001,作戰數據1：D Type,items.json
Item.9998,奧秘之書碎片,items.json
Item.9999,奧秘之書,items.json
Item.10000,亞瑠的神名文字,items.json
Item.10001,英美的神名文字,items.json
Item.10002,羽留奈的神名文字,items.json
Item.10003,日步美的神名文字,items.json
Item.10004,陽奈的神名文字,items.json
Item.10005,星野的神名文字,items.json
Item.10006,伊織的神名文字,items.json
Item.10007,真紀的神名文字,items.json
Item.10008,寧瑠的神名文字,items.json
Item.10009,泉的神名文字,items.json
Item.10010,白子的神名文字,items.json
Item.10011,旬的神名文字,items.json
Item.10012,堇的神名文字,items.json
Item.10013,弦生的神名文字,items.json
Item.10014,伊樹菜的神名文字,items.json
Item.10015,愛麗絲的神名文字,items.json
Item.10016,綠的神名文字,items.json
Item.10017,潔莉諾的神名文字,items.json
Item.10018,柚子的神名文字,items.json
Item.10019,梓的神名文字,items.json
Item.10020,小春的神名文字,items.json
Item.10021,梓(泳裝)的神名文字,items.json
Item.10022,陽奈(泳裝)的神名文字,items.json
Item.10023,伊織(泳裝)的神名文字,items.json
Item.10024,白子(單車)的神名文字,items.json
Item.10025,旬(幼女)的神名文字,items.json
Item.10026,寧瑠(兔女郎)的神名文字,items.json
Item.10027,花凛(兔女郎)的神名文字,items.json
Item.10028,明日奈(兔女郎)的神名文字,items.json
Item.10029,夏的神名文字,items.json
Item.10030,千夏(溫泉)的神名文字,items.json
Item.10031,亞瑠(正月)的神名文字,items.json
Item.10032,無月(正月)的神名文字,items.json
Item.10033,若藻的神名文字,items.json
Item.10034,三森的神名文字,items.json
Item.10035,憂的神名文字,items.json
Item.10036,日向的神名文字,items.json
Item.10037,瑪麗娜的神名文字,items.json
Item.10038,都子的神名文字,items.json
Item.10039,美優的神名文字,items.json
Item.10040,月夜的神名文字,items.json
Item.10041,美咲的神名文字,items.json
Item.10042,敦子的神名文字,items.json
Item.10043,若藻(泳裝)的神名文字,items.json
Item.10044,野乃美(泳裝)的神名文字,items.json
Item.10045,星野(泳裝)的神名文字,items.json
Item.10046,伊樹菜(泳裝)的神名文字,items.json
Item.10047,知世(泳裝)的神名文字,items.json
Item.10048,沙織的神名文字,items.json
Item.10049,千紗的神名文字,items.json
Item.10050,心菜的神名文字,items.json
Item.10051,詠葉(應援團)的神名文字,items.json
Item.10052,乃愛的神名文字,items.json
Item.10053,優香(體育服)的神名文字,items.json
Item.10054,瑪麗(體育服)的神名文字,items.json
Item.10055,時雨的神名文字,items.json
Item.10056,芹奈(聖誕節)的神名文字,items.json
Item.10057,羽留奈(正月)的神名文字,items.json
Item.10058,美禰的神名文字,items.json
Item.10059,彌香的神名文字,items.json
Item.10060,惠的神名文字,items.json
Item.10061,櫻子的神名文字,items.json
Item.10062,季的神名文字,items.json
Item.10063,小雪的神名文字,items.json
Item.10064,カヨコ（正月）の神名文字,items.json
Item.10065,カホの神名文字,items.json
Item.10066,アリス（メイド）の神名文字,items.json
Item.10067,トキ（バニーガール）の神名文字,items.json
Item.10068,レイサの神名文字,items.json
Item.10069,ルミの神名文字,items.json
Item.10070,ミナの神名文字,items.json
Item.10071,ミヤコ（水着）の神名文字,items.json
Item.10072,サキ（水着）の神名文字,items.json
Item.10073,ウイ（水着）の神名文字,items.json
Item.10074,ハナコ（水着）の神名文字,items.json
Item.13000,朱音的神名文字,items.json
Item.13001,知世的神名文字,items.json
Item.13002,亞伽里的神名文字,items.json
Item.13003,蓮實的神名文字,items.json
Item.13004,野乃美的神名文字,items.json
Item.13005,佳世子的神名文字,items.json
Item.13006,無月的神名文字,items.json
Item.13007,淳子的神名文字,items.json
Item.13008,茜香的神名文字,items.json
Item.13009,椿的神名文字,items.json
Item.13010,優香的神名文字,items.json
Item.13011,桃井的神名文字,items.json
