source,target,tgt_lng
"""A Fisgada""",«Улов»,ru-RU
"""Bá Vương Tối Thượng Siêu Cấp Ma Kiếm""",«Магический супермеч высшего владыки»,ru-RU
"""Spada magica del Super Signore Supremo""",«Магический супермеч высшего владыки»,ru-RU
"""The Catch""",«Улов»,ru-RU
"""Ultimate Overlord's Mega Magic Sword""",«Магический супермеч высшего владыки»,ru-RU
"""Yüce Lordun Devasa Büyü Kılıcı""",«Магический супермеч высшего владыки»,ru-RU
1급 보옥,Парный нефрит,ru-RU
A Doca,Верфь,ru-RU
A Flauta,Меч-флейта,ru-RU
A Teaspoon of Transcendence,Чайная ложка трансцендентности,ru-RU
A Thousand Blazing Suns,Тысяча ослепительных солнц,ru-RU
A Thousand Floating Dreams,Сновидения тысячи ночей,ru-RU
Absolution,Отпущение грехов,ru-RU
Absolvição,Отпущение грехов,ru-RU
Acemi Koruması,Копьё новичка,ru-RU
Acquamarina di Makhaira,Аквамарин Махайры,ru-RU
Affettavette,Кромсатель пиков,ru-RU
Agata di Rupenera,Черногорский агат,ru-RU
Agate de Rochenoire,Черногорский агат,ru-RU
Agitador del Relámpago,Громовой пульс,ru-RU
Agitação Trovejante,Громовой пульс,ru-RU
Aigue-marine de Makhaira,Аквамарин Махайры,ru-RU
Aileron de brise-vagues,Режущий волны плавник,ru-RU
Ailes de la Voûte d'Azur,Небесное крыло,ru-RU
Aiutante del porto,Верфь,ru-RU
Akkörelten,Белая тень,ru-RU
Akuou'nun Kılıcı,Акуомару,ru-RU
Akuoumaru,Акуомару,ru-RU
Alabarda,Алебарда Миллелита,ru-RU
Alabarda del Viento Epistolar,Копьё послания ветров,ru-RU
Alas Celestiales,Небесное крыло,ru-RU
Alba de la Tejelunas,Рассвет прядильщицы луны,ru-RU
Alba della Tessiluna,Рассвет прядильщицы луны,ru-RU
Albores de la Historia,Хроники рассвета,ru-RU
Aleta Cortaolas,Режущий волны плавник,ru-RU
Alevli Bin Güneş,Тысяча ослепительных солнц,ru-RU
Algı Gözü,Око сознания,ru-RU
Alley Hunter,Охотник во тьме,ru-RU
Alliance du givre et de la neige,Завет льда и снега,ru-RU
Alter Jagdbogen,Лук опытного охотника,ru-RU
Altuni Buzul Yemin,Золотая клятва льда,ru-RU
Altın Melodiyle Dövülen,Творение золотой мелодии,ru-RU
Alvorada do Tecedor do Luar,Рассвет прядильщицы луны,ru-RU
Amenoma Kageuchi,Амэнома Кагэути,ru-RU
Amos' Bow,Лук Амоса,ru-RU
Amos'un Yayı,Лук Амоса,ru-RU
Amos’ Bogen,Лук Амоса,ru-RU
Ana Anahtar,Мастер-ключ,ru-RU
Anel de Hakushin,Кольцо Хакусин,ru-RU
Anel de Yaxche,Кольцо Яшче,ru-RU
Anello di Hakushin,Кольцо Хакусин,ru-RU
Anello di Yaxche,Кольцо Яшче,ru-RU
Anfängerlanze,Копьё новичка,ru-RU
Angelos' Heptades,Гептада ангела,ru-RU
Anillo de Hakushin,Кольцо Хакусин,ru-RU
Anillo del Yaxché,Кольцо Яшче,ru-RU
Anneau de Yaxche,Кольцо Яшче,ru-RU
Anneau des Hakushin,Кольцо Хакусин,ru-RU
Anotações do Aprendiz,Записи ученика,ru-RU
Antikes Millelithenschwert,Каменный меч,ru-RU
Apparat de la forêt,Регалия леса,ru-RU
Appel de sérénité,Зов безмятежности,ru-RU
Apprentice's Notes,Записи ученика,ru-RU
Appunti dell'apprendista,Записи ученика,ru-RU
Apuntes del Aprendiz,Записи ученика,ru-RU
Aqua Simulacra,Аква симулякрум,ru-RU
Aqua simulacra,Аква симулякрум,ru-RU
Aquila Favonia,Меч Сокола,ru-RU
Arc courbé,Изогнутый лук,ru-RU
Arc d'Amos,Лук Амоса,ru-RU
Arc d'exorcisme,Хамаюми,ru-RU
Arc de chasse,Лук охотника,ru-RU
Arc de chasse aguerri,Лук опытного охотника,ru-RU
Arc de chasse de Favonius,Боевой лук Фавония,ru-RU
Arc de chasse verdoyant,Зелёный лук,ru-RU
Arc de guerre de Rochenoire,Черногорский боевой лук,ru-RU
Arc du corbeau,Лук ворона,ru-RU
Arc pluvial du serpent arc-en-ciel,Струны дождя радужного змея,ru-RU
Arc rituel,Церемониальный лук,ru-RU
Arc rouillé,Ржавый лук,ru-RU
Arc royal,Королевский лук,ru-RU
Arc à poulies,Составной лук,ru-RU
Arcana Original,Первый великий фокус,ru-RU
Arco Composto,Составной лук,ru-RU
Arco Compuesto,Составной лук,ru-RU
Arco Enferrujado,Ржавый лук,ru-RU
