source,target,tgt_lng
"""%s"" est trop volumineux !",'%s' ใหญ่เกินไป!,th-TH
"""%s"" é muito grande!",'%s' ใหญ่เกินไป!,th-TH
"""%s""와 한 쌍임","ผูกกับ ""%s""",th-TH
%1$s ay,%1$s เดือน,th-TH
"%1$s ay, %2$s gün",%1$s เดือน %2$s วัน,th-TH
%1$s dakika önce,%1$s นาทีที่แล้ว,th-TH
%1$s day(s),%1$s วัน,th-TH
%1$s day(s) ago,%1$s วันที่แล้ว,th-TH
%1$s dia(s),%1$s วัน,th-TH
%1$s día(s),%1$s วัน,th-TH
%1$s giorno/i,%1$s วัน,th-TH
%1$s giorno/i fa,%1$s วันที่แล้ว,th-TH
%1$s giây trước,%1$s วินาทีที่แล้ว,th-TH
%1$s giờ trước,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s gün,%1$s วัน,th-TH
%1$s gün önce,%1$s วันที่แล้ว,th-TH
%1$s hour(s) ago,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s jour(s),%1$s วัน,th-TH
%1$s mes(es),%1$s เดือน,th-TH
"%1$s mes(es), %2$s día(s)",%1$s เดือน %2$s วัน,th-TH
%1$s mese/i,%1$s เดือน,th-TH
"%1$s mese/i, %2$s giorno/i",%1$s เดือน %2$s วัน,th-TH
%1$s minute(s) ago,%1$s นาทีที่แล้ว,th-TH
%1$s minuto/i fa,%1$s นาทีที่แล้ว,th-TH
%1$s mois,%1$s เดือน,th-TH
%1$s mois et %2$s jour(s),%1$s เดือน %2$s วัน,th-TH
%1$s Monat(e),%1$s เดือน,th-TH
"%1$s Monat(e), %2$s Tag(e)",%1$s เดือน %2$s วัน,th-TH
%1$s month(s),%1$s เดือน,th-TH
"%1$s month(s), %2$s day(s)",%1$s เดือน %2$s วัน,th-TH
%1$s mês(es),%1$s เดือน,th-TH
"%1$s mês(es), %2$s dia(s)",%1$s เดือน %2$s วัน,th-TH
%1$s ngày,%1$s วัน,th-TH
%1$s ngày trước,%1$s วันที่แล้ว,th-TH
%1$s ora/e fa,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s phút trước,%1$s นาทีที่แล้ว,th-TH
%1$s saat önce,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s saniye önce,%1$s วินาทีที่แล้ว,th-TH
%1$s second(s) ago,%1$s วินาทีที่แล้ว,th-TH
%1$s secondo/i fa,%1$s วินาทีที่แล้ว,th-TH
%1$s Tag(e),%1$s วัน,th-TH
%1$s tháng,%1$s เดือน,th-TH
"%1$s tháng, %2$s ngày",%1$s เดือน %2$s วัน,th-TH
%1$s дней,%1$s วัน,th-TH
%1$s дней назад,%1$s วันที่แล้ว,th-TH
%1$s мес.,%1$s เดือน,th-TH
"%1$s мес., %2$s дн.",%1$s เดือน %2$s วัน,th-TH
%1$s минут назад,%1$s นาทีที่แล้ว,th-TH
%1$s секунд назад,%1$s วินาทีที่แล้ว,th-TH
%1$s часов назад,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s 個月,%1$s เดือน,th-TH
%1$s 個月 %2$s 天,%1$s เดือน %2$s วัน,th-TH
%1$s 分鐘前,%1$s นาทีที่แล้ว,th-TH
%1$s 天,%1$s วัน,th-TH
%1$s 天前,%1$s วันที่แล้ว,th-TH
%1$s 小時前,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s 秒前,%1$s วินาทีที่แล้ว,th-TH
%1$s、%2$s,"%1$s, %2$s",th-TH
%1$sヶ月,%1$s เดือน,th-TH
%1$sヶ月%2$s日,%1$s เดือน %2$s วัน,th-TH
%1$s个月,%1$s เดือน,th-TH
%1$s个月%2$s天,%1$s เดือน %2$s วัน,th-TH
%1$s分前,%1$s นาทีที่แล้ว,th-TH
%1$s分钟前,%1$s นาทีที่แล้ว,th-TH
%1$s天,%1$s วัน,th-TH
%1$s天前,%1$s วันที่แล้ว,th-TH
%1$s小时前,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s日,%1$s วัน,th-TH
%1$s日前,%1$s วันที่แล้ว,th-TH
%1$s時間前,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s秒前,%1$s วินาทีที่แล้ว,th-TH
%1$s개월,%1$s เดือน,th-TH
"%1$s개월, %2$s일",%1$s เดือน %2$s วัน,th-TH
%1$s분 전,%1$s นาทีที่แล้ว,th-TH
%1$s시간 전,%1$s ชั่วโมงที่แล้ว,th-TH
%1$s일,%1$s วัน,th-TH
%1$s일 전,%1$s วันที่แล้ว,th-TH
%1$s초 전,%1$s วินาทีที่แล้ว,th-TH
%1$s（%2$s）,%1$s (%2$s),th-TH
