source,target,tgt_lng
 Sol Command,Command ซ้าย,th-TH
! (TN),ปุ่ม !,th-TH
! (цифр. кл.),ปุ่ม !,th-TH
! pavé num.,ปุ่ม !,th-TH
! Tn,ปุ่ม !,th-TH
"""%s"" chỉ bao gồm dữ liệu bắt buộc.
""%s"" bao gồm cả dữ liệu bắt buộc và dữ liệu không bắt buộc.","""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น",th-TH
"""%s"" includes only the required data.
""%s"" includes optional, as well as the required data.","""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น",th-TH
"""%s"" inclui apenas os dados necessários.
""%s"" inclui os dados necessários e opcionais.","""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น",th-TH
"""%s"" n'inclut que les données requises.
""%s"" inclut les données facultatives et requises.","""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น",th-TH
"""%s""은(는) 필수 데이터만 포함합니다.
""%s""은(는) 필수 데이터뿐만 아니라 선택적 데이터도 포함합니다.","""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น",th-TH
"""Kalite & Performans"" ayarlarını istenilen kaliteye göre makul varsayılanlara ayarlar.","ตั้งการตั้งค่า ""คุณภาพและประสิทธิภาพ"" ให้เลือกใช้ค่าเริ่มต้นตามที่คุณต้องการ",th-TH
"""품질 및 성능"" 설정이 원하는 품질에 알맞는 기본 설정값들로 설정됩니다.","ตั้งการตั้งค่า ""คุณภาพและประสิทธิภาพ"" ให้เลือกใช้ค่าเริ่มต้นตามที่คุณต้องการ",th-TH
# (TN),ปุ่ม #,th-TH
# (цифр. кл.),ปุ่ม #,th-TH
# pavé num.,ปุ่ม #,th-TH
# Tn,ปุ่ม #,th-TH
% (цифр. кл.),ปุ่ม %,th-TH
%% (TN),ปุ่ม %,th-TH
%% pavé num.,ปุ่ม %,th-TH
%% Tn,ปุ่ม %,th-TH
%1$s번 버튼,ปุ่ม %1$s,th-TH
%2$s öneriden %1$s. seçildi: %3$s,เลือกคำแนะนำ %s จากทั้งหมด %s: %s,th-TH
%2$s öneriden %1$s. seçildi: %3$s (%4$s),เลือกคำแนะนำ %s จากทั้งหมด %s: %s (%s),th-TH
