id,term,src_table
ActivityAvgLevel.10005.1,第5話,ActivityAvgLevel.json
ActivityAvgLevel.10006.1,第6話,ActivityAvgLevel.json
ActivityAvgLevel.10007.1,第7話,ActivityAvgLevel.json
ActivityAvgLevel.10008.1,第8話,ActivityAvgLevel.json
ActivityAvgLevel.10009.1,第9話,ActivityAvgLevel.json
ActivityAvgLevel.10010.1,第10話,ActivityAvgLevel.json
ActivityAvgLevel.10011.1,エピローグ,ActivityAvgLevel.json
ActivityIceCreamLevel.2011.1,椰子の浜辺,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2013.1,潮風の遊歩道,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2015.1,こだまの洞窟,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2017.1,灼熱の入り江,ActivityIceCreamLevel.json
ActivityLevelsLevel.1000101.1,海辺の激闘Ⅰ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000102.1,海辺の激闘Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000103.1,海辺の激闘Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000104.1,海辺の激闘Ⅳ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000105.1,海辺の激闘Ⅴ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000106.1,海辺の激闘Ⅵ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000107.1,海辺の激闘Ⅶ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000108.1,激流ノ角鯨,ActivityLevelsLevel.json
ActivityLevelsLevel.1000201.1,トレジャーハンターⅠ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000202.1,トレジャーハンターⅡ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000203.1,トレジャーハンターⅢ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000204.1,激流ノ角鯨（ハード）,ActivityLevelsLevel.json
ActivityLevelsLevel.1001101.1,海辺の激闘Ⅰ,ActivityLevelsLevel.json
