id,term,src_table
EquipFilter.104.desc,2セット:会心率＋10%,Equipment/EquipFilter.txt
EquipFilter.104.desc2,2セット:会心率<color=#ff1baf>＋10%</color>,Equipment/EquipFilter.txt
EquipFilter.104.name,会心率,Equipment/EquipFilter.txt
EquipFilter.106.desc,2セット:会心ダメージ＋20%,Equipment/EquipFilter.txt
EquipFilter.106.desc2,2セット:会心ダメージ<color=#ff1baf>＋20%</color>,Equipment/EquipFilter.txt
EquipFilter.106.name,会心ダメージ,Equipment/EquipFilter.txt
EquipFilter.107.desc,2セット:会心ダメージ抵抗率＋20%,Equipment/EquipFilter.txt
EquipFilter.107.desc2,2セット:会心ダメージ抵抗率<color=#ff1baf>＋20%</color>,Equipment/EquipFilter.txt
EquipFilter.107.name,不屈,Equipment/EquipFilter.txt
EquipFilter.108.desc,2セット:与回復効果・与シールド耐久＋10%,Equipment/EquipFilter.txt
EquipFilter.108.desc2,2セット:与回復効果・与シールド耐久<color=#ff1baf>＋10%</color>,Equipment/EquipFilter.txt
EquipFilter.108.name,援護,Equipment/EquipFilter.txt
EquipFilter.109.desc,2セット:被回復効果・被シールド耐久＋10%,Equipment/EquipFilter.txt
EquipFilter.109.desc2,2セット:被回復効果・被シールド耐久<color=#ff1baf>＋10%</color>,Equipment/EquipFilter.txt
EquipFilter.109.name,精通,Equipment/EquipFilter.txt
EquipFilter.110.desc,2セット:幸運＋6%,Equipment/EquipFilter.txt
EquipFilter.110.desc2,2セット:幸運<color=#ff1baf>＋6%</color>,Equipment/EquipFilter.txt
EquipFilter.110.name,幸運値,Equipment/EquipFilter.txt
EquipFilter.111.desc,2セット:貫通率＋7.5%,Equipment/EquipFilter.txt
EquipFilter.111.desc2,2セット:貫通率<color=#ff1baf>＋7.5%</color>,Equipment/EquipFilter.txt
EquipFilter.111.name,貫通,Equipment/EquipFilter.txt
EquipFilter.112.desc,2セット:忍耐率＋15%,Equipment/EquipFilter.txt
EquipFilter.112.desc2,2セット:忍耐率<color=#ff1baf>＋15%</color>,Equipment/EquipFilter.txt
EquipFilter.112.name,忍耐,Equipment/EquipFilter.txt
EquipGoods.4010111.desc,メインステータス:最大HP,Goods/EquipGoods.txt
EquipGoods.4010111.description,4セット:攻撃力＋20%,Goods/EquipGoods.txt
EquipGoods.4010111.name,攻撃装飾・頭部,Goods/EquipGoods.txt
EquipGoods.4010112.desc,メインステータス:最大HP,Goods/EquipGoods.txt
EquipGoods.4010112.description,4セット:攻撃力＋20%,Goods/EquipGoods.txt
EquipGoods.4010112.name,攻撃装飾・耳,Goods/EquipGoods.txt
EquipGoods.4010113.desc,メインステータス:防御力,Goods/EquipGoods.txt
EquipGoods.4010113.description,4セット:攻撃力＋20%,Goods/EquipGoods.txt
EquipGoods.4010113.name,攻撃装飾・首,Goods/EquipGoods.txt
EquipGoods.4010114.desc,メインステータス:防御力,Goods/EquipGoods.txt
