source,target,tgt_lng
%s caindo,%s в падении,ru-RU
%s en caída,%s в падении,ru-RU
%s in caduta,%s в падении,ru-RU
%s qui tombe,%s в падении,ru-RU
%s türündeki canlı çağrılamıyor,Не удалось создать сущность типа %s,ru-RU
%s đang rơi,%s в падении,ru-RU
%s 유형의 개체를 소환할 수 없습니다,Не удалось создать сущность типа %s,ru-RU
%sกำลังตก,%s в падении,ru-RU
%sという種類のエンティティを召喚することができません,Не удалось создать сущность типа %s,ru-RU
Abeille,Пчела,ru-RU
Abeja,Пчела,ru-RU
Abelha,Пчела,ru-RU
Acacia Boat,Акациевая лодка,ru-RU
Acacia Boat with Chest,Акациевая грузовая лодка,ru-RU
Afogado,Утопленник,ru-RU
Agricoltore,Фермер,ru-RU
Agricultor,Фермер,ru-RU
Ahogado,Утопленник,ru-RU
Ajolote,Аксолотль,ru-RU
Akasya Tekne,Акациевая лодка,ru-RU
Akazienholzboot,Акациевая лодка,ru-RU
Akazienholztruhenboot,Акациевая грузовая лодка,ru-RU
Aksolotl,Аксолотль,ru-RU
Albañil,Каменщик,ru-RU
Aldeano,Крестьянин,ru-RU
Aldeano zombi,Крестьянин-зомби,ru-RU
Aldeão,Крестьянин,ru-RU
Aldeão Zumbi,Крестьянин-зомби,ru-RU
Alet Ustası,Инструментальщик,ru-RU
Allay,Тихоня,ru-RU
Alleviante,Тихоня,ru-RU
Almofada,Подушка,ru-RU
Ampolla d'esperienza lanciata,Брошенный пузырёк опыта,ru-RU
Anemone,Амфиприон,ru-RU
Anemonenfisch,Амфиприон,ru-RU
Anfiprione,Амфиприон,ru-RU
Annegato,Утопленник,ru-RU
Antriebslore,Самоходная вагонетка,ru-RU
Anzuelo,Поплавок,ru-RU
Anémona,Амфиприон,ru-RU
Anêmona,Амфиприон,ru-RU
Ape,Пчела,ru-RU
Araignée,Паук,ru-RU
Araignée venimeuse,Пещерный паук,ru-RU
Aranha,Паук,ru-RU
Aranha das Cavernas,Пещерный паук,ru-RU
Araña,Паук,ru-RU
Araña de cueva,Пещерный паук,ru-RU
Area Effect Cloud,Облако эффекта,ru-RU
Argilécaille,Глинянка,ru-RU
Armadillo,Броненосец,ru-RU
Armaiolo,Оружейник,ru-RU
Armeiro,Бронник,ru-RU
Armeiro,Оружейник,ru-RU
Armor Stand,Стойка для брони,ru-RU
Armorer,Бронник,ru-RU
Armurier,Бронник,ru-RU
Arpenteur,Лавомерка,ru-RU
Arrow,Стрела,ru-RU
Arı,Пчела,ru-RU
Asino,Осёл,ru-RU
Assolotto,Аксолотль,ru-RU
At,Лошадь,ru-RU
Ateş Topu,Файербол,ru-RU
Ateşlenmiş TNT,Активированный динамит,ru-RU
Austral,Горбыль,ru-RU
Axolote,Аксолотль,ru-RU
Axolotl,Аксолотль,ru-RU
Azzannatore rosso,Трёхполосый луциан,ru-RU
Açougueiro,Мясник,ru-RU
Bacalao,Треска,ru-RU
Bacalhau,Треска,ru-RU
Baiacu,Иглобрюх,ru-RU
Bakır Golem,Медный голем,ru-RU
Baliste,Спинорог,ru-RU
Balsa de bambú,Бамбуковый плот,ru-RU
Balsa de bambú con cofre,Грузовой бамбуковый плот,ru-RU
Balçık,Слизень,ru-RU
Balıkçı,Рыбак,ru-RU
Bamboo Raft,Бамбуковый плот,ru-RU
Bamboo Raft with Chest,Грузовой бамбуковый плот,ru-RU
Bambu Sal,Бамбуковый плот,ru-RU
Bambus-Truhenfloß,Грузовой бамбуковый плот,ru-RU
Bambusfloß,Бамбуковый плот,ru-RU
Barbudo,Пальцепёр,ru-RU
Barca,Лодка,ru-RU
Barca con baule,Грузовая лодка,ru-RU
Barca con cofre,Грузовая лодка,ru-RU
Barca de abedul,Берёзовая лодка,ru-RU
Barca de abedul con cofre,Берёзовая грузовая лодка,ru-RU
Barca de abeto,Еловая лодка,ru-RU
Barca de abeto con cofre,Еловая грузовая лодка,ru-RU
Barca de acacia,Акациевая лодка,ru-RU
Barca de acacia con cofre,Акациевая грузовая лодка,ru-RU
Barca de cerezo,Вишнёвая лодка,ru-RU
Barca de cerezo con cofre,Вишнёвая грузовая лодка,ru-RU
Barca de jungla,Лодка из джунглевого дерева,ru-RU
Barca de jungla con cofre,Грузовая лодка из джунглевого дерева,ru-RU
Barca de mangle,Мангровая лодка,ru-RU
Barca de mangle con cofre,Мангровая грузовая лодка,ru-RU
Barca de roble,Дубовая лодка,ru-RU
Barca de roble con cofre,Дубовая грузовая лодка,ru-RU
Barca de roble oscuro,Лодка из тёмного дуба,ru-RU
Barca de roble oscuro con cofre,Грузовая лодка из тёмного дуба,ru-RU
Barca de roble pálido,Лодка из бледного дуба,ru-RU
Barca de roble pálido con cofre,Грузовая лодка из бледного дуба,ru-RU
Barca de álamo,Тополевая лодка,ru-RU
Barca de álamo con cofre,Тополевая грузовая лодка,ru-RU
Barca di abete,Еловая лодка,ru-RU
Barca di abete con baule,Еловая грузовая лодка,ru-RU
Barca di acacia,Акациевая лодка,ru-RU
Barca di acacia con baule,Акациевая грузовая лодка,ru-RU
Barca di betulla,Берёзовая лодка,ru-RU
Barca di betulla con baule,Берёзовая грузовая лодка,ru-RU
Barca di ciliegio,Вишнёвая лодка,ru-RU
Barca di ciliegio con baule,Вишнёвая грузовая лодка,ru-RU
Barca di mangrovia,Мангровая лодка,ru-RU
Barca di mangrovia con baule,Мангровая грузовая лодка,ru-RU
Barca di mogano,Лодка из джунглевого дерева,ru-RU
Barca di mogano con baule,Грузовая лодка из джунглевого дерева,ru-RU
Barca di pioppo,Тополевая лодка,ru-RU
Barca di pioppo con baule,Тополевая грузовая лодка,ru-RU
Barca di quercia,Дубовая лодка,ru-RU
Barca di quercia con baule,Дубовая грузовая лодка,ru-RU
Barca di quercia pallida,Лодка из бледного дуба,ru-RU
Barca di quercia pallida con baule,Грузовая лодка из бледного дуба,ru-RU
Barca di quercia scura,Лодка из тёмного дуба,ru-RU
Barca di quercia scura con baule,Грузовая лодка из тёмного дуба,ru-RU
Bat,Летучая мышь,ru-RU
Bateau,Лодка,ru-RU
Bateau de stockage,Грузовая лодка,ru-RU
Bateau de stockage en acacia,Акациевая грузовая лодка,ru-RU
Bateau de stockage en acajou,Грузовая лодка из джунглевого дерева,ru-RU
Bateau de stockage en bouleau,Берёзовая грузовая лодка,ru-RU
Bateau de stockage en cerisier,Вишнёвая грузовая лодка,ru-RU
Bateau de stockage en chêne,Дубовая грузовая лодка,ru-RU
Bateau de stockage en chêne noir,Грузовая лодка из тёмного дуба,ru-RU
Bateau de stockage en chêne pâle,Грузовая лодка из бледного дуба,ru-RU
Bateau de stockage en palétuvier,Мангровая грузовая лодка,ru-RU
Bateau de stockage en peuplier,Тополевая грузовая лодка,ru-RU
Bateau de stockage en sapin,Еловая грузовая лодка,ru-RU
Bateau en acacia,Акациевая лодка,ru-RU
Bateau en acajou,Лодка из джунглевого дерева,ru-RU
Bateau en bouleau,Берёзовая лодка,ru-RU
Bateau en cerisier,Вишнёвая лодка,ru-RU
Bateau en chêne,Дубовая лодка,ru-RU
Bateau en chêne noir,Лодка из тёмного дуба,ru-RU
Bateau en chêne pâle,Лодка из бледного дуба,ru-RU
Bateau en palétuvier,Мангровая лодка,ru-RU
Bateau en peuplier,Тополевая лодка,ru-RU
Bateau en sapin,Еловая лодка,ru-RU
Batık,Болотник,ru-RU
Bauer,Фермер,ru-RU
Bavosa rossa,Красногубая морская собачка,ru-RU
Bee,Пчела,ru-RU
Befehlsblocklore,Вагонетка с командным блоком,ru-RU
Berger,Пастух,ru-RU
