source,target,tgt_lng
"""'M'nin Lütfu""","""Chúc Phúc Của Ma Nữ M""",vi-VN
"""A Blessing From 'M'""","""Chúc Phúc Của Ma Nữ M""",vi-VN
"""An Adventure Through the Morning Mist""",Mạo Hiểm Qua Sương Mai,vi-VN
"""Aquele Garoto vai Fazer uma Fortuna...""","""Coi Đồ Nhóc Đó Kiếm Tiền...""",vi-VN
"""Bereket Kolektifi""","""Cộng Đồng Trù Phú""",vi-VN
"""Bir Zamanlar Karanlık Felaketi Uzak Tutan Yalnız Rüzgar...""","""Từng Như Ngọn Gió Cô Độc Ngăn Chặn Sự Lan Rộng Của Bóng Tối...""",vi-VN
"""Called In For Cleanup""","""Công Việc Dọn Dẹp""",vi-VN
"""Collective of Plenty""","""Cộng Đồng Trù Phú""",vi-VN
"""Colui che si oppose alle maree delle acque oscure come un macigno...""","""Từng Như Tảng Đá Ngăn Dòng Nước Đen...""",vi-VN
"""Coşku Dolu Ritimler""","""Tiết Tấu Cuồng Nhiệt""",vi-VN
"""Duyun Sesimi! Aşk Kadehini Kaldıralım!""","""Cùng Nghe Ta Ca Tụng, Nâng Ly Rượu Tình Yêu!""",vi-VN
"""Ergueu-se como um penhasco contra a maré das águas escuras...""","""Từng Như Tảng Đá Ngăn Dòng Nước Đen...""",vi-VN
"""Flower-Feather Clan""","""Hội Hoa Vũ""",vi-VN
"""Gece Rüzgarının Ustaları""","""Chủ Nhân Gió Đêm""",vi-VN
"""Gök Kubbenin Evlatları""","""Dòng Dõi Vườn Treo""",vi-VN
"""Hear Me — Let Us Raise the Chalice of Love!""","""Cùng Nghe Ta Ca Tụng, Nâng Ly Rượu Tình Yêu!""",vi-VN
"""Humanity's Name"" Unfettered","Giải Phóng ""Tên Của Nhân Loại""",vi-VN
"""I'd Rather Lose Money Myself...""","""Coi Đồ Nhóc Đó Kiếm Tiền...""",vi-VN
"""Kaplıca Halkı""","""Cư Dân Suối Nước""",vi-VN
