id,term,src_table
AttrAddition.1003.attributeName,精確,Card/AttrAddition.txt
AttrAddition.101.attributeName,攻撃力,Card/AttrAddition.txt
AttrAddition.102.attributeName,攻撃力,Card/AttrAddition.txt
AttrAddition.1103.attributeName,ブロック,Card/AttrAddition.txt
AttrAddition.1203.attributeName,貫通率,Card/AttrAddition.txt
AttrAddition.1303.attributeName,忍耐率,Card/AttrAddition.txt
AttrAddition.1401.attributeName,基本ダメージ,Card/AttrAddition.txt
AttrAddition.1402.attributeName,基本ダメージダウン,Card/AttrAddition.txt
AttrAddition.1501.attributeName,単体攻撃,Card/AttrAddition.txt
AttrAddition.1502.attributeName,ダメージダウン,Card/AttrAddition.txt
AttrAddition.1601.attributeName,与回復効果アップ,Card/AttrAddition.txt
AttrAddition.1602.attributeName,被回復効果アップ,Card/AttrAddition.txt
AttrAddition.1701.attributeName,吸血,Card/AttrAddition.txt
AttrAddition.1901.attributeName,スプラッシュ,Card/AttrAddition.txt
AttrAddition.2001.attributeName,ダメージ反射,Card/AttrAddition.txt
AttrAddition.2002.attributeName,ダメージ反射,Card/AttrAddition.txt
AttrAddition.201.attributeName,防御力,Card/AttrAddition.txt
AttrAddition.202.attributeName,防御力,Card/AttrAddition.txt
AttrAddition.2101.attributeName,与シールド耐久アップ,Card/AttrAddition.txt
AttrAddition.2102.attributeName,被シールド耐久アップ,Card/AttrAddition.txt
AttrAddition.2201.attributeName,間接ダメージ,Card/AttrAddition.txt
AttrAddition.2202.attributeName,間接ダメージ軽減,Card/AttrAddition.txt
AttrAddition.2501.attributeName,行動制限強化,Card/AttrAddition.txt
AttrAddition.2502.attributeName,行動制限抵抗,Card/AttrAddition.txt
AttrAddition.2601.attributeName,会心修正,Card/AttrAddition.txt
AttrAddition.301.attributeName,HP,Card/AttrAddition.txt
AttrAddition.302.attributeName,HP,Card/AttrAddition.txt
AttrAddition.401.attributeName,幸運値,Card/AttrAddition.txt
AttrAddition.603.attributeName,会心率,Card/AttrAddition.txt
AttrAddition.703.attributeName,会心ダメージ,Card/AttrAddition.txt
AttrAddition.803.attributeName,会心回避率,Card/AttrAddition.txt
AttrAddition.903.attributeName,会心ダメージ抵抗率,Card/AttrAddition.txt
AttrDefines.1.attributeDesc,与ダメージに影響を与える基礎ステータス,Card/AttrDefines.txt
AttrDefines.1.attributeName,攻撃力,Card/AttrDefines.txt
AttrDefines.10.attributeDesc,命中効果を抵抗するステータス、基本ダメージを免除できない,Card/AttrDefines.txt
AttrDefines.10.attributeName,ブロック,Card/AttrDefines.txt
AttrDefines.100.attributeDesc,残りHP,Card/AttrDefines.txt
AttrDefines.100.attributeName,残りHP,Card/AttrDefines.txt
AttrDefines.2.attributeDesc,ダメージ抵抗に影響を与える基礎ステータス,Card/AttrDefines.txt
AttrDefines.2.attributeName,防御力,Card/AttrDefines.txt
AttrDefines.20.attributeDesc,戦闘中、★2スキルカードの出現率をアップさせる,Card/AttrDefines.txt
AttrDefines.20.attributeName,幸運値,Card/AttrDefines.txt
AttrDefines.201.attributeName,ダメージ変化,Card/AttrDefines.txt
AttrDefines.202.attributeName,被ダメージ増加,Card/AttrDefines.txt
AttrDefines.206.attributeDesc,受ける回復効果をアップさせる,Card/AttrDefines.txt
AttrDefines.206.attributeName,被回復効果アップ,Card/AttrDefines.txt
AttrDefines.207.attributeName,与ダメージの変化,Card/AttrDefines.txt
AttrDefines.208.attributeName,吸血,Card/AttrDefines.txt
AttrDefines.209.attributeDesc,一部の攻撃力を追加貫通ダメージに変換する,Card/AttrDefines.txt
AttrDefines.209.attributeName,貫通率,Card/AttrDefines.txt
AttrDefines.21.attributeDesc,被ダメージ時の会心発生率をダウンさせる,Card/AttrDefines.txt
AttrDefines.21.attributeName,会心回避率,Card/AttrDefines.txt
AttrDefines.210.attributeDesc,一部の防御力で貫通ダメージを抵抗する,Card/AttrDefines.txt
AttrDefines.210.attributeName,忍耐率,Card/AttrDefines.txt
AttrDefines.211.attributeDesc,与える回復効果をアップさせる,Card/AttrDefines.txt
AttrDefines.211.attributeName,与回復効果アップ,Card/AttrDefines.txt
AttrDefines.212.attributeName,スプラッシュ値,Card/AttrDefines.txt
AttrDefines.213.attributeDesc,スキル発動時に必要とするポイント,Card/AttrDefines.txt
AttrDefines.213.attributeName,SP,Card/AttrDefines.txt
AttrDefines.214.attributeDesc,与えるシールドの耐久を増加させる,Card/AttrDefines.txt
AttrDefines.214.attributeName,与シールド耐久アップ,Card/AttrDefines.txt
AttrDefines.215.attributeDesc,受けるシールドの耐久を増加させる,Card/AttrDefines.txt
AttrDefines.215.attributeName,被シールド耐久アップ,Card/AttrDefines.txt
AttrDefines.216.attributeName,間接ダメージアップ,Card/AttrDefines.txt
AttrDefines.217.attributeName,間接ダメージ軽減,Card/AttrDefines.txt
AttrDefines.218.attributeName,最大HPを超えた回復値はシールドに変換される,Card/AttrDefines.txt
AttrDefines.219.attributeName,最大HPを超えた回復値はダメージに変換される,Card/AttrDefines.txt
AttrDefines.22.attributeDesc,受ける会心ダメージを軽減させる,Card/AttrDefines.txt
AttrDefines.22.attributeName,会心ダメージ抵抗率,Card/AttrDefines.txt
AttrDefines.220.attributeDesc,行動制限効果を付与する確率をアップさせる,Card/AttrDefines.txt
AttrDefines.220.attributeName,行動制限強化,Card/AttrDefines.txt
AttrDefines.221.attributeDesc,行動制限効果を受ける確率をダウンさせる,Card/AttrDefines.txt
AttrDefines.221.attributeName,行動制限抵抗,Card/AttrDefines.txt
AttrDefines.222.attributeName,Pending暴击溢出修正值,Card/AttrDefines.txt
AttrDefines.23.attributeDesc,最終ダメージをアップさせる,Card/AttrDefines.txt
AttrDefines.23.attributeName,ダメージアップ,Card/AttrDefines.txt
AttrDefines.24.attributeDesc,最終ダメージを抵抗する,Card/AttrDefines.txt
AttrDefines.24.attributeName,ダメージダウン,Card/AttrDefines.txt
AttrDefines.25.attributeName,スキルダメージアップ（外部）,Card/AttrDefines.txt
AttrDefines.26.attributeName,受けるスキルダメージダウン（外部）,Card/AttrDefines.txt
AttrDefines.27.attributeDesc,スキルダメージを増加させる,Card/AttrDefines.txt
AttrDefines.27.attributeName,基本ダメージアップ,Card/AttrDefines.txt
AttrDefines.28.attributeDesc,相手のスキルダメージをダウンさせる,Card/AttrDefines.txt
AttrDefines.28.attributeName,基本ダメージダウン,Card/AttrDefines.txt
AttrDefines.29.attributeDesc,一部の攻撃力を追加貫通ダメージに変換するパラメータ,Card/AttrDefines.txt
AttrDefines.29.attributeName,貫通,Card/AttrDefines.txt
AttrDefines.3.attributeDesc,キャラクターの体力を表す基礎ステータス,Card/AttrDefines.txt
AttrDefines.3.attributeName,HP,Card/AttrDefines.txt
AttrDefines.30.attributeDesc,一部の防御力で貫通ダメージを抵抗するパラメータ,Card/AttrDefines.txt
AttrDefines.30.attributeName,忍耐,Card/AttrDefines.txt
