source,target,tgt_lng
"""Buried under the Peach Blossom Tree...""",“Enterrado sob o pessegueiro…”,pt-BR
"""Collage Art""",Quebra-Cabeça do Vitral,pt-BR
"""Don't Hold It Against Me, Eh?""","""Não me Leve a Mal, Tá?""",pt-BR
"""Hero of Justice""","""Ao Lado dos Heróis""",pt-BR
"""Hey, KU-Roro""","“Ei, KuRoro”",pt-BR
"""I Am the Bone of My Sword""","""Eu Sou o Osso da Minha Espada""",pt-BR
"""I Must Break You""","""Preciso Destruir Você""",pt-BR
"""I am NOT! A MORON!""",“NÃO SOU IDIOTA!”,pt-BR
"""I choose the form of Tacet Discord!""",Modo DT de Combate!,pt-BR
"""The Fragile Me is Already Dead""","""Tô morto(a).""",pt-BR
"""Trace On""","""Que comece o desafio!""",pt-BR
"""Tried to Swim in Dark Tide""","""Tentei Nadar na Maré Sombria""",pt-BR
"""Zoltraak""",“Zoltraak”,pt-BR
"""ข้าคือกระดูกแห่งดาบของข้า""","""Eu Sou o Osso da Minha Espada""",pt-BR
"""ฉันก็อยากผดุงความยุติธรรม""","""Ao Lado dos Heróis""",pt-BR
"""ฉันจะแปลงร่างโจมตี!""",Modo DT de Combate!,pt-BR
"""ฉันจะโค่นแกให้ได้""","""Preciso Destruir Você""",pt-BR
"""ฉันไม่ได้! โง่นะ!""",“NÃO SOU IDIOTA!”,pt-BR
"""ตัวฉันที่อ่อนแอได้ตายไปแล้ว""","""Tô morto(a).""",pt-BR
"""พยายามแหวกว่ายในคลื่นทมิฬ""","""Tentei Nadar na Maré Sombria""",pt-BR
"""ศิลปะคอลลาจ""",Quebra-Cabeça do Vitral,pt-BR
"""สวัสดี KU-โรโร่""","“Ei, KuRoro”",pt-BR
"""สิ่งที่ฝังอยู่ใต้ต้นท้อ...""",“Enterrado sob o pessegueiro…”,pt-BR
"""สุดยอด"" สมชื่อ",O Supremo,pt-BR
"""เจมเบอร์รี""",Fruta-gema,pt-BR
"""เริ่มต้นภาพฉาย""","""Que comece o desafio!""",pt-BR
"""แรงปรารถนา""","""Passione""",pt-BR
"""โซลทราค""",“Zoltraak”,pt-BR
... Bis alles ausgebrannt ist,...Logo Desaparecerá,pt-BR
... 결국 모두 타버릴 거야,...Logo Desaparecerá,pt-BR
...Pronto se desvanecerá,...Logo Desaparecerá,pt-BR
...Will Soon Fade Out,...Logo Desaparecerá,pt-BR
...disparaîtra bientôt,...Logo Desaparecerá,pt-BR
...ผลาญเผาฝันร้ายมลายสิ้น,...Logo Desaparecerá,pt-BR
100回目の狩り,Cem Tiros,pt-BR
12 Gefangene Männer,12 Homens Presos,pt-BR
12 Imprisoned Men,12 Homens Presos,pt-BR
12 prisioneros,12 Homens Presos,pt-BR
12 prisonniers,12 Homens Presos,pt-BR
12명의 죄수들,12 Homens Presos,pt-BR
1511 Lines,1511 Linhas,pt-BR
1511 Reihen,1511 Linhas,pt-BR
1511 líneas,1511 Linhas,pt-BR
1m 내에서 치샤의 강공격을 사용하여 적 10회 격파,Derrote inimigos 10 vezes com o ATQ Pesado de Chixia a 1m de distância.,pt-BR
