source,target,tgt_lng
"""Apenas uma estudante comum.""

Calmamente, ela se apresenta, um leve brilho iridescente tremulando em seus olhos. Novamente, as estruturas do mundo se revelam em sua visão. Estreitando os olhos, ela identifica o próprio fio que puxa a vida.","""Just an ordinary student.""

Calmly, she introduces herself, a faint iridescent shimmer flickering in her eyes. Again, the structures of the world reveal themselves in her vision. Narrowing her eyes, she singles out the very thread that tugs at life itself.",en-US
"""Em uma noite silenciosa, alguém atraiu os luares.
Ela não acredita no destino, mas sorri ao revelar suas bênçãos para você.""","""On a hushed night, someone drew down the moonlights.
She does not believe in fate, yet she smiles as she reveals its blessings for you.""",en-US
"""Mas agora você vai embora só com uma placa.""","""But now you're going to leave with nothing but a sign.""",en-US
"""Retorno ao Lar""","""Homebound""",en-US
"""Trazer um sorriso para cada passageiro é a prioridade máxima do nosso café!""","""Bringing a smile to every passenger is our cafe's top priority!""",en-US
"""กองทัพสุนัขล่าวิญญาณ""","""Ghost Hounds""",en-US
"""การทำให้ลูกค้าทุกคนที่มาถึงที่นี่ยิ้มได้ คือเป้าหมายสูงสุดของร้านเรา!""","""Bringing a smile to every passenger is our cafe's top priority!""",en-US
"""ก็แค่นักเรียนธรรมดาคนหนึ่ง""
เธอแนะนำตัวด้วยน้ำเสียงราบเรียบ ทว่าในนัยน์ตากลับมีประกายแสงหลากสีเปล่งออกมาจางๆ โครงสร้างของสรรพสิ่งค่อยๆ ปรากฏชัดขึ้นในครรลองสายตา เธอหรี่ตาลงเล็กน้อย เพื่อแยกแยะเส้นด้ายเส้นนั้น... เส้นที่คอยชักเชิดชีวิตของผู้คน","""Just an ordinary student.""

Calmly, she introduces herself, a faint iridescent shimmer flickering in her eyes. Again, the structures of the world reveal themselves in her vision. Narrowing her eyes, she singles out the very thread that tugs at life itself.",en-US
"""บ้าน""","""Homebound""",en-US
"""ผู้พเนจร""",Rover,en-US
"""ในคืนเงียบสงัด มีผู้ชักโน้มแสงจันทร์
นางไม่เชื่อในโชคชะตา แต่กลับยิ้มพร้อมประทานพรให้กับคุณ""","""On a hushed night, someone drew down the moonlights.
She does not believe in fate, yet she smiles as she reveals its blessings for you.""",en-US
10 de septiembre,September 10th,en-US
10 de setembro,September 10th,en-US
10 décembre,Unknown,en-US
10 septembre,September 10th,en-US
10 กันยายน,September 10th,en-US
10. September,September 10th,en-US
10月11日,October 11th,en-US
10月13日,October 13,en-US
10月2日,October 2nd,en-US
10월 11일,October 11th,en-US
10월 13일,October 13,en-US
10월 2일,October 2nd,en-US
11 de junho,June 11th,en-US
11 de junio,June 11th,en-US
11 de octubre,October 11th,en-US
11 de outubro,October 11th,en-US
11 ตุลาคม,October 11th,en-US
11 มิถุนายน,June 11th,en-US
11. Juni,June 11th,en-US
11. Oktober,October 11th,en-US
11月6日,November 6th,en-US
11월 6일,November 6th,en-US
12月14日,December 14th,en-US
12月31日,December 31,en-US
12월 14일,December 14th,en-US
12월 31일,December 31,en-US
13 de octubre,October 13,en-US
13 octobre,October 13,en-US
13. Oktober,October 13,en-US
14 de dezembro,December 14th,en-US
14 de diciembre,December 14th,en-US
14 décembre,December 14th,en-US
14 ธันวาคม,December 14th,en-US
14. Dezember,December 14th,en-US
17 de septiembre,September 17th,en-US
17 de setembro,September 17th,en-US
17 septembre,September 17th,en-US
17 กันยายน,September 17th,en-US
17. September,September 17th,en-US
18 Juin,June 18,en-US
18 avril,April 18th,en-US
18 de abril,April 18th,en-US
18 de jun,June 18,en-US
18 de junio,June 18,en-US
18 de maio,May 18th,en-US
18 de mayo,May 18th,en-US
18 mai,May 18th,en-US
18 พฤษภาคม,May 18th,en-US
18 เมษายน,April 18th,en-US
18. April,April 18th,en-US
18. Mai,May 18th,en-US
1月20日,January 20th,en-US
1月31日,January 31,en-US
1월 20일,January 20th,en-US
1월 31일,January 31,en-US
2 de octubre,October 2nd,en-US
2 de outubro,October 2nd,en-US
2 octobre,October 2nd,en-US
2 ตุลาคม,October 2nd,en-US
2. Oktober,October 2nd,en-US
20 de enero,January 20th,en-US
20 de janeiro,January 20th,en-US
20 janvier,January 20th,en-US
20 มกราคม,January 20th,en-US
20. Januar,January 20th,en-US
2025 Presentes da Grande Celebração - Evento por Tempo Limitado,2025 Gifts of Grand Celebration Limited-Time Event,en-US
2025年「盛会赠礼」限时活动中获得,2025 Gifts of Grand Celebration Limited-Time Event,en-US
2025年「盛會贈禮」限時活動中獲得,2025 Gifts of Grand Celebration Limited-Time Event,en-US
2025年期間限定イベント「慶びのプレゼント」で獲得,2025 Gifts of Grand Celebration Limited-Time Event,en-US
