source,target,tgt_lng
"""A Department of Voidmatters student at Startorch Academy. Always there to flash her 'gentle' smile to one and all.""",「星炬學院虛質科學部學生，常用『溫柔』的笑容面對大家。」,zh-TW
"""Uma estudante do Departamento de Matérias do Vazio da Academia Tochestrela. Sempre presente para exibir seu sorriso 'gentil' para todos.""",「星炬學院虛質科學部學生，常用『溫柔』的笑容面對大家。」,zh-TW
"""นักเรียนจากแผนกสุญตาวิทยาแห่งสถาบันสตาร์ทอร์ช เธอมักจะประดับรอยยิ้มที่ ""อ่อนโยน"" ให้ทุกคนเห็นเสมอ""",「星炬學院虛質科學部學生，常用『溫柔』的笑容面對大家。」,zh-TW
0,穿梭在無光之森的嘯叫種殘象，通常群體聚集，據記錄其性情暴戾，有盜竊人類物品的行為傾向，危險度隸屬於巨浪級。,zh-TW
A Calamity Class Howler TD under the depths of the seas. Melodies produced by it were recorded and found to resemble whalesongs.,深海之下的嘯叫種殘象，曾記錄下其如鯨歌般的歌謠，危險度隸屬於怒濤級。,zh-TW
A Common Class Howler TD active in water. It excels at disguising and sneaking attacks on nearby enemies.,水域活動的嘯叫種殘象，善於偽裝來偷襲靠近的敵人，但體型較小，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD living in obscured environments. Records show that it possesses an impressive counterattack ability.,陰暗地帶的嘯叫種殘象，據記錄其反擊能力較强，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD native to the Port City of Guixu. Records show it resembles objects from the city's lost civilization.,於歸墟港市活躍的轟鳴種殘象，與城市過去文明的物件有些相似，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD often found floating in the wild. Its power is puny.,漂浮在野外的嘯叫種殘象，形似游蝶，因其力量微小，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD often sighted in mountainous areas. It usually follows and works in concert with Tacet Discords of larger sizes.,多見於山岩地區的嘯叫種殘象，通常跟隨更大體型的殘象行動，危險度隸屬於輕波級。,zh-TW
"A Common Class Howler TD often sighted in shallow waters. Judging from the records of charging humans on its own initiative, it might have a rather irritable temper.",常見於淺水區域的嘯叫種殘象，據記錄有主動衝撞攻擊的行跡表現，推測其性情較為暴躁，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD that frequents the wild. It charges at incredible speeds.,出沒於野外的嘯叫種殘象，衝刺速度極快，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD widely distributed in the wild. Individuals often take actions in groups and follow the leader in charges.,廣泛分佈於野外的嘯叫種殘象，通常群體行動，常跟隨群體首領衝鋒在前，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD widely distributed in the wild. Individuals often take actions in groups and this particular TD is often found to lead the charges.,廣泛分佈於野外的嘯叫種殘象，通常群體行動，常作為首領衝鋒在前，危險度隸屬於巨浪級。,zh-TW
A Common Class Howler TD widely distributed in water areas. Its size is relatively small.,廣泛分佈於水域的嘯叫種殘象，體型較小，隸屬於輕波級。,zh-TW
"A Common Class Howler TD. Despite its wings, it is entirely terrestrial and highly sensitive to the cold.",陸行嘯叫種殘象，生有雙翼卻無法飛行，且不耐寒冷，危險度隸屬於輕波級。,zh-TW
A Common Class Howler TD. It inhabits areas beneath the tundra and is skilled in digging extensive underground tunnels.,蟄伏於凍土之下的嘯叫種殘象，擅長構築四通八達的潜穴，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD distributed in damp areas. Usually sighted beside maturer individuals.,潮濕地帶分佈的靜默種殘象，常出現於更大體型的主體附近，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD inhabiting mountainous areas. Often overlooked due to its lava-like shape.,出現在山岩地區的靜默種殘象，因形如熔岩，常常被人容易忽略，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD inhabiting mountainous areas. Often overlooked due to its rock-like appearance.,出現在山岩地區的靜默種殘象，因形如岩石，常常被人容易忽略，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a frost ore.,野外易聚集的靜默種殘象，其形如霜凍之礦，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a golden stone.,野外易聚集的靜默種殘象，其形如黃金之石，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a lava rock.,野外易聚集的靜默種殘象，其形如熱熔之岩，危險度隸屬於輕波級。,zh-TW
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a pitch-dark lode.,野外易聚集的靜默種殘象，其形如漆黑礦岩，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD commonly found in the wild. Records show that a sharp blade is grown from its arm.,常見於野外的囈語種殘象，據記錄其臂生利刃，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD that frequents the wilderness. Records show it is able to gather wind as boomerangs to toss and attack like humans.,出現於野外的囈語種殘象，據記錄其會聚風為鏢，類人投擲進行迴旋攻擊，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD that frequents the wilderness. Records show it is capable of pulling bowstrings like humans and shooting lightning as arrows.,出現於野外的囈語種殘象，據記錄其會引雷為矢，類人拉弓射擊，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD widely distributed in the wild. It can wield a small amount of Aero energy for attacks.,廣泛分佈於野外的囈語種殘象，可驅動少量氣動屬性能量進行攻擊，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD widely distributed in the wild. It can wield a small amount of Havoc energy for attacks.,廣泛分佈於野外的囈語種殘象，可驅動少量湮滅屬性能量進行攻擊，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD widely distributed in the wild. It can wield a small amount of Spectro energy for attacks.,廣泛分佈於野外的囈語種殘象，可驅動少量衍射屬性能量進行攻擊，危險度隸屬於輕波級。,zh-TW
A Common Class Whisperin TD widely distributed in the wild. Its small body is as fragile as ice.,廣泛分佈於野外的囈語種殘象，體型較小，脆弱如冰，危險度隸屬於輕波級。,zh-TW
A Common Class WhisperinTD commonly found in the wild. Records show that a giant scythe is grown from its arm.,常見於野外的囈語種殘象，據記錄其臂生巨鐮，危險度隸屬於輕波級。,zh-TW
