source,target,tgt_lng
Aeroimpulso,Rajada de Vento,pt-BR
Affilage,Alcance,pt-BR
Affilatezza,Afiação,pt-BR
Affinità all'acqua,Afinidade Aquática,pt-BR
Affinité aquatique,Afinidade Aquática,pt-BR
Affondo,Estocada,pt-BR
Afinidad acuática,Afinidade Aquática,pt-BR
Agilidad acuática,Passos Profundos,pt-BR
Agilité aquatique,Passos Profundos,pt-BR
Agilité des âmes,Velocidade das Almas,pt-BR
Alev,Chama,pt-BR
Alevden Çehre,Aspecto Flamejante,pt-BR
Anatema,Julgamento,pt-BR
Apnée,Respiração,pt-BR
Appât,Isca,pt-BR
Aqua Affinity,Afinidade Aquática,pt-BR
Aspecto ígneo,Aspecto Flamejante,pt-BR
Aspetto di fuoco,Aspecto Flamejante,pt-BR
Ateş Koruması,Proteção contra Fogo,pt-BR
Atmung,Respiração,pt-BR
Atracción,Isca,pt-BR
Atterraggio morbido,Peso-Pena,pt-BR
Atılma,Estocada,pt-BR
Aura de feu,Aspecto Flamejante,pt-BR
Ausfallschritt,Estocada,pt-BR
Aşma,Ruptura,pt-BR
Bane of Arthropods,Ruína dos Artrópodes,pt-BR
Bann,Julgamento,pt-BR
Barrido,Alcance,pt-BR
Bağlanma Laneti,Maldição do Ligamento,pt-BR
Behutsamkeit,Toque Suave,pt-BR
Blast Protection,Proteção contra Explosões,pt-BR
Botín,Saque,pt-BR
Breach,Ruptura,pt-BR
Breccia,Ruptura,pt-BR
Brèche,Ruptura,pt-BR
Butin,Saque,pt-BR
Bảo vệ,Proteção,pt-BR
Bảo vệ khỏi lửa,Proteção contra Fogo,pt-BR
Bảo vệ khỏi sát thương rơi,Peso-Pena,pt-BR
Bảo vệ khỏi vật bắn ra,Proteção contra Projéteis,pt-BR
Bảo vệ khỏi vụ nổ,Proteção contra Explosões,pt-BR
Canalisation,Condutividade,pt-BR
Canalizzazione,Condutividade,pt-BR
Carga rápida,Carga Rápida,pt-BR
Carica rapida,Carga Rápida,pt-BR
Caída de pluma,Peso-Pena,pt-BR
Chance de la mer,Sorte do Mar,pt-BR
Channeling,Condutividade,pt-BR
Charge rapide,Carga Rápida,pt-BR
Chute amortie,Peso-Pena,pt-BR
Chân lạnh,Passos Gelados,pt-BR
Châtiment,Julgamento,pt-BR
Chậm hỏng,Inquebrável,pt-BR
Chớp điện,Condutividade,pt-BR
Colpo di vento,Rajada de Vento,pt-BR
Conductividad,Condutividade,pt-BR
Contraccolpo,Repulsão,pt-BR
Curse of Binding,Maldição do Ligamento,pt-BR
Curse of Vanishing,Maldição do Desaparecimento,pt-BR
Delme,Perfuração,pt-BR
Deniz Şansı,Sorte do Mar,pt-BR
Densidad,Densidade,pt-BR
Density,Densidade,pt-BR
Densità,Densidade,pt-BR
Densité,Densidade,pt-BR
Depth Strider,Passos Profundos,pt-BR
Derin Koşucu,Passos Profundos,pt-BR
Dichte,Densidade,pt-BR
Dikenli,Espinhos,pt-BR
Diệt chân đốt,Ruína dos Artrópodes,pt-BR
Diệt xác sống,Julgamento,pt-BR
Dondurucu Yürüyüş,Passos Gelados,pt-BR
Dornen,Espinhos,pt-BR
Durchbruch,Ruptura,pt-BR
Durchschuss,Perfuração,pt-BR
Efficacité,Eficiência,pt-BR
Efficiency,Eficiência,pt-BR
Efficienza,Eficiência,pt-BR
Effizienz,Eficiência,pt-BR
Eficiencia,Eficiência,pt-BR
Eisläufer,Passos Gelados,pt-BR
Eklembacaklıların Kıyameti,Ruína dos Artrópodes,pt-BR
Empalamiento,Empalamento,pt-BR
Empalement,Empalamento,pt-BR
Empuje,Repulsão,pt-BR
Entladung,Condutividade,pt-BR
Esca,Isca,pt-BR
Espinas,Espinhos,pt-BR
Explosionsschutz,Proteção contra Explosões,pt-BR
Feather Falling,Peso-Pena,pt-BR
Federfall,Peso-Pena,pt-BR
Feuerschutz,Proteção contra Fogo,pt-BR
Fiamma,Chama,pt-BR
Filo,Afiação,pt-BR
Fire Aspect,Aspecto Flamejante,pt-BR
Fire Protection,Proteção contra Fogo,pt-BR
Fisura,Ruptura,pt-BR
Flagello degli artropodi,Ruína dos Artrópodes,pt-BR
Flame,Chama,pt-BR
Flamme,Chama,pt-BR
Fluch der Bindung,Maldição do Ligamento,pt-BR
Fluch des Verschwindens,Maldição do Desaparecimento,pt-BR
Fléau des arthropodes,Ruína dos Artrópodes,pt-BR
Fortuna del mare,Sorte do Mar,pt-BR
Fortune,Fortuna,pt-BR
Frappe,Impacto,pt-BR
Frost Walker,Passos Gelados,pt-BR
Fuego,Chama,pt-BR
Furtivité rapide,Passos Furtivos,pt-BR
Gai,Espinhos,pt-BR
Ganimet,Saque,pt-BR
Gia tài,Fortuna,pt-BR
Girdap,Correnteza,pt-BR
Glück,Fortuna,pt-BR
Glück des Meeres,Sorte do Mar,pt-BR
Golpeo,Julgamento,pt-BR
Gây cháy,Aspecto Flamejante,pt-BR
Güç,Força,pt-BR
Haltbarkeit,Inquebrável,pt-BR
Harpune,Empalamento,pt-BR
Hiệu suất,Eficiência,pt-BR
Huschen,Passos Furtivos,pt-BR
Hô hấp,Respiração,pt-BR
Hızlı Çekiş,Carga Rápida,pt-BR
Impalamento,Empalamento,pt-BR
Impaling,Empalamento,pt-BR
Impatto,Impacto,pt-BR
Impulsion,Correnteza,pt-BR
