source,target,tgt_lng
Soulmate,灵魂伴侣,zh-CN
魂の伴侶,灵魂伴侣,zh-CN
영혼단짝,灵魂伴侣,zh-CN
靈魂伴侶,灵魂伴侣,zh-CN
Bernina & Virigia,珀尔娜&维嘉尔,zh-CN
ヴェルナー&ヴェルジュ,珀尔娜&维嘉尔,zh-CN
베르너&베르주,珀尔娜&维嘉尔,zh-CN
珀爾娜&維嘉爾,珀尔娜&维嘉尔,zh-CN
Valentine's Day Mistique,情人节雾语,zh-CN
ミスティ,情人节雾语,zh-CN
발렌타인 미스티,情人节雾语,zh-CN
情人節霧語,情人节雾语,zh-CN
Willow,薇洛,zh-CN
ウィロー,薇洛,zh-CN
윌로,薇洛,zh-CN
Bloc,布洛克,zh-CN
ブロッチ,布洛克,zh-CN
블롯치,布洛克,zh-CN
布洛可,布洛克,zh-CN
Horizon,彼岸,zh-CN
カナタ,彼岸,zh-CN
카나타,彼岸,zh-CN
Iori,伊织,zh-CN
イオリ,伊织,zh-CN
이오리,伊织,zh-CN
伊織,伊织,zh-CN
Amber,琥珀,zh-CN
コハク,琥珀,zh-CN
코하쿠,琥珀,zh-CN
Tilia,缇莉娅,zh-CN
ティリア,缇莉娅,zh-CN
틸리아,缇莉娅,zh-CN
緹莉婭,缇莉娅,zh-CN
Kasimira,卡西米拉,zh-CN
カシミラ,卡西米拉,zh-CN
카시미라,卡西米拉,zh-CN
Firenze,翡冷翠,zh-CN
フィレン,翡冷翠,zh-CN
피렌,翡冷翠,zh-CN
Iris,鸢尾,zh-CN
アヤメ,鸢尾,zh-CN
아야메,鸢尾,zh-CN
鳶尾,鸢尾,zh-CN
Noya,尘沙,zh-CN
セイナ,尘沙,zh-CN
세이나,尘沙,zh-CN
塵沙,尘沙,zh-CN
Shimiao,师渺,zh-CN
シーミャオ,师渺,zh-CN
시먀오,师渺,zh-CN
師渺,师渺,zh-CN
Chaton,猫眼,zh-CN
シャトン,猫眼,zh-CN
샤통,猫眼,zh-CN
貓眼,猫眼,zh-CN
Firefly,火垂,zh-CN
ホタル,火垂,zh-CN
호타루,火垂,zh-CN
Ridge,岭川,zh-CN
レイセン,岭川,zh-CN
레이센,岭川,zh-CN
嶺川,岭川,zh-CN
Jinglin,璟麟,zh-CN
ジンリン,璟麟,zh-CN
징린,璟麟,zh-CN
Coronis,科洛妮丝,zh-CN
クルニス,科洛妮丝,zh-CN
크루니스,科洛妮丝,zh-CN
柯洛妮絲,科洛妮丝,zh-CN
Nanoha,花原,zh-CN
ナノハ,花原,zh-CN
나노하,花原,zh-CN
Canace,卡娜丝,zh-CN
カナーチェ,卡娜丝,zh-CN
카나체,卡娜丝,zh-CN
卡娜絲,卡娜丝,zh-CN
Ann,杏子,zh-CN
アンズ,杏子,zh-CN
안즈,杏子,zh-CN
Freesia,苍兰,zh-CN
フリージア,苍兰,zh-CN
프리지아,苍兰,zh-CN
蒼蘭,苍兰,zh-CN
Flora,紫槿,zh-CN
フローラ,紫槿,zh-CN
플로라,紫槿,zh-CN
Teresa,特丽莎,zh-CN
テレサ,特丽莎,zh-CN
테레사,特丽莎,zh-CN
特麗莎,特丽莎,zh-CN
Donna,多娜,zh-CN
トーナ,多娜,zh-CN
토나,多娜,zh-CN
Minova,密涅瓦,zh-CN
ミネルバ,密涅瓦,zh-CN
미네르바,密涅瓦,zh-CN
Nazuka,夏花,zh-CN
ナツカ,夏花,zh-CN
나츠카,夏花,zh-CN
Fuyuka,冬香,zh-CN
フユカ,冬香,zh-CN
후유카,冬香,zh-CN
Mistique,雾语,zh-CN
ミスティ,雾语,zh-CN
미스티,雾语,zh-CN
霧語,雾语,zh-CN
Eleanor,埃莉诺,zh-CN
エレノア,埃莉诺,zh-CN
엘레노어,埃莉诺,zh-CN
埃莉諾,埃莉诺,zh-CN
Sparkla,斯帕克拉,zh-CN
スパクル,斯帕克拉,zh-CN
스파클,斯帕克拉,zh-CN
Chixia,赤霞,zh-CN
チーシア,赤霞,zh-CN
치시아,赤霞,zh-CN
Cosette,珂赛特,zh-CN
コゼット,珂赛特,zh-CN
코제트,珂赛特,zh-CN
珂賽特,珂赛特,zh-CN
Wraith,风影,zh-CN
レイス,风影,zh-CN
레이스,风影,zh-CN
風影,风影,zh-CN
Chitose,千都世,zh-CN
チトセ,千都世,zh-CN
치토세,千都世,zh-CN
Otoha,乙叶,zh-CN
オトハ,乙叶,zh-CN
오토하,乙叶,zh-CN
乙葉,乙叶,zh-CN
Caramel,焦糖,zh-CN
キャラメル,焦糖,zh-CN
