category,category_label,id,term,src_table
01_character,角色名称,Student.10000,アル,students.json
01_character,角色名称,Student.10001,エイミ,students.json
01_character,角色名称,Student.10002,ハルナ,students.json
01_character,角色名称,Student.10003,ヒフミ,students.json
01_character,角色名称,Student.10004,ヒナ,students.json
01_character,角色名称,Student.10005,ホシノ,students.json
01_character,角色名称,Student.10006,イオリ,students.json
01_character,角色名称,Student.10007,マキ,students.json
01_character,角色名称,Student.10008,ネル,students.json
01_character,角色名称,Student.10009,イズミ,students.json
01_character,角色名称,Student.10010,シロコ,students.json
01_character,角色名称,Student.10011,シュン,students.json
01_character,角色名称,Student.10012,スミレ,students.json
01_character,角色名称,Student.10013,ツルギ,students.json
01_character,角色名称,Student.10014,イズナ,students.json
01_character,角色名称,Student.10015,アリス,students.json
01_character,角色名称,Student.10016,ミドリ,students.json
01_character,角色名称,Student.10017,チェリノ,students.json
01_character,角色名称,Student.10018,ユズ,students.json
01_character,角色名称,Student.10019,アズサ,students.json
01_character,角色名称,Student.10020,コハル,students.json
01_character,角色名称,Student.10021,アズサ（水着）,students.json
01_character,角色名称,Student.10022,ヒナ（水着）,students.json
01_character,角色名称,Student.10023,イオリ（水着）,students.json
01_character,角色名称,Student.10024,シロコ（ライディング）,students.json
01_character,角色名称,Student.10025,シュン（幼女）,students.json
01_character,角色名称,Student.10026,ネル（バニーガール）,students.json
01_character,角色名称,Student.10027,カリン（バニーガール）,students.json
01_character,角色名称,Student.10028,アスナ（バニーガール）,students.json
01_character,角色名称,Student.10029,ナツ,students.json
01_character,角色名称,Student.10030,チナツ（温泉）,students.json
01_character,角色名称,Student.10031,アル（正月）,students.json
01_character,角色名称,Student.10032,ムツキ（正月）,students.json
01_character,角色名称,Student.10033,ワカモ,students.json
01_character,角色名称,Student.10034,ミモリ,students.json
01_character,角色名称,Student.10035,ウイ,students.json
01_character,角色名称,Student.10036,ヒナタ,students.json
01_character,角色名称,Student.10037,マリナ,students.json
01_character,角色名称,Student.10038,ミヤコ,students.json
01_character,角色名称,Student.10039,ミユ,students.json
01_character,角色名称,Student.10040,ツクヨ,students.json
01_character,角色名称,Student.10041,ミサキ,students.json
01_character,角色名称,Student.10042,アツコ,students.json
01_character,角色名称,Student.10043,ワカモ（水着）,students.json
01_character,角色名称,Student.10044,ノノミ（水着）,students.json
01_character,角色名称,Student.10045,ホシノ（水着）,students.json
01_character,角色名称,Student.10046,イズナ（水着）,students.json
01_character,角色名称,Student.10047,チセ（水着）,students.json
01_character,角色名称,Student.10048,サオリ,students.json
01_character,角色名称,Student.10049,カズサ,students.json
01_character,角色名称,Student.10050,ココナ,students.json
01_character,角色名称,Student.10051,ウタハ（応援団）,students.json
01_character,角色名称,Student.10052,ノア,students.json
01_character,角色名称,Student.10053,ユウカ（体操服）,students.json
01_character,角色名称,Student.10054,マリー（体操服）,students.json
01_character,角色名称,Student.10055,シグレ,students.json
01_character,角色名称,Student.10056,セリナ（クリスマス）,students.json
01_character,角色名称,Student.10057,ハルナ（正月）,students.json
01_character,角色名称,Student.10058,ミネ,students.json
01_character,角色名称,Student.10059,ミカ,students.json
01_character,角色名称,Student.10060,メグ,students.json
01_character,角色名称,Student.10061,サクラコ,students.json
01_character,角色名称,Student.10062,トキ,students.json
01_character,角色名称,Student.10063,コユキ,students.json
01_character,角色名称,Student.10064,カヨコ（正月）,students.json
01_character,角色名称,Student.10065,カホ,students.json
01_character,角色名称,Student.10066,アリス（メイド）,students.json
01_character,角色名称,Student.10067,トキ（バニーガール）,students.json
01_character,角色名称,Student.10068,レイサ,students.json
01_character,角色名称,Student.10069,ルミ,students.json
01_character,角色名称,Student.10070,ミナ,students.json
01_character,角色名称,Student.10071,ミヤコ（水着）,students.json
01_character,角色名称,Student.10072,サキ（水着）,students.json
01_character,角色名称,Student.10073,ウイ（水着）,students.json
01_character,角色名称,Student.10074,ハナコ（水着）,students.json
01_character,角色名称,Student.10075,メル,students.json
01_character,角色名称,Student.10076,コトリ（応援団）,students.json
01_character,角色名称,Student.10077,イチカ,students.json
01_character,角色名称,Student.10078,カスミ,students.json
01_character,角色名称,Student.10079,御坂美琴,students.json
01_character,角色名称,Student.10080,食蜂操祈,students.json
01_character,角色名称,Student.10081,ユカリ,students.json
01_character,角色名称,Student.10082,レンゲ,students.json
01_character,角色名称,Student.10083,キキョウ,students.json
01_character,角色名称,Student.10084,コタマ（キャンプ）,students.json
01_character,角色名称,Student.10085,ハレ（キャンプ）,students.json
