source,target,tgt_lng
"""A Small Workspace""","""Um Pequeno Espaço de Trabalho""",pt-BR
"""Banners Never Fall"" Challenges","Desafios ""Estandartes Nunca Caem""",pt-BR
"""Dream of Azure Sky"" Event","Evento ""Sonho do Céu Azul""",pt-BR
"""Dreaming Deep"" Event","Evento ""Profundezas Oníricas""",pt-BR
"""I miss you all the time""","""Sinto sua falta o tempo todo""",pt-BR
"""Into the Land of Paradox"" event","Evento ""Rumo à Terra do Paradoxo""",pt-BR
"""Lament Recon: Solaris Soldier"" Limited-Time Event","Evento por Tempo Limitado ""Reconhecimento do Lamento: Soldado de Solaris""",pt-BR
"""Mingshen Notices"" event","Evento ""Anúncios de Mingshen""",pt-BR
"""Operation: Frontier Renewal"" Event","Evento ""Operação: Renovação da Fronteira""",pt-BR
"""Perfect Trade""",“Troca perfeita”,pt-BR
"""Startorch Racing, Rerun!"" Event","Evento ""Corrida Tochestrela, De Novo!""",pt-BR
"""Stranger Things in Honami"" Event","Evento ""Coisas Estranhas em Honami""",pt-BR
"""Tacetite Invaders 3""",Invasores de Tacetita 3,pt-BR
"""The Finale""","""O Final""",pt-BR
"""The Lament""",O Lamento,pt-BR
"""Where Stars Cascade Down"" Event","Evento ""Onde as Estrelas Descem em Cascata""",pt-BR
"""Whispers Between Stars"" Event","Evento ""Sussurros Entre as Estrelas""",pt-BR
"""{0}"" exploration has been completed",A exploração de “{0}“ foi concluída,pt-BR
"""{0}"" ที่เกิดมาในความสับสน

คุณพร้อมที่จะสร้างอนาคตที่พังทลายขึ้นมาใหม่แล้วหรือยัง","O “{0}” nascido na confusão,

Quer mesmo remodelar o futuro quebrado?",pt-BR
"""{0}"" ที่เกิดมาในความสับสน

คุณพร้อมที่จะสร้างอนาคตที่พังทลายขึ้นมาใหม่แล้วหรือยัง","“{0}“ nasceu na confusão,

Já se preparou para remodelar o futuro despedaçado?",pt-BR
"""{0}"" 임무 완료 후 오픈",Conclua a missão: “{0}” para desbloquear,pt-BR
"""{0}"" 탐험을 완료했습니다",A exploração de “{0}“ foi concluída,pt-BR
"""การค้าขายสมบูรณ์แบบ""",“Troca perfeita”,pt-BR
"""พัฟรสหวาน"" ไม่เพียงพอ","""Baiadoce"" insuficiente",pt-BR
"""ศึกสุดท้าย""","""O Final""",pt-BR
"""ห้องทำงานเล็กๆ""","""Um Pequeno Espaço de Trabalho""",pt-BR
%,%s,pt-BR
%ATK,ATQ%,pt-BR
%DEF,DEF%,pt-BR
%HP,HP%,pt-BR
%s Stufe,Fase %s,pt-BR
%s stage,Fase %s,pt-BR
%s阶,Fase %s,pt-BR
%s階,Fase %s,pt-BR
(;_;),Buá,pt-BR
(A activer),(Aguardando ativação),pt-BR
(Awaiting activation),(Aguardando ativação),pt-BR
(Esperando activación),(Aguardando ativação),pt-BR
(Opcional) {0} ahora en {1}; no puede seguir.,(Opcional) {0} está em {1} no momento. Esta missão está indisponível.,pt-BR
(Optional) {0} is occupied in {1}. This quest is unavailable.,(Opcional) {0} está em {1} no momento. Esta missão está indisponível.,pt-BR
(Optional){0} ist derzeit in Mission {1} und kann die Mission nicht fortsetzen,(Opcional) {0} está em {1} no momento. Esta missão está indisponível.,pt-BR
(Wartet auf Aktivierung),(Aguardando ativação),pt-BR
(ทางเลือก) {0} ถูกยึดครองใน {1} ภารกิจนี้ไม่สามารถใช้งานได้,(Opcional) {0} está em {1} no momento. Esta missão está indisponível.,pt-BR
(รอการเปิดใช้งาน),(Aguardando ativação),pt-BR
(待啟動),(Aguardando ativação),pt-BR
(待激活),(Aguardando ativação),pt-BR
(활성화 필요),(Aguardando ativação),pt-BR
+2 Tage,+2 dias,pt-BR
+2 days,+2 dias,pt-BR
+2 días,+2 dias,pt-BR
+2 jours,+2 dias,pt-BR
+2 วัน,+2 dias,pt-BR
+2日,+2 dias,pt-BR
+2일,+2 dias,pt-BR
+5까지 강화 후 에코 옵티마이즈 해제 가능,Atualize para +5 para desbloquear afinação do eco,pt-BR
+{0}強化で音骸チューニングを解放,Atualize para +{0} para desbloquear afinação,pt-BR
+{0}까지 강화 시 에코 옵티마이즈 해제,Atualize para +{0} para desbloquear afinação,pt-BR
/test a atteint son nombre maximum,Número limitado,pt-BR
"0,0",0,pt-BR
0.0,0,pt-BR
01,Jan,pt-BR
02,Fev,pt-BR
03,Março,pt-BR
04,Abr,pt-BR
05,Maio,pt-BR
06,Jun,pt-BR
07,Jul,pt-BR
08,Ago,pt-BR
09,Set,pt-BR
1,Jan,pt-BR
1 Compañero alcanza 150 en el atributo de Acción.,Alcance 150 de ação com qualquer colega.,pt-BR
1 Compañero alcanza 150 en el atributo de Conocimiento.,Alcance 150 de conhecimento com qualquer colega.,pt-BR
1 Compañero alcanza 150 en el atributo de Cooperación.,Alcance 150 de cooperação com qualquer colega.,pt-BR
1 Compañero alcanza 210 en el atributo de Cooperación.,Alcance 210 de qualquer atributo com qualquer colega.,pt-BR
1 Gefährte erreicht 150 Aktionen,Alcance 150 de ação com qualquer colega.,pt-BR
1 Gefährte erreicht 150 Teamarbeit,Alcance 150 de cooperação com qualquer colega.,pt-BR
1 Gefährte erreicht 150 Wissen,Alcance 150 de conhecimento com qualquer colega.,pt-BR
1 Gefährte erreicht Bindungsstufe 10,Alcance o nível de ligação 10 com 1 colega.,pt-BR
1 Gefährte erreicht Bindungsstufe 2,Alcance o nível de ligação 2 com 1 colega.,pt-BR
1 beliebiger Wunsch erreicht Stufe SS,Alcance SS ou uma classificação superior em qualquer desejo.,pt-BR
1.0,1,pt-BR
10,Out,pt-BR
10,X,pt-BR
10 h,Às 10h,pt-BR
10 โมงเช้า,Às 10h,pt-BR
100 000 dégâts critiques cumulés,Cause 100.000 de Dano Crítico no total,pt-BR
10:00 Uhr,Às 10h,pt-BR
10个摊位等级达到5级,Melhore 10 estandes para o nv. 5.,pt-BR
10個攤位等級達到5級,Melhore 10 estandes para o nv. 5.,pt-BR
10軒の露店がレベル5を達成,Melhore 10 estandes para o nv. 5.,pt-BR
11,Nov,pt-BR
12,Dez,pt-BR
12 characters max,Máximo de 12 caracteres,pt-BR
120 FPS,120,pt-BR
120fps,120,pt-BR
1280*720,1280 x 720,pt-BR
1366*768,1366 x 768,pt-BR
1440*900,1440 x 900,pt-BR
1600*900,1600 x 900,pt-BR
1920*1080,1920 x 1080,pt-BR
