id,term,src_table
ActivityAvgLevel.10005.1,Act Five,ActivityAvgLevel.json
ActivityAvgLevel.10006.1,Act Six,ActivityAvgLevel.json
ActivityAvgLevel.10007.1,Act Seven,ActivityAvgLevel.json
ActivityAvgLevel.10008.1,Act Eight,ActivityAvgLevel.json
ActivityAvgLevel.10009.1,Act Nine,ActivityAvgLevel.json
ActivityAvgLevel.10010.1,Act Ten,ActivityAvgLevel.json
ActivityAvgLevel.10011.1,Epilogue,ActivityAvgLevel.json
ActivityIceCreamLevel.2011.1,Palm Beach,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2013.1,Seabreeze Boardwalk,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2015.1,Echoing Caves,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2017.1,Heatwave Bay,ActivityIceCreamLevel.json
ActivityLevelsLevel.1000101.1,Summer Brawl Ⅰ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000102.1,Summer Brawl Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000103.1,Summer Brawl Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000104.1,Summer Brawl Ⅳ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000105.1,Summer Brawl Ⅴ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000106.1,Summer Brawl Ⅵ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000107.1,Summer Brawl Ⅶ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000108.1,Hexhorn Whale (Normal),ActivityLevelsLevel.json
ActivityLevelsLevel.1000201.1,Treasure Raider Ⅰ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000202.1,Treasure Raider Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000203.1,Treasure Raider Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000204.1,Hexhorn Whale (Hard),ActivityLevelsLevel.json
ActivityLevelsLevel.1001101.1,Summer Brawl Ⅰ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001102.1,Summer Brawl Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001103.1,Summer Brawl Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001104.1,Summer Brawl Ⅳ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001105.1,Summer Brawl Ⅴ,ActivityLevelsLevel.json
