source,target,tgt_lng
"""Apenas uma estudante comum.""

Calmamente, ela se apresenta, um leve brilho iridescente tremulando em seus olhos. Novamente, as estruturas do mundo se revelam em sua visão. Estreitando os olhos, ela identifica o próprio fio que puxa a vida.","«Soy una estudiante ordinaria».

Se presenta con tranquilidad, y un tenue destello iridiscente titila en sus pupilas. Una vez más, las estructuras del mundo se revelan ante su mirada. Entornando los ojos, distingue el hilo que tira de la vida misma.",es-ES
"""Bringing a smile to every passenger is our cafe's top priority!""","Después de todo, nuestro lema es: «Tu sonrisa es nuestra especialidad».",es-ES
"""But now you're going to leave with nothing but a sign.""",«But now you're going to leave with nothing but a sign».,es-ES
"""Em uma noite silenciosa, alguém atraiu os luares.
Ela não acredita no destino, mas sorri ao revelar suas bênçãos para você.""","«En una noche en calma, alguien atrajo la luz de la luna.
Y aunque no cree en el destino, aún sonríe al revelarte sus bendiciones».",es-ES
"""Ghost Hounds""",Sabuesos Fantasmas,es-ES
"""Homebound""",Hogareño,es-ES
"""Into the Land of Paradox"" event",Evento: Estudio entre paradojas,es-ES
"""Just an ordinary student.""

Calmly, she introduces herself, a faint iridescent shimmer flickering in her eyes. Again, the structures of the world reveal themselves in her vision. Narrowing her eyes, she singles out the very thread that tugs at life itself.","«Soy una estudiante ordinaria».

Se presenta con tranquilidad, y un tenue destello iridiscente titila en sus pupilas. Una vez más, las estructuras del mundo se revelan ante su mirada. Entornando los ojos, distingue el hilo que tira de la vida misma.",es-ES
"""Lament Recon: Solaris Soldier"" Limited-Time Event",Tiempo limitado: Recon Lamento: Soldado Solaris,es-ES
"""Lament Recon: Tacet Crisis"" Limited-Time Event",Evento por tiempo limitado «Recon Lamento: Crisis Tácita»,es-ES
"""Mas agora você vai embora só com uma placa.""",«But now you're going to leave with nothing but a sign».,es-ES
"""Moonlit Revelation"" Limited-Time Event",Tiempo limitado: Revelación lunar,es-ES
"""On a hushed night, someone drew down the moonlights.
She does not believe in fate, yet she smiles as she reveals its blessings for you.""","«En una noche en calma, alguien atrajo la luz de la luna.
Y aunque no cree en el destino, aún sonríe al revelarte sus bendiciones».",es-ES
"""Rachel""",«Rachel»,es-ES
"""Retorno ao Lar""",Hogareño,es-ES
"""Rover""",Errante,es-ES
"""Trazer um sorriso para cada passageiro é a prioridade máxima do nosso café!""","Después de todo, nuestro lema es: «Tu sonrisa es nuestra especialidad».",es-ES
"""กองทัพสุนัขล่าวิญญาณ""",Sabuesos Fantasmas,es-ES
"""การทำให้ลูกค้าทุกคนที่มาถึงที่นี่ยิ้มได้ คือเป้าหมายสูงสุดของร้านเรา!""","Después de todo, nuestro lema es: «Tu sonrisa es nuestra especialidad».",es-ES
"""ก็แค่นักเรียนธรรมดาคนหนึ่ง""
เธอแนะนำตัวด้วยน้ำเสียงราบเรียบ ทว่าในนัยน์ตากลับมีประกายแสงหลากสีเปล่งออกมาจางๆ โครงสร้างของสรรพสิ่งค่อยๆ ปรากฏชัดขึ้นในครรลองสายตา เธอหรี่ตาลงเล็กน้อย เพื่อแยกแยะเส้นด้ายเส้นนั้น... เส้นที่คอยชักเชิดชีวิตของผู้คน","«Soy una estudiante ordinaria».

Se presenta con tranquilidad, y un tenue destello iridiscente titila en sus pupilas. Una vez más, las estructuras del mundo se revelan ante su mirada. Entornando los ojos, distingue el hilo que tira de la vida misma.",es-ES
"""บ้าน""",Hogareño,es-ES
"""ผู้พเนจร""",Errante,es-ES
"""ในคืนเงียบสงัด มีผู้ชักโน้มแสงจันทร์
นางไม่เชื่อในโชคชะตา แต่กลับยิ้มพร้อมประทานพรให้กับคุณ""","«En una noche en calma, alguien atrajo la luz de la luna.
Y aunque no cree en el destino, aún sonríe al revelarte sus bendiciones».",es-ES
10 de setembro,10 de septiembre,es-ES
10 décembre,Desconocido,es-ES
10 septembre,10 de septiembre,es-ES
10 กันยายน,10 de septiembre,es-ES
10. September,10 de septiembre,es-ES
10月11日,11 de octubre,es-ES
10月13日,13 de octubre,es-ES
10月2日,2 de octubre,es-ES
10월 11일,11 de octubre,es-ES
10월 13일,13 de octubre,es-ES
10월 2일,2 de octubre,es-ES
11 de junho,11 de junio,es-ES
11 de outubro,11 de octubre,es-ES
11 ตุลาคม,11 de octubre,es-ES
11 มิถุนายน,11 de junio,es-ES
11. Juni,11 de junio,es-ES
11. Oktober,11 de octubre,es-ES
11月6日,6 de noviembre,es-ES
11월 6일,6 de noviembre,es-ES
12月14日,14 de diciembre,es-ES
12月31日,31 de diciembre,es-ES
12월 14일,14 de diciembre,es-ES
12월 31일,31 de diciembre,es-ES
13 octobre,13 de octubre,es-ES
13. Oktober,13 de octubre,es-ES
14 de dezembro,14 de diciembre,es-ES
14 décembre,14 de diciembre,es-ES
14 ธันวาคม,14 de diciembre,es-ES
14. Dezember,14 de diciembre,es-ES
17 de setembro,17 de septiembre,es-ES
17 septembre,17 de septiembre,es-ES
17 กันยายน,17 de septiembre,es-ES
17. September,17 de septiembre,es-ES
18 Juin,18 de junio,es-ES
18 avril,18 de abril,es-ES
18 de jun,18 de junio,es-ES
18 de maio,18 de mayo,es-ES
18 mai,18 de mayo,es-ES
18 พฤษภาคม,18 de mayo,es-ES
18 เมษายน,18 de abril,es-ES
18. April,18 de abril,es-ES
18. Mai,18 de mayo,es-ES
1月20日,20 de enero,es-ES
1月31日,31 de enero,es-ES
1월 20일,20 de enero,es-ES
1월 31일,31 de enero,es-ES
2 de outubro,2 de octubre,es-ES
2 octobre,2 de octubre,es-ES
2 ตุลาคม,2 de octubre,es-ES
2. Oktober,2 de octubre,es-ES
20 de janeiro,20 de enero,es-ES
20 janvier,20 de enero,es-ES
20 มกราคม,20 de enero,es-ES
20. Januar,20 de enero,es-ES
2025 Gifts of Grand Celebration Limited-Time Event,Tiempo limitado: Regalos de la gran celebración 2025,es-ES
2025 Presentes da Grande Celebração - Evento por Tempo Limitado,Tiempo limitado: Regalos de la gran celebración 2025,es-ES
2025年「盛会赠礼」限时活动中获得,Tiempo limitado: Regalos de la gran celebración 2025,es-ES
2025年「盛會贈禮」限時活動中獲得,Tiempo limitado: Regalos de la gran celebración 2025,es-ES
2025年期間限定イベント「慶びのプレゼント」で獲得,Tiempo limitado: Regalos de la gran celebración 2025,es-ES
2025년 「축제의 선물」 기간 한정 이벤트에서 획득,Tiempo limitado: Regalos de la gran celebración 2025,es-ES
2026 Gifts of Grand Celebration Limited-Time Event,Tiempo limitado: Regalos de la gran celebración 2026,es-ES
2026 Presentes da Grande Celebração - Evento por Tempo Limitado,Tiempo limitado: Regalos de la gran celebración 2026,es-ES
2026年「盛会赠礼」限时活动中获得,Tiempo limitado: Regalos de la gran celebración 2026,es-ES
2026年「盛會贈禮」限時活動中獲得,Tiempo limitado: Regalos de la gran celebración 2026,es-ES
2026年期間限定イベント「慶びのプレゼント」で獲得,Tiempo limitado: Regalos de la gran celebración 2026,es-ES
2026년 「축제의 선물」 기간 한정 이벤트에서 획득,Tiempo limitado: Regalos de la gran celebración 2026,es-ES
21 de março,21 de marzo,es-ES
21 mars,21 de marzo,es-ES
21 มีนาคม,21 de marzo,es-ES
21. März,21 de marzo,es-ES
25 de fevereiro,25 de febrero,es-ES
25 février,25 de febrero,es-ES
25 กุมภาพันธ์,25 de febrero,es-ES
25. Februar,25 de febrero,es-ES
27 février,27 de febrero,es-ES
27. Februar,27 de febrero,es-ES
2月25日,25 de febrero,es-ES
2月27日,27 de febrero,es-ES
2월 25일,25 de febrero,es-ES
2월 27일,27 de febrero,es-ES
31 août,31 de agosto,es-ES
31 de dezembro,31 de diciembre,es-ES
31 décembre,31 de diciembre,es-ES
31 janvier,31 de enero,es-ES
31 ธ.ค.,31 de diciembre,es-ES
31 สิงหาคม,31 de agosto,es-ES
31-Dez,31 de diciembre,es-ES
31. August,31 de agosto,es-ES
31. Januar,31 de enero,es-ES
3月21日,21 de marzo,es-ES
3月6日,6 de marzo,es-ES
3월 21일,21 de marzo,es-ES
3월 6일,6 de marzo,es-ES
45688,31 de enero,es-ES
45715,27 de febrero,es-ES
45826,18 de junio,es-ES
45943,13 de octubre,es-ES
46053,31 de enero,es-ES
46080,27 de febrero,es-ES
46308,13 de octubre,es-ES
4月18日,18 de abril,es-ES
4月6日,6 de abril,es-ES
4월 18일,18 de abril,es-ES
4월 6일,6 de abril,es-ES
5月18日,18 de mayo,es-ES
5월 18일,18 de mayo,es-ES
6 Juin,6 de junio,es-ES
6 avril,6 de abril,es-ES
6 de junho,6 de junio,es-ES
6 de março,6 de marzo,es-ES
6 de novembro,6 de noviembre,es-ES
6 mars,6 de marzo,es-ES
6 novembre,6 de noviembre,es-ES
6 พฤศจิกายน,6 de noviembre,es-ES
6 มิถุนายน,6 de junio,es-ES
6 มีนาคม,6 de marzo,es-ES
6 เมษายน,6 de abril,es-ES
6. April,6 de abril,es-ES
6. Juni,6 de junio,es-ES
6. März,6 de marzo,es-ES
6. November,6 de noviembre,es-ES
6月11日,11 de junio,es-ES
6月18日,18 de junio,es-ES
6月6日,6 de junio,es-ES
6월 11일,11 de junio,es-ES
6월 18일,18 de junio,es-ES
6월 6일,6 de junio,es-ES
7月8日,8 de julio,es-ES
7월 8일,8 de julio,es-ES
8 août,8 de agosto,es-ES
8 de julho,8 de julio,es-ES
8 juillet,8 de julio,es-ES
8 กรกฎาคม,8 de julio,es-ES
8 สิงหาคม,8 de agosto,es-ES
8. August,8 de agosto,es-ES
8. Juli,8 de julio,es-ES
8月31日,31 de agosto,es-ES
8月8日,8 de agosto,es-ES
8월 31일,31 de agosto,es-ES
8월 8일,8 de agosto,es-ES
9月10日,10 de septiembre,es-ES
9月17日,17 de septiembre,es-ES
9월 10일,10 de septiembre,es-ES
9월 17일,17 de septiembre,es-ES
A Família Fisalia,La familia Fisalia,es-ES
A Família Montelli,La familia Montelli,es-ES
"A Gladiator of Septimont, a radiant star of the arena.
Fiery and straightforward, Lupa lives like a wild lone wolf. As long as she can savor the adrenaline rush of battle, she doesn't mind if that same fire ends up consuming her whole.","Una gladiadora de Septimont y una estrella radiante de la arena.

Fogosa y directa, Lupa vive como una feroz loba solitaria. Mientras pueda saborear la adrenalina de la batalla, no le importa si ese mismo fuego termina consumiéndola por completo.",es-ES
