source,target,tgt_lng
%s (Bắt buộc),%s (erforderlich),de-DE
%s (facoltativo),%s (optional),de-DE
%s (facoltativo) — disattivato,%s (optional) – Deaktiviert,de-DE
%s (facultatif),%s (optional),de-DE
%s (facultatif) - désactivé,%s (optional) – Deaktiviert,de-DE
%s (Gerekli),%s (erforderlich),de-DE
%s (İsteğe Bağlı),%s (optional),de-DE
%s (İsteğe Bağlı) - Devre Dışı,%s (optional) – Deaktiviert,de-DE
%s (Không bắt buộc),%s (optional),de-DE
%s (không bắt buộc) - Đã tắt,%s (optional) – Deaktiviert,de-DE
%s (necesario),%s (erforderlich),de-DE
%s (necessario),%s (erforderlich),de-DE
%s (obrigatório),%s (erforderlich),de-DE
%s (opcional),%s (optional),de-DE
%s (opcional) — Não,%s (optional) – Deaktiviert,de-DE
%s (opcional): Desactivado,%s (optional) – Deaktiviert,de-DE
%s (Optional),%s (optional),de-DE
%s (Optional) - Disabled,%s (optional) – Deaktiviert,de-DE
%s (Required),%s (erforderlich),de-DE
%s (requis),%s (erforderlich),de-DE
%s (необязательно),%s (optional),de-DE
%s (необязательно) — Отключено,%s (optional) – Deaktiviert,de-DE
%s (обязательно),%s (erforderlich),de-DE
%s (จำเป็น),%s (erforderlich),de-DE
%s (ไม่จำเป็น),%s (optional),de-DE
%s (ไม่จำเป็น) - ปิดการใช้งาน,%s (optional) – Deaktiviert,de-DE
%s (선택적),%s (optional),de-DE
%s (선택적) - 꺼짐,%s (optional) – Deaktiviert,de-DE
%s (필수),%s (erforderlich),de-DE
%s（任意）,%s (optional),de-DE
%s（任意） - 無効,%s (optional) – Deaktiviert,de-DE
%s（可选）,%s (optional),de-DE
%s（可选，已禁用）,%s (optional) – Deaktiviert,de-DE
%s（可選 – 已停用）,%s (optional) – Deaktiviert,de-DE
%s（可選）,%s (optional),de-DE
%s（必要）,%s (erforderlich),de-DE
%s（必須）,%s (erforderlich),de-DE
Acconsento all'invio di dati di telemetria facoltativi,Ich stimme der Übermittlung optionaler Telemetriedaten zu,de-DE
Aceito o envio de telemetria opcional,Ich stimme der Übermittlung optionaler Telemetriedaten zu,de-DE
Advancement ID,Fortschritts‐ID,de-DE
Advancement Made,Fortschritt erzielt,de-DE
Alcance visual,Sichtweite,de-DE
Amostras de taxa de quadros (FPS),Datenwerte zur Bildwiederholrate (FPS),de-DE
Amostras do tempo de renderização,Datenwerte zur Renderzeit,de-DE
Arka Uç Adı,Name der Schnittstelle,de-DE
Arka Uç Oluşturma Hatası Eksik Özellikler,Backend‐Initialisierungsfehler: Fehlende Funktionen,de-DE
Arka Uç Oluşturma Hatası Mesajı,Backend‐Initialisierungsfehler: Fehlermeldung,de-DE
Arka Uç Oluşturma Hatası Nedeni,Backend‐Initialisierungsfehler: Grund,de-DE
Ayrılmış Bellek (kB),Zugewiesener Arbeitsspeicher (KB),de-DE
Backend Creation Failure Message,Backend‐Initialisierungsfehler: Fehlermeldung,de-DE
Backend Creation Failure Missing Capabilities,Backend‐Initialisierungsfehler: Fehlende Funktionen,de-DE
Backend Creation Failure Reason,Backend‐Initialisierungsfehler: Grund,de-DE
Backend Name,Name der Schnittstelle,de-DE
Bağlantı Başarılı,Verbindungserfolg,de-DE
Bağlantı Süresi (Milisaniye),Signalaufbauzeit (Millisekunden),de-DE
Başarısızlık Aşaması,Fehlerphase,de-DE
Başlatıcı Adı,Launcher‐Name,de-DE
