id,term,src_table
Enemy.7000001,แยงกี้สาว (SMG),enemies.json
Enemy.7000011,แยงกี้สาว (MG),enemies.json
Enemy.7000013,แยงกี้สาวอำมหิต,enemies.json
Enemy.7000021,แยงกี้สาว (SR),enemies.json
Enemy.7000023,แยงกี้สาวเย็นชา,enemies.json
Enemy.7000101,สมาชิกแก๊งหมวกกันน็อก (SG),enemies.json
Enemy.7000111,สมาชิกแก๊งหมวกกันน็อก (AR),enemies.json
Enemy.7000121,สมาชิกแก๊งหมวกกันน็อก (SR),enemies.json
Enemy.7000201,หัวหน้าแก๊งหมวกกันน็อก (SG),enemies.json
Enemy.7000212,หัวหน้าแก๊งหมวกกันน็อก (AR),enemies.json
Enemy.7000213,หัวหน้าแก๊งหมวกกันน็อกสุขุม,enemies.json
Enemy.7000221,หัวหน้าแก๊งหมวกกันน็อก (SR),enemies.json
Enemy.7000233,ราบุ,enemies.json
Enemy.7000301,อัลบารับใช้ (SG),enemies.json
Enemy.7000311,อัลบารับใช้ (AR),enemies.json
Enemy.7000313,อัลบารับใช้สุขุม,enemies.json
Enemy.7000321,อัลบารับใช้ (SR),enemies.json
Enemy.7000401,หัวหน้าผู้รับใช้ (AR),enemies.json
Enemy.7000411,หัวหน้าผู้รับใช้ (SMG),enemies.json
Enemy.7000421,หัวหน้าผู้รับใช้ (MG),enemies.json
Enemy.7000423,หัวหน้าผู้รับใช้อำมหิต,enemies.json
Enemy.7000501,ผู้คุมตลาดมืด (SG),enemies.json
Enemy.7000511,ผู้คุมตลาดมืด (AR),enemies.json
Enemy.7000521,ผู้คุมตลาดมืด (SR),enemies.json
Enemy.7000523,ผู้คุมตลาดมืดเย็นชา,enemies.json
Enemy.7000531,ผู้คุมตลาดมืด (RL),enemies.json
Enemy.7000601,ทหาร PMC (SG),enemies.json
Enemy.7000611,ทหาร PMC (AR),enemies.json
Enemy.7000613,ทหาร PMC สุขุม,enemies.json
Enemy.7000621,ทหาร PMC (SR),enemies.json
Enemy.7000623,ทหาร PMC เย็นชา,enemies.json
Enemy.7000631,ทหาร PMC (HG),enemies.json
Enemy.7000633,ทหาร PMC เจ้าเล่ห์,enemies.json
Enemy.7000701,กรรมการวินัยเกเฮนน่า (SG),enemies.json
Enemy.7000711,กรรมการวินัยเกเฮนน่า (AR),enemies.json
Enemy.7000713,กรรมการวินัยเกเฮนน่าสุขุม,enemies.json
Enemy.7000721,กรรมการวินัยเกเฮนน่า (SR),enemies.json
Enemy.7000731,กรรมการวินัยเกเฮนน่า (MG),enemies.json
