source,target,tgt_lng
突击,STRIKER,ko-KR
支援,SPECIAL,ko-KR
爆发,폭발,ko-KR
爆発,폭발,ko-KR
爆炸,폭발,ko-KR
Explosive,폭발,ko-KR
ระเบิด,폭발,ko-KR
贯穿,관통,ko-KR
貫通,관통,ko-KR
Piercing,관통,ko-KR
เจาะเกราะ,관통,ko-KR
神秘,신비,ko-KR
Mystic,신비,ko-KR
ลึกลับ,신비,ko-KR
普通,일반,ko-KR
ノーマル,일반,ko-KR
常規,일반,ko-KR
Normal,일반,ko-KR
ทั่วไป,일반,ko-KR
振动,진동,ko-KR
振動,진동,ko-KR
Sonic,진동,ko-KR
สั่นสะเทือน,진동,ko-KR
轮换,다양함,ko-KR
様々,다양함,ko-KR
輪換,다양함,ko-KR
Varies,다양함,ko-KR
หลากหลาย,다양함,ko-KR
轻装甲,경장갑,ko-KR
軽装備,경장갑,ko-KR
輕型護甲,경장갑,ko-KR
Light,경장갑,ko-KR
เกราะเบา,경장갑,ko-KR
重装甲,중장갑,ko-KR
重型裝甲,중장갑,ko-KR
Heavy,중장갑,ko-KR
เกราะหนัก,중장갑,ko-KR
特殊装甲,특수장갑,ko-KR
特殊裝甲,특수장갑,ko-KR
Special,특수장갑,ko-KR
เกราะพิเศษ,특수장갑,ko-KR
弹力装甲,탄력장갑,ko-KR
弾力装甲,탄력장갑,ko-KR
彈性裝甲,탄력장갑,ko-KR
Elastic,탄력장갑,ko-KR
เกราะยืดหยุ่น,탄력장갑,ko-KR
一般装甲,일반장갑,ko-KR
通常装甲,일반장갑,ko-KR
常規護甲,일반장갑,ko-KR
Normal,일반장갑,ko-KR
เกราะทั่วไป,일반장갑,ko-KR
结构物,구조물,ko-KR
構造物,구조물,ko-KR
結構物,구조물,ko-KR
Structure,구조물,ko-KR
สิ่งปลูกสร้าง,구조물,ko-KR
Light Armor,경장갑,ko-KR
Heavy Armor,중장갑,ko-KR
Special Armor,특수장갑,ko-KR
Elastic Armor,탄력장갑,ko-KR
Normal Armor,일반장갑,ko-KR
เกราะปกติ,일반장갑,ko-KR
输出,딜러,ko-KR
アタッカー,딜러,ko-KR
輸出,딜러,ko-KR
Dealer,딜러,ko-KR
坦克,탱커,ko-KR
タンク,탱커,ko-KR
Tank,탱커,ko-KR
Tanker,탱커,ko-KR
治疗,힐러,ko-KR
ヒーラー,힐러,ko-KR
補師,힐러,ko-KR
Healer,힐러,ko-KR
辅助,서포터,ko-KR
サポーター,서포터,ko-KR
輔助,서포터,ko-KR
Support,서포터,ko-KR
Supporter,서포터,ko-KR
戰術支援,T.S,ko-KR
T.S.,T.S,ko-KR
街区,시가지,ko-KR
市街地,시가지,ko-KR
市區,시가지,ko-KR
Street,시가지,ko-KR
เขตเมือง,시가지,ko-KR
野外,야외,ko-KR
屋外,야외,ko-KR
室外,야외,ko-KR
Outdoor,야외,ko-KR
กลางแจ้ง,야외,ko-KR
室内,실내,ko-KR
屋内,실내,ko-KR
室內,실내,ko-KR
Indoor,실내,ko-KR
ในอาคาร,실내,ko-KR
普通攻击,일반 공격,ko-KR
通常攻撃,일반 공격,ko-KR
普通攻擊,일반 공격,ko-KR
Normal Attack,일반 공격,ko-KR
การโจมตีทั่วไป,일반 공격,ko-KR
普通攻击(增强),일반 공격(강화),ko-KR
通常攻撃（強化版）,일반 공격(강화),ko-KR
普通攻擊(增強),일반 공격(강화),ko-KR
Normal Attack (Augmented),일반 공격(강화),ko-KR
การโจมตีทั่วไป (เสริมพลัง),일반 공격(강화),ko-KR
EX技能,EX 스킬,ko-KR
EXスキル,EX 스킬,ko-KR
EX Skill,EX 스킬,ko-KR
สกิล EX,EX 스킬,ko-KR
普通技能,기본 스킬,ko-KR
ノーマルスキル,기본 스킬,ko-KR
基本技能,기본 스킬,ko-KR
Basic Skill,기본 스킬,ko-KR
สกิลพื้นฐาน,기본 스킬,ko-KR
普通技能＋,기본 스킬+,ko-KR
ノーマルスキル＋,기본 스킬+,ko-KR
基本技能＋,기본 스킬+,ko-KR
Basic Skill+,기본 스킬+,ko-KR
สกิลพื้นฐาน+,기본 스킬+,ko-KR
被动技能,강화 스킬,ko-KR
パッシブスキル,강화 스킬,ko-KR
強化技能,강화 스킬,ko-KR
Enhanced Skill,강화 스킬,ko-KR
สกิลติดตัว,강화 스킬,ko-KR
被动技能＋,강화 스킬+,ko-KR
パッシブスキル＋,강화 스킬+,ko-KR
強化技能＋,강화 스킬+,ko-KR
Enhanced Skill+,강화 스킬+,ko-KR
สกิลติดตัว+,강화 스킬+,ko-KR
子技能,서브 스킬,ko-KR
サブスキル,서브 스킬,ko-KR
Sub Skill,서브 스킬,ko-KR
สกิลรอง,서브 스킬,ko-KR
普攻,일반 공격,ko-KR
EX技能,EX,ko-KR
普通技能,기본,ko-KR
ノーマル,기본,ko-KR
基本技能,기본,ko-KR
Basic,기본,ko-KR
พื้นฐาน,기본,ko-KR
普通技能＋,기본+,ko-KR
ノーマル＋,기본+,ko-KR
基本技能＋,기본+,ko-KR
Basic+,기본+,ko-KR
พื้นฐาน+,기본+,ko-KR
被动技能,강화,ko-KR
パッシブ,강화,ko-KR
強化技能,강화,ko-KR
Enhanced,강화,ko-KR
ติดตัว,강화,ko-KR
被动技能＋,강화+,ko-KR
パッシブ＋,강화+,ko-KR
強化技能＋,강화+,ko-KR
Enhanced+,강화+,ko-KR
ติดตัว+,강화+,ko-KR
子技能,서브,ko-KR
サブ,서브,ko-KR
Sub,서브,ko-KR
รอง,서브,ko-KR
等级,레벨,ko-KR
レベル,레벨,ko-KR
等級,레벨,ko-KR
Level,레벨,ko-KR
เลเวล,레벨,ko-KR
最大体力,최대 체력,ko-KR
最大HP,최대 체력,ko-KR
生命值,최대 체력,ko-KR
Max HP,최대 체력,ko-KR
HP สูงสุด,최대 체력,ko-KR
攻击力,공격력,ko-KR
攻撃力,공격력,ko-KR
攻擊力,공격력,ko-KR
ATK,공격력,ko-KR
