source,target,tgt_lng
仅存活时生效,เฉพาะเมื่อมีชีวิตรอด,th-TH
僅存活時生效,เฉพาะเมื่อมีชีวิตรอด,th-TH
Active when alive,เฉพาะเมื่อมีชีวิตรอด,th-TH
生存中のみ有効,เฉพาะเมื่อมีชีวิตรอด,th-TH
생존 시에만 적용,เฉพาะเมื่อมีชีวิตรอด,th-TH
存活和死亡均生效,ทั้ง​เมื่อ​มีชีวิตรอด​และ​ตาย​,th-TH
Active when dead or alive,ทั้ง​เมื่อ​มีชีวิตรอด​และ​ตาย​,th-TH
戦闘不能で解除されない,ทั้ง​เมื่อ​มีชีวิตรอด​และ​ตาย​,th-TH
생존과 사망 모두 적용,ทั้ง​เมื่อ​มีชีวิตรอด​และ​ตาย​,th-TH
所有模式均生效,โหมดทั้งหมด,th-TH
Active in all modes,โหมดทั้งหมด,th-TH
すべてのモードで有効,โหมดทั้งหมด,th-TH
모든 모드에 모두 적용,โหมดทั้งหมด,th-TH
仅在PVP生效,โหมด PVP เท่านั้น,th-TH
僅在PVP生效,โหมด PVP เท่านั้น,th-TH
Active in PvP,โหมด PVP เท่านั้น,th-TH
PVPのみで有効,โหมด PVP เท่านั้น,th-TH
PVP에서만 적용,โหมด PVP เท่านั้น,th-TH
PVP除外生效,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ PVP​,th-TH
Active in all modes except PvP,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ PVP​,th-TH
PVP以外のモードで有効,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ PVP​,th-TH
PVP 이외 적용,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ PVP​,th-TH
仅在协力战生效,โหมดผนึกกำลังเท่านั้น,th-TH
僅在協力戰生效,โหมดผนึกกำลังเท่านั้น,th-TH
Active only in the Invasion,โหมดผนึกกำลังเท่านั้น,th-TH
協同作戦のみで有効,โหมดผนึกกำลังเท่านั้น,th-TH
협력전에서만 적용,โหมดผนึกกำลังเท่านั้น,th-TH
协力战除外生效,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​,th-TH
協力戰除外生效,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​,th-TH
Active in all modes except Invasion,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​,th-TH
協同作戦以外のモードで有効,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​,th-TH
협력전 이외 적용,โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​,th-TH
仅在社团特训生效,โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​,th-TH
僅在社團特訓生效,โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​,th-TH
Active only in Clan Campaign,โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​,th-TH
ギルド特訓のみ有効,โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​,th-TH
클럽 트레이닝에서만 유효,โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​,th-TH
社团特训除外生效,โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​,th-TH
社團特訓除外生效,โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​,th-TH
Inactive in Clan Campaign,โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​,th-TH
ギルド特訓以外有効,โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​,th-TH
클럽 트레이닝 외에서만 유효,โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​,th-TH
单伤,ดาเมจเป้าเดี่ยว,th-TH
單傷,ดาเมจเป้าเดี่ยว,th-TH
DMG,ดาเมจเป้าเดี่ยว,th-TH
単体攻撃,ดาเมจเป้าเดี่ยว,th-TH
단일 대미지,ดาเมจเป้าเดี่ยว,th-TH
易伤,เปราะบาง,th-TH
易傷,เปราะบาง,th-TH
Vulnerability,เปราะบาง,th-TH
被ダメージ増加,เปราะบาง,th-TH
취약,เปราะบาง,th-TH
加防,เพิ่ม DEF,th-TH
DEF UP,เพิ่ม DEF,th-TH
防御力上昇,เพิ่ม DEF,th-TH
방어력 증가,เพิ่ม DEF,th-TH
减防,ลด DEF,th-TH
減防,ลด DEF,th-TH
DEF DOWN,ลด DEF,th-TH
防御力低下,ลด DEF,th-TH
방어력 감소,ลด DEF,th-TH
护盾,โล่ป้องกัน,th-TH
護盾,โล่ป้องกัน,th-TH
Shield,โล่ป้องกัน,th-TH
シールド,โล่ป้องกัน,th-TH
실드,โล่ป้องกัน,th-TH
抢夺,ขโมย,th-TH
搶奪,ขโมย,th-TH
Plunder,ขโมย,th-TH
奪い取る,ขโมย,th-TH
강탈,ขโมย,th-TH
回能,ฟื้นพลังงาน,th-TH
Recover SP,ฟื้นพลังงาน,th-TH
SP回復,ฟื้นพลังงาน,th-TH
반환,ฟื้นพลังงาน,th-TH
减能,ลดพลังงาน,th-TH
減能,ลดพลังงาน,th-TH
Reduce SP,ลดพลังงาน,th-TH
SP減少,ลดพลังงาน,th-TH
게이지 감소,ลดพลังงาน,th-TH
补卡,การ์ดสำรอง,th-TH
補卡,การ์ดสำรอง,th-TH
Add Card,การ์ดสำรอง,th-TH
カード補充,การ์ดสำรอง,th-TH
드로우,การ์ดสำรอง,th-TH
升星,เพิ่มดาว,th-TH
Star Up,เพิ่มดาว,th-TH
昇格,เพิ่มดาว,th-TH
승급,เพิ่มดาว,th-TH
处决,เผด็จศึก,th-TH
處決,เผด็จศึก,th-TH
