id,term,src_table
AffinityLevel.2068.1,魂の伴侶,AffinityLevel.json
BoardNPC.173174.1,ヴェルナー&ヴェルジュ,BoardNPC.json
BoardNPC.713503.1,ミスティ,BoardNPC.json
BoardNPC.9102.1,ウィロー,BoardNPC.json
BoardNPC.9131.1,ブロッチ,BoardNPC.json
BoardNPC.9159.1,カナタ,BoardNPC.json
BoardNPC.916402.1,イオリ,BoardNPC.json
Character.103.1,コハク,Character.json
Character.107.1,ティリア,Character.json
Character.108.1,カシミラ,Character.json
Character.110.1,フィレン,Character.json
Character.111.1,アヤメ,Character.json
Character.112.1,セイナ,Character.json
Character.113.1,シーミャオ,Character.json
Character.114.1,シャトン,Character.json
Character.115.1,ホタル,Character.json
Character.116.1,レイセン,Character.json
Character.117.1,ジンリン,Character.json
Character.118.1,クルニス,Character.json
Character.119.1,ナノハ,Character.json
Character.120.1,カナーチェ,Character.json
Character.123.1,アンズ,Character.json
Character.125.1,フリージア,Character.json
Character.126.1,フローラ,Character.json
Character.127.1,テレサ,Character.json
Character.130.1,トーナ,Character.json
Character.132.1,ミネルバ,Character.json
Character.133.1,ナツカ,Character.json
Character.134.1,フユカ,Character.json
Character.135.1,ミスティ,Character.json
Character.137.1,エレノア,Character.json
Character.140.1,スパクル,Character.json
Character.141.1,チーシア,Character.json
Character.142.1,コゼット,Character.json
Character.143.1,レイス,Character.json
Character.144.1,チトセ,Character.json
Character.145.1,オトハ,Character.json
Character.147.1,キャラメル,Character.json
Character.149.1,グレイ,Character.json
Character.150.1,ラール,Character.json
Character.155.1,シア,Character.json
Character.156.1,ナズナ,Character.json
Character.157.1,カリン,Character.json
Character.158.1,ラール（聖夜）,Character.json
Character.159.1,クルニス（華服）,Character.json
Character.160.1,ウィロー（水着）,Character.json
CharacterArchiveBaseInfo.10301.1,氏名,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10302.1,生年月日,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10303.1,所属,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10304.1,特技,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10305.1,住所,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10306.1,巡遊者歴,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10307.1,武器,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10308.1,希望報酬,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11008.1,給与,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11408.1,依頼料,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11908.1,家事代行料金,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.12608.1,出演料,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.13008.1,配達料,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14008.1,希望報酬,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14108.1,販売価格,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14301.1,名前,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14508.1,報酬,CharacterArchiveBaseInfo.json
CharacterDes.103.1,*****,CharacterDes.json
CharacterDes.107.1,*****,CharacterDes.json
CharacterDes.108.1,*****,CharacterDes.json
CharacterDes.110.1,*****,CharacterDes.json
CharacterDes.111.1,*****,CharacterDes.json
CharacterDes.112.1,*****,CharacterDes.json
CharacterDes.113.1,*****,CharacterDes.json
CharacterDes.114.1,*****,CharacterDes.json
CharacterDes.115.1,*****,CharacterDes.json
CharacterDes.116.1,*****,CharacterDes.json
CharacterDes.117.1,*****,CharacterDes.json
CharacterDes.118.1,*****,CharacterDes.json
CharacterDes.119.1,*****,CharacterDes.json
CharacterDes.120.1,*****,CharacterDes.json
CharacterDes.123.1,*****,CharacterDes.json
CharacterDes.125.1,*****,CharacterDes.json
CharacterDes.126.1,*****,CharacterDes.json
CharacterDes.127.1,*****,CharacterDes.json
CharacterDes.130.1,*****,CharacterDes.json
CharacterDes.132.1,*****,CharacterDes.json
CharacterDes.133.1,*****,CharacterDes.json
CharacterDes.134.1,*****,CharacterDes.json
CharacterDes.135.1,*****,CharacterDes.json
CharacterDes.137.1,*****,CharacterDes.json
CharacterDes.140.1,*****,CharacterDes.json
CharacterDes.141.1,*****,CharacterDes.json
CharacterDes.142.1,*****,CharacterDes.json
CharacterDes.143.1,*****,CharacterDes.json
CharacterDes.144.1,*****,CharacterDes.json
CharacterDes.145.1,*****,CharacterDes.json
CharacterDes.147.1,*****,CharacterDes.json
CharacterDes.150.1,*****,CharacterDes.json
CharacterDes.155.1,*****,CharacterDes.json
CharacterDes.156.1,*****,CharacterDes.json
CharacterDes.157.1,カリン,CharacterDes.json
CharacterDes.160.1,*****,CharacterDes.json
CharacterSkin.10301.1,コハク・デフォルト,CharacterSkin.json
CharacterSkin.10302.1,コハク・覚醒,CharacterSkin.json
CharacterSkin.10303.1,いたずらっこのお留守番,CharacterSkin.json
CharacterSkin.10304.1,カムカムサマータイム,CharacterSkin.json
CharacterSkin.10701.1,ティリア・デフォルト,CharacterSkin.json
CharacterSkin.10702.1,ティリア・覚醒,CharacterSkin.json
CharacterSkin.10703.1,イッツ・マイ・ジャスティス！,CharacterSkin.json
CharacterSkin.10704.1,ブライトアップ、チアアップ,CharacterSkin.json
CharacterSkin.10801.1,カシミラ・デフォルト,CharacterSkin.json
CharacterSkin.10802.1,カシミラ・覚醒,CharacterSkin.json
CharacterSkin.11001.1,フィレン・デフォルト,CharacterSkin.json
CharacterSkin.11002.1,フィレン・覚醒,CharacterSkin.json
CharacterSkin.11101.1,アヤメ・デフォルト,CharacterSkin.json
CharacterSkin.11102.1,アヤメ・覚醒,CharacterSkin.json
CharacterSkin.11103.1,1/365の君と,CharacterSkin.json
CharacterSkin.11104.1,プカプカサマータイム,CharacterSkin.json
CharacterSkin.11201.1,セイナ・デフォルト,CharacterSkin.json
CharacterSkin.11202.1,セイナ・覚醒,CharacterSkin.json
CharacterSkin.11203.1,日焼けあとの思い出,CharacterSkin.json
CharacterSkin.11301.1,シーミャオ・デフォルト,CharacterSkin.json
CharacterSkin.11302.1,シーミャオ・覚醒,CharacterSkin.json
CharacterSkin.11303.1,負けるな！マジカルガール！,CharacterSkin.json
CharacterSkin.11401.1,シャトン・デフォルト,CharacterSkin.json
CharacterSkin.11402.1,シャトン・覚醒,CharacterSkin.json
CharacterSkin.11501.1,ホタル・デフォルト,CharacterSkin.json
CharacterSkin.11502.1,ホタル・覚醒,CharacterSkin.json
CharacterSkin.11601.1,レイセン・デフォルト,CharacterSkin.json
CharacterSkin.11602.1,レイセン・覚醒,CharacterSkin.json
CharacterSkin.11603.1,眠り姫の光合成,CharacterSkin.json
CharacterSkin.11701.1,ジンリン・デフォルト,CharacterSkin.json
CharacterSkin.11702.1,ジンリン・覚醒,CharacterSkin.json
CharacterSkin.11801.1,クルニス・デフォルト,CharacterSkin.json
CharacterSkin.11802.1,クルニス・覚醒,CharacterSkin.json
CharacterSkin.11901.1,ナノハ・デフォルト,CharacterSkin.json
CharacterSkin.11902.1,ナノハ・覚醒,CharacterSkin.json
CharacterSkin.11903.1,異国情緒で準備中,CharacterSkin.json
CharacterSkin.12001.1,カナーチェ・デフォルト,CharacterSkin.json
CharacterSkin.12002.1,カナーチェ・覚醒,CharacterSkin.json
CharacterSkin.12003.1,狙え、サービスエース！,CharacterSkin.json
CharacterSkin.12301.1,アンズ・デフォルト,CharacterSkin.json
CharacterSkin.12302.1,アンズ・覚醒,CharacterSkin.json
CharacterSkin.12303.1,不思議の国のアンズ,CharacterSkin.json
CharacterSkin.12501.1,フリージア・デフォルト,CharacterSkin.json
CharacterSkin.12502.1,フリージア・覚醒,CharacterSkin.json
CharacterSkin.12503.1,雪降る夜の贈り物,CharacterSkin.json
CharacterSkin.12601.1,フローラ・デフォルト,CharacterSkin.json
CharacterSkin.12602.1,フローラ・覚醒,CharacterSkin.json
CharacterSkin.12701.1,テレサ・デフォルト,CharacterSkin.json
CharacterSkin.12702.1,テレサ・覚醒,CharacterSkin.json
CharacterSkin.12703.1,ビギナー勇者,CharacterSkin.json
CharacterSkin.13001.1,トーナ・デフォルト,CharacterSkin.json
CharacterSkin.13002.1,トーナ・覚醒,CharacterSkin.json
CharacterSkin.13201.1,ミネルバ・デフォルト,CharacterSkin.json
CharacterSkin.13202.1,ミネルバ・覚醒,CharacterSkin.json
CharacterSkin.13203.1,アイマイハクチューム,CharacterSkin.json
CharacterSkin.13204.1,ノワールエトワール,CharacterSkin.json
CharacterSkin.13301.1,ナツカ・デフォルト,CharacterSkin.json
CharacterSkin.13302.1,ナツカ・覚醒,CharacterSkin.json
CharacterSkin.13303.1,水もしたたる初夏美人,CharacterSkin.json
CharacterSkin.13401.1,フユカ・デフォルト,CharacterSkin.json
CharacterSkin.13402.1,フユカ・覚醒,CharacterSkin.json
CharacterSkin.13403.1,新人社員奮闘中！,CharacterSkin.json
CharacterSkin.13501.1,ミスティ・デフォルト,CharacterSkin.json
CharacterSkin.13502.1,ミスティ・覚醒,CharacterSkin.json
CharacterSkin.13503.1,メルティ・ミスティ,CharacterSkin.json
CharacterSkin.13504.1,のびのびサンセット,CharacterSkin.json
CharacterSkin.13701.1,エレノア・デフォルト,CharacterSkin.json
CharacterSkin.13702.1,エレノア・覚醒,CharacterSkin.json
CharacterSkin.14001.1,スパクル・デフォルト,CharacterSkin.json
CharacterSkin.14002.1,スパクル・覚醒,CharacterSkin.json
CharacterSkin.14101.1,チーシア・デフォルト,CharacterSkin.json
CharacterSkin.14102.1,チーシア・覚醒,CharacterSkin.json
CharacterSkin.14103.1,クイーンオブレッド,CharacterSkin.json
CharacterSkin.14201.1,コゼット・デフォルト,CharacterSkin.json
CharacterSkin.14202.1,コゼット・覚醒,CharacterSkin.json
CharacterSkin.14203.1,夏の味を独り占め,CharacterSkin.json
