source,target,tgt_lng
阿拜多斯高中,아비도스 고등학교,ko-KR
アビドス高等学校,아비도스 고등학교,ko-KR
Abydos High School,아비도스 고등학교,ko-KR
โรงเรียนมัธยมอะบิดอส,아비도스 고등학교,ko-KR
赤冬事务局,붉은겨울 사무국,ko-KR
レッドウィンター事務局,붉은겨울 사무국,ko-KR
赤冬事務局,붉은겨울 사무국,ko-KR
Red Winter Office,붉은겨울 사무국,ko-KR
สำนักเลขาธิการเรดวินเทอร์,붉은겨울 사무국,ko-KR
赤冬联邦学园,붉은겨울 연방학원,ko-KR
レッドウィンター連邦学園,붉은겨울 연방학원,ko-KR
赤冬聯邦學園,붉은겨울 연방학원,ko-KR
Red Winter Federal Academy,붉은겨울 연방학원,ko-KR
สถาบันสหพันธ์เรดวินเทอร์,붉은겨울 연방학원,ko-KR
玄武商会,현무상회,ko-KR
玄武商會,현무상회,ko-KR
Black Tortoise Promenade,현무상회,ko-KR
ย่านการค้าเทพเต่าดำ,현무상회,ko-KR
白鲸市场,흰돌고래 시장,ko-KR
白イルカ市場,흰돌고래 시장,ko-KR
白鯨市場,흰돌고래 시장,ko-KR
Beluga Market,흰돌고래 시장,ko-KR
ตลาดโลมาขาว,흰돌고래 시장,ko-KR
山海经高级中学,산해경 고급중학교,ko-KR
山海経高級中学校,산해경 고급중학교,ko-KR
山海經高級中學,산해경 고급중학교,ko-KR
Shanhaijing Academy,산해경 고급중학교,ko-KR
โรงเรียนมัธยมซานไห่จิง,산해경 고급중학교,ko-KR
【失乐园度假村】群岛,<로스트 파라다이스 리조트> 군도,ko-KR
「ロスト・パラダイス・リゾート」群島,<로스트 파라다이스 리조트> 군도,ko-KR
「失樂園渡假勝地」群島,<로스트 파라다이스 리조트> 군도,ko-KR
Lost Paradise Resort Archipelago,<로스트 파라다이스 리조트> 군도,ko-KR
หมู่เกาะ <ลอสต์ พาราไดซ์ รีสอร์ต>,<로스트 파라다이스 리조트> 군도,ko-KR
【阿特拉哈西斯方舟】,<아트라하시스의 방주>,ko-KR
「アトラ・ハシースの箱舟」,<아트라하시스의 방주>,ko-KR
「阿特拉哈西斯的方舟」,<아트라하시스의 방주>,ko-KR
The Ark of Atrahasis,<아트라하시스의 방주>,ko-KR
<เรืออะทราฮาซิส>,<아트라하시스의 방주>,ko-KR
