category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
10_enemy,敌人,Enemy.7000001,混混(SMG),スケバン（SMG）,太妹 (SMG),Thug (SMG),불량배 (SMG),แยงกี้สาว (SMG),enemies.json
10_enemy,敌人,Enemy.7000011,混混(MG),スケバン（MG）,太妹 (MG),Thug (MG),불량배 (MG),แยงกี้สาว (MG),enemies.json
10_enemy,敌人,Enemy.7000013,残酷的混混,無慈悲なスケバン,殘酷的太妹,Ruthless Thug,무자비한 불량배,แยงกี้สาวอำมหิต,enemies.json
10_enemy,敌人,Enemy.7000021,混混(SR),スケバン（SR）,太妹 (SR),Thug (SR),불량배 (SR),แยงกี้สาว (SR),enemies.json
10_enemy,敌人,Enemy.7000023,冷静的混混,冷静なスケバン,冷靜的太妹,Heartless Thug,냉정한 불량배,แยงกี้สาวเย็นชา,enemies.json
10_enemy,敌人,Enemy.7000101,钢盔团团员(SG),ヘルメット団員（SG）,頭盔團成員 (SG),Helmet Gangster (SG),헬멧단원 (SG),สมาชิกแก๊งหมวกกันน็อก (SG),enemies.json
10_enemy,敌人,Enemy.7000111,钢盔团团员(AR),ヘルメット団員（AR）,頭盔團成員 (AR),Helmet Gangster (AR),헬멧단원 (AR),สมาชิกแก๊งหมวกกันน็อก (AR),enemies.json
10_enemy,敌人,Enemy.7000121,钢盔团团员(SR),ヘルメット団員（SR）,頭盔團成員 (SR),Helmet Gangster (SR),헬멧단원 (SR),สมาชิกแก๊งหมวกกันน็อก (SR),enemies.json
10_enemy,敌人,Enemy.7000201,钢盔团干部(SG),ヘルメット団幹部（SG）,頭盔團幹部 (SG),Helmet Gang Officer (SG),헬멧단 간부 (SG),หัวหน้าแก๊งหมวกกันน็อก (SG),enemies.json
10_enemy,敌人,Enemy.7000212,钢盔团干部(AR),ヘルメット団幹部（AR）,頭盔團幹部 (AR),Helmet Gang Officer (AR),헬멧단 간부 (AR),หัวหน้าแก๊งหมวกกันน็อก (AR),enemies.json
10_enemy,敌人,Enemy.7000213,慎重的钢盔团干部,慎重なヘルメット団幹部,慎重的頭盔團幹部,Cautious Helmet Gang Officer,신중한 헬멧단 간부,หัวหน้าแก๊งหมวกกันน็อกสุขุม,enemies.json
10_enemy,敌人,Enemy.7000221,钢盔团干部(SR),ヘルメット団幹部（SR）,頭盔團幹部 (SR),Helmet Gang Officer (SR),헬멧단 간부 (SR),หัวหน้าแก๊งหมวกกันน็อก (SR),enemies.json
10_enemy,敌人,Enemy.7000233,兰舞,ラブ,良舞,Rabu,라브,ราบุ,enemies.json
