source,target,tgt_lng
"""Bringing a smile to every passenger is our cafe's top priority!""","""Trazer um sorriso para cada passageiro é a prioridade máxima do nosso café!""",pt-BR
"""But now you're going to leave with nothing but a sign.""","""Mas agora você vai embora só com uma placa.""",pt-BR
"""Ghost Hounds""",“Sabujos Fantasmas”,pt-BR
"""Homebound""","""Retorno ao Lar""",pt-BR
"""Into the Land of Paradox"" event","Evento ""Rumo à Terra do Paradoxo""",pt-BR
"""Just an ordinary student.""

Calmly, she introduces herself, a faint iridescent shimmer flickering in her eyes. Again, the structures of the world reveal themselves in her vision. Narrowing her eyes, she singles out the very thread that tugs at life itself.","""Apenas uma estudante comum.""

Calmamente, ela se apresenta, um leve brilho iridescente tremulando em seus olhos. Novamente, as estruturas do mundo se revelam em sua visão. Estreitando os olhos, ela identifica o próprio fio que puxa a vida.",pt-BR
"""Lament Recon: Solaris Soldier"" Limited-Time Event","Evento por Tempo Limitado ""Reconhecimento do Lamento: Soldado de Solaris""",pt-BR
"""Lament Recon: Tacet Crisis"" Limited-Time Event","Obtido no evento por tempo limitado ""Reconhecimento do Lamento: Crise Transgressora""",pt-BR
"""Moonlit Revelation"" Limited-Time Event","Evento Limitado ""Revelação Enluarada""",pt-BR
"""On a hushed night, someone drew down the moonlights.
She does not believe in fate, yet she smiles as she reveals its blessings for you.""","""Em uma noite silenciosa, alguém atraiu os luares.
Ela não acredita no destino, mas sorri ao revelar suas bênçãos para você.""",pt-BR
"""กองทัพสุนัขล่าวิญญาณ""",“Sabujos Fantasmas”,pt-BR
"""การทำให้ลูกค้าทุกคนที่มาถึงที่นี่ยิ้มได้ คือเป้าหมายสูงสุดของร้านเรา!""","""Trazer um sorriso para cada passageiro é a prioridade máxima do nosso café!""",pt-BR
"""ก็แค่นักเรียนธรรมดาคนหนึ่ง""
เธอแนะนำตัวด้วยน้ำเสียงราบเรียบ ทว่าในนัยน์ตากลับมีประกายแสงหลากสีเปล่งออกมาจางๆ โครงสร้างของสรรพสิ่งค่อยๆ ปรากฏชัดขึ้นในครรลองสายตา เธอหรี่ตาลงเล็กน้อย เพื่อแยกแยะเส้นด้ายเส้นนั้น... เส้นที่คอยชักเชิดชีวิตของผู้คน","""Apenas uma estudante comum.""

Calmamente, ela se apresenta, um leve brilho iridescente tremulando em seus olhos. Novamente, as estruturas do mundo se revelam em sua visão. Estreitando os olhos, ela identifica o próprio fio que puxa a vida.",pt-BR
"""บ้าน""","""Retorno ao Lar""",pt-BR
"""ผู้พเนจร""",Rover,pt-BR
"""ในคืนเงียบสงัด มีผู้ชักโน้มแสงจันทร์
นางไม่เชื่อในโชคชะตา แต่กลับยิ้มพร้อมประทานพรให้กับคุณ""","""Em uma noite silenciosa, alguém atraiu os luares.
Ela não acredita no destino, mas sorri ao revelar suas bênçãos para você.""",pt-BR
10 de septiembre,10 de setembro,pt-BR
10 décembre,Desconhecido,pt-BR
