id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
DiscIP.211001.1,核心旋律,Main Melody,フル,메인 멜로디,核心旋律,DiscIP.json
DiscIP.211001.2,凯旋旋律,Victory Tune,サビ,승리 멜로디,凱旋旋律,DiscIP.json
DiscIP.211001.3,朝霭,Crisp Morning,朝靄,아침 안개,朝靄,DiscIP.json
DiscIP.211002.3,和煦,Sunny Breeze,長閑,평온,和煦,DiscIP.json
DiscIP.211003.3,晚霞,Indigo Sunset,薄暮,황혼,晚霞,DiscIP.json
DiscIP.211004.3,粉梦,Pink Dream,儚雲,분홍빛 꿈,粉夢,DiscIP.json
DiscIP.211005.3,孤烟,Lonely Dunes,寒煙,고독한 연기,孤煙,DiscIP.json
DiscIP.211006.3,甘露,Sweet Creek,甘露,감로,甘露,DiscIP.json
DiscIP.211007.3,希冀,Starlit Hope,希望,희망,希冀,DiscIP.json
DiscIP.211008.3,归途,Homeward Path,帰路,귀로,歸途,DiscIP.json
DiscIP.212001.3,盛宴,Grand Feast,いただきま〜す,성찬,盛宴,DiscIP.json
DiscIP.212002.3,喧哗,Whoopla,敵役たちの日常,소란,喧嘩,DiscIP.json
DiscIP.212003.3,极乐,Elysium,死出の舞踏会,극락,極樂,DiscIP.json
DiscIP.212005.3,情热,Flare Frenzy,情熱ステップ,열정,熱情,DiscIP.json
DiscIP.212006.3,吉光,Auspicious Glow,幸運の光,상서로운 빛,吉光,DiscIP.json
DiscIP.212007.3,乘风,Brave the Wind,風に乗って,바람을 타고,乘風,DiscIP.json
DiscIP.212008.3,泡沫,Bubbles,スローライフ,물거품,泡沫,DiscIP.json
DiscIP.212009.3,黯灭,Eclipse,闇に消える,검은 소멸,黯滅,DiscIP.json
DiscIP.212010.3,坚韧,Fortitude,強靭,강인함,堅韌,DiscIP.json
DiscIP.213001.3,柠柚好奇,Zesty Curiosity,爽やかな香り,레몬과 유자의 호기심,檸柚好奇,DiscIP.json
DiscIP.213002.3,季节波形,Seasonal Waves,四季折々,일렁이는 계절,季節波形,DiscIP.json
DiscIP.213003.3,热夜的结束,Scorching Night's End,覚めない熱帯夜,열대야의 끝,熱夜的結束,DiscIP.json
DiscIP.213004.3,双月怪盗,Twin Moon Mischief,アッシュ・アイ,괴도 콤비,雙月怪盜,DiscIP.json
DiscIP.213005.3,★~嘭嘭少女~★,★Bam Bam Girl★,舞台裏の魔女★,★~펑펑 소녀~★,★~嘭嘭少女~★,DiscIP.json
DiscIP.213006.3,晚安,Good Night,おやすみ,굿나잇,晚安,DiscIP.json
DiscIP.213007.3,翡翠隙境,Emerald Dream,翡翠の夢,에메랄드 틈새 경계,翡翠之夢,DiscIP.json
DiscIP.213008.3,小憩片刻,Tranquil Retreat,憩いのひと時,휴식의 순간,小憩片刻,DiscIP.json
DiscIP.213009.3,“雨中”曲,Rainy Tune,雨に唄おう,‘빗속의’ 선율,「雨中」曲,DiscIP.json
DiscIP.213010.3,水蒸汽症候群,Steam Syndrome,蒼梧城の休日,수증기 증후군,水蒸氣症候群,DiscIP.json
DiscIP.213011.3,喵律动,Meow Rhythm,ニャーのリズム,고양이 리듬,喵律動,DiscIP.json
DiscIP.213012.3,问候星空,Starry Night Ode,星空に夜露死苦,별하늘에 안부를,問候星空,DiscIP.json
DiscIP.213013.3,秋日絮语,Leaf Her to Me,秋に包まれて,가을날 속삭임,秋日絮語,DiscIP.json
DiscIP.213014.3,骑士的铁匠,The Knight's Smith,騎士様の鍛冶師,기사의 대장장이,騎士的鐵匠,DiscIP.json
DiscIP.213015.3,未闻芳名,Unknown Fragrance,知らない名前,알려지지 않은 이름,未聞芳名,DiscIP.json
DiscIP.213016.3,樊笼蔷薇,Cage of Roses,鳥かごの薔薇,새장의 장미,樊籠薔薇,DiscIP.json
DiscIP.213017.3,★~转转人生~★,★Rolling Life★,MCをねらえ！,★~돌고 도는 인생~★,★~轉轉人生~★,DiscIP.json
DiscIP.213018.3,饮料采购日,Soda Shopping,新商品の飲み物,음료수 사는 날,飲料採購日,DiscIP.json
DiscIP.213019.3,妄语,Delusion,虚ろの中の美,망언,妄語,DiscIP.json
DiscIP.213020.3,闪灵,The Shining,おコンバンハ！,플래시 고스트,閃靈,DiscIP.json
DiscIP.213021.3,灵验颂歌,Miraculous Anthem,とろける言の葉,영험한 찬가,靈驗頌歌,DiscIP.json
DiscIP.213022.3,诅咒爱河,Love River's Curse,川より深い愛で,저주받은 사랑의 강,詛咒愛河,DiscIP.json
DiscIP.213023.3,纯白,Pure White,穢れなき純白,순백,純白,DiscIP.json
DiscIP.213024.3,假日泡影,Holiday Bubble,休日の泡,홀리데이 버블,假日泡影,DiscIP.json
DiscIP.213025.3,甜蜜邀约,Sweet Invitation,甘い招待,달콤한 초대,甜蜜邀約,DiscIP.json
DiscIP.213026.3,清扫时间DA♥YO,Vent It Out ♥,♥配信たいむ♥,청소 타임DA♥YO,清掃時間到♥囉,DiscIP.json
DiscIP.214001.3,猫神降歌,Meowing Cat God,在りし日の記憶,고양이 신 레퀴엠,貓神降歌,DiscIP.json
DiscIP.214002.3,空与花与诗,"Sky, Flowers, Poem",空と花の詩,"하늘, 꽃 그리고 시",空與花與詩,DiscIP.json
DiscIP.214003.3,你与我相似,Seed Alike,似たもの同士,날 닮은 너,你與我相似,DiscIP.json
DiscIP.214004.3,仙踪良梦,Wisteria Dream,ミルク色の夢,요정들의 꿈,仙蹤良夢,DiscIP.json
DiscIP.214005.3,晴之花,Sunlit Blossom,晴天の彩花,맑은 하늘의 꽃,晴之花,DiscIP.json
DiscIP.214006.3,魔女的秋千,Witch's Swing,魔女の秘薬,마녀의 그네,魔女的鞦韆,DiscIP.json
DiscIP.214007.3,午夜，堕天使,Midnight Mayhem,真夜中の堕天使,자정의 타락 천사,午夜，墮天使,DiscIP.json
DiscIP.214008.3,飞越青空,Soaring Blue,青空を越えて,푸른 하늘 너머로,飛越青空,DiscIP.json
DiscIP.214009.3,“空白”的序章,New Star Prelude,『空白』の序章,‘공백’의 프롤로그,「空白」的序章,DiscIP.json
DiscIP.214010.3,沐光祷告,Prayer Beneath Light,清浄なる祈り,깨끗한 기도,沐光禱告,DiscIP.json
DiscIP.214011.3,夏日午后的雨,Summer Afternoon Rain,昼下がりの雨,여름날 오후의 비,夏日午後的雨,DiscIP.json
DiscIP.214012.3,狼贪虎视,Those with Ambition,見据える先に,야심에 찬 시선,狼貪虎視,DiscIP.json
DiscIP.214013.3,远航蓝图,Voyage Blueprint,白紙の航海図,항해의 청사진,遠航藍圖,DiscIP.json
DiscIP.214014.3,甜言蜜果,Sweet Times,甘く咲く時間,달콤한 말의 열매,甜言蜜果,DiscIP.json
DiscIP.214015.3,鹿鸣,Deer's Song,鹿の声,사슴의 울음,鹿鳴,DiscIP.json
DiscIP.214016.3,春日纪事,Chronicles of Spring,桜花爛漫,봄날의 기록,春日紀事,DiscIP.json
DiscIP.214017.3,花火,Fireworks,ハナビ,불꽃,花火,DiscIP.json
DiscIP.214018.3,冰柠与红茶,Lemon & Black Tea,レモネードと紅茶,레모네이드와 홍차,冰檸與紅茶,DiscIP.json
DiscIP.214019.3,一发破的,"One Shot, One Down",一撃必中,원샷원킬,一發破的,DiscIP.json
DiscIP.214020.3,闪光之时,Sparkling Moment,かけがえのない時間,반짝이는 순간,閃光之時,DiscIP.json
DiscIP.214021.3,因缘而聚,United by Fate,一期一会,인연의 만남,因緣而聚,DiscIP.json
DiscIP.214022.3,午夜喵铃,The Meow,真夜中の鈴,한밤의 고양이 방울,午夜喵鈴,DiscIP.json
DiscIP.214023.3,涂鸦彩虹,Colors Pierce the Grey,虹を描こう,그래피티 무지개,塗鴉彩虹,DiscIP.json
DiscIP.214024.3,一二三，跳！,"One, Two, Three, Jump!",地底の彼方へ！,"하나, 둘, 셋, 점프!",一二三，跳！,DiscIP.json
DiscIP.214026.3,潋滟故池水,Sword Against Stream,古池の水音,반짝이는 옛 연못,瀲灩故池水,DiscIP.json
DiscIP.214027.3,龙飞凤舞,Mystic Brushstrokes,自由自在,용과 봉황,龍飛鳳舞,DiscIP.json
DiscIP.214028.3,白日花园,Daylight Garden,白日の花園,대낮의 화원,白日花園,DiscIP.json
DiscIP.214029.3,猫之珍藏,The Cat's Treasure,欲しかったもの,고양이의 보물,貓之祕寶,DiscIP.json
DiscIP.214030.3,午后间隙,A Moment in the Afternoon,穴あきおサボり,오후의 틈새,午後間隙,DiscIP.json
DiscIP.214031.3,刀与斧的铮鸣,The Clash of Blade and Axe,強者を求めて,검과 도끼의 울음,刀與斧的錚鳴,DiscIP.json
DiscIP.214032.3,真相☆梦工厂,Dream Factory of ☆Truth,真理の大釜,진실☆꿈 공장,真相☆夢工廠,DiscIP.json
DiscIP.214033.3,与骨共舞,Dancing with the Bones,メメント×モリ,해골과의 춤사위,與骨共舞,DiscIP.json
DiscIP.214036.3,迷途的朝圣者,The Lost Seeker,痛みは救済,길 잃은 순례자,迷途的朝聖者,DiscIP.json
DiscIP.214037.3,抓住传说,Claw the Claw,伝説のアラシ,전설을 잡아라,抓住傳說,DiscIP.json
DiscIP.214038.3,波光漫游,Ripples of Nostalgia,波にゆられて,파도빛 유랑,波光漫遊,DiscIP.json
DiscIP.214039.3,夏日栖息地,Summer Sanctuary,夕涼み,여름 서식지,夏日棲息地,DiscIP.json
DiscIP.214040.3,勇气之拳,Fist of Courage,迷いを断つ拳,용기의 주먹,勇氣之拳,DiscIP.json
DiscIP.214041.3,启程的礼物,A Gift for the Journey,ジングルラール,여정의 선물,啟程的禮物,DiscIP.json
DiscIP.214042.3,酒暖灯明时,"Wine Warm, Lamps Alight",友と囲む新春の灯火,술 익는 밤의 등불,酒暖燈明時,DiscIP.json
DiscIP.214043.3,革新的萌芽,The Bud of Change,革命の萌芽,혁신의 씨앗,革新的萌芽,DiscIP.json
DiscIP.214044.3,罗帷春染岁朝新,Veiled Dawn of Spring,帳の内の秘め事,봄빛 드리운 새 아침,羅帷春染歲朝新,DiscIP.json
DiscIP.214045.3,繁花幻梦,Petals of Blooming Mirage,千変万花,꽃밭의 환영,繁花幻夢,DiscIP.json
DiscIP.214046.3,冬夜后的黎明,Dawn After Winter,雪解け告げる黎明,겨울밤 끝의 여명,冬夜後的黎明,DiscIP.json
DiscIP.214047.3,信笺乘风而去,Delivered by the Breeze,風に舞う想い,편지는 바람을 타고,信箋乘風而去,DiscIP.json
DiscIP.214048.3,雪夜惊喜,Snowy Night Surprise,メリーサプライズ,메리 서프라이즈,雪夜驚喜,DiscIP.json
DiscIP.214049.1,伴奏带,Instrumental,インスト,반주,伴奏帶,DiscIP.json
DiscIP.214049.2,原曲,Original Track,ボーカル,원곡,原曲,DiscIP.json
DiscIP.214049.3,星光的印记,Traces of Starlight,星光の道標,Memory of Stella,星光的印記,DiscIP.json
DiscIP.214050.3,夜宴谜影,Phantom of the Banquet,夜宴に踊る影,연회장의 그림자,夜宴謎影,DiscIP.json
DiscIP.214051.3,星之所向,Stellar Destination,惹かれ合う星,별이 향하는 곳,星之所向,DiscIP.json
DiscIP.214052.3,奇迹一触,Touch of Miracle,奇跡の創造,기적의 손길,奇跡一觸,DiscIP.json
DiscIP.214053.3,欢聚时刻,Joyful Gathering,団らんのひととき,환희의 순간,歡聚時刻,DiscIP.json
DiscIP.214054.3,微小的乐园,Little Paradise,私と君の楽園,마이크로 원더랜드,箱庭小樂園,DiscIP.json
DiscIP.214055.3,浮光掠影,Fleeting Glimmers,揺らめく光の向こう側,수면 위의 빛과 그림자,浮光掠影,DiscIP.json
DiscIP.214056.3,斑驳夏影,Dappled Sunlight,友との夏休み,일렁이는 여름의 잔영,斑駁夏影,DiscIP.json
DiscIP.214057.3,伴我航行,Ride the Waves With Me,共に航る,함께하는 항해,伴我航行,DiscIP.json
DiscIP.214058.3,夏日进行曲,Summer March,サマーマーチ,여름 행진곡,夏日進行曲,DiscIP.json
DiscIP.214059.3,飞吧，笼中鸟,"Fly, O Caged Bird",飛びたて、籠の鳥,"날아라, 새장 속 새여",飛吧，籠中鳥,DiscIP.json
DiscIP.214060.3,荣誉时刻,Moment of Glory,栄光の瞬間,영광의 순간,榮耀時刻,DiscIP.json
DiscTag.800.1,泛用,Verse,汎用,범용,泛用,DiscTag.json
DiscTag.801.1,元素,Element,元素,원소,元素,DiscTag.json
DiscTag.802.1,普攻,Auto Attack,通常攻撃,일반 공격,普攻,DiscTag.json
DiscTag.803.1,技能,Skills,スキル,스킬,技能,DiscTag.json
DiscTag.804.1,绝招,Ultimate,必殺技,필살기,絕招,DiscTag.json
DiscTag.805.1,充能,Charge,チャージ,SP 회복,蓄能,DiscTag.json
DiscTag.806.1,减伤,DMG RES,被ダメージ↓,피해 감소,減傷,DiscTag.json
DiscTag.807.1,易伤,VUL,与ダメージ↑,취약,易傷,DiscTag.json
DiscTag.808.1,护盾,Shield,シールド,보호막,護盾,DiscTag.json
DiscTag.809.1,弱点,VUL,弱点,약점,弱點,DiscTag.json
DiscTag.810.1,攻击,ATK,攻撃,공격,攻擊,DiscTag.json
DiscTag.811.1,仆从,Minion,従者,소환물,僕從,DiscTag.json
DiscTag.812.1,暴击,Crit,会心,치명타,暴擊,DiscTag.json
