source,target,tgt_lng
"""%s"" sera perdu pour toujours ! (Très longtemps !)",'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),tr-TR
"""%s"" será perdido para sempre! (é muito tempo!)",'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),tr-TR
"""%s"" 세계 폴더를 읽으면서 문제가 발생했습니다.
이전 상태로 세계를 복원하려 시도하거나 버그 트래커에 이 문제를 보고하실 수 있습니다.","“%s” dünya klasörü okunurken hatalar oluştu.
Eski bir halinden dünyayı onarabilir veya bug tracker üzerinden hatayı bildirebilirsiniz.",tr-TR
%1$s 키를 눌러 보관함을 열 수 있습니다,Envanterinizi açmak için %1$s tuşuna basın,tr-TR
%1$s 키를 눌러 점프할 수 있습니다,%1$s tuşuna basarak zıplayın,tr-TR
"%1$s, %2$s, %3$s, %4$s 키를 눌러 이동할 수 있습니다","%1$s, %2$s, %3$s, %4$s tuşlarına basarak hareket edin",tr-TR
"%1$s, %2$s, %3$s, %4$s 키와 마우스를 사용해 움직일 수 있습니다","Etrafta dolanmak için %1$s, %2$s, %3$s, %4$s ve fareyi kullanın",tr-TR
%1$s、%2$s、%3$s、%4$sキーとマウスで移動できます,"Etrafta dolanmak için %1$s, %2$s, %3$s, %4$s ve fareyi kullanın",tr-TR
%1$s、%2$s、%3$s、%4$sキーを押すと移動できます,"%1$s, %2$s, %3$s, %4$s tuşlarına basarak hareket edin",tr-TR
%1$sキーでジャンプできます,%1$s tuşuna basarak zıplayın,tr-TR
%1$sキーで所持品を確認できます,Envanterinizi açmak için %1$s tuşuna basın,tr-TR
%2$s個中%1$s個のパックのダウンロードに失敗しました,%2$s paketten %1$s tanesi indirilemedi,tr-TR
%s,Yedeklendi: %s,tr-TR
%s %%,%%%s,tr-TR
%s %%,%s%%,tr-TR
%s est sous la protection de la zone d'apparition,%s doğum noktası koruması altında,tr-TR
%s está bajo la protección de la zona de aparición,%s doğum noktası koruması altında,tr-TR
%s está sob a proteção da área inicial,%s doğum noktası koruması altında,tr-TR
%s is under spawn protection,%s doğum noktası koruması altında,tr-TR
%s out of %s pack(s) failed to download,%2$s paketten %1$s tanesi indirilemedi,tr-TR
%s trên %s gói không thể tải về,%2$s paketten %1$s tanesi indirilemedi,tr-TR
%s unterliegt dem Schutz des Einstiegsbereichs,%s doğum noktası koruması altında,tr-TR
%s von %s Paket(en) konnte(n) nicht heruntergeladen werden,%2$s paketten %1$s tanesi indirilemedi,tr-TR
%s è sotto la protezione della zona iniziale,%s doğum noktası koruması altında,tr-TR
%s đang được bảo vệ điểm hồi sinh,%s doğum noktası koruması altında,tr-TR
%s под защитой точки возрождения мира,%s doğum noktası koruması altında,tr-TR
%s จาก %s แพ็กล้มเหลวในการดาวน์โหลด,%2$s paketten %1$s tanesi indirilemedi,tr-TR
%s อยู่ภายใต้การป้องกันจุดเกิด,%s doğum noktası koruması altında,tr-TR
%s 個資源包下載失敗，共 %s 個資源包,%2$s paketten %1$s tanesi indirilemedi,tr-TR
%s 的狀態：,%s kaynaklı durum: ,tr-TR
%s 處於重生點保護下,%s doğum noktası koruması altında,tr-TR
%s%%,%%%s,tr-TR
%s(으)로 열 수 있습니다,Açmak için %s tuşuna basın,tr-TR
%s(으)로 점프할 수 있습니다,%s ile zıplayın,tr-TR
"%s, %s, %s, %s(으)로 움직이고","%s, %s, %s ve %s ile hareket edin",tr-TR
%s/%s,%s / %s,tr-TR
%s、%s、%s、%sで移動します,"%s, %s, %s ve %s ile hareket edin",tr-TR
%sからの状態：,%s kaynaklı durum: ,tr-TR
%sでジャンプします,%s ile zıplayın,tr-TR
%sで開きます,Açmak için %s tuşuna basın,tr-TR
%sはリスポーン地点の保護下にあります,%s doğum noktası koruması altında,tr-TR
%sを押します,%s tuşuna basın,tr-TR
%sを長押しします,%s tuşuna basılı tutun,tr-TR
%s处于重生点保护下,%s doğum noktası koruması altında,tr-TR
%s的状态：,%s kaynaklı durum: ,tr-TR
%s로 스크린샷을 저장했습니다,Ekran görüntüsü %s olarak kaydedildi,tr-TR
%s은(는) 생성 영역으로 보호받고 있습니다,%s doğum noktası koruması altında,tr-TR
%s을(를) 누르고 있으세요,%s tuşuna basılı tutun,tr-TR
%s을(를) 누르세요,%s tuşuna basın,tr-TR
%s의 상태: ,%s kaynaklı durum: ,tr-TR
%s／%s,%s / %s,tr-TR
'%s' sẽ bị mất vĩnh viễn! (Một thời gian dài!),'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),tr-TR
'%s' will be lost forever! (A long time!),'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),tr-TR
'%s' จะหายไปตลอดกาล! (นานมาก!),'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),tr-TR
'%s' 세계 최적화 중,Dünya: '%s' akıcı hale getiriliyor,tr-TR
'%s'이(가) 영원히 사라지게 됩니다!,'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),tr-TR
'어려움' 난이도로 고정된 서바이벌 모드입니다. 죽으면 리스폰할 수 없습니다.,’Zor’ zorluğa kilitlenmiş Hayatta Kalma modu. Öldüğünüzde yeniden canlanmazsınız.,tr-TR
"/gamemode, /experience 같은 명령어들","/gamemode, /experience gibi komutlar",tr-TR
/gamemode、/experience等のコマンド,"/gamemode, /experience gibi komutlar",tr-TR
2日目,İkinci Gün,tr-TR
2일째,İkinci Gün,tr-TR
3日目,Üçüncü Gün,tr-TR
3일째,Üçüncü Gün,tr-TR
4日目,Dördüncü Gün,tr-TR
4일째,Dördüncü Gün,tr-TR
5日目が終了しました。作品のスクリーンショットを%sキーで撮ることができます。,Beşinci gününüz geçti. Eserinizin ekran görüntüsünü almak için %s tuşunu kullanın.,tr-TR
?,???,tr-TR
A altura limite para construir é %s,İnşa için yükseklik sınırı %s bloktur,tr-TR
A altura mínima para construir é %s,İnşa için alçaklık sınırı %s bloktur,tr-TR
A demonstração acabou!,Deneme süresi doldu!,tr-TR
A demonstração terminou. Compre o jogo para continuar ou inicie um novo mundo!,Deneme süresi doldu. Oynamaya devam etmek için oyunu satın alın veya yeni bir dünyaya başlayın!,tr-TR
A pasta do mundo contém links simbólicos,Dünya klasörü sembolik bağlantılar içeriyor,tr-TR
A pasta do mundo parece já conter alguns arquivos atualizados. O jogo não consegue atualizar corretamente o seu mundo.,Dünya klasörü zaten güncellenmiş dosyalara sahip gibi görünüyor. Oyun dünyanızı doğru şekilde güncelleyemiyor.,tr-TR
"A seconda delle dimensioni del mondo, potrebbe volerci un po' di tempo. Non chiudere il gioco e non spegnere il dispositivo.",Dünyanızın boyutuna göre bu bir süre sürebilir. Lütfen oyunu veya cihazınızı kapatmayın.,tr-TR
Abenteuer,Macera,tr-TR
Abra o inventário,Envanterinizi açın,tr-TR
Abre tu inventario,Envanterinizi açın,tr-TR
Abrir carpeta de copias,Yedek Klasörünü Aç,tr-TR
Abrir carpeta del mundo,Dünya Klasörünü Aç,tr-TR
Abrir pasta de cópias,Yedek Klasörünü Aç,tr-TR
Abrir pasta do mundo,Dünya Klasörünü Aç,tr-TR
Accesso non riuscito,Dünyaya erişilemedi,tr-TR
Acheter maintenant !,Şimdi Satın Alın!,tr-TR
Achtung! Diese Einstellungen verwenden experimentelle Spielelemente,Uyarı! Bu ayarlar deneysel özellikleri kullanıyor,tr-TR
Achtung! Diese Einstellungen verwenden veraltete Spielelemente,Uyarı! Bu ayarlar kullanımdan kalkmış özellikleri kullanıyor,tr-TR
Achtung! Wenig freier Speicherplatz!,Uyarı! Düşük disk alanı!,tr-TR
Acquista adesso!,Şimdi Satın Alın!,tr-TR
Actualización del mundo cancelada,Dünya güncellemesi iptal edildi,tr-TR
Actualización del mundo completada,Dünya Güncellemesi Tamamlandı,tr-TR
Actualizado: %s,Güncellendi: %s,tr-TR
Actualizando archivos del mundo,Dünya Dosyaları Güncelleniyor,tr-TR
Actualizando estructuras heredadas,Eski yapılar güncelleniyor,tr-TR
Actualizando regiones,Bölgeler güncelleniyor,tr-TR
Actualizar y jugar,Güncelle ve Oyna,tr-TR
Added pack(s) contain(s) symbolic links,Eklenen paket(ler) sembolik bağlantılar içeriyor,tr-TR
Adventure,Macera,tr-TR
Aggiorna e gioca,Güncelle ve Oyna,tr-TR
Aggiornamento del mondo annullato,Dünya güncellemesi iptal edildi,tr-TR
Aggiornamento del mondo completato,Dünya başarıyla güncellendi,tr-TR
Aggiornamento del mondo non riuscito,Dünya güncellenemedi,tr-TR
Aggiornamento del salvataggio...,Dünya Dosyaları Güncelleniyor,tr-TR
Aggiornamento delle regioni...,Bölgeler güncelleniyor,tr-TR
Aggiornamento delle strutture...,Eski yapılar güncelleniyor,tr-TR
Aggiornamento di tutte le entità...,Tüm varlıklar güncelleniyor...,tr-TR
Aggiornamento di tutti i chunk...,Tüm yığınlar güncelleniyor…,tr-TR
Aggiornamento di tutti i punti d'interesse...,Tüm ilgi çekici noktalar güncelleniyor...,tr-TR
Aggiornati: %s,Güncellendi: %s,tr-TR
