source,target,tgt_lng
"""A graça do Sentinela, quão doce és. Nosso lar se perdeu, mas enfim se achou. Com galhos no bico, eu enfrento as ondas. Unidos pelo amor, somos coroados com luz sagrada.""",「慈しみ深き、我が歳主。聖光放つ冠に導かれ、恵みの潮に身を委ねて。今こそ愛に応えて進み、枝を啣みて我が故郷へ。」,ja-JP
"""The Sentinel's grace, how sweet thou art. Our home was lost, but found at last. With twigs between my beaks, I brave the waves. Bound by love, we're crowned with holy light.""",「慈しみ深き、我が歳主。聖光放つ冠に導かれ、恵みの潮に身を委ねて。今こそ愛に応えて進み、枝を啣みて我が故郷へ。」,ja-JP
"""พระเมตตาแห่งเซนติเนลช่างงดงามและตราตรึง ในวันที่คะนึงหาบ้านจนพบเจอ
คาบกิ่งไม้ฝ่าคลื่นลมถักทอสายใยรัก จนแสงทิพย์จักอาบชโลมเป็นมงกุฎทอง""",「慈しみ深き、我が歳主。聖光放つ冠に導かれ、恵みの潮に身を委ねて。今こそ愛に応えて進み、枝を啣みて我が故郷へ。」,ja-JP
-短剑,テスト1-迅刀,ja-JP
18형 직검 · 순간의 칼빛,瞬斬刀＃18,ja-JP
21형 권갑 · 아이언 팬텀,鋼影拳＃21・四番,ja-JP
25형 증폭기 · 울림의 멜로디,鳴動機＃25,ja-JP
26형 권총 · 맹렬한 돌격,穿撃銃＃26,ja-JP
41형 대검 · 무거운 책임,重破刃＃41,ja-JP
A Free Knight's Tarantella,自由の騎士の踊り,ja-JP
"A conceptual projection, a transparent broadblade as if it were made of nothing.
In Somnoire, a weapon's form is but a mirage, while its purpose—a tool of war—holds true as ever.","純粋な概念の投影によってできた、不可視の長刃。
心の集域では、武器の外観や形状は表面的なものにすぎず、その概念の核心は戦争のための道具である。",ja-JP
"A conceptual projection, a transparent pistol as if it were made of nothing.
In Somnoire, a weapon's form is but a mirage, while its purpose—a tool of war—holds true as ever.","純粋な概念の投影によってできた、不可視の拳銃。
心の集域では、武器の外観や形状は表面的なものにすぎず、その概念の核心は戦争のための道具である。",ja-JP
"A conceptual projection, a transparent rectifier as if it were made of nothing.
In Somnoire, a weapon's form is but a mirage, while its purpose—a tool of war—holds true as ever.","純粋な概念の投影によってできた、不可視の増幅器。
心の集域では、武器の外観や形状は表面的なものにすぎず、その概念の核心は戦争のための道具である。",ja-JP
"A conceptual projection, a transparent sword as if it were made of nothing.
In Somnoire, a weapon's form is but a mirage, while its purpose—a tool of war—holds true as ever.","純粋な概念の投影によってできた、不可視の迅刀。
心の集域では、武器の外観や形状は表面的なものにすぎず、その概念の核心は戦争のための道具である。",ja-JP
"A conceptual projection, transparent gauntlets as if they were made of nothing.
In Somnoire, a weapon's form is but a mirage, while its purpose—a tool of war—holds true as ever.","純粋な概念の投影によってできた、不可視の手甲。
心の集域では、武器の外観や形状は表面的なものにすぎず、その概念の核心は戦争のための道具である。",ja-JP
"A descending adagio. These gauntlets pulsate with the power of surging waves, shattering anything in their path like a deadly hymn.",楽譜にインスパイアされ作成した手甲。音階は、降順。津波の音を以て怒りを奔出させ、高鳴る交響を作る。,ja-JP
A descending adagio. This broadblade dominates the battlefield with the power of discordance. The curtain never falls on a masterpiece.,楽譜にインスパイアされ作成した長刃。音階は、降順。異響の力を以て、戦局を制する終わらぬ名作となる。,ja-JP
"A descending adagio. This rectifier opens up an insightful window into the situation, changing the tune of the intense battle concerto.",楽譜にインスパイアされ作成した増幅器。音階は、降順。智慧の眼光を以て策を見出し、協奏は急転直下する。,ja-JP
"A luz prismática dança na ponta de seus dedos, com arcos de cores esculpindo trilhas radiantes.
Cada matiz que se precipita converge sobre sua mira, e por fim, ela chega a um céu onde nada fica além de sua vista.","極彩色が指先で躍り、虹が目の眩むような軌跡を描く。
溢れ出す色のすべてが、ここに集う。彼女はついに届いたのだ。いつも遠くから眺めていた、あの晴れ空に。",ja-JP
"A luz solar se reúne. A resposta se torna clara.
O que deve ser feito aguarda. As Rédeas estão em suas mãos.
Avance, em direção ao fim iluminado pelo sol.","すべての陽の光があなたを照らした。答えはすぐそこにある。
やらなければならないことがあるのだ、あなたにしか成し遂げられないことが。
一歩踏み出そう、太陽のもっと近くへ。",ja-JP
A origem da gênese universal. Um retificador projetado para Ressonantes iniciantes. Contém um poder que não pode ser subestimado por conta de sua aparência simples.,未熟な共鳴者のために作られた増幅器。地味な見た目のわりに侮れない戦闘力を秘めている。,ja-JP
A pair of heavy and strong gauntlets with great reliability. It can unleash destructive power to deal fatal blows when equipped by proficient users.,粗く無骨だが信頼できる強い手甲。手慣れた者はこれで山も海も覆すほどの力を出せる。,ja-JP
A pair of pistols known for their strong firepower. An impassioned conviction will surge when the shooter holds these pistols on the battlefield.,激しい火力で名だたる銃。手にして戦場へ行く者は、滾る戦意が沸き立つ。,ja-JP
"A pre-Lament forging technique is used, rendering the broadblade lightweight and handy with its cumbersome-looking body. Buzzing sounds can be heard when the wielder slashes, like a croon from time immemorial.",悲鳴の前の鍛冶法を用いて、一見無骨な刀身だが軽く鋭い。振るう度に鳴いた音は、まるで万古から伝わってきた。,ja-JP
A projection device that allows you to change the weapon's appearance.,武器の外見を変えられる投影アイテム,ja-JP
"A projection of Broadblade - Ages of Harvest, as lovely as peach blossoms.
With spring's arrival, the temporal pearl on the hilt turns pink, dyed by petals, like the heart of a girl in bloom.","長刃・歳華調和の概念の投影は、咲き誇る桃花のごとく華やかに映える。
春風が四季を巡らせると、柄に宿る時の玉珠もまた、秘めやかな乙女心のように、花びらに染められ桃色へと移ろう。",ja-JP
"A sword of recognized blessing since it has contributed to countless triumphs. ""May victory be with you.""",携えられて凱旋することが多いから、祝福された謂れのある幸運の剣。では……勝利があらんことを。,ja-JP
"A weapon designed to commemorate the Midnight Rangers' comradeship. ""Thin garments yield to icy moons, while armor withstands the chill of stars.""",夜帰の戦士たちの、同志との固い絆に応えて、夜帰のために鍛え上げた武器。,ja-JP
"A weapon designed to commemorate the Midnight Rangers' courage. ""A thousand echoes carry the war's tale, as spirits unite in resounding gorges of valor.”",夜帰の戦士たちの、いかなる敵にも挑む勇気に応えて、夜帰のために鍛え上げた武器。,ja-JP
"A weapon designed to commemorate the Midnight Rangers' dedication. ""Let my body ablaze, flames dance to banish all evil's haze.""",夜帰の戦士たちの、身を挺する尽力に応えて、夜帰のために鍛え上げた武器。,ja-JP
"A weapon designed to commemorate the Midnight Rangers' preparedness. ""Autumn fades in endless nights, ready blades gleam with silent might.""",夜帰の戦士たちの、万事に備える心構えに応えて、夜帰のために鍛え上げた武器。,ja-JP
"A weapon designed to commemorate the Midnight Rangers' vigilant protection of Jinzhou. ""Cast your gaze towards the north, where the city's silhouette fades, its gates veiled by the tranquil rain.""",夜帰が今州を守り抜いた歳月に応えて、夜帰のために鍛え上げた武器。,ja-JP
A Última Dança,ラストダンス,ja-JP
ANG + {0} %.,エラーが発生しました、ご不明点がありましたら、サポートにお問い合わせください,ja-JP
ANG + {0} %.,攻撃力が{0}%アップ。,ja-JP
ATK เพิ่มขึ้น {0},攻撃力{0}アップ。,ja-JP
ATK เพิ่มขึ้น {0} หลังจากเรโซเนเตอร์ในทีมใช้สกิล [ทำลายเสียงประสาน] ATK ของตนจะเพิ่มขึ้น {1} และโบนัสความเสียหายโจมตีปกติเพิ่มขึ้น {2} เป็นเวลา {3} วินาที,攻撃力{0}アップ。チーム内キャラが【協和破壊スキル】を発動後、自身の攻撃力が{1}アップ、通常攻撃ダメージが{2}アップ、{3}秒間持続。,ja-JP
