source,target,tgt_lng
爱露,Aru,en-US
アル,Aru,en-US
亞瑠,Aru,en-US
아루,Aru,en-US
อารุ,Aru,en-US
艾米,Eimi,en-US
エイミ,Eimi,en-US
英美,Eimi,en-US
에이미,Eimi,en-US
เอมิ,Eimi,en-US
晴奈,Haruna,en-US
ハルナ,Haruna,en-US
羽留奈,Haruna,en-US
하루나,Haruna,en-US
ฮารุนะ,Haruna,en-US
日富美,Hifumi,en-US
ヒフミ,Hifumi,en-US
日步美,Hifumi,en-US
히후미,Hifumi,en-US
ฮิฟุมิ,Hifumi,en-US
日奈,Hina,en-US
ヒナ,Hina,en-US
陽奈,Hina,en-US
히나,Hina,en-US
ฮินะ,Hina,en-US
星野,Hoshino,en-US
ホシノ,Hoshino,en-US
호시노,Hoshino,en-US
โฮชิโนะ,Hoshino,en-US
伊织,Iori,en-US
イオリ,Iori,en-US
伊織,Iori,en-US
이오리,Iori,en-US
อิโอริ,Iori,en-US
真纪,Maki,en-US
マキ,Maki,en-US
真紀,Maki,en-US
마키,Maki,en-US
มากิ,Maki,en-US
妮露,Neru,en-US
ネル,Neru,en-US
寧瑠,Neru,en-US
네루,Neru,en-US
เนรุ,Neru,en-US
泉,Izumi,en-US
イズミ,Izumi,en-US
이즈미,Izumi,en-US
อิซุมิ,Izumi,en-US
白子,Shiroko,en-US
シロコ,Shiroko,en-US
시로코,Shiroko,en-US
ชิโรโกะ,Shiroko,en-US
瞬,Shun,en-US
シュン,Shun,en-US
旬,Shun,en-US
슌,Shun,en-US
ชุน,Shun,en-US
堇,Sumire,en-US
スミレ,Sumire,en-US
스미레,Sumire,en-US
สึมิเระ,Sumire,en-US
鹤城,Tsurugi,en-US
ツルギ,Tsurugi,en-US
弦生,Tsurugi,en-US
츠루기,Tsurugi,en-US
ซึรุกิ,Tsurugi,en-US
泉奈,Izuna,en-US
イズナ,Izuna,en-US
伊樹菜,Izuna,en-US
이즈나,Izuna,en-US
อิซุนะ,Izuna,en-US
爱丽丝,Aris,en-US
アリス,Aris,en-US
愛麗絲,Aris,en-US
아리스,Aris,en-US
อาริสึ,Aris,en-US
绿,Midori,en-US
ミドリ,Midori,en-US
綠,Midori,en-US
미도리,Midori,en-US
มิโดริ,Midori,en-US
切里诺,Cherino,en-US
チェリノ,Cherino,en-US
潔莉諾,Cherino,en-US
체리노,Cherino,en-US
เชริโน่,Cherino,en-US
柚子,Yuzu,en-US
ユズ,Yuzu,en-US
유즈,Yuzu,en-US
ยูสึ,Yuzu,en-US
梓,Azusa,en-US
アズサ,Azusa,en-US
아즈사,Azusa,en-US
อาซึสะ,Azusa,en-US
小春,Koharu,en-US
コハル,Koharu,en-US
코하루,Koharu,en-US
โคฮารุ,Koharu,en-US
梓（泳装）,Azusa (Swimsuit),en-US
アズサ（水着）,Azusa (Swimsuit),en-US
梓(泳裝),Azusa (Swimsuit),en-US
아즈사(수영복),Azusa (Swimsuit),en-US
อาซึสะ (ชุดว่ายน้ำ),Azusa (Swimsuit),en-US
日奈（泳装）,Hina (Swimsuit),en-US
ヒナ（水着）,Hina (Swimsuit),en-US
陽奈(泳裝),Hina (Swimsuit),en-US
히나(수영복),Hina (Swimsuit),en-US
ฮินะ (ชุดว่ายน้ำ),Hina (Swimsuit),en-US
伊织（泳装）,Iori (Swimsuit),en-US
イオリ（水着）,Iori (Swimsuit),en-US
伊織(泳裝),Iori (Swimsuit),en-US
이오리(수영복),Iori (Swimsuit),en-US
อิโอริ (ชุดว่ายน้ำ),Iori (Swimsuit),en-US
白子（骑行）,Shiroko (Cycling),en-US
シロコ（ライディング）,Shiroko (Cycling),en-US
白子(單車),Shiroko (Cycling),en-US
시로코(라이딩),Shiroko (Cycling),en-US
ชิโรโกะ (นักปั่น),Shiroko (Cycling),en-US
瞬（小）,Shun (Small),en-US
シュン（幼女）,Shun (Small),en-US
旬(幼女),Shun (Small),en-US
슌(어린이),Shun (Small),en-US
ชุน (วัยเด็ก),Shun (Small),en-US
妮露（邦妮）,Neru (Bunny),en-US
ネル（バニーガール）,Neru (Bunny),en-US
寧瑠(兔女郎),Neru (Bunny),en-US
네루(바니걸),Neru (Bunny),en-US
เนรุ (บันนี่เกิร์ล),Neru (Bunny),en-US
花凛（邦妮）,Karin (Bunny),en-US
カリン（バニーガール）,Karin (Bunny),en-US
花凛(兔女郎),Karin (Bunny),en-US
카린(바니걸),Karin (Bunny),en-US
คาริน (บันนี่เกิร์ล),Karin (Bunny),en-US
明日奈（邦妮）,Asuna (Bunny),en-US
アスナ（バニーガール）,Asuna (Bunny),en-US
明日奈(兔女郎),Asuna (Bunny),en-US
아스나(바니걸),Asuna (Bunny),en-US
อาสึนะ (บันนี่เกิร์ล),Asuna (Bunny),en-US
夏,Natsu,en-US
ナツ,Natsu,en-US
나츠,Natsu,en-US
นัตสึ,Natsu,en-US
千夏（温泉）,Chinatsu (Hot Spring),en-US
チナツ（温泉）,Chinatsu (Hot Spring),en-US
千夏(溫泉),Chinatsu (Hot Spring),en-US
치나츠(온천),Chinatsu (Hot Spring),en-US
ชินัตสึ (ออนเซ็น),Chinatsu (Hot Spring),en-US
爱露（新年）,Aru (New Year),en-US
アル（正月）,Aru (New Year),en-US
亞瑠(正月),Aru (New Year),en-US
아루(새해),Aru (New Year),en-US
อารุ (ปีใหม่),Aru (New Year),en-US
睦月（新年）,Mutsuki (New Year),en-US
ムツキ（正月）,Mutsuki (New Year),en-US
無月(正月),Mutsuki (New Year),en-US
무츠키(새해),Mutsuki (New Year),en-US
มุสึกิ (ปีใหม่),Mutsuki (New Year),en-US
若藻,Wakamo,en-US
ワカモ,Wakamo,en-US
와카모,Wakamo,en-US
วาคาโมะ,Wakamo,en-US
三森,Mimori,en-US
ミモリ,Mimori,en-US
미모리,Mimori,en-US
มิโมริ,Mimori,en-US
忧,Ui,en-US
ウイ,Ui,en-US
憂,Ui,en-US
우이,Ui,en-US
อุย,Ui,en-US
日向,Hinata,en-US
ヒナタ,Hinata,en-US
히나타,Hinata,en-US
ฮินาตะ,Hinata,en-US
真里奈,Marina,en-US
マリナ,Marina,en-US
瑪麗娜,Marina,en-US
마리나,Marina,en-US
มารินะ,Marina,en-US
宫子,Miyako,en-US
ミヤコ,Miyako,en-US
都子,Miyako,en-US
미야코,Miyako,en-US
มิยาโกะ,Miyako,en-US
美游,Miyu,en-US
ミユ,Miyu,en-US
美優,Miyu,en-US
미유,Miyu,en-US
มิยุ,Miyu,en-US
月咏,Tsukuyo,en-US
ツクヨ,Tsukuyo,en-US
月夜,Tsukuyo,en-US
츠쿠요,Tsukuyo,en-US
สึคุโยะ,Tsukuyo,en-US
美咲,Misaki,en-US
ミサキ,Misaki,en-US
미사키,Misaki,en-US
มิซากิ,Misaki,en-US
亚津子,Atsuko,en-US
アツコ,Atsuko,en-US
敦子,Atsuko,en-US
아츠코,Atsuko,en-US
อาสึโกะ,Atsuko,en-US
若藻（泳装）,Wakamo (Swimsuit),en-US
ワカモ（水着）,Wakamo (Swimsuit),en-US
若藻(泳裝),Wakamo (Swimsuit),en-US
와카모(수영복),Wakamo (Swimsuit),en-US
วาคาโมะ (ชุดว่ายน้ำ),Wakamo (Swimsuit),en-US
野宫（泳装）,Nonomi (Swimsuit),en-US
ノノミ（水着）,Nonomi (Swimsuit),en-US
野乃美(泳裝),Nonomi (Swimsuit),en-US
노노미(수영복),Nonomi (Swimsuit),en-US
โนโนมิ (ชุดว่ายน้ำ),Nonomi (Swimsuit),en-US
星野（泳装）,Hoshino (Swimsuit),en-US
ホシノ（水着）,Hoshino (Swimsuit),en-US
星野(泳裝),Hoshino (Swimsuit),en-US
호시노(수영복),Hoshino (Swimsuit),en-US
โฮชิโนะ (ชุดว่ายน้ำ),Hoshino (Swimsuit),en-US
泉奈（泳装）,Izuna (Swimsuit),en-US
イズナ（水着）,Izuna (Swimsuit),en-US
伊樹菜(泳裝),Izuna (Swimsuit),en-US
이즈나(수영복),Izuna (Swimsuit),en-US
อิซุนะ (ชุดว่ายน้ำ),Izuna (Swimsuit),en-US
千世（泳装）,Chise (Swimsuit),en-US
チセ（水着）,Chise (Swimsuit),en-US
知世(泳裝),Chise (Swimsuit),en-US
치세(수영복),Chise (Swimsuit),en-US
ชิเซะ (ชุดว่ายน้ำ),Chise (Swimsuit),en-US
纱织,Saori,en-US
サオリ,Saori,en-US
沙織,Saori,en-US
사오리,Saori,en-US
ซาโอริ,Saori,en-US
和纱,Kazusa,en-US
カズサ,Kazusa,en-US
千紗,Kazusa,en-US
카즈사,Kazusa,en-US
คาซึสะ,Kazusa,en-US
心奈,Kokona,en-US
ココナ,Kokona,en-US
心菜,Kokona,en-US
코코나,Kokona,en-US
โคโคน่า,Kokona,en-US
歌原（应援团）,Utaha (Cheer Squad),en-US
ウタハ（応援団）,Utaha (Cheer Squad),en-US
詠葉(應援團),Utaha (Cheer Squad),en-US
우타하(응원단),Utaha (Cheer Squad),en-US
อุทาฮะ (ชุดเชียร์),Utaha (Cheer Squad),en-US
诺亚,Noa,en-US
ノア,Noa,en-US
乃愛,Noa,en-US
노아,Noa,en-US
โนอา,Noa,en-US
优香（体操服）,Yuuka (Track),en-US
ユウカ（体操服）,Yuuka (Track),en-US
優香(體育服),Yuuka (Track),en-US
유우카(체육복),Yuuka (Track),en-US
ยูกะ (ชุดพละ),Yuuka (Track),en-US
玛丽（体操服）,Mari (Track),en-US
マリー（体操服）,Mari (Track),en-US
瑪麗(體育服),Mari (Track),en-US
마리(체육복),Mari (Track),en-US
มารี (ชุดพละ),Mari (Track),en-US
时雨,Shigure,en-US
シグレ,Shigure,en-US
時雨,Shigure,en-US
시구레,Shigure,en-US
ชิกุเระ,Shigure,en-US
芹娜（圣诞）,Serina (Christmas),en-US
セリナ（クリスマス）,Serina (Christmas),en-US
芹奈(聖誕節),Serina (Christmas),en-US
세리나(크리스마스),Serina (Christmas),en-US
เซรินะ (คริสต์มาส),Serina (Christmas),en-US
晴奈（新年）,Haruna (New Year),en-US
ハルナ（正月）,Haruna (New Year),en-US
羽留奈(正月),Haruna (New Year),en-US
하루나(새해),Haruna (New Year),en-US
ฮารุนะ (ปีใหม่),Haruna (New Year),en-US
美祢,Mine,en-US
ミネ,Mine,en-US
美禰,Mine,en-US
미네,Mine,en-US
มิเนะ,Mine,en-US
未花,Mika,en-US
ミカ,Mika,en-US
彌香,Mika,en-US
미카,Mika,en-US
มิกะ,Mika,en-US
惠,Megu,en-US
メグ,Megu,en-US
메구,Megu,en-US
เมกุ,Megu,en-US
樱子,Sakurako,en-US
サクラコ,Sakurako,en-US
櫻子,Sakurako,en-US
사쿠라코,Sakurako,en-US
ซากุระโกะ,Sakurako,en-US
时,Toki,en-US
トキ,Toki,en-US
季,Toki,en-US
토키,Toki,en-US
โทคิ,Toki,en-US
小雪,Koyuki,en-US
コユキ,Koyuki,en-US
코유키,Koyuki,en-US
โคยูกิ,Koyuki,en-US
佳代子（新年）,Kayoko (New Year),en-US
カヨコ（正月）,Kayoko (New Year),en-US
佳世子(正月),Kayoko (New Year),en-US
카요코(새해),Kayoko (New Year),en-US
คาโยโกะ (ปีใหม่),Kayoko (New Year),en-US
果穗,Kaho,en-US
カホ,Kaho,en-US
佳穗,Kaho,en-US
카호,Kaho,en-US
คาโฮะ,Kaho,en-US
爱丽丝（女仆）,Aris (Maid),en-US
アリス（メイド）,Aris (Maid),en-US
愛麗絲(女僕),Aris (Maid),en-US
아리스(메이드),Aris (Maid),en-US
อาริสึ (ชุดเมด),Aris (Maid),en-US
时（兔女郎）,Toki (Bunny),en-US
トキ（バニーガール）,Toki (Bunny),en-US
季(兔女郎),Toki (Bunny),en-US
토키(바니걸),Toki (Bunny),en-US
โทคิ (บันนี่เกิร์ล),Toki (Bunny),en-US
玲纱,Reisa,en-US
レイサ,Reisa,en-US
澪紗,Reisa,en-US
레이사,Reisa,en-US
เรอิสะ,Reisa,en-US
流美,Rumi,en-US
ルミ,Rumi,en-US
瑠美,Rumi,en-US
루미,Rumi,en-US
รูมิ,Rumi,en-US
弥奈,Mina,en-US
ミナ,Mina,en-US
美奈,Mina,en-US
미나,Mina,en-US
มินะ,Mina,en-US
宫子（泳装）,Miyako (Swimsuit),en-US
ミヤコ（水着）,Miyako (Swimsuit),en-US
都子(泳裝),Miyako (Swimsuit),en-US
미야코(수영복),Miyako (Swimsuit),en-US
มิยาโกะ (ชุดว่ายน้ำ),Miyako (Swimsuit),en-US
咲（泳装）,Saki (Swimsuit),en-US
サキ（水着）,Saki (Swimsuit),en-US
咲希(泳裝),Saki (Swimsuit),en-US
사키(수영복),Saki (Swimsuit),en-US
ซากิ (ชุดว่ายน้ำ),Saki (Swimsuit),en-US
忧（泳装）,Ui (Swimsuit),en-US
ウイ（水着）,Ui (Swimsuit),en-US
憂(泳裝),Ui (Swimsuit),en-US
우이(수영복),Ui (Swimsuit),en-US
อุย (ชุดว่ายน้ำ),Ui (Swimsuit),en-US
花子（泳装）,Hanako (Swimsuit),en-US
ハナコ（水着）,Hanako (Swimsuit),en-US
花子(泳裝),Hanako (Swimsuit),en-US
하나코(수영복),Hanako (Swimsuit),en-US
ฮานาโกะ (ชุดว่ายน้ำ),Hanako (Swimsuit),en-US
芽留,Meru,en-US
メル,Meru,en-US
愛瑠,Meru,en-US
메루,Meru,en-US
เมรุ,Meru,en-US
琴里(应援团),Kotori (Cheer Squad),en-US
コトリ（応援団）,Kotori (Cheer Squad),en-US
亞都梨(應援團),Kotori (Cheer Squad),en-US
코토리(응원단),Kotori (Cheer Squad),en-US
โคโทริ (ชุดเชียร์),Kotori (Cheer Squad),en-US
一花,Ichika,en-US
イチカ,Ichika,en-US
이치카,Ichika,en-US
อิจิกะ,Ichika,en-US
霞,Kasumi,en-US
カスミ,Kasumi,en-US
佳澄,Kasumi,en-US
카스미,Kasumi,en-US
คาสุมิ,Kasumi,en-US
御坂美琴,Misaka Mikoto,en-US
미사카 미코토,Misaka Mikoto,en-US
มิซากะ มิโคโตะ,Misaka Mikoto,en-US
