id,term,src_table
CatBallAttributeFlagVo.101.expound,可以在战中主动释放技能卡牌，技能偏向攻击型,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.101.title,主动-攻击,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.102.expound,可以在战中主动释放技能卡牌，技能偏向防御型,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.102.title,主动-防御,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.103.expound,可以在战中主动释放技能卡牌，技能偏向辅助型,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.103.title,主动-辅助,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.201.expound,在战斗中，给所有友方增加攻击偏向的被动技能效果,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.201.title,被动-攻击,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.202.expound,在战斗中，给所有友方增加防护偏向的被动技能效果,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.202.title,被动-防御,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.203.expound,在战斗中，给所有友方增加辅助偏向的被动技能效果,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.203.title,被动-辅助,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.304.expound,能够在餐厅带来收益的特殊类型，不能进入战斗,MonsterCat/CatBallAttributeFlagVo.txt
CatBallAttributeFlagVo.304.title,餐厅经营,MonsterCat/CatBallAttributeFlagVo.txt
CatBallDrawVo.10001.name,猫球扭蛋,MonsterCat/CatBallDrawVo.txt
ClubBossPassVo.801001.illustrate,1. 当玩家武装身上的攻击力降低效果叠加到6层后，爆裂鼓蟹会异常兴奋，攻击力提升30%。,Club/ClubBossPassVo.txt
ClubBossPassVo.801002.illustrate,1.孤傲剑客有较强的攻击性，造成伤害时，还会降低玩家武装的受治疗效果。,Club/ClubBossPassVo.txt
ClubBossPassVo.801003.illustrate,1.宝宝玩偶在攻击后会获得能力增强，每拥有1点奥义能量，攻击力提升10%。,Club/ClubBossPassVo.txt
ClubBossPassVo.801004.illustrate,1.莫布每次击破【护盾】效果都可以提升自身10%的 攻击力，最多可以叠加20层。\n2.莫布第3回合开始时，暴露出破绽，受到的暴击伤害提升50%。,Club/ClubBossPassVo.txt
ClubBossPassVo.801005.illustrate,1. 拳击贩卖机获得忍耐强化，忍耐值提升100%。攻击时使敌人的受治疗效果降低。,Club/ClubBossPassVo.txt
ClubBossPassVo.801006.illustrate,1.恶意挖掘机获得防御强化，自身防御值提升50%。,Club/ClubBossPassVo.txt
ClubBossPassVo.801007.illustrate,1.持剑鼠自身能力得到大幅度提升，控制效果对其无效。,Club/ClubBossPassVo.txt
ClubBossPassVo.801008.illustrate,1.竹牙巨人可以击穿对方防御，使敌人防御力大幅度降低。\n2.竹牙巨人可以强化己身，提升自身30%防御和30%最终伤害。造成伤害时，将造成大量的破势伤害。,Club/ClubBossPassVo.txt
ClubBossPassVo.801012.illustrate,游戏机自身防御力大幅提升，每受到一段伤害提升效果降低1层（共50层），当提升效果完全消失时，重置被动，并使游戏机下一次受到伤害时额外按攻击者500%攻击力造成一次【纯粹伤害】。,Club/ClubBossPassVo.txt
ClubBossPassVo.801016.illustrate,游戏机自身防御力大幅提升，每受到一段伤害提升效果降低1层（共50层），当提升效果完全消失时，重置被动，并使游戏机下一次受到伤害时额外按攻击者500%攻击力造成一次【纯粹伤害】。,Club/ClubBossPassVo.txt
ClubBossPassVo.801020.illustrate,话筒蜥蜴的奥义技能会频繁召唤怪物助战，且承担召唤怪物50%受到的伤害，可以通过攻击召唤怪物对首领造成额外伤害,Club/ClubBossPassVo.txt
ClubBossPassVo.801024.illustrate,话筒蜥蜴的奥义技能会频繁召唤怪物助战，且承担召唤怪物50%受到的伤害，可以通过攻击召唤怪物对首领造成额外伤害,Club/ClubBossPassVo.txt
