source,target,tgt_lng
Abgrundbote – Reißender Strom,Abyss Herald - Wicked Torrents,th-TH
Abgrundsänger – Abgrundflammen,Abyss Lector - Fathomless Flames,th-TH
Abgrundsänger – Lila Blitze,Abyss Lector - Violet Lightning,th-TH
Abyss Herald: Wicked Torrents,Abyss Herald - Wicked Torrents,th-TH
Abyss Lector: Fathomless Flames,Abyss Lector - Fathomless Flames,th-TH
Abyss Lector: Violet Lightning,Abyss Lector - Violet Lightning,th-TH
Aerofidio Sacróseo,Consecrated Flying Serpent,th-TH
Agente dei Fatui di Pyro,Fatui - Pyro Agent,th-TH
Alhacén,Alhaitham,th-TH
Altın Alevli Gukuzor Tiran,ทรราช Qucusaurus เพลิงทอง,th-TH
Andarilho,ผู้พเนจร,th-TH
Apep Vahası'nın Muhafızı,ผู้พิทักษ์โอเอซิสของ Apep,th-TH
Apostolo dell'Abisso: Torrenti maligni,Abyss Herald - Wicked Torrents,th-TH
Apóstolo do Abismo - Corrente Torrencial,Abyss Herald - Wicked Torrents,th-TH
Apôtre de l'Abîme - Torrent,Abyss Herald - Wicked Torrents,th-TH
Asceta Espiritista,Wayward Hermetic Spiritspeaker,th-TH
Asi Hermetik Ruh Sözcüsü,Wayward Hermetic Spiritspeaker,th-TH
Ateş ve Demir İmparatoru,Emperor of Fire and Iron,th-TH
Avare,ผู้พเนจร,th-TH
Aynalı Rahibe,Fatui - Mirror Maiden,th-TH
Aşınmış Kadim Ateşin Efendisi,Lord of Eroded Primal Fire,th-TH
Baleia Devoradora,All-Devouring Narwhal,th-TH
Bardo del Abismo - Llamas abismales,Abyss Lector - Fathomless Flames,th-TH
Bardo del Abismo - Trueno púrpura,Abyss Lector - Violet Lightning,th-TH
Bardo do Abismo - Chamas Abismais,Abyss Lector - Fathomless Flames,th-TH
Bardo do Abismo - Trovão Violeta,Abyss Lector - Violet Lightning,th-TH
Beschützer von Apeps Oase,ผู้พิทักษ์โอเอซิสของ Apep,th-TH
Besta de Presas da Ossada Sagrada,Consecrated Fanged Beast,th-TH
Bestia zannuta consacrata,Consecrated Fanged Beast,th-TH
Bin Yıllık İnci Denizatı,Millennial Pearl Seahorse,th-TH
Bruja Carmesí de las Ascuas,Crimson Witch of Embers,th-TH
Brutovéreux Hydro,Hydro Hilichurl Rogue,th-TH
Bruxa das Chamas Carmesim,Crimson Witch of Embers,th-TH
Buz Ajanı,Fatui - Frost Operative,th-TH
Buz Hipostazı,Cryo Hypostasis,th-TH
Bárbara,Barbara,th-TH
Bò Cạp Độc Thánh Hóa,Consecrated Scorpion,th-TH
Băng Nguyên Bản,Cryo Hypostasis,th-TH
Bạo Chúa Qucusaur Lửa Vàng,ทรราช Qucusaurus เพลิงทอง,th-TH
Caballero Serpiente Negra - Aire afilado,Black Serpent Knight: Windcutter,th-TH
Caballero Serpiente Negra - Hachero demolerrocas,Black Serpent Knight: Rockbreaker Ax,th-TH
Caniné sacralisé,Consecrated Fanged Beast,th-TH
Cantore dell'Abisso: Fiamme imperscrutabili,Abyss Lector - Fathomless Flames,th-TH
Cantore dell'Abisso: Fulmine viola,Abyss Lector - Violet Lightning,th-TH
Cavaleiro da Serpente Negra - Machado Quebra-rocha,Black Serpent Knight: Rockbreaker Ax,th-TH
Cavaleiro da Serpente Negra - Quebra-Vento,Black Serpent Knight: Windcutter,th-TH
Cavaliere del Serpente nero: Fendivento,Black Serpent Knight: Windcutter,th-TH
Cavaliere del Serpente nero: Scure spaccapietra,Black Serpent Knight: Rockbreaker Ax,th-TH
Cavalo-Marinho Perolado Milenar,Millennial Pearl Seahorse,th-TH
Champieffroi panaché,Jadeplume Terrorshroom,th-TH
Chantre de l'Abîme - Flamme abyssale,Abyss Lector - Fathomless Flames,th-TH
Chantre de l'Abîme - Foudre pourpre,Abyss Lector - Violet Lightning,th-TH
Chef Brutorocheux,Stonehide Lawachurl,th-TH
Chevalier des Serpents noirs - Casseur de pierre,Black Serpent Knight: Rockbreaker Ax,th-TH
Chevalier des Serpents noirs - Fendeur de vent,Black Serpent Knight: Windcutter,th-TH
Chúa Tể Lửa Nguồn Ăn Mòn,Lord of Eroded Primal Fire,th-TH
Citlalí,Citlali,th-TH
Cobra Voadora da Ossada Sagrada,Consecrated Flying Serpent,th-TH
Colmibestia Sacrósea,Consecrated Fanged Beast,th-TH
Corcel de Mar Perlamilenario,Millennial Pearl Seahorse,th-TH
Corniodrilo Sacróseo,Consecrated Horned Crocodile,th-TH
Cornodrillo consacrato,Consecrated Horned Crocodile,th-TH
Crococornu sacralisé,Consecrated Horned Crocodile,th-TH
Crocodilo da Ossada Sagrada,Consecrated Horned Crocodile,th-TH
Cá Ngựa Ngọc Trai Ngàn Năm,Millennial Pearl Seahorse,th-TH
Cá Sấu Sừng Thánh Hóa,Consecrated Horned Crocodile,th-TH
Dama degli specchi,Fatui - Mirror Maiden,th-TH
Deneysel Alan Oluşturucu,Experimental Field Generator,th-TH
Eccentrica seclusa Cercaspiriti,Wayward Hermetic Spiritspeaker,th-TH
Elektrik Hipostazı,Electro Hypostasis,th-TH
Elektro-Hypostase,Electro Hypostasis,th-TH
Emisario del Abismo - Rápidos malignos,Abyss Herald - Wicked Torrents,th-TH
Emperador Piroacorazado,Emperor of Fire and Iron,th-TH
Empereur du feu ferreux,Emperor of Fire and Iron,th-TH
Eremita Danzacróbata,Eremite Floral Ring-Dancer,th-TH
Eremita Dançarina Floral,Eremite Floral Ring-Dancer,th-TH
Eremita Narradora da Areia Ardente,Eremite Scorching Loremaster,th-TH
Eremita Susurrarenas,Eremite Scorching Loremaster,th-TH
