source,target,tgt_lng
Aaron Cherof — Precipice,Aaron Cherof - Precipice,de-DE
Aaron Cherof — Relic,Aaron Cherof - Relic,de-DE
Amos Roddy - Tears,Amos Roddy – Tears,de-DE
Amos Roddy — Tears,Amos Roddy – Tears,de-DE
C418 — 11,C418 - 11,de-DE
C418 — 13,C418 - 13,de-DE
C418 — blocks,C418 - blocks,de-DE
C418 — cat,C418 - cat,de-DE
C418 — chirp,C418 - chirp,de-DE
C418 — far,C418 - far,de-DE
C418 — mall,C418 - mall,de-DE
C418 — mellohi,C418 - mellohi,de-DE
C418 — stal,C418 - stal,de-DE
C418 — strad,C418 - strad,de-DE
C418 — wait,C418 - wait,de-DE
C418 — ward,C418 - ward,de-DE
fingerspit — Bounce,fingerspit - Bounce,de-DE
Hyper Potions — Lava Chicken,Hyper Potions - Lava Chicken,de-DE
Lena Raine - Creator (boîte à musique),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator (caja de música),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator (Hộp nhạc),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator (Music Box),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator (Müzik Kutusu),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator (กล่องดนตรี),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator (오르골),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator（オルゴール）,Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator（八音盒）,Lena Raine - Creator (Spieluhr),de-DE
Lena Raine - Creator（音樂盒）,Lena Raine - Creator (Spieluhr),de-DE
Lena Raine — Creator,Lena Raine - Creator,de-DE
Lena Raine — Creator (Caixa Musical),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine — Creator (carillon),Lena Raine - Creator (Spieluhr),de-DE
Lena Raine — otherside,Lena Raine - otherside,de-DE
Lena Raine — Pigstep,Lena Raine - Pigstep,de-DE
Samuel Åberg — 5,Samuel Åberg - 5,de-DE
Аарон Шероф — Precipice,Aaron Cherof - Precipice,de-DE
Аарон Шероф — Relic,Aaron Cherof - Relic,de-DE
Лена Рейн — Creator,Lena Raine - Creator,de-DE
Лена Рейн — Creator (Музыкальная шкатулка),Lena Raine - Creator (Spieluhr),de-DE
Лена Рейн — otherside,Lena Raine - otherside,de-DE
Лена Рейн — Pigstep,Lena Raine - Pigstep,de-DE
Самуель Оберг — 5,Samuel Åberg - 5,de-DE
Эймос Родди — Tears,Amos Roddy – Tears,de-DE
