source,target,tgt_lng
Aletler ve Araçlar,工具及實用物品,zh-TW
Alimentos e bebidas,食物及飲品,zh-TW
Attrezzi e utilità,工具及實用物品,zh-TW
Barras de objetos guardadas,已儲存的快捷欄,zh-TW
Barras rápidas salvas,已儲存的快捷欄,zh-TW
Barre rapide salvate,已儲存的快捷欄,zh-TW
Barres d'action sauvegardées,已儲存的快捷欄,zh-TW
Baublöcke,建築方塊,zh-TW
Blocchi colorati,染色方塊,zh-TW
Blocchi da costruzione,建築方塊,zh-TW
Blocchi funzionali,功能方塊,zh-TW
Blocchi naturali,自然方塊,zh-TW
Blocos coloridos,染色方塊,zh-TW
Blocos de construção,建築方塊,zh-TW
Blocos de operador,管理員實用物品,zh-TW
Blocos de Redstone,紅石方塊,zh-TW
Blocos funcionais,功能方塊,zh-TW
Blocos naturais,自然方塊,zh-TW
Blocs colorés,染色方塊,zh-TW
Blocs de construction,建築方塊,zh-TW
Blocs fonctionnels,功能方塊,zh-TW
Blocs naturels,自然方塊,zh-TW
Bloques de colores,染色方塊,zh-TW
Bloques de construcción,建築方塊,zh-TW
Bloques funcionales,功能方塊,zh-TW
Bloques naturales,自然方塊,zh-TW
Building Blocks,建築方塊,zh-TW
Buscar itens,搜尋物品,zh-TW
Búsqueda,搜尋物品,zh-TW
Cerca...,搜尋物品,zh-TW
Chiến đấu,戰鬥,zh-TW
Chế tạo,合成用品,zh-TW
Cibi e bevande,食物及飲品,zh-TW
Colored Blocks,染色方塊,zh-TW
Combat,戰鬥,zh-TW
Combate,戰鬥,zh-TW
Combattimento,戰鬥,zh-TW
Comida y bebida,食物及飲品,zh-TW
Consommables,消耗品,zh-TW
Consumabili,消耗品,zh-TW
Consumables,消耗品,zh-TW
Consumibles,消耗品,zh-TW
Consumíveis,消耗品,zh-TW
Crafting,合成用品,zh-TW
Criaturas,生怪蛋,zh-TW
Công cụ & tiện ích,工具及實用物品,zh-TW
Doğal Bloklar,自然方塊,zh-TW
Eşya Ara,搜尋物品,zh-TW
Fabbricazione,合成用品,zh-TW
Fabrication,合成用品,zh-TW
Fabricação,合成用品,zh-TW
Farbige Blöcke,染色方塊,zh-TW
Ferramentas e utilidades,工具及實用物品,zh-TW
Food & Drinks,食物及飲品,zh-TW
Functional Blocks,功能方塊,zh-TW
Gebrauchsblöcke,功能方塊,zh-TW
Gespeicherte Schnellzugriffsleisten,已儲存的快捷欄,zh-TW
Hayatta Kalma Envanteri,生存模式物品欄,zh-TW
Herramientas de admin.,管理員實用物品,zh-TW
Herramientas y útiles,工具及實用物品,zh-TW
Ingredientes,原材料,zh-TW
Ingredienti,原材料,zh-TW
Ingredients,原材料,zh-TW
Ingrédients,原材料,zh-TW
Inventaire du mode Survie,生存模式物品欄,zh-TW
Inventario,生存模式物品欄,zh-TW
Inventario de supervivencia,生存模式物品欄,zh-TW
Inventário de Sobrevivência,生存模式物品欄,zh-TW
İnşaat Blokları,建築方塊,zh-TW
İşlevsel Bloklar,功能方塊,zh-TW
Kampf,戰鬥,zh-TW
