id,term,src_table
ChatSystem.1.txt,调查官们请注意，【天梯竞技场】将于_NUM_分钟后开启。,Chat/ChatSystem.txt
ChatSystem.10.txt,你在幻影特训场被【_name_】击败了，下降到第_NUM_名。去查看,Chat/ChatSystem.txt
ChatSystem.2.txt,调查官们请注意，【天梯竞技场】将于_NUM_分钟后进行结算。,Chat/ChatSystem.txt
ChatSystem.3.txt,调查官们请注意，【幻影斗技场】将于_NUM_分钟后开启。,Chat/ChatSystem.txt
ChatSystem.4.txt,调查官们请注意，【幻影斗技场】将于_NUM_分钟后进行结算。,Chat/ChatSystem.txt
ChatSystem.5.txt,调查官们请注意，【世界首领】将于_NUM_分钟后开启。,Chat/ChatSystem.txt
ChatSystem.6.txt,调查官们请注意，【世界首领】将于_NUM_分钟后结束。,Chat/ChatSystem.txt
ChatSystem.7.txt,恭喜调查官【_name_】召唤到了SSR战斗员<color=#ffb027>【_id_】</color>。,Chat/ChatSystem.txt
ChatSystem.8.txt,你在幻影斗技场被【_name_】击败了，下降到第_NUM_名。去查看,Chat/ChatSystem.txt
ChatSystem.9.txt,恭喜调查官【_name_】召唤到了SSR猫球<color=#ffb027>【_id_】</color>。,Chat/ChatSystem.txt
ChatTips.1.txt,欢迎来到新海聊天频道，当前无新信息,Chat/ChatTips.txt
ChatTips.2.txt,当前无新信息,Chat/ChatTips.txt
ChatTips.3.txt,没有正在招募的信息,Chat/ChatTips.txt
ChatTips.4.txt,当前无新信息,Chat/ChatTips.txt
ChatTips.5.txt,当前不存在好友，请添加好友,Chat/ChatTips.txt
Live3DCard.1.name,特莉丝,Live3DCard/Live3DCard.txt
Live3DCard.10.name,云灿,Live3DCard/Live3DCard.txt
Live3DCard.11.name,云沛,Live3DCard/Live3DCard.txt
Live3DCard.12.name,安雅,Live3DCard/Live3DCard.txt
Live3DCard.13.name,特莉丝,Live3DCard/Live3DCard.txt
Live3DCard.14.name,丝薇蒂,Live3DCard/Live3DCard.txt
Live3DCard.15.name,法夕黛,Live3DCard/Live3DCard.txt
Live3DCard.16.name,祈,Live3DCard/Live3DCard.txt
Live3DCard.17.name,铃,Live3DCard/Live3DCard.txt
Live3DCard.18.name,丝薇蒂,Live3DCard/Live3DCard.txt
Live3DCard.19.name,阿芙萝,Live3DCard/Live3DCard.txt
Live3DCard.2.name,特莉丝,Live3DCard/Live3DCard.txt
Live3DCard.20.name,薇奥拉,Live3DCard/Live3DCard.txt
Live3DCard.21.name,小曼,Live3DCard/Live3DCard.txt
Live3DCard.22.name,小曼,Live3DCard/Live3DCard.txt
Live3DCard.23.name,黛蕾拉,Live3DCard/Live3DCard.txt
Live3DCard.25.name,风物诗,Live3DCard/Live3DCard.txt
Live3DCard.26.name,多洛茜,Live3DCard/Live3DCard.txt
Live3DCard.3.name,丝薇蒂,Live3DCard/Live3DCard.txt
Live3DCard.4.name,丝薇蒂,Live3DCard/Live3DCard.txt
Live3DRightBtnInfoVO.1.btnName,画上爱心,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.10.btnName,倾诉心事,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.11.btnName,就寝,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.12.btnName,接受挑战,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.13.btnName,尝试挣脱,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.14.btnName,宣誓,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.15.btnName,唤醒,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.16.btnName,沙发,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.17.btnName,情报,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.18.btnName,小酌,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.2.btnName,注入爱意,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.3.btnName,扶起小曼,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.4.btnName,画上爱心,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.5.btnName,注入爱意,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.6.btnName,扶起小曼,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.7.btnName,脸上艺术,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.8.btnName,泡温泉,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.9.btnName,结束温泉,Live3D/Live3DRightBtnInfoVO.txt
Live3DSubTitle.1.subtitle,嗯~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.10.subtitle,嗯？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.100.subtitle,不好意思，麻烦店长了……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.101.subtitle,呜......好像还是有问题.....,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.102.subtitle,修好了吗？真是辛苦店长了~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.103.subtitle,身体都打湿了呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.105.subtitle,店长也被溅到了呢~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.106.subtitle,擦好了~感冒了可不好~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.107.subtitle,哎呀，是你来做SPA的吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.108.subtitle,奴家的服务可是很棒的哦~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.109.subtitle,喜欢这种吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.11.subtitle,店长~这是什么呢？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.110.subtitle,呵呵，真是小乖乖~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.111.subtitle,奴家来帮你~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.112.subtitle,SPA的话,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.113.subtitle,要脱了才能做啊……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.114.subtitle,不行哦~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.115.subtitle,就算是你……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.116.subtitle,要用这个吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.117.subtitle,奴家的服务结束了呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.118.subtitle,这算是奖~励~吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.119.subtitle,感觉有什么要出来了……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.12.subtitle,嗯？嗯哼~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.120.subtitle,好舒服…,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.121.subtitle,奴家也很疲惫呢~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.122.subtitle,调查官……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.123.subtitle,不行哦……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.124.subtitle,调查官……别走……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.125.subtitle,这是小铃的……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.126.subtitle,好痒……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.127.subtitle,美梦成真了呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.128.subtitle,喵-不可以~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.129.subtitle,这是禁区！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.13.subtitle,嗯？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.130.subtitle,该不会是故意的吧……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.131.subtitle,好热啊……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.132.subtitle,诶——掉身上了呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.133.subtitle,主人的手指，好温暖啊。,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.135.subtitle,热乎乎的！好舒服~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.136.subtitle,哇，谢谢主人~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.137.subtitle,嘻嘻~~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.138.subtitle,主人的宠爱，阿芙萝很喜欢！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.14.subtitle,今天的奖励~是~店长你吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.140.subtitle,啊！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.141.subtitle,这里……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.142.subtitle,怪怪的……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.143.subtitle,哦，好吃！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.144.subtitle,哈——谢，谢谢款待~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.145.subtitle,嗯？等，等等——,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.146.subtitle,放，放开我——,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.148.subtitle,唔-啊——轻点嘛——,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.149.subtitle,诶？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.15.subtitle,胜利后的奖励，果然很舒服。,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.150.subtitle,什，什么？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.151.subtitle,变奇怪了啊~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.152.subtitle,呼，不，不行了——,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.153.subtitle,诶？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.154.subtitle,主人……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.155.subtitle,请，稍等……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.157.subtitle,主人？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.158.subtitle,不要~痒……哈哈！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.159.subtitle,欢、欢迎主人回家！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.16.subtitle,嗯~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.160.subtitle,那、那个……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.161.subtitle,请走这边~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.162.subtitle,主人，餐食准备好啦~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.163.subtitle,主人有什么需要，都请让小曼来实现哦~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.164.subtitle,LOVE~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.165.subtitle,感觉有点紧紧的……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.166.subtitle,哎……？！主人~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.167.subtitle,嗯...这是主人想要的吗？…,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.168.subtitle,主人、让我给您画一个心吧,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.169.subtitle,哎？！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.17.subtitle,店长~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.170.subtitle,喷、喷出来了！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.171.subtitle,抱、抱歉，我去换一个新的！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.172.subtitle,主人~这是让食物好吃的魔法~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.173.subtitle,预备——开始！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.174.subtitle,萌萌~注入~耶~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.175.subtitle,呜……滑倒了……好痛……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.176.subtitle,…有点疼……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.177.subtitle,呜——刚才撞到了……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.178.subtitle,扭到了……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.179.subtitle,谢谢,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.18.subtitle,哎呀~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.180.subtitle,啊！疼！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.181.subtitle,对、对不起！接下来我会好好服务主人的……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.182.subtitle,本该平静的夜晚，你接到了一通意料之外的「求救」通讯。,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.183.subtitle,匆匆踏入酒吧深处，门扉轻掩间，不胜酒力的黛蕾拉正阖目小憩。,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.184.subtitle,终于等到所念之人，她的从容此刻在酒意中溶解……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.185.subtitle,我就知道，你一定会来~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.186.subtitle,亲爱的，我能信任的只有你了……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.187.subtitle,今夜的酒，似乎格外让人心动呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.188.subtitle,唔，系带有点松了……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.189.subtitle,可以帮帮我吗，亲爱的~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.19.subtitle,嗯哼。,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.190.subtitle,有点热呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.191.subtitle,在看什么？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.192.subtitle,亲爱的……需要我更主动一些吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.193.subtitle,逗你的……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.194.subtitle,唔！,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.195.subtitle,讨厌~真是急性子~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.196.subtitle,不来帮帮我吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.197.subtitle,好乖，让我忍不住想给予你奖励了呢……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.198.subtitle,唔、晕晕的……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.199.subtitle,想摸摸吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.2.subtitle,店长是~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.20.subtitle,店长~也想进来吗？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.200.subtitle,奖励 ，还没有结束哦~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.201.subtitle,来~享用你的「奖励」吧……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.202.subtitle,薇奥拉记得，自己只是睡了一觉，醒来后竟已置身贝克街，身上的衣物不再是她所熟悉的款式，身体也在向她传递着不适的信号。,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.203.subtitle,面对突如其来的变故，懵懂的薇奥拉只能向最为亲近的你求助……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.204.subtitle,身体感觉怪怪的，记忆也好混乱...,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.205.subtitle,调查官，我到底是怎么啦……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.206.subtitle,头疼？,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.207.subtitle,呜，好像有一点点……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.208.subtitle,腿倒是不疼啦……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.209.subtitle,体温……,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.21.subtitle,嗯~,Live3DCard/Live3DSubTitle.txt
Live3DSubTitle.210.subtitle,没有发烧吧？,Live3DCard/Live3DSubTitle.txt
