source,target,tgt_lng
虔信者尖章,신앙자의 배지,ko-KR
Devotee's Spike Emblem,신앙자의 배지,ko-KR
福者の三角章,신앙자의 배지,ko-KR
虔信者方菱章,신앙자의 메달,ko-KR
Devotee's Rhombus Emblem,신앙자의 메달,ko-KR
列福の円形章,신앙자의 메달,ko-KR
虔信者星闪章,신앙자의 훈장,ko-KR
Devotee's Starlight Emblem,신앙자의 훈장,ko-KR
列聖の六星輝章,신앙자의 훈장,ko-KR
虔信者星閃章,신앙자의 훈장,ko-KR
开拓者尖章,개척자의 배지,ko-KR
Pathfinder's Spike Emblem,개척자의 배지,ko-KR
探検者の三角章,개척자의 배지,ko-KR
開拓者尖章,개척자의 배지,ko-KR
开拓者方菱章,개척자의 메달,ko-KR
Pathfinder's Rhombus Emblem,개척자의 메달,ko-KR
冒険者の円形章,개척자의 메달,ko-KR
開拓者方菱章,개척자의 메달,ko-KR
开拓者星闪章,개척자의 훈장,ko-KR
Pathfinder's Starlight Emblem,개척자의 훈장,ko-KR
開拓者の六星輝章,개척자의 훈장,ko-KR
開拓者星閃章,개척자의 훈장,ko-KR
保卫者尖章,수호자의 배지,ko-KR
Defender's Spike Emblem,수호자의 배지,ko-KR
従士の三角章,수호자의 배지,ko-KR
保衛者尖章,수호자의 배지,ko-KR
保卫者方菱章,수호자의 메달,ko-KR
Defender's Rhombus Emblem,수호자의 메달,ko-KR
騎士の円形章,수호자의 메달,ko-KR
保衛者方菱章,수호자의 메달,ko-KR
保卫者星闪章,수호자의 훈장,ko-KR
Defender's Starlight Emblem,수호자의 훈장,ko-KR
騎士団長の六星輝章,수호자의 훈장,ko-KR
保衛者星閃章,수호자의 훈장,ko-KR
街市激斗,길거리 난투,ko-KR
Clan Clash,길거리 난투,ko-KR
裏路地の喧嘩祭り,길거리 난투,ko-KR
街市激鬥,길거리 난투,ko-KR
雾境突围,안개 돌파,ko-KR
Misty Mayhem,안개 돌파,ko-KR
恐怖の人食い森,안개 돌파,ko-KR
霧境突圍,안개 돌파,ko-KR
深境清扫,심연 소탕,ko-KR
Slime Swarm,심연 소탕,ko-KR
深淵の異変,심연 소탕,ko-KR
深境清掃,심연 소탕,ko-KR
帝国卫队 好市民点数,제국 호위대 모범 시민 점수,ko-KR
Imperial Guard: Citizen Point,제국 호위대 모범 시민 점수,ko-KR
帝国護衛隊 騎士道精神コイン,제국 호위대 모범 시민 점수,ko-KR
帝國衛隊 好市民點數,제국 호위대 모범 시민 점수,ko-KR
地理协会 协会贡献证,지리 협회 협회 공헌증,ko-KR
Trekker Association: Contribution Pass,지리 협회 협회 공헌증,ko-KR
地理協会 冒険者の証,지리 협회 협회 공헌증,ko-KR
地理協會 協會貢獻證,지리 협회 협회 공헌증,ko-KR
恩赐意志 恩赐消费券,은혜의지 은혜 소비 쿠폰,ko-KR
Grace Imperium: Grace Voucher,은혜의지 은혜 소비 쿠폰,ko-KR
恩恵意志 信仰の証,은혜의지 은혜 소비 쿠폰,ko-KR
恩賜意志 恩賜消費券,은혜의지 은혜 소비 쿠폰,ko-KR
