source,target,tgt_lng
Adventure Mode,Abenteuermodus,de-DE
Avventura,Abenteuermodus,de-DE
Cambiato la tua modalità di gioco in %s,Dein Spielmodus wurde zu %s geändert,de-DE
Chế độ chơi của bạn đã được cập nhật thành %s,Dein Spielmodus wurde zu %s geändert,de-DE
Chế độ khán giả,Zuschauermodus,de-DE
Chế độ phiêu lưu,Abenteuermodus,de-DE
Chế độ sinh tồn,Überlebensmodus,de-DE
Chế độ siêu khó,Hardcore‐Modus,de-DE
Chế độ sáng tạo,Kreativmodus,de-DE
Creativa,Kreativmodus,de-DE
Creative Mode,Kreativmodus,de-DE
Estrema,Hardcore‐Modus,de-DE
Hardcore Mode,Hardcore‐Modus,de-DE
Hayatta Kalma Modu,Überlebensmodus,de-DE
Macera Modu,Abenteuermodus,de-DE
Mode Aventure,Abenteuermodus,de-DE
Mode Créatif,Kreativmodus,de-DE
Mode Hardcore,Hardcore‐Modus,de-DE
Mode Spectateur,Zuschauermodus,de-DE
Mode Survie,Überlebensmodus,de-DE
Modo Aventura,Abenteuermodus,de-DE
Modo aventura,Abenteuermodus,de-DE
Modo creativo,Kreativmodus,de-DE
Modo Criativo,Kreativmodus,de-DE
Modo Espectador,Zuschauermodus,de-DE
Modo espectador,Zuschauermodus,de-DE
Modo extremo,Hardcore‐Modus,de-DE
Modo Intenso,Hardcore‐Modus,de-DE
Modo Sobrevivência,Überlebensmodus,de-DE
Modo supervivencia,Überlebensmodus,de-DE
Oyun modunuz %s olarak değiştirildi,Dein Spielmodus wurde zu %s geändert,de-DE
Seu modo de jogo foi alterado para %s,Dein Spielmodus wurde zu %s geändert,de-DE
Seyirci Modu,Zuschauermodus,de-DE
Sopravvivenza,Überlebensmodus,de-DE
Spectator Mode,Zuschauermodus,de-DE
Spettatore,Zuschauermodus,de-DE
Survival Mode,Überlebensmodus,de-DE
Tu modo de juego ha cambiado a %s,Dein Spielmodus wurde zu %s geändert,de-DE
Votre mode de jeu a été changé en %s,Dein Spielmodus wurde zu %s geändert,de-DE
Yaratıcı Mod,Kreativmodus,de-DE
Your game mode has been updated to %s,Dein Spielmodus wurde zu %s geändert,de-DE
Zorlayıcı Mod,Hardcore‐Modus,de-DE
Ваш режим игры изменён на %s,Dein Spielmodus wurde zu %s geändert,de-DE
Режим выживания,Überlebensmodus,de-DE
Режим наблюдателя,Zuschauermodus,de-DE
Режим приключений,Abenteuermodus,de-DE
Творческий режим,Kreativmodus,de-DE
Хардкор,Hardcore‐Modus,de-DE
โหมดผจญภัย,Abenteuermodus,de-DE
โหมดผู้ชม,Zuschauermodus,de-DE
โหมดสร้างสรรค์,Kreativmodus,de-DE
โหมดฮาร์ดคอร์,Hardcore‐Modus,de-DE
โหมดเกมของคุณได้รับการอัปเดตเป็น %s,Dein Spielmodus wurde zu %s geändert,de-DE
โหมดเอาชีวิตรอด,Überlebensmodus,de-DE
アドベンチャーモード,Abenteuermodus,de-DE
クリエイティブモード,Kreativmodus,de-DE
ゲームモードが%sに変更されました,Dein Spielmodus wurde zu %s geändert,de-DE
サバイバルモード,Überlebensmodus,de-DE
スペクテイターモード,Zuschauermodus,de-DE
ハードコアモード,Hardcore‐Modus,de-DE
你的游戏模式已被更新为%s,Dein Spielmodus wurde zu %s geändert,de-DE
你的遊戲模式已被更新為 %s,Dein Spielmodus wurde zu %s geändert,de-DE
冒险模式,Abenteuermodus,de-DE
冒險模式,Abenteuermodus,de-DE
创造模式,Kreativmodus,de-DE
創造模式,Kreativmodus,de-DE
旁觀者模式,Zuschauermodus,de-DE
旁观模式,Zuschauermodus,de-DE
极限模式,Hardcore‐Modus,de-DE
極限模式,Hardcore‐Modus,de-DE
生存模式,Überlebensmodus,de-DE
게임 모드가 %s로 갱신되었습니다,Dein Spielmodus wurde zu %s geändert,de-DE
관전 모드,Zuschauermodus,de-DE
모험 모드,Abenteuermodus,de-DE
서바이벌 모드,Überlebensmodus,de-DE
크리에이티브 모드,Kreativmodus,de-DE
하드코어 모드,Hardcore‐Modus,de-DE
