source,target,tgt_lng
Chubby,阿嘟,zh-TW
Euphonium Unbound: Soaring,千籟至音·颻揚,zh-TW
Euphonium Unbound: Winding,千籟至音·繆繞,zh-TW
Jade Seeker,尋瑰納琦真君,zh-TW
Radiant Spincrystal,旋曜玉帛,zh-TW
Rain Calmer,銷虹霽雨真君,zh-TW
Realm Currency,洞天寶錢,zh-TW
Replication,摹本,zh-TW
Serenitea Pot,塵歌壺,zh-TW
Teapot Traveling Salesman,周遊壺靈,zh-TW
Traveling Depot,周遊百寶,zh-TW
White Chestnut Oak Wood,白慄櫟木,zh-TW
furnishing,擺設,zh-TW
ウル,阿嘟,zh-TW
ホワイトオーク材,白慄櫟木,zh-TW
千籁至音·缪绕,千籟至音·繆繞,zh-TW
千籁至音·飖扬,千籟至音·颻揚,zh-TW
周游壶灵,周遊壺靈,zh-TW
周游百宝,周遊百寶,zh-TW
周遊する壺の精霊,周遊壺靈,zh-TW
周遊百貨,周遊百寶,zh-TW
寻瑰纳琦真君,尋瑰納琦真君,zh-TW
尘歌壶,塵歌壺,zh-TW
摆设,擺設,zh-TW
模本,摹本,zh-TW
洞天宝銭,洞天寶錢,zh-TW
洞天宝钱,洞天寶錢,zh-TW
白栗栎木,白慄櫟木,zh-TW
華麗なる千の響き・繚繞,千籟至音·繆繞,zh-TW
華麗なる千の響き・飄揚,千籟至音·颻揚,zh-TW
調度品,擺設,zh-TW
销虹霁雨真君,銷虹霽雨真君,zh-TW
