source,target,tgt_lng
Altın Materyal,D'oro,it-IT
Amethyst,Di ametista,it-IT
Amethyst Material,Di ametista,it-IT
Ametist Materyal,Di ametista,it-IT
Bakır Materyal,Di rame,it-IT
Copper Material,Di rame,it-IT
Demir Materyal,Di ferro,it-IT
Diamant,Di diamante,it-IT
Diamond Material,Di diamante,it-IT
Eisen,Di ferro,it-IT
Elmas Materyal,Di diamante,it-IT
Emerald Material,Di smeraldo,it-IT
En améthyste,Di ametista,it-IT
En cuivre,Di rame,it-IT
En diamant,Di diamante,it-IT
En fer,Di ferro,it-IT
En lapis-lazuli,Di lapislazzuli,it-IT
En netherite,Di netherite,it-IT
En or,D'oro,it-IT
En quartz,Di quarzo,it-IT
En redstone,Di redstone,it-IT
En résine,Di resina,it-IT
En émeraude,Di smeraldo,it-IT
Gold,D'oro,it-IT
Gold Material,D'oro,it-IT
Harz,Di resina,it-IT
Incrustaciones de amatista,Di ametista,it-IT
Incrustaciones de cobre,Di rame,it-IT
Incrustaciones de cuarzo,Di quarzo,it-IT
Incrustaciones de diamante,Di diamante,it-IT
Incrustaciones de esmeralda,Di smeraldo,it-IT
Incrustaciones de hierro,Di ferro,it-IT
Incrustaciones de lapislázuli,Di lapislazzuli,it-IT
Incrustaciones de netherita,Di netherite,it-IT
Incrustaciones de oro,D'oro,it-IT
Incrustaciones de redstone,Di redstone,it-IT
Incrustaciones de resina,Di resina,it-IT
Iron Material,Di ferro,it-IT
Kupfer,Di rame,it-IT
Kuvars Materyal,Di quarzo,it-IT
Lapis Material,Di lapislazzuli,it-IT
Lapis Materyal,Di lapislazzuli,it-IT
Lapislazuli,Di lapislazzuli,it-IT
Material de Ametista,Di ametista,it-IT
Material de Cobre,Di rame,it-IT
Material de Diamante,Di diamante,it-IT
Material de Esmeralda,Di smeraldo,it-IT
Material de Ferro,Di ferro,it-IT
Material de Lápis-Lazúli,Di lapislazzuli,it-IT
Material de Netherita,Di netherite,it-IT
Material de Ouro,D'oro,it-IT
Material de Quartzo,Di quarzo,it-IT
Material de Redstone,Di redstone,it-IT
Material de Resina,Di resina,it-IT
Netherit,Di netherite,it-IT
Netherit Materyal,Di netherite,it-IT
Netherite Material,Di netherite,it-IT
Quartz Material,Di quarzo,it-IT
Quarz,Di quarzo,it-IT
Redstone,Di redstone,it-IT
Redstone Material,Di redstone,it-IT
Redstone Materyal,Di redstone,it-IT
Resin Material,Di resina,it-IT
Reçine Materyal,Di resina,it-IT
Smaragd,Di smeraldo,it-IT
Vật liệu kim cương,Di diamante,it-IT
Vật liệu Netherit,Di netherite,it-IT
Vật liệu ngọc lưu ly,Di lapislazzuli,it-IT
Vật liệu ngọc lục bảo,Di smeraldo,it-IT
Vật liệu nhựa cây,Di resina,it-IT
Vật liệu Redstone,Di redstone,it-IT
Vật liệu sắt,Di ferro,it-IT
Vật liệu thạch anh,Di quarzo,it-IT
Vật liệu thạch anh tím,Di ametista,it-IT
Vật liệu vàng,D'oro,it-IT
Vật liệu đồng,Di rame,it-IT
Zümrüt Materyal,Di smeraldo,it-IT
Алмазная,Di diamante,it-IT
Аметистовая,Di ametista,it-IT
Железная,Di ferro,it-IT
Золотая,D'oro,it-IT
Изумрудная,Di smeraldo,it-IT
Кварцевая,Di quarzo,it-IT
Лазуритовая,Di lapislazzuli,it-IT
Медная,Di rame,it-IT
Незеритовая,Di netherite,it-IT
Редстоуновая,Di redstone,it-IT
Смоляная,Di resina,it-IT
วัสดุควอตซ์,Di quarzo,it-IT
วัสดุทอง,D'oro,it-IT
วัสดุทองแดง,Di rame,it-IT
วัสดุมรกต,Di smeraldo,it-IT
วัสดุยางไม้,Di resina,it-IT
วัสดุเนเธอไรต์,Di netherite,it-IT
วัสดุเพชร,Di diamante,it-IT
วัสดุเรดสโตน,Di redstone,it-IT
วัสดุเหล็ก,Di ferro,it-IT
วัสดุแลพิส,Di lapislazzuli,it-IT
วัสดุแอเมทิสต์,Di ametista,it-IT
アメジスト素材,Di ametista,it-IT
エメラルド素材,Di smeraldo,it-IT
ダイヤモンド素材,Di diamante,it-IT
ネザライト素材,Di netherite,it-IT
ネザークォーツ素材,Di quarzo,it-IT
ラピスラズリ素材,Di lapislazzuli,it-IT
レッドストーン素材,Di redstone,it-IT
下界合金质,Di netherite,it-IT
树脂质,Di resina,it-IT
樹脂材質,Di resina,it-IT
樹脂素材,Di resina,it-IT
獄髓材質,Di netherite,it-IT
石英材質,Di quarzo,it-IT
石英质,Di quarzo,it-IT
紅石材質,Di redstone,it-IT
紫水晶材質,Di ametista,it-IT
紫水晶质,Di ametista,it-IT
綠寶石材質,Di smeraldo,it-IT
红石质,Di redstone,it-IT
绿宝石质,Di smeraldo,it-IT
金材質,D'oro,it-IT
金素材,D'oro,it-IT
金质,D'oro,it-IT
鉄素材,Di ferro,it-IT
銅材質,Di rame,it-IT
銅素材,Di rame,it-IT
鐵材質,Di ferro,it-IT
鑽石材質,Di diamante,it-IT
钻石质,Di diamante,it-IT
铁质,Di ferro,it-IT
铜质,Di rame,it-IT
青金石材質,Di lapislazzuli,it-IT
青金石质,Di lapislazzuli,it-IT
구리 소재,Di rame,it-IT
금 소재,D'oro,it-IT
네더라이트 소재,Di netherite,it-IT
다이아몬드 소재,Di diamante,it-IT
레드스톤 소재,Di redstone,it-IT
석영 소재,Di quarzo,it-IT
수지 소재,Di resina,it-IT
에메랄드 소재,Di smeraldo,it-IT
자수정 소재,Di ametista,it-IT
철 소재,Di ferro,it-IT
청금석 소재,Di lapislazzuli,it-IT
