source,target,tgt_lng
"""Công Việc Dọn Dẹp""","""Called In For Cleanup""",th-TH
"""Lavoro di pulizia""","""Called In For Cleanup""",th-TH
"""Temizlik İşi Vardı""","""Called In For Cleanup""",th-TH
"""Trabalho de limpeza""","""Called In For Cleanup""",th-TH
A Estrela Chegou: Grande Colapso Vulcânico,Guardian Vent: Volcano Kablam,th-TH
Abenteuer,ผจญภัย,th-TH
Abilità passiva,สกิลติดตัว,th-TH
Absorción de poder elemental,ดูดซับพลังของธาตุที่เกี่ยวข้อง,th-TH
Absorption de la puissance d'un élément correspondant,ดูดซับพลังของธาตุที่เกี่ยวข้อง,th-TH
Absorve o poder do elemento correspondente,ดูดซับพลังของธาตุที่เกี่ยวข้อง,th-TH
Abstimmung,ประสาน,th-TH
Abwerfen,ทิ้ง,th-TH
Acción adicional,ดำเนินการเพิ่มเติม,th-TH
Acción de combate,ดำเนินการต่อสู้,th-TH
Acción rápida,ดำเนินการด่วน,th-TH
Action de combat,ดำเนินการต่อสู้,th-TH
Action rapide,ดำเนินการด่วน,th-TH
Action supplémentaire,ดำเนินการเพิ่มเติม,th-TH
Adil Yargı,Equitable Judgment,th-TH
Adventure,ผจญภัย,th-TH
Aegis of Abyssal Flame,โล่ไฟแห่งห้วงเหว,th-TH
Aggressore dei Fatui,Fatui Ambusher,th-TH
Ahorros de Taroumaru,Taroumaru's Savings,th-TH
Ajuste de cuentas,"""Called In For Cleanup""",th-TH
Aktif Karakterine En Yakın Karakter,ตัวละครที่อยู่ใกล้ กับตัวละครที่เข้าต่อสู้ของฝ่ายเรามากที่สุด,th-TH
Aldatıcı Tohum,Seeds of Deceit,th-TH
Alev Bariyeri,Blazing Barrier,th-TH
Alles wendender Heiliger Fürst,จ้าวผู้ศักดิ์สิทธิ์ที่หวนคืน,th-TH
Alt Akıntının Laneti,Curse of the Undercurrent,th-TH
Amparo plumífero,Crowfeather Cover,th-TH
Anemo,ธาตุลม,th-TH
Anemo DMG,ความเสียหายลม,th-TH
Anemo-Reaktionen,ปฏิกิริยาที่เกี่ยวกับธาตุลม,th-TH
Anemo-Related Reactions,ปฏิกิริยาที่เกี่ยวกับธาตุลม,th-TH
Anemo-Schaden,ความเสียหายลม,th-TH
Angriff aus dem Fall,โจมตีพุ่งลงจากอากาศ,th-TH
Anémo,ธาตุลม,th-TH
Aplicación Cryo,ติดสถานะธาตุน้ำแข็ง,th-TH
Aplicación Dendro,ติดสถานะธาตุไม้,th-TH
Aplicación Electro,ติดสถานะธาตุไฟฟ้า,th-TH
Aplicación Geo,ติดสถานะธาตุหิน,th-TH
Aplicación Hydro,ติดสถานะธาตุน้ำ,th-TH
Aplicación Pyro,ติดสถานะธาตุไฟ,th-TH
Aplicação Cryo,ติดสถานะธาตุน้ำแข็ง,th-TH
Aplicação Dendro,ติดสถานะธาตุไม้,th-TH
Aplicação Electro,ติดสถานะธาตุไฟฟ้า,th-TH
Aplicação Geo,ติดสถานะธาตุหิน,th-TH
Aplicação Hydro,ติดสถานะธาตุน้ำ,th-TH
Aplicação Pyro,ติดสถานะธาตุไฟ,th-TH
Application Cryo,ติดสถานะธาตุน้ำแข็ง,th-TH
Application Dendro,ติดสถานะธาตุไม้,th-TH
Application Géo,ติดสถานะธาตุหิน,th-TH
Application Hydro,ติดสถานะธาตุน้ำ,th-TH
Application Pyro,ติดสถานะธาตุไฟ,th-TH
Application Électro,ติดสถานะธาตุไฟฟ้า,th-TH
Applicazione di Cryo,ติดสถานะธาตุน้ำแข็ง,th-TH
Applicazione di Dendro,ติดสถานะธาตุไม้,th-TH
Applicazione di Electro,ติดสถานะธาตุไฟฟ้า,th-TH
Applicazione di Geo,ติดสถานะธาตุหิน,th-TH
Applicazione di Hydro,ติดสถานะธาตุน้ำ,th-TH
Applicazione di Pyro,ติดสถานะธาตุไฟ,th-TH
Arcane Edict,ประกาศิตเคล็ดลับ,th-TH
Areia e Sonhos,Sand and Dreams,th-TH
Arenas y sueños,Sand and Dreams,th-TH
Armadilha da Ventania,Pressurized Collapse,th-TH
Armonia,ประสาน,th-TH
Armonia non consentita,ไม่สามารถปรับค่าได้,th-TH
Aspect étoilé,Starry Semblance,th-TH
Assorbimento elementale,ดูดซับพลังของธาตุที่เกี่ยวข้อง,th-TH
Ataque Cargado,ชาร์จโจมตี,th-TH
Ataque Carregado,ชาร์จโจมตี,th-TH
Ataque Descendente,โจมตีพุ่งลงจากอากาศ,th-TH
Ataque Imersivo,โจมตีพุ่งลงจากอากาศ,th-TH
Atención del pueblo,Center of Attention,th-TH
Ateş,ธาตุไฟ,th-TH
Ateş Etkisi,ติดสถานะธาตุไฟ,th-TH
Ateş Hasarı,ความเสียหายไฟ,th-TH
Ateş ile İlgili Tepkimeler,ปฏิกิริยาที่เกี่ยวกับธาตุไฟ,th-TH
Atordoamento,มึนงง,th-TH
Attacco caricato,ชาร์จโจมตี,th-TH
Attacco in picchiata,โจมตีพุ่งลงจากอากาศ,th-TH
Attaque chargée,ชาร์จโจมตี,th-TH
Attaque plongeante,โจมตีพุ่งลงจากอากาศ,th-TH
Aturdimiento,มึนงง,th-TH
Aufladen,ชาร์จ,th-TH
Aufladung,พลังงาน,th-TH
Auge des konzentrierten Winds,Windmuster Iris,th-TH
Augmentation de coût,ค่าร่ายเพิ่มขึ้น,th-TH
Augure nébuleux,Charmed Cloudstrider,th-TH
Aumento de Custo,ค่าร่ายเพิ่มขึ้น,th-TH
Aumento de coste,ค่าร่ายเพิ่มขึ้น,th-TH
Aumento del costo,ค่าร่ายเพิ่มขึ้น,th-TH
Auspicio nebular,Charmed Cloudstrider,th-TH
Autonomisation,เสริมพลัง,th-TH
Aventura,ผจญภัย,th-TH
Aventure,ผจญภัย,th-TH
Avventura,ผจญภัย,th-TH
Avènement protecteur : Effondrement volcanique,Guardian Vent: Volcano Kablam,th-TH
Ay Yüklü,ชาร์จจันทรา,th-TH
Ay Çiçeklenmesi,งอกเงยจันทรา,th-TH
Aynı Element,ธาตุชนิดเดียวกัน,th-TH
Azione aggiuntiva,ดำเนินการเพิ่มเติม,th-TH
Azione di combattimento,ดำเนินการต่อสู้,th-TH
Azione rapida,ดำเนินการด่วน,th-TH
Ação Extra,ดำเนินการเพิ่มเติม,th-TH
Ações Rápidas,ดำเนินการด่วน,th-TH
Ações de Combate,ดำเนินการต่อสู้,th-TH
Baldoria,Revelry,th-TH
Barranco glorioso: Slancio vulcanico,Guardian Vent: Volcano Kablam,th-TH
Barreira Flamejante,Blazing Barrier,th-TH
Barriera ardente,Blazing Barrier,th-TH
Barrière brûlante,Blazing Barrier,th-TH
Basınç Çöküşü,Pressurized Collapse,th-TH
Battle Plan,แผนการต่อสู้,th-TH
Beceri Hazırlama,เตรียมสกิล,th-TH
Bereketli Çekirdek,Bountiful Core,th-TH
Beschwörung aus Simulanka,"สิ่งอัญเชิญ ""Simulanka""",th-TH
Bissziel,Bite Target,th-TH
Bittere Kälte,Sheer Cold,th-TH
Biến Ảo Nguyên Tố,การแปรธาตุ,th-TH
Blitzartiger Auftritt – Vulkaneinbruch,Guardian Vent: Volcano Kablam,th-TH
Blubberblase,Gurgling Bubble,th-TH
Blutblüten,Blood Blossom,th-TH
Bocciolo di sangue,Blood Blossom,th-TH
Bolha Efervescente,Gurgling Bubble,th-TH
Bolla gorgogliante,Gurgling Bubble,th-TH
Bong Bóng Lục Bục,Gurgling Bubble,th-TH
Bouclier,โล่ป้องกัน,th-TH
Bouclier de feu abyssal,โล่ไฟแห่งห้วงเหว,th-TH
Bourgeon de prune,Blood Blossom,th-TH
Boşluk Yarığı,รอยแยกมิติ,th-TH
Bruja Carmesí de las Ascuas,"""Crimson Witch of Embers""",th-TH
Bruxa das Chamas Carmesim,"""Crimson Witch of Embers""",th-TH
Bulle gargouillante,Gurgling Bubble,th-TH
Burbuja gorgoteante,Gurgling Bubble,th-TH
Buz,ธาตุน้ำแข็ง,th-TH
Buz Etkisi,ติดสถานะธาตุน้ำแข็ง,th-TH
Buz Hasarı,ความเสียหายน้ำแข็ง,th-TH
Buz ile İlgili Tepkimeler,ปฏิกิริยาที่เกี่ยวกับธาตุน้ำแข็ง,th-TH
Büyülü Bulutgezer,Charmed Cloudstrider,th-TH
Ca Sĩ Nước Nguồn,Singer of Many Waters,th-TH
Calor Escaldante,Blazing Heat,th-TH
Calore ardente,Blazing Heat,th-TH
Cambio efficiente,Efficient Switch,th-TH
Cambio eficiente,Efficient Switch,th-TH
Cambio rapido,Agile Switch,th-TH
Cambio rápido,Agile Switch,th-TH
Caminhador das Nuvens,Charmed Cloudstrider,th-TH
Canalisation,ชาร์จ,th-TH
Cantante delle Mille Acque,Singer of Many Waters,th-TH
Cantora das Correntes,Singer of Many Waters,th-TH
Caos: Estinzione,Havoc: Extinction,th-TH
Caos: Exterminio,Havoc: Extinction,th-TH
Capacité passive,สกิลติดตัว,th-TH
Caparazón de Cangrejo Acorazado,Armored Crab Carapace,th-TH
Carapace de Cuiracrabe,Armored Crab Carapace,th-TH
Carapace di Granchio corazzato,Armored Crab Carapace,th-TH
Carapaça do Caranguejo de Armadura,Armored Crab Carapace,th-TH
Carga,ชาร์จ,th-TH
Carga,พลังงาน,th-TH
Carga Lunar,ชาร์จจันทรา,th-TH
Carica,ชาร์จ,th-TH
Carica lunare,ชาร์จจันทรา,th-TH
Carregar,ชาร์จ,th-TH
"Carta ""Simulanka""","การ์ด ""Simulanka""",th-TH
Carta di Simulanka,"การ์ด ""Simulanka""",th-TH
Cartas de Simulanka,"การ์ด ""Simulanka""",th-TH
Carte de Simulanka,"การ์ด ""Simulanka""",th-TH
Cavalcanubi propizio,Charmed Cloudstrider,th-TH
Centre d'attention,Center of Attention,th-TH
Centro das Atenções,Center of Attention,th-TH
Centro dell'attenzione,Center of Attention,th-TH
Chaleur extrême,Blazing Heat,th-TH
Changement efficient,Efficient Switch,th-TH
Changement rapide,Agile Switch,th-TH
