source,target,tgt_lng
%s × %s,%sx%s,es-ES
%s на %s,%sx%s,es-ES
%s×%s,%sx%s,es-ES
A Piscina,La piscina,es-ES
Acqua,Agua,es-ES
Air,Aire,es-ES
Albanese,Albanés,es-ES
Albanian,Albanés,es-ES
Albanês,Albanés,es-ES
Alvo Bombardeado com Êxito,Objetivo bombardeado con éxito,es-ES
Aria,Aire,es-ES
Ateş,Fuego,es-ES
Backyard,Patio,es-ES
Barocco,Bodegón,es-ES
Barock,Bodegón,es-ES
Barok,Bodegón,es-ES
Baroque,Bodegón,es-ES
Barroco,Bodegón,es-ES
Biến thể ngẫu nhiên,Variante aleatoria,es-ES
Bodenständig,Humilde,es-ES
Bombardamento completato,Objetivo bombardeado con éxito,es-ES
Bonjour Monsieur Courbet,El reencuentro de Courbet,es-ES
Bouquet,Buqué,es-ES
Buket,Buqué,es-ES
Buongiorno signor Courbet,El reencuentro de Courbet,es-ES
Buquê,Buqué,es-ES
Bust,Busto,es-ES
Bó hoa,Buqué,es-ES
Bể bơi,La piscina,es-ES
Bờ biển,Costa cálida,es-ES
Cambio,Cambiante,es-ES
Caminhante,El caminante sobre el mar de nubes,es-ES
Cavalcata in prateria,Paseo por la pradera,es-ES
Cavalgada pela Pradaria,Paseo por la pradera,es-ES
Cavebird,Pájaro de las cavernas,es-ES
Caveira e Rosas,Calavera y rosas,es-ES
Caveira em Chamas,Calavera en llamas,es-ES
Changing,Cambiante,es-ES
Chanh cú,Búho con limones,es-ES
Chefe Final,Jefe final,es-ES
Chevauchée dans la prairie,Paseo por la pradera,es-ES
Chim hang động,Pájaro de las cavernas,es-ES
Chiến binh,Luchadores,es-ES
Chouettes citrons,Búho con limones,es-ES
Cible bombardée avec succès,Objetivo bombardeado con éxito,es-ES
Cortile,Patio,es-ES
Coruja e Limões,Búho con limones,es-ES
Crassula ovata,Árbol de jade,es-ES
Creebet,Costa Creeper,es-ES
Crâne et Roses,Calavera y rosas,es-ES
Cuộn dây tử thần,Ataduras mortales,es-ES
Cái ao,Estanque,es-ES
Cưỡi trên thảo nguyên,Paseo por la pradera,es-ES
Cảnh heo,Porcena,es-ES
Das Abendrot,Atardecer,es-ES
Das Becken,La piscina,es-ES
Das Schweinebildnis,Porcena,es-ES
Das Zündholz,Fósforo,es-ES
Der Albaner,Albanés,es-ES
Der Blumenstrauß,Buqué,es-ES
Der Durchgang,Pasadizo,es-ES
Der Döner mit drei Pfefferonen,Kebab med tre pepperoni,es-ES
Der Endgegner,Jefe final,es-ES
Der Farn,Helecho,es-ES
Der Fund,Hallazgo,es-ES
Der Hinterhof,Patio,es-ES
Der Höhlenvogel,Pájaro de las cavernas,es-ES
Der Kostümwechsel,Cambiante,es-ES
Der Pfennigbaum,Árbol de jade,es-ES
Der Steppenritt,Paseo por la pradera,es-ES
Der Totenkopf in Flammen,Calavera en llamas,es-ES
Der Wanderer,El caminante sobre el mar de nubes,es-ES
Der Weiher,Estanque,es-ES
