source,target,tgt_lng
Aaron Cherof - A Familiar Room,Aaron Cherof — A Familiar Room,it-IT
Aaron Cherof - Bromeliad,Aaron Cherof — Bromeliad,it-IT
Aaron Cherof - Crescent Dunes,Aaron Cherof — Crescent Dunes,it-IT
Aaron Cherof - Echo in the Wind,Aaron Cherof — Echo in the Wind,it-IT
Aaron Cherof - Featherfall,Aaron Cherof — Featherfall,it-IT
Aaron Cherof - Puzzlebox,Aaron Cherof — Puzzlebox,it-IT
Aaron Cherof - Watcher,Aaron Cherof — Watcher,it-IT
Aaron Cherof – A Familiar Room,Aaron Cherof — A Familiar Room,it-IT
Aaron Cherof – Bromeliad,Aaron Cherof — Bromeliad,it-IT
Aaron Cherof – Crescent Dunes,Aaron Cherof — Crescent Dunes,it-IT
Aaron Cherof – Echo in the Wind,Aaron Cherof — Echo in the Wind,it-IT
Aaron Cherof – Featherfall,Aaron Cherof — Featherfall,it-IT
Aaron Cherof – Puzzlebox,Aaron Cherof — Puzzlebox,it-IT
Aaron Cherof – Watcher,Aaron Cherof — Watcher,it-IT
Amos Roddy - Below and Above,Amos Roddy — Below and Above,it-IT
Amos Roddy - Broken Clocks,Amos Roddy — Broken Clocks,it-IT
Amos Roddy - Fireflies,Amos Roddy — Fireflies,it-IT
Amos Roddy - Lilypad,Amos Roddy — Lilypad,it-IT
Amos Roddy - O's Piano,Amos Roddy — O's Piano,it-IT
Amos Roddy – Below and Above,Amos Roddy — Below and Above,it-IT
Amos Roddy – Broken Clocks,Amos Roddy — Broken Clocks,it-IT
Amos Roddy – Fireflies,Amos Roddy — Fireflies,it-IT
Amos Roddy – Lilypad,Amos Roddy — Lilypad,it-IT
Amos Roddy – O’s Piano,Amos Roddy — O's Piano,it-IT
C418 - Alpha,C418 — Alpha,it-IT
C418 - Aria Math,C418 — Aria Math,it-IT
C418 - Axolotl,C418 — Axolotl,it-IT
C418 - Ballad of the Cats,C418 — Ballad of the Cats,it-IT
C418 - Beginning 2,C418 — Beginning 2,it-IT
C418 - Biome Fest,C418 — Biome Fest,it-IT
C418 - Blind Spots,C418 — Blind Spots,it-IT
C418 - Boss,C418 — Boss,it-IT
C418 - Clark,C418 — Clark,it-IT
C418 - Concrete Halls,C418 — Concrete Halls,it-IT
C418 - Danny,C418 — Danny,it-IT
C418 - Dead Voxel,C418 — Dead Voxel,it-IT
C418 - Dragon Fish,C418 — Dragon Fish,it-IT
C418 - Dreiton,C418 — Dreiton,it-IT
C418 - Dry Hands,C418 — Dry Hands,it-IT
C418 - Floating Trees,C418 — Floating Trees,it-IT
C418 - Haggstrom,C418 — Haggstrom,it-IT
C418 - Haunt Muskie,C418 — Haunt Muskie,it-IT
C418 - Haunt Muskie,C418 — Taswell,it-IT
C418 - Key,C418 — Key,it-IT
C418 - Living Mice,C418 — Living Mice,it-IT
C418 - Mice on Venus,C418 — Mice on Venus,it-IT
C418 - Minecraft,C418 — Minecraft,it-IT
C418 - Moog City 2,C418 — Moog City 2,it-IT
C418 - Mutation,C418 — Mutation,it-IT
C418 - Oxygène,C418 — Oxygène,it-IT
C418 - Shuniji,C418 — Shuniji,it-IT
C418 - Subwoofer Lullaby,C418 — Subwoofer Lullaby,it-IT
C418 - Sweden,C418 — Sweden,it-IT
C418 - Taswell,C418 — Taswell,it-IT
C418 - The End,C418 — The End,it-IT
C418 - Warmth,C418 — Warmth,it-IT
C418 - Wet Hands,C418 — Wet Hands,it-IT
C418 – Alpha,C418 — Alpha,it-IT
C418 – Aria Math,C418 — Aria Math,it-IT
C418 – Axolotl,C418 — Axolotl,it-IT
C418 – Ballad of the Cats,C418 — Ballad of the Cats,it-IT
C418 – Beginning 2,C418 — Beginning 2,it-IT
C418 – Biome Fest,C418 — Biome Fest,it-IT
C418 – Blind Spots,C418 — Blind Spots,it-IT
C418 – Boss,C418 — Boss,it-IT
C418 – Clark,C418 — Clark,it-IT
C418 – Concrete Halls,C418 — Concrete Halls,it-IT
C418 – Danny,C418 — Danny,it-IT
C418 – Dead Voxel,C418 — Dead Voxel,it-IT
C418 – Dragon Fish,C418 — Dragon Fish,it-IT
