source,target,tgt_lng
Beute wurde verbessert.,Tăng thưởng rơi ra,vi-VN
Beute wurde verbessert.,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 25,vi-VN
Beute wurde verbessert.,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 35,vi-VN
Canavar ve Boss Düşmanların seviyesi yükseldi,Tăng cấp quái và thủ lĩnh,vi-VN
Canavar ve Boss Düşmanların seviyesi yükseldi. Düşen ödüller geliştirildi.,Tăng cấp quái và thủ lĩnh,vi-VN
Co-Op system unlocked,Mở khóa hệ thống nhiều người chơi,vi-VN
Commission & Dispatch system unlocked,Mở khóa hệ thống Ủy Thác và Phái Đi,vi-VN
Das Limit der Abenteuerstufe wurde auf Stufe 45 erhöht.,Giới hạn Hạng Mạo Hiểm tăng đến cấp 45,vi-VN
Das Limit der Abenteuerstufe wurde auf Stufe 60 erhöht.,Giới hạn Hạng Mạo Hiểm tăng đến cấp 60,vi-VN
Drops de recompensas elevadas,Tăng thưởng rơi ra,vi-VN
Drops de recompensas elevadas,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 25,vi-VN
Drops de recompensas elevadas,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 35,vi-VN
Dünya Seviyesi 1'e yükseldi,Cấp thế giới tăng đến Cấp 1,vi-VN
Dünya Seviyesi 3'e yükseldi,Cấp thế giới tăng đến Cấp 3,vi-VN
Dünya Seviyesi yükseldi,Tăng cấp thế giới,vi-VN
Düşen ödüller geliştirildi.,Tăng thưởng rơi ra,vi-VN
Düşen ödüller geliştirildi.,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 25,vi-VN
Düşen ödüller geliştirildi.,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 35,vi-VN
El Mundo subió a Niv. 1,Cấp thế giới tăng đến Cấp 1,vi-VN
El Mundo subió a Niv. 3,Cấp thế giới tăng đến Cấp 3,vi-VN
El Mundo subió de nivel,Tăng cấp thế giới,vi-VN
Expedition Dispatch Limit Increased,Tăng giới hạn phái đi thám hiểm,vi-VN
Eşli sistem açıldı.,Mở khóa hệ thống nhiều người chơi,vi-VN
Il grado avventura max è salito a 45,Giới hạn Hạng Mạo Hiểm tăng đến cấp 45,vi-VN
Il grado avventura max è salito a 60,Giới hạn Hạng Mạo Hiểm tăng đến cấp 60,vi-VN
Il livello del mondo è salito,Tăng cấp thế giới,vi-VN
Il livello del mondo è salito a 1,Cấp thế giới tăng đến Cấp 1,vi-VN
Il livello del mondo è salito a 3,Cấp thế giới tăng đến Cấp 3,vi-VN
Il livello di mostri e boss è aumentato,Tăng cấp quái và thủ lĩnh,vi-VN
Keşif Gönderim Sınırı Yükseltildi,Tăng giới hạn phái đi thám hiểm,vi-VN
La limite de Niv. d'aventure passe au Niv.25.,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 25,vi-VN
La limite de Niv. d'aventure passe au Niv.35.,Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 35,vi-VN
La limite de Niv. d'aventure passe au Niv.45.,Tăng thưởng rơi ra,vi-VN
La limite de Niv. d'aventure passe au Niv.60.,Tăng thưởng rơi ra,vi-VN
