id,term,src_table
Student.10000,อารุ,students.json
Student.10001,เอมิ,students.json
Student.10002,ฮารุนะ,students.json
Student.10003,ฮิฟุมิ,students.json
Student.10004,ฮินะ,students.json
Student.10005,โฮชิโนะ,students.json
Student.10006,อิโอริ,students.json
Student.10007,มากิ,students.json
Student.10008,เนรุ,students.json
Student.10009,อิซุมิ,students.json
Student.10010,ชิโรโกะ,students.json
Student.10011,ชุน,students.json
Student.10012,สึมิเระ,students.json
Student.10013,ซึรุกิ,students.json
Student.10014,อิซุนะ,students.json
Student.10015,อาริสึ,students.json
Student.10016,มิโดริ,students.json
Student.10017,เชริโน่,students.json
Student.10018,ยูสึ,students.json
Student.10019,อาซึสะ,students.json
Student.10020,โคฮารุ,students.json
Student.10021,อาซึสะ (ชุดว่ายน้ำ),students.json
Student.10022,ฮินะ (ชุดว่ายน้ำ),students.json
Student.10023,อิโอริ (ชุดว่ายน้ำ),students.json
Student.10024,ชิโรโกะ (นักปั่น),students.json
Student.10025,ชุน (วัยเด็ก),students.json
Student.10026,เนรุ (บันนี่เกิร์ล),students.json
Student.10027,คาริน (บันนี่เกิร์ล),students.json
Student.10028,อาสึนะ (บันนี่เกิร์ล),students.json
Student.10029,นัตสึ,students.json
Student.10030,ชินัตสึ (ออนเซ็น),students.json
Student.10031,อารุ (ปีใหม่),students.json
Student.10032,มุสึกิ (ปีใหม่),students.json
Student.10033,วาคาโมะ,students.json
Student.10034,มิโมริ,students.json
Student.10035,อุย,students.json
Student.10036,ฮินาตะ,students.json
Student.10037,มารินะ,students.json
Student.10038,มิยาโกะ,students.json
Student.10039,มิยุ,students.json
Student.10040,สึคุโยะ,students.json
Student.10041,มิซากิ,students.json
Student.10042,อาสึโกะ,students.json
Student.10043,วาคาโมะ (ชุดว่ายน้ำ),students.json
Student.10044,โนโนมิ (ชุดว่ายน้ำ),students.json
Student.10045,โฮชิโนะ (ชุดว่ายน้ำ),students.json
Student.10046,อิซุนะ (ชุดว่ายน้ำ),students.json
Student.10047,ชิเซะ (ชุดว่ายน้ำ),students.json
Student.10048,ซาโอริ,students.json
Student.10049,คาซึสะ,students.json
Student.10050,โคโคน่า,students.json
Student.10051,อุทาฮะ (ชุดเชียร์),students.json
Student.10052,โนอา,students.json
Student.10053,ยูกะ (ชุดพละ),students.json
Student.10054,มารี (ชุดพละ),students.json
Student.10055,ชิกุเระ,students.json
