source,target,tgt_lng
"""Almighty Forum Lord of Thunder Spell""","""Invocação do Celestial Supremo do Trovão""",pt-BR
"""Avatar de niebla"" hereda {0} más PS de Aalto. Cuando Aalto ataca a objetivos provocados por el ""Avatar de niebla"", su ATQ se incrementa en {1}.","Avatar de Névoa: HP herdado aumenta em {0}. Quando Aalto ataca inimigos provocados por Avatar de Névoa, seu ATQ aumenta em {1}.",pt-BR
"""Manipulación de llamas"" aumenta la Prob. CRIT de Changli en un {0} durante {1} s.",Incêndio aumenta a Taxa CRIT de Changli em {0} por {1}s.,pt-BR
"""Mist Avatar"" inherits {0} more HP from Aalto. When Aalto attacks targets taunted by the ""Mist Avatar(s)"", his ATK is increased by {1}.","Avatar de Névoa: HP herdado aumenta em {0}. Quando Aalto ataca inimigos provocados por Avatar de Névoa, seu ATQ aumenta em {1}.",pt-BR
"""เทวะอสนี วารีเก้าสวรรค์""","""Invocação do Celestial Supremo do Trovão""",pt-BR
"- Crown of Wills provides additional effects: Each stack increases Augusta's Crit. Rate by {0}.
- For every {2} of Crit. Rate over {1}, Augusta gains {3} Crit. DMG increase, up to {4}.","- Coroa de Vontades fornece efeitos adicionais: Cada acúmulo aumenta a Taxa CRIT de Augusta em {0}.
- Para cada {2} de Taxa CRIT acima de {1}, aumenta {3} de Dano CRIT de Augusta, até {4}.",pt-BR
"- Krone des Willens bietet einen zusätzlichen Effekt: Jeder Stapel erhöht Augustas Krit. Rate zusätzlich um {0}.
- Pro {2} Krit. Rate über {1} gewährt einen Krit. SCH-Bonus um {3}, maximal bis zu {4}.","- Coroa de Vontades fornece efeitos adicionais: Cada acúmulo aumenta a Taxa CRIT de Augusta em {0}.
- Para cada {2} de Taxa CRIT acima de {1}, aumenta {3} de Dano CRIT de Augusta, até {4}.",pt-BR
"- L'effet de bonus de « Couronne des volontés » est amélioré : Chaque point augmente le Taux critique de {0}.
- Si le Taux critique d'Augusta dépasse {1}, {2} de Taux critique dépassé augmente {3} de Dégâts critiques d'Augusta, jusqu'à {4}.","- Coroa de Vontades fornece efeitos adicionais: Cada acúmulo aumenta a Taxa CRIT de Augusta em {0}.
- Para cada {2} de Taxa CRIT acima de {1}, aumenta {3} de Dano CRIT de Augusta, até {4}.",pt-BR
"- Pendant l' « Absolution », le multiplicateur de dégâts de l'Attaque lourde « Lueur stellaire » est augmenté de {0}.
- Pendant la « Confession », le multiplicateur de dégâts de l'Attaque lourde « Lueur stellaire » est augmenté de {1}.","Quando em Absolvição, aumenta o Multiplicador de Dano do ATQ Pesado: Brilho Estelar em {0}.
Quando em Confissão, aumenta o Multiplicador de Dano do ATQ Pesado: Brilho Estelar em {1}.",pt-BR
"- [มงกุฎร่วมปณิธาน] ได้รับเอฟเฟกต์เพิ่มเติม: แต่ละชั้นจะทำให้ Crit. Rate เพิ่มขึ้นอีก {0}
- หาก Augusta มี Crit. Rate สูงกว่า {1} ทุกๆ {2} ที่เกิน จะทำให้ Crit. DMG ของ Augusta เพิ่มขึ้น {3} สามารถเพิ่มได้สูงสุด {4}","- Coroa de Vontades fornece efeitos adicionais: Cada acúmulo aumenta a Taxa CRIT de Augusta em {0}.
- Para cada {2} de Taxa CRIT acima de {1}, aumenta {3} de Dano CRIT de Augusta, até {4}.",pt-BR
5.º Ataque básico aumenta la Prob. CRIT de Sanhua en un {0} durante {1} s.,O ATQ Básico 5 aumenta a Taxa CRIT de Sanhua em {0} por {1}s.,pt-BR
A Boat Adrift in Tears,Um Barco à Deriva em Lágrimas,pt-BR
A Broken Path to Hell,Um Caminho Partido para o Inferno,pt-BR
A Bud Adorned by Thorns,Botão Adornado de Espinhos,pt-BR
A Dagger to Cut Clean Obsessions,Adaga para Cortar de Vez Obsessões,pt-BR
A Forked Road in Fate's Heartland,Um Caminho Bifurcado no Coração do Destino,pt-BR
A Key to Netherworld's Secrets,Chave para os Segredos do Inframundo,pt-BR
A Night to Depart From Eternal Rest,Uma Noite para Partir do Descanso Eterno,pt-BR
A Rope Tied to a Life Beyond,Corda Ligada a Vida no Além,pt-BR
"A Solitary Lantern, Across Lands Shade-Trodden",Pegadas sob uma Lanterna Solitária,pt-BR
A Thousand Futile Glimpses,Mil Vislumbres Inúteis,pt-BR
A Torch Illuminating the Path,Tocha Iluminando o Caminho,pt-BR
A Tribute to Life's Sweet Hymn,Tributo ao Doce Hino da Vida,pt-BR
A Wish Answered,Desejo Correspondido,pt-BR
A Zephyr-Kissed Journey to You,Jornada Beijada pelo Zéfiro,pt-BR
A la espera I,Ataque Preparado I,pt-BR
A la espera II,Ataque Preparado II,pt-BR
A la libertad canto,À Liberdade Canto,pt-BR
A la noche sin fin,Para uma Noite Sem Fim,pt-BR
A las lejanas orillas de las estrellas,Para as Costas Distantes das Estrelas,pt-BR
A merced de las mareas de lo real,O Consolo Que Ela Traz,pt-BR
A través de la quietud de la ventisca,Através da Quietude da Nevasca,pt-BR
A través de tormentas navego,Pelas Tempestades Navego,pt-BR
ANG + {0}.,Aumenta o ATQ em {0}.,pt-BR
ATK is increased by {0}.,ATQ é aumentado em {0}.,pt-BR
ATK is increased by {0}.,Aumenta o ATQ em {0}.,pt-BR
ATK ของ Qiuyuan เพิ่มขึ้น {0},ATQ é aumentado em {0}.,pt-BR
ATK ของ Youhu เพิ่มขึ้น {0},O ATQ de Youhu aumenta em {0}.,pt-BR
ATK เพิ่มขึ้น {0},Aumenta o ATQ em {0}.,pt-BR
Abenteuer? Auf geht's!,Aventura? Vamos!,pt-BR
Abklingende Unterströmung,Subcorrente da Maré,pt-BR
Abnehmender Halbmond,Sombraluz Minguante,pt-BR
Abrasamiento gélido silencioso,Queimar Frio em Silêncio,pt-BR
Abraza el triunfo atronador,Abrace os Triunfos Estrondosos,pt-BR
Abrazo floreciente,Abraço Florescente,pt-BR
Abyssal Ascension,Ascensão Abissal,pt-BR
Acabado de pincelada,Acabamento de Pincelada,pt-BR
Accord Non Conventionnel,Compacto Inusitado,pt-BR
Accélération vectorielle - I,Aceleração Vetorial I,pt-BR
Accélération vectorielle - II,Aceleração Vetorial II,pt-BR
Aceleración vectorial I,Aceleração Vetorial I,pt-BR
Aceleración vectorial II,Aceleração Vetorial II,pt-BR
"Ach, du bist es!","Ei, Salve, Choom!",pt-BR
Across the Confusion of the Long Night,Em Meio à Confusão da Longa Noite,pt-BR
"Across the Miles, a Letter and My Longing","Além dos Horizontes, uma Carta e Minha Saudade",pt-BR
Action sans faille - I,Ato Impecável I,pt-BR
Action sans faille - I,Ato Impecável II,pt-BR
Actuación impecable I,Ato Impecável I,pt-BR
Actuación impecable II,Ato Impecável II,pt-BR
Adapbilité,Observação,pt-BR
"Adelante, Cortado, Spinning in Grace","Adelante, Cortado, Bailando em Graça",pt-BR
"Adelante, Cortado, Tourne avec Grâce","Adelante, Cortado, Bailando em Graça",pt-BR
"Adelante, Cortado, drehend in Anmut","Adelante, Cortado, Bailando em Graça",pt-BR
"Adelante, cortado, gira en gracia","Adelante, Cortado, Bailando em Graça",pt-BR
Admiratrice des Héros,Fã nº 1 do Drama de Herói,pt-BR
Adventure? Let's go!,Aventura? Vamos!,pt-BR
Aeon Symphony,Sinfonia das Eras,pt-BR
Aeon-Symphonie,Sinfonia das Eras,pt-BR
Aero DMG Bonus is increased by {0}.,Aumente o Bônus de Dano Pneumático em {0}.,pt-BR
Aero-SCH-Bonus +{0},Aumente o Bônus de Dano Pneumático em {0}.,pt-BR
"After Calcharo casts Intro Skill Wanted Criminal or Intro Skill ""Necessary Means"", his Resonance Skill DMG Bonus is increased by {0} for {1}s.","Após Calcharo lançar a Habilidade Intro Criminoso Procurado ou a Habilidade Intro Meios Necessários, o bônus de dano da Habilidade de Ressonância aumenta em {0} por {1}s.",pt-BR
"After Intro Skill is cast, all team members' ATK is increased by {0} for {1}s.","Após a Habilidade Intro ser lançada, o ATQ de todos os membros da equipe é aumentado em {0} por {1}s.",pt-BR
"After a Resonator in the team deals Tune Break DMG, all Resonators in the team deal {0} more DMG for {1}s. This effect is unstackable.","Após um Ressonante da equipe causar Dano de Ruptura de Sintonia, todos os Ressonantes da equipe causam {0} a mais de Dano por {1}s. Este efeito não é acumulável.",pt-BR
"After a Resonator in the team inflicts Tune Strain - Shifting, their ATK is increased by {0} for {1}s.","Depois que o ressonante da equipe aplica Tensão de Sintonia: Oscilação, o ATQ desse ressonante aumenta em {0} por {1}s.",pt-BR
"After an Ice Prism or a Glacier is detonated, all team members' ATK is increased by {0} for {1}s, stacking up to {2} times.","Após a detonação de um Prisma de Gelo ou uma Geleira, o ATQ de todos os membros da equipe é aumentado em {0} por {1}s, acumulando até {2} vezes.",pt-BR
"After casting Energized Rebound, additionally recovers {1} STA within {0}s.","Após lançar Rebote Energizado, {1} de VIG é restaurada gradualmente durante {0}s.",pt-BR
"After casting Intro Skill Essence of Tao, Jianxin gains {0} extra Chi from Basic Attacks for {1}s.","Após lançar a Habilidade Intro Essência de Tao, Jianxin ganha {0} Chi extra de ATQs Básicos por {1}s.",pt-BR
"After casting Intro Skill Tactical Strike, Jiyan gains {0} Resolve and his ATK is increased by {1} for {2}s. This can be triggered once every {3}s.","Após lançar a Habilidade Intro Golpe Tático, Jiyan ganha {0} de Determinação e seu ATQ é aumentado em {1} por {2}s. Isso pode ser ativado uma vez a cada {3}s.",pt-BR
"After casting Mid-air Attack Feather Release, the ATK of all team members is increased by {0} for {1}s.","Após lançar o ATQ Aéreo Liberação de Penas, o ATQ de todos os Ressonantes aumenta em {0} por {1}s.",pt-BR
"After casting Outro Skill Shadowy Raid, Electro DMG Bonus of all team members is increased by {0} for {1}s.","Após lançar a Habilidade Outro Incursão Sombria, o bônus de Dano Voltaico de todos os Ressonantes aumenta em {0} por {1}s.",pt-BR
"After staying in the Parry Stance of Resonance Skill Calming Air for {0}s, Resonance Skill Chi Counter becomes immediately available.","Após manter a Habilidade de Ressonância Ar Calmante na Postura de Aparo por {0}s, poderá executar diretamente a Habilidade de Ressonância Contra-ATQ de Chi.",pt-BR
"After using the Echo Skill, Mortefi restores an additional {0} Resonance Energy. This can be triggered once every {1} second.","Após usar a Habilidade de Eco, Mortefi restaura {0} de Energia de Ressonância adicional. Isso pode ser ativado 1 vez a cada {1}s.",pt-BR
"Ainsi j'ai entendu, ainsi j'ai vu, ainsi j'ai dit","Assim Ouvi, Assim Vi, Assim Falei",pt-BR
"Ainsi, l'espoir renaît avec l'aube nouvelle",Assim a Esperança se Renova com o Alvorecer,pt-BR
"Al activar el estado de maestra, se genera un campo que estanca a los objetivos cercanos durante {1} s. Finalizar el estado de maestra o cambiar de personaje elimina el efecto de estancamiento de inmediato.
En el estado de maestra, se recibe un {0} menos de daño.","Ao entrar no estado Maestrina, gera um campo para reduzir a velocidade dos alvos próximos, que dura {1}s. Ao encerrar o estado Maestrina ou trocar para outros Ressonantes remove o efeito de redução da velocidade antecipadamente.
Dano recebido durante o estado Maestrina é reduzido em {0}.",pt-BR
"Al atacar a los enemigos con Salto adelante potenciado o Retirada potenciada, se ignora un {0} de la DEF del objetivo.","Ao atacar inimigos com Avanço Energizado e Rebote Energizado, ignoram {0} da DEF do alvo.",pt-BR
"Al generarse Rayo purificador quíntuple, aplica {0} acumulaciones de Llamarada eléctrica a todos los objetivos en el área.",Formação dos Cinco Trovões aplica instantaneamente {0} acúmulos de Clarão Voltaico em todos os alvos dentro do seu alcance ao ser gerada.,pt-BR
"Al golpear al objetivo con Ataque básico, Ataque básico Estrella de Chamuel, contraataque evasivo o contraataque evasivo: Estrella de Chamuel, la RES a Espectro del objetivo se reduce en un {0}, durante {1} s.","Quando ATQ Básico, ATQ Básico: Estrela de Chamuel, Contra-ATQ Evasivo ou Contra-ATQ Evasivo: Estrela de Chamuel acerta, reduz a RES a Dano Fotônico do alvo em {0} por {1}s.",pt-BR
"Al infligir daño con la Liberación de resonancia Hechizo electro: Armonía, la Prob. CRIT de este daño aumenta un {0}.",Aumenta a Taxa CRIT da Liberação de Ressonância: Feitição Trovão Clarão: Harmonia em {0} ao causar dano.,pt-BR
"Al infligir daño de Ataque básico, la Bonif. de daño de Ataque básico aumenta un {0}, durante {1} s.","Quando Brant causa Dano de ATQ Básico, aumenta o Bônus de Dano de ATQ Básico em {0} por {1}s.",pt-BR
"Al lanzar Liberación de Resonancia Resonancia de Eco, Errante restaura continuamente los PS de todos los personajes del equipo: se restaurarán PS equivalentes al {0} del ATQ de Errante cada segundo durante {1} s.","Ao lançar a Liberação de Ressonância Orquestra de Ecos, Rover restaura continuamente para todos os Ressonantes o HP igual a {0} do seu ATQ por {1}s.",pt-BR
