source,target,tgt_lng
Accessibility,辅助功能,zh-CN
Advancement,进度,zh-CN
Apprentice,学徒,zh-CN
Architecture,建筑,zh-CN
Armorer,盔甲匠,zh-CN
Attack indicator,攻击指示器,zh-CN
Blocking,防御,zh-CN
Breaking,破坏,zh-CN
Breeding,繁殖,zh-CN
Brewing,酿造,zh-CN
Butcher,屠夫,zh-CN
Cartographer,制图师,zh-CN
Chest loot,箱子战利品,zh-CN
Cleric,牧师,zh-CN
Crafting,合成,zh-CN
Crosshair,（十字）准星,zh-CN
Dual wield,双持,zh-CN
Enchanting,附魔,zh-CN
Expert,专家,zh-CN
Farmer,农民,zh-CN
Farming,耕种,zh-CN
Feature,地物,zh-CN
Fisherman,渔夫,zh-CN
Fletcher,制箭师,zh-CN
Heads-up display (HUD),抬头显示器 / 平视显示器,zh-CN
Health,生命,zh-CN
Health bar,生命条,zh-CN
Hollow,空洞,zh-CN
Hotbar,快捷栏,zh-CN
Hunger,饥饿,zh-CN
Inventory,物品栏,zh-CN
Journeyman,老手,zh-CN
Leatherworker,皮匠,zh-CN
Librarian,图书管理员,zh-CN
Loot table,战利品表,zh-CN
Mason,石匠,zh-CN
Master,大师,zh-CN
Material,材料,zh-CN
Narrator,复述功能,zh-CN
Nitwit,傻子,zh-CN
Novice,新手,zh-CN
Old,旧世界类型,zh-CN
Opacity,不透明度,zh-CN
Pillager patrol,灾厄巡逻队,zh-CN
Raid,袭击,zh-CN
Rarity,稀有度,zh-CN
Recipe book,配方书,zh-CN
Saturation level,饱和度,zh-CN
Scoreboard,记分板,zh-CN
Shepherd,牧羊人,zh-CN
Slot,槽位,zh-CN
Smelting,烧炼,zh-CN
Sneaking,潜行,zh-CN
Spawn,生成,zh-CN
Splash,闪烁标语,zh-CN
Sprinting,疾跑,zh-CN
Status effect,状态效果,zh-CN
Third person view,第三人称视角,zh-CN
Tier,品质,zh-CN
Toolsmith,工具匠,zh-CN
Trading,（村民）交易,zh-CN
Transportation,运输,zh-CN
Tutorial hint,教学提示,zh-CN
Unemployed,失业,zh-CN
Vehicle,载具,zh-CN
Waterlogging,含水,zh-CN
Weaponsmith,武器匠,zh-CN
儲物箱戰利品,箱子战利品,zh-CN
協助工具,辅助功能,zh-CN
品質,品质,zh-CN
圖書管理員,图书管理员,zh-CN
大師,大师,zh-CN
失業,失业,zh-CN
學徒,学徒,zh-CN
專家,专家,zh-CN
建築,建筑,zh-CN
快捷欄,快捷栏,zh-CN
戰利品表,战利品表,zh-CN
抬頭顯示器 / 平視顯示器,抬头显示器 / 平视显示器,zh-CN
掠奪者巡邏隊,灾厄巡逻队,zh-CN
攻擊顯示計,攻击指示器,zh-CN
教學提示,教学提示,zh-CN
朗讀功能,复述功能,zh-CN
欄位,槽位,zh-CN
漁夫,渔夫,zh-CN
潛行,潜行,zh-CN
熔煉,烧炼,zh-CN
物品欄,物品栏,zh-CN
狀態效果,状态效果,zh-CN
生命條,生命条,zh-CN
破壞,破坏,zh-CN
神職人員,牧师,zh-CN
突襲,袭击,zh-CN
第三人稱視角,第三人称视角,zh-CN
耕種,耕种,zh-CN
舊世界類型,旧世界类型,zh-CN
製圖師,制图师,zh-CN
製甲師,盔甲匠,zh-CN
製箭師,制箭师,zh-CN
計分板,记分板,zh-CN
跑步,疾跑,zh-CN
載具,载具,zh-CN
農夫,农民,zh-CN
進度,进度,zh-CN
運輸,运输,zh-CN
配方手冊,配方书,zh-CN
釀造,酿造,zh-CN
閃爍標語,闪烁标语,zh-CN
防禦,防御,zh-CN
雙持,双持,zh-CN
飢餓,饥饿,zh-CN
飽食度,饱和度,zh-CN
（十字）準星,（十字）准星,zh-CN
