id,term,src_table
ClubBossTaskVo.700000.desc,Complete Clan Campaign 1 time.,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700001.desc,Complete Clan Campaign 2 times.,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700002.desc,Complete Clan Campaign 3 times.,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700004.desc,Send a message in the Clan once.,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700005.desc,Log in to the game once.,Club/ClubBossTaskVo.txt
ClubCatCarBossTalkVo.1.text1,You'll never lay your hands on those Tickets!,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.1.text2,Catch me if you can!,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.1.text3,Hahaha!,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.2.text1,"Hmph, it's already the second day!",ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.2.text2,You should give up while you still can.,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.3.text1,"Damn, I'm losing my energy.",ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.3.text2,"Slow down, you guys!",ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.4.text1,"Just a little more effort for two days, and I can...",ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.4.text2,You've been left behind!,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.4.text3,Hahaha!,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.5.text1,I'm out of breath. Could tomorrow be...,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.5.text2,...my end?,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.5.text3,Aaaah!!,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.6.text1,"Defeat me first, and then we can talk about the Tickets!",ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarOpeningAnimationVo.1.dec,What's this?,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.10.dec,(//oДo?/),ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.11.dec,"(,#0Д0)",ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.12.dec,(╯°Д°)╯,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.2.dec,A ticket!,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.3.dec,A ticket!?,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.6.dec,(oωo?),ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarRankRewardVo.1.name,Rank No.1,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.10.name,Outside the Top 1000,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.2.name,Rank No.2,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.3.name,Rank No.3,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.4.name,Rank No.4,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.5.name,Reach the Top 10 in the rankings.,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.6.name,Reach the Top 20 in the rankings.,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.7.name,Reach the Top 100 in the rankings.,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.8.name,Reach the Top 500 in the rankings.,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.9.name,Reach the Top 1000 in the rankings.,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubFeedCatExpVo.1.txtBuff,"ATK +0.25%, DEF +0.25%, HP +0.50% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.1.txtLevel,I wish I could grow up faster...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.10.txtBuff,"ATK +2.50%, DEF +2.50%, HP +5.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.10.txtLevel,I wish I could grow up faster...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.11.txtBuff,"ATK +2.75%, DEF +2.75%, HP +5.50% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.11.txtLevel,I feel like I'm getting stronger!,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.12.txtBuff,"ATK +3.00%, DEF +3.00%, HP +6.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.12.txtLevel,Ah... I don't feel like trying anymore...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.13.txtBuff,"ATK +3.25%, DEF +3.25%, HP +6.50% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.13.txtLevel,I wish I could grow up faster...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.14.txtBuff,"ATK +3.50%, DEF +3.50%, HP +7.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.14.txtLevel,I feel like I'm getting stronger!,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.15.txtBuff,"ATK +3.75%, DEF +3.75%, HP +7.50% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.15.txtLevel,Ah... I don't feel like trying anymore...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.16.txtBuff,"ATK +4.00%, DEF +4.00%, HP +8.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.16.txtLevel,I told you I could grow taller!,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.17.txtBuff,"ATK +4.25%, DEF +4.25%, HP +8.50% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.17.txtLevel,I feel like I'm getting stronger!,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.18.txtBuff,"ATK +4.50%, DEF +4.50%, HP +9.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.18.txtLevel,Ah... I don't feel like trying anymore...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.19.txtBuff,"ATK +4.75%, DEF +4.75%, HP +9.50% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.19.txtLevel,I wish I could grow up faster...,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.2.txtBuff,"ATK +0.50%, DEF +0.50%, HP +1.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.2.txtLevel,I feel like I'm getting stronger!,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.20.txtBuff,"ATK +5.00%, DEF +5.00%, HP +10.00% in Clan Showdown",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.20.txtLevel,I feel like I'm getting stronger!,ClubFeedCat/ClubFeedCatExpVo.txt
