source,target,tgt_lng
Altın Materyal,Gold,de-DE
Amethyst Material,Amethyst,de-DE
Ametist Materyal,Amethyst,de-DE
Bakır Materyal,Kupfer,de-DE
Copper Material,Kupfer,de-DE
D'oro,Gold,de-DE
Demir Materyal,Eisen,de-DE
Di ametista,Amethyst,de-DE
Di diamante,Diamant,de-DE
Di ferro,Eisen,de-DE
Di lapislazzuli,Lapislazuli,de-DE
Di netherite,Netherit,de-DE
Di quarzo,Quarz,de-DE
Di rame,Kupfer,de-DE
Di redstone,Redstone,de-DE
Di resina,Harz,de-DE
Di smeraldo,Smaragd,de-DE
Diamond Material,Diamant,de-DE
Elmas Materyal,Diamant,de-DE
Emerald Material,Smaragd,de-DE
En améthyste,Amethyst,de-DE
En cuivre,Kupfer,de-DE
En diamant,Diamant,de-DE
En fer,Eisen,de-DE
En lapis-lazuli,Lapislazuli,de-DE
En netherite,Netherit,de-DE
En or,Gold,de-DE
En quartz,Quarz,de-DE
En redstone,Redstone,de-DE
En résine,Harz,de-DE
En émeraude,Smaragd,de-DE
Gold Material,Gold,de-DE
Incrustaciones de amatista,Amethyst,de-DE
Incrustaciones de cobre,Kupfer,de-DE
Incrustaciones de cuarzo,Quarz,de-DE
Incrustaciones de diamante,Diamant,de-DE
Incrustaciones de esmeralda,Smaragd,de-DE
Incrustaciones de hierro,Eisen,de-DE
Incrustaciones de lapislázuli,Lapislazuli,de-DE
Incrustaciones de netherita,Netherit,de-DE
Incrustaciones de oro,Gold,de-DE
Incrustaciones de redstone,Redstone,de-DE
Incrustaciones de resina,Harz,de-DE
Iron Material,Eisen,de-DE
Kuvars Materyal,Quarz,de-DE
Lapis Material,Lapislazuli,de-DE
Lapis Materyal,Lapislazuli,de-DE
Material de Ametista,Amethyst,de-DE
Material de Cobre,Kupfer,de-DE
Material de Diamante,Diamant,de-DE
Material de Esmeralda,Smaragd,de-DE
Material de Ferro,Eisen,de-DE
Material de Lápis-Lazúli,Lapislazuli,de-DE
Material de Netherita,Netherit,de-DE
Material de Ouro,Gold,de-DE
Material de Quartzo,Quarz,de-DE
Material de Redstone,Redstone,de-DE
Material de Resina,Harz,de-DE
Netherit Materyal,Netherit,de-DE
Netherite Material,Netherit,de-DE
Quartz Material,Quarz,de-DE
Redstone Material,Redstone,de-DE
Redstone Materyal,Redstone,de-DE
Resin Material,Harz,de-DE
Reçine Materyal,Harz,de-DE
Vật liệu kim cương,Diamant,de-DE
Vật liệu Netherit,Netherit,de-DE
Vật liệu ngọc lưu ly,Lapislazuli,de-DE
Vật liệu ngọc lục bảo,Smaragd,de-DE
Vật liệu nhựa cây,Harz,de-DE
Vật liệu Redstone,Redstone,de-DE
Vật liệu sắt,Eisen,de-DE
Vật liệu thạch anh,Quarz,de-DE
Vật liệu thạch anh tím,Amethyst,de-DE
Vật liệu vàng,Gold,de-DE
Vật liệu đồng,Kupfer,de-DE
Zümrüt Materyal,Smaragd,de-DE
Алмазная,Diamant,de-DE
Аметистовая,Amethyst,de-DE
Железная,Eisen,de-DE
Золотая,Gold,de-DE
Изумрудная,Smaragd,de-DE
Кварцевая,Quarz,de-DE
Лазуритовая,Lapislazuli,de-DE
Медная,Kupfer,de-DE
Незеритовая,Netherit,de-DE
Редстоуновая,Redstone,de-DE
Смоляная,Harz,de-DE
วัสดุควอตซ์,Quarz,de-DE
วัสดุทอง,Gold,de-DE
วัสดุทองแดง,Kupfer,de-DE
วัสดุมรกต,Smaragd,de-DE
วัสดุยางไม้,Harz,de-DE
วัสดุเนเธอไรต์,Netherit,de-DE
วัสดุเพชร,Diamant,de-DE
วัสดุเรดสโตน,Redstone,de-DE
วัสดุเหล็ก,Eisen,de-DE
วัสดุแลพิส,Lapislazuli,de-DE
วัสดุแอเมทิสต์,Amethyst,de-DE
アメジスト素材,Amethyst,de-DE
エメラルド素材,Smaragd,de-DE
ダイヤモンド素材,Diamant,de-DE
ネザライト素材,Netherit,de-DE
ネザークォーツ素材,Quarz,de-DE
ラピスラズリ素材,Lapislazuli,de-DE
レッドストーン素材,Redstone,de-DE
下界合金质,Netherit,de-DE
树脂质,Harz,de-DE
樹脂材質,Harz,de-DE
樹脂素材,Harz,de-DE
獄髓材質,Netherit,de-DE
石英材質,Quarz,de-DE
石英质,Quarz,de-DE
紅石材質,Redstone,de-DE
紫水晶材質,Amethyst,de-DE
紫水晶质,Amethyst,de-DE
綠寶石材質,Smaragd,de-DE
红石质,Redstone,de-DE
绿宝石质,Smaragd,de-DE
金材質,Gold,de-DE
金素材,Gold,de-DE
金质,Gold,de-DE
鉄素材,Eisen,de-DE
銅材質,Kupfer,de-DE
銅素材,Kupfer,de-DE
鐵材質,Eisen,de-DE
鑽石材質,Diamant,de-DE
钻石质,Diamant,de-DE
铁质,Eisen,de-DE
铜质,Kupfer,de-DE
青金石材質,Lapislazuli,de-DE
青金石质,Lapislazuli,de-DE
구리 소재,Kupfer,de-DE
금 소재,Gold,de-DE
네더라이트 소재,Netherit,de-DE
다이아몬드 소재,Diamant,de-DE
레드스톤 소재,Redstone,de-DE
석영 소재,Quarz,de-DE
수지 소재,Harz,de-DE
에메랄드 소재,Smaragd,de-DE
자수정 소재,Amethyst,de-DE
철 소재,Eisen,de-DE
청금석 소재,Lapislazuli,de-DE
