source,target,tgt_lng
スーパーアルティメット覇王魔剣,Ultimate Overlord's Mega Magic Sword,en-US
タイダル・シャドー,Tidal Shadow,en-US
マジカルマジックキー,Super Awesome Magic Key,en-US
マルテンスの万能保護材,Martens' Omni-Fix,en-US
不凋的絹華,Unfading Silky Grace,en-US
不凋的绢华,Unfading Silky Grace,en-US
両手剣,Claymore,en-US
单手剑,Sword,en-US
双手剑,Claymore,en-US
古華・試作,Prototype Archaic,en-US
單手劍,Sword,en-US
巖峰巡歌,Peak Patrol Song,en-US
幻のギフト・スターオーメン,Phantasmal Gift: Star Omen,en-US
幻礼·星兆,Phantasmal Gift: Star Omen,en-US
幻禮·星兆,Phantasmal Gift: Star Omen,en-US
幽夜華爾茲,Mitternachts Waltz,en-US
弓,Bow,en-US
弓,Bow,en-US
弓,Bow,en-US
斫鋒之刃,Summit Shaper,en-US
斫锋之刃,Summit Shaper,en-US
斬岩・試作,Prototype Rancour,en-US
星鎌・試作,Prototype Starglitter,en-US
星鷹の紅き羽,Astral Vulture's Crimson Plumage,en-US
枯れぬ絹の花,Unfading Silky Grace,en-US
法器,Catalyst,en-US
法器,Catalyst,en-US
法器,Catalyst,en-US
澹月・試作,Prototype Crescent,en-US
片手剣,Sword,en-US
甲級寶珏,Twin Nephrite,en-US
白雨心絃,Silvershower Heartstrings,en-US
磐巖結綠,Primordial Jade Cutter,en-US
究极霸王超级魔剑,Ultimate Overlord's Mega Magic Sword,en-US
究極霸王超級魔劍,Ultimate Overlord's Mega Magic Sword,en-US
精炼材料,Refinement Material,en-US
精煉材料,Refinement Material,en-US
精錬素材,Refinement Material,en-US
罗网勾針,Snare Hook,en-US
超厉害魔法钥匙,Super Awesome Magic Key,en-US
超厲害魔法鑰匙,Super Awesome Magic Key,en-US
金堀のシャベル,Prospector's Shovel,en-US
金珀・試作,Prototype Amber,en-US
鍾劍,The Bell,en-US
長柄武器,Polearm,en-US
長柄武器,Polearm,en-US
长柄武器,Polearm,en-US
雙手劍,Claymore,en-US
鳥髄の狐灯,Blackmarrow Lantern,en-US
鳥髄孑燈,Blackmarrow Lantern,en-US
鸟髄孑灯,Blackmarrow Lantern,en-US
黑巖刺槍,Blackcliff Pole,en-US
黑巖戰弓,Blackcliff Warbow,en-US
黑巖斬刀,Blackcliff Slasher,en-US
黑巖緋玉,Blackcliff Agate,en-US
黑巖長劍,Blackcliff Longsword,en-US
