id,term,src_table
Achievement.1.1,魔王之路 Ⅰ,Achievement.json
Achievement.10.1,日行一善 Ⅲ,Achievement.json
Achievement.100.1,術有專精·火 Ⅱ,Achievement.json
Achievement.101.1,術有專精·火 Ⅲ,Achievement.json
Achievement.102.1,術有專精·火 Ⅳ,Achievement.json
Achievement.103.1,術有專精·地 I,Achievement.json
Achievement.104.1,術有專精·地 Ⅱ,Achievement.json
Achievement.105.1,術有專精·地 Ⅲ,Achievement.json
Achievement.106.1,術有專精·地 Ⅳ,Achievement.json
Achievement.107.1,術有專精·風 I,Achievement.json
Achievement.108.1,術有專精·風 Ⅱ,Achievement.json
Achievement.109.1,術有專精·風 Ⅲ,Achievement.json
Achievement.11.1,日行一善 Ⅳ,Achievement.json
Achievement.110.1,術有專精·風 Ⅳ,Achievement.json
Achievement.111.1,術有專精·光 I,Achievement.json
Achievement.112.1,術有專精·光 Ⅱ,Achievement.json
Achievement.113.1,術有專精·光 Ⅲ,Achievement.json
Achievement.114.1,術有專精·光 Ⅳ,Achievement.json
Achievement.115.1,術有專精·暗 I,Achievement.json
Achievement.116.1,術有專精·暗 Ⅱ,Achievement.json
Achievement.117.1,術有專精·暗 Ⅲ,Achievement.json
Achievement.118.1,術有專精·暗 Ⅳ,Achievement.json
Achievement.119.1,便利商店常客 I,Achievement.json
Achievement.12.1,日行一善 Ⅴ,Achievement.json
Achievement.120.1,便利商店常客 Ⅱ,Achievement.json
Achievement.121.1,便利商店常客 Ⅲ,Achievement.json
Achievement.122.1,便利商店常客 Ⅳ,Achievement.json
Achievement.123.1,便利商店常客 Ⅴ,Achievement.json
Achievement.124.1,便利商店常客 Ⅵ,Achievement.json
Achievement.125.1,便利商店常客 Ⅶ,Achievement.json
Achievement.126.1,便利商店常客 Ⅷ,Achievement.json
Achievement.127.1,便利商店常客 Ⅸ,Achievement.json
Achievement.128.1,便利商店常客 Ⅹ,Achievement.json
Achievement.129.1,萍水相逢 I,Achievement.json
Achievement.13.1,種瓜得豆 I,Achievement.json
Achievement.130.1,萍水相逢 Ⅱ,Achievement.json
Achievement.131.1,萍水相逢 Ⅲ,Achievement.json
Achievement.132.1,萍水相逢 Ⅳ,Achievement.json
Achievement.133.1,萍水相逢 Ⅴ,Achievement.json
Achievement.134.1,萍水相逢 Ⅵ,Achievement.json
Achievement.135.1,萍水相逢 Ⅶ,Achievement.json
Achievement.136.1,萍水相逢 Ⅷ,Achievement.json
Achievement.137.1,萍水相逢 Ⅸ,Achievement.json
Achievement.138.1,萍水相逢 Ⅹ,Achievement.json
Achievement.139.1,大富翁 I,Achievement.json
Achievement.14.1,種瓜得豆 Ⅱ,Achievement.json
Achievement.140.1,大富翁 Ⅱ,Achievement.json
Achievement.141.1,大富翁 Ⅲ,Achievement.json
Achievement.142.1,大富翁 Ⅳ,Achievement.json
Achievement.143.1,大富翁 Ⅴ,Achievement.json
Achievement.144.1,大富翁 Ⅵ,Achievement.json
Achievement.145.1,絕對音感·強攻 I,Achievement.json
Achievement.146.1,絕對音感·強攻 Ⅱ,Achievement.json
Achievement.147.1,絕對音感·強攻 Ⅲ,Achievement.json
Achievement.148.1,絕對音感·強攻 Ⅳ,Achievement.json
Achievement.149.1,絕對音感·強攻 Ⅴ,Achievement.json
Achievement.15.1,種瓜得豆 Ⅲ,Achievement.json
Achievement.150.1,絕對音感·幸運 I,Achievement.json
Achievement.151.1,絕對音感·幸運 Ⅱ,Achievement.json
Achievement.152.1,絕對音感·幸運 Ⅲ,Achievement.json
Achievement.153.1,絕對音感·幸運 Ⅳ,Achievement.json
Achievement.154.1,絕對音感·幸運 Ⅴ,Achievement.json
Achievement.155.1,絕對音感·爆發 I,Achievement.json
Achievement.156.1,絕對音感·爆發 Ⅱ,Achievement.json
Achievement.157.1,絕對音感·爆發 Ⅲ,Achievement.json
Achievement.158.1,絕對音感·爆發 Ⅳ,Achievement.json
Achievement.159.1,絕對音感·爆發 Ⅴ,Achievement.json
Achievement.16.1,種瓜得豆 Ⅳ,Achievement.json
Achievement.160.1,絕對音感·體力 I,Achievement.json
Achievement.161.1,絕對音感·體力 Ⅱ,Achievement.json
Achievement.162.1,絕對音感·體力 Ⅲ,Achievement.json
Achievement.163.1,絕對音感·體力 Ⅳ,Achievement.json
Achievement.164.1,絕對音感·體力 Ⅴ,Achievement.json
Achievement.165.1,絕對音感·專注 I,Achievement.json
Achievement.166.1,絕對音感·專注 Ⅱ,Achievement.json
Achievement.167.1,絕對音感·專注 Ⅲ,Achievement.json
Achievement.168.1,絕對音感·專注 Ⅳ,Achievement.json
Achievement.169.1,絕對音感·專注 Ⅴ,Achievement.json
Achievement.17.1,種瓜得豆 Ⅴ,Achievement.json
Achievement.170.1,絕對音感·技巧 I,Achievement.json
Achievement.171.1,絕對音感·技巧 Ⅱ,Achievement.json
Achievement.172.1,絕對音感·技巧 Ⅲ,Achievement.json
Achievement.173.1,絕對音感·技巧 Ⅳ,Achievement.json
Achievement.174.1,絕對音感·技巧 Ⅴ,Achievement.json
Achievement.175.1,絕對音感·絕招 I,Achievement.json
Achievement.176.1,絕對音感·絕招 Ⅱ,Achievement.json
Achievement.177.1,絕對音感·絕招 Ⅲ,Achievement.json
Achievement.178.1,絕對音感·絕招 Ⅳ,Achievement.json
Achievement.179.1,絕對音感·絕招 Ⅴ,Achievement.json
Achievement.18.1,萬事大吉 I,Achievement.json
Achievement.180.1,絕對音感·水 I,Achievement.json
Achievement.181.1,絕對音感·水 Ⅱ,Achievement.json
Achievement.182.1,絕對音感·水 Ⅲ,Achievement.json
Achievement.183.1,絕對音感·水 Ⅳ,Achievement.json
Achievement.184.1,絕對音感·水 Ⅴ,Achievement.json
Achievement.185.1,絕對音感·火 I,Achievement.json
Achievement.186.1,絕對音感·火 Ⅱ,Achievement.json
Achievement.187.1,絕對音感·火 Ⅲ,Achievement.json
Achievement.188.1,絕對音感·火 Ⅳ,Achievement.json
