source,target,tgt_lng
%s Oyuncusunun Kafası,%s的头,zh-CN
%s 的頭顱,%s的头,zh-CN
%s's Head,%s的头,zh-CN
%sの頭,%s的头,zh-CN
%s의 머리,%s的头,zh-CN
Abgestorbene Blasenkoralle,失活的气泡珊瑚,zh-CN
Abgestorbene Feuerkoralle,失活的火珊瑚,zh-CN
Abgestorbene Geweihkoralle,失活的鹿角珊瑚,zh-CN
Abgestorbene Hirnkoralle,失活的脑纹珊瑚,zh-CN
Abgestorbene Orgelkoralle,失活的管珊瑚,zh-CN
Abgestorbener Blasenkorallenblock,失活的气泡珊瑚块,zh-CN
Abgestorbener Blasenkorallenfächer,失活的气泡珊瑚扇,zh-CN
Abgestorbener Blasenkorallenwandfächer,墙上的失活气泡珊瑚扇,zh-CN
Abgestorbener Feuerkorallenblock,失活的火珊瑚块,zh-CN
Abgestorbener Feuerkorallenfächer,失活的火珊瑚扇,zh-CN
Abgestorbener Feuerkorallenwandfächer,墙上的失活火珊瑚扇,zh-CN
Abgestorbener Geweihkorallenblock,失活的鹿角珊瑚块,zh-CN
Abgestorbener Geweihkorallenfächer,失活的鹿角珊瑚扇,zh-CN
Abgestorbener Geweihkorallenwandfächer,墙上的失活鹿角珊瑚扇,zh-CN
Abgestorbener Hirnkorallenblock,失活的脑纹珊瑚块,zh-CN
Abgestorbener Hirnkorallenfächer,失活的脑纹珊瑚扇,zh-CN
Abgestorbener Hirnkorallenwandfächer,墙上的失活脑纹珊瑚扇,zh-CN
Abgestorbener Orgelkorallenblock,失活的管珊瑚块,zh-CN
Abgestorbener Orgelkorallenfächer,失活的管珊瑚扇,zh-CN
Abgestorbener Orgelkorallenwandfächer,墙上的失活管珊瑚扇,zh-CN
Abóbora,南瓜,zh-CN
Abóbora de Halloween,南瓜灯,zh-CN
Abóbora Esculpida,雕刻南瓜,zh-CN
Acacia Button,金合欢木按钮,zh-CN
Acacia Door,金合欢木门,zh-CN
Acacia Fence,金合欢木栅栏,zh-CN
Acacia Fence Gate,金合欢木栅栏门,zh-CN
Acacia Hanging Sign,悬挂式金合欢木告示牌,zh-CN
Acacia Leaves,金合欢树叶,zh-CN
Acacia Log,金合欢原木,zh-CN
Acacia Planks,金合欢木板,zh-CN
Acacia Pressure Plate,金合欢木压力板,zh-CN
Acacia Sapling,金合欢树苗,zh-CN
Acacia Shelf,金合欢木展示架,zh-CN
Acacia Sign,金合欢木告示牌,zh-CN
Acacia Slab,金合欢木台阶,zh-CN
