source,target,tgt_lng
"""%s"" (%s) 선택함","selecionou ""%s"" (%s)",pt-BR
"""%s"" sélectionné (%s)","selecionou ""%s"" (%s)",pt-BR
"""%s"" thành %s","""%s"" alterado para %s",pt-BR
"""%s"" to %s","""%s"" alterado para %s",pt-BR
"""%s"" à %s","""%s"" alterado para %s",pt-BR
"""%s"" ไปยัง %s","""%s"" alterado para %s",pt-BR
"""%s""을(를) %s(으)로","""%s"" alterado para %s",pt-BR
"""%s” (%s) seçildi","selecionou ""%s"" (%s)",pt-BR
"""%s” -> %s","""%s"" alterado para %s",pt-BR
%2$s x %1$s,%s x %s,pt-BR
%s = %s,"selecionou ""%s"" (%s)",pt-BR
%s has no properties,%s não tem propriedades,pt-BR
%s hat keine Blockzustände,%s não tem propriedades,pt-BR
%s hiçbir özelliğe sahip değil,%s não tem propriedades,pt-BR
%s không có thuộc tính nào,%s não tem propriedades,pt-BR
%s n'a aucune propriété,%s não tem propriedades,pt-BR
%s no tiene propiedades,%s não tem propriedades,pt-BR
%s non ha proprietà,%s não tem propriedades,pt-BR
%s × %s,%s x %s,pt-BR
%s ไม่มีคุณสมบัติ,%s não tem propriedades,pt-BR
%s → %s,"""%s"" alterado para %s",pt-BR
%s 沒有屬性,%s não tem propriedades,pt-BR
%s× %s,%s x %s,pt-BR
%sはプロパティを持っていません,%s não tem propriedades,pt-BR
%s不具备属性,%s não tem propriedades,pt-BR
%s에게 속성이 없습니다,%s não tem propriedades,pt-BR
%s／%s,%s/%s,pt-BR
A forma di creeper,Formato de Creeper,pt-BR
A forma di stella,Formato de estrela,pt-BR
Aaron Cherof - Precipice,Aaron Cherof — Precipice,pt-BR
Aaron Cherof - Relic,Aaron Cherof — Relic,pt-BR
Abandoned Camp Map,Mapa de Acampamento Abandonado,pt-BR
Abandoned Campsite Map,Mapa de Acampamento Abandonado,pt-BR
Abschabe-Töpferscherbe,Óstraco de Machado,pt-BR
Acacia Boat,Bote de Acácia,pt-BR
Acacia Boat with Chest,Bote de Acácia com Baú,pt-BR
Acciarino,Pederneira,pt-BR
Ad Etiketi,Etiqueta,pt-BR
Add a piece of armor,Adicione uma peça de armadura,pt-BR
"Add diamond armor, weapon, or tool","Adicione uma ferramenta, arma ou armadura de Diamante",pt-BR
Add ingot or crystal,Adicione um lingote ou cristal,pt-BR
Add Netherite Ingot,Adicione um Lingote de Netherita,pt-BR
Ajoutez un lingot de netherite,Adicione um Lingote de Netherita,pt-BR
Ajoutez un lingot ou un cristal,Adicione um lingote ou cristal,pt-BR
Ajoutez une pièce d'armure,Adicione uma peça de armadura,pt-BR
"Ajoutez une pièce d'armure, une arme ou un outil en diamant","Adicione uma ferramenta, arma ou armadura de Diamante",pt-BR
Akasya Tekne,Bote de Acácia,pt-BR
Akazienholzboot,Bote de Acácia,pt-BR
Akazienholztruhenboot,Bote de Acácia com Baú,pt-BR
Aksolotl Kovası,Balde com Axolote,pt-BR
Aksolotl Çağırma Yumurtası,Ovo Gerador de Axolote,pt-BR
Akış,Espiral,pt-BR
Akış Sancak Deseni,Figura para Estandarte de Espiral,pt-BR
Akış Zırh Süslemesi,Enfeite de Fluxo,pt-BR
Akış Çömlek Parçası,Óstraco de Fluxo,pt-BR
Alambic,Suporte de Poções,pt-BR
Alambicco,Suporte de Poções,pt-BR
Alga essiccata,Algas Secas,pt-BR
Algas secas,Algas Secas,pt-BR
Algue séchée,Algas Secas,pt-BR
Aliento de dragón,Bafo do Dragão,pt-BR
Allay Spawn Egg,Ovo Gerador de Sereno,pt-BR
Altın At Zırhı,Armadura de Ouro para Cavalo,pt-BR
Altın Balta,Machado de Ouro,pt-BR
Altın Elma,Maçã Dourada,pt-BR
Altın Göğüslük,Peitoral de Ouro,pt-BR
Altın Havuç,Cenoura Dourada,pt-BR
Altın Kazma,Picareta de Ouro,pt-BR
Altın Külçesi,Lingote de Ouro,pt-BR
Altın Kürek,Pá de Ouro,pt-BR
Altın Kılıç,Espada de Ouro,pt-BR
Altın Miğfer,Capacete de Ouro,pt-BR
Altın Mızrak,Lança de Ouro,pt-BR
Altın Notilus Zırhı,Armadura de Ouro para Náutilo,pt-BR
Altın Parçası,Pepita de Ouro,pt-BR
Altın Tozluk,Calças de Ouro,pt-BR
Altın Çapa,Enxada de Ouro,pt-BR
Altın Çizme,Botas de Ouro,pt-BR
amarilla,amarela,pt-BR
Amas de résine,Agregado de Resina,pt-BR
Amethyst Shard,Fragmento de Ametista,pt-BR
Amethystscherbe,Fragmento de Ametista,pt-BR
Ametist Parçası,Fragmento de Ametista,pt-BR
Amos Roddy - Tears,Amos Roddy — Tears,pt-BR
Ampolla,Frasco de Vidro,pt-BR
Ampolla d'acqua,Frasco de Água,pt-BR
Ampolla d'acqua da lancio,Frasco de Água Arremessável,pt-BR
Ampolla d'acqua persistente,Frasco de Água Prolongado,pt-BR
Ampolla d'esperienza,Frasco de Experiência,pt-BR
Ampolla di miele,Frasco de Mel,pt-BR
Ampolla infausta,Frasco Sombrio,pt-BR
Amélioration : ,Melhorias: ,pt-BR
Amélioration en netherite,Melhoria de Netherita,pt-BR
Ancient City Map,Mapa de Cidade Ancestral,pt-BR
Angel,Vara de Pesca,pt-BR
Angler Pottery Shard,Óstraco de Pesca,pt-BR
Angler Pottery Sherd,Óstraco de Pesca,pt-BR
Angler-Töpferscherbe,Óstraco de Pesca,pt-BR
Antik Kent Haritası,Mapa de Cidade Ancestral,pt-BR
Antike-Stätte-Karte,Mapa de Cidade Ancestral,pt-BR
Antike-Stätte-Karte,Mapa de Cidade Ancestral Subterrânea,pt-BR
Antriebslore,Carrinho de Mina com Fornalha,pt-BR
Anwendbar auf:,Aplicável em:,pt-BR
Apfel,Maçã,pt-BR
Apple,Maçã,pt-BR
Applies to:,Aplicável em:,pt-BR
Arancione,laranja,pt-BR
Arbalet,Besta,pt-BR
Arbalète,Besta,pt-BR
Arc,Arco,pt-BR
Archer Pottery Shard,Óstraco de Arco,pt-BR
Archer Pottery Sherd,Óstraco de Arco,pt-BR
Arkadaş Çömlek Parçası,Óstraco de Amigo,pt-BR
Armadillo Pulu,Escama de Tatu,pt-BR
Armadillo Scute,Escama de Tatu,pt-BR
Armadillo Spawn Egg,Ovo Gerador de Tatu,pt-BR
Armadillo Çağırma Yumurtası,Ovo Gerador de Tatu,pt-BR
Armadura de cobre para caballo,Armadura de Cobre para Cavalo,pt-BR
Armadura de cobre para nautilo,Armadura de Cobre para Náutilo,pt-BR
Armadura de cuero para caballo,Armadura de Couro para Cavalo,pt-BR
Armadura de diamante para caballo,Armadura de Diamante para Cavalo,pt-BR
Armadura de diamante para nautilo,Armadura de Diamante para Náutilo,pt-BR
Armadura de hierro para caballo,Armadura de Ferro para Cavalo,pt-BR
Armadura de hierro para nautilo,Armadura de Ferro para Náutilo,pt-BR
Armadura de netherita para caballo,Armadura de Netherita para Cavalo,pt-BR
Armadura de netherita para nautilo,Armadura de Netherita para Náutilo,pt-BR
Armadura de oro para caballo,Armadura de Ouro para Cavalo,pt-BR
Armadura de oro para nautilo,Armadura de Ouro para Náutilo,pt-BR
Armadura para lobo,Armadura de Lobo,pt-BR
Armaduras,Armadura,pt-BR
Armatura,Armadura,pt-BR
Armatura d'oro per nautili,Armadura de Ouro para Náutilo,pt-BR
Armatura di diamante per nautili,Armadura de Diamante para Náutilo,pt-BR
Armatura di ferro per nautili,Armadura de Ferro para Náutilo,pt-BR
Armatura di netherite per nautili,Armadura de Netherita para Náutilo,pt-BR
Armatura di rame per nautili,Armadura de Cobre para Náutilo,pt-BR
Armatura per lupi,Armadura de Lobo,pt-BR
Armbrust,Besta,pt-BR
Armor,Armadura,pt-BR
Armor Stand,Suporte de Armaduras,pt-BR
Arms Up Pottery Shard,Óstraco de Figura,pt-BR
Arms Up Pottery Sherd,Óstraco de Figura,pt-BR
Armure,Armadura,pt-BR
Armure en cuir pour cheval,Armadura de Couro para Cavalo,pt-BR
Armure en cuivre pour cheval,Armadura de Cobre para Cavalo,pt-BR
Armure en cuivre pour nautile,Armadura de Cobre para Náutilo,pt-BR
Armure en diamant pour cheval,Armadura de Diamante para Cavalo,pt-BR
Armure en diamant pour nautile,Armadura de Diamante para Náutilo,pt-BR
Armure en fer pour cheval,Armadura de Ferro para Cavalo,pt-BR
Armure en fer pour nautile,Armadura de Ferro para Náutilo,pt-BR
Armure en netherite pour cheval,Armadura de Netherita para Cavalo,pt-BR
Armure en netherite pour nautile,Armadura de Netherita para Náutilo,pt-BR
Armure en or pour cheval,Armadura de Ouro para Cavalo,pt-BR
Armure en or pour nautile,Armadura de Ouro para Náutilo,pt-BR
Armure pour loup,Armadura de Lobo,pt-BR
Arnés,Arreio,pt-BR
Arnés amarillo,Arreio Amarelo,pt-BR
Arnés azul,Arreio Azul,pt-BR
Arnés azul claro,Arreio Azul-Claro,pt-BR
Arnés blanco,Arreio Branco,pt-BR
Arnés cian,Arreio Ciano,pt-BR
Arnés gris,Arreio Cinza,pt-BR
Arnés gris claro,Arreio Cinza-Claro,pt-BR
Arnés magenta,Arreio Magenta,pt-BR
Arnés marrón,Arreio Marrom,pt-BR
Arnés morado,Arreio Roxo,pt-BR
Arnés naranja,Arreio Laranja,pt-BR
Arnés negro,Arreio Preto,pt-BR
Arnés rojo,Arreio Vermelho,pt-BR
Arnés rosa,Arreio Rosa,pt-BR
Arnés verde,Arreio Verde,pt-BR
Arnés verde lima,Arreio Verde-Limão,pt-BR
Arrow,Flecha,pt-BR
Arrow of Fire Resistance,Flecha de Resistência ao Fogo,pt-BR
Arrow of Harming,Flecha de Dano,pt-BR
Arrow of Healing,Flecha de Cura,pt-BR
Arrow of Infestation,Flecha de Infestação,pt-BR
Arrow of Invisibility,Flecha de Invisibilidade,pt-BR
Arrow of Leaping,Flecha de Salto,pt-BR
Arrow of Levitation,Flecha de Levitação,pt-BR
Arrow of Luck,Flecha de Sorte,pt-BR
Arrow of Night Vision,Flecha de Visão Noturna,pt-BR
Arrow of Oozing,Flecha Pegajosa,pt-BR
Arrow of Poison,Flecha de Veneno,pt-BR
Arrow of Regeneration,Flecha de Regeneração,pt-BR
Arrow of Slow Falling,Flecha de Queda Lenta,pt-BR
Arrow of Slowness,Flecha de Lentidão,pt-BR
Arrow of Splashing,Flecha sem Efeito,pt-BR
Arrow of Strength,Flecha de Força,pt-BR
Arrow of Swiftness,Flecha de Agilidade,pt-BR
Arrow of the Turtle Master,Flecha do Mestre-Tartaruga,pt-BR
Arrow of Water Breathing,Flecha de Respiração Aquática,pt-BR
Arrow of Weakness,Flecha de Fraqueza,pt-BR
Arrow of Weaving,Flecha de Tecitura,pt-BR
Arrow of Wind Charging,Flecha de Ventania,pt-BR
Arı Çağırma Yumurtası,Ovo Gerador de Abelha,pt-BR
Ascia d'oro,Machado de Ouro,pt-BR
Ascia di diamante,Machado de Diamante,pt-BR
Ascia di ferro,Machado de Ferro,pt-BR
Ascia di legno,Machado de Madeira,pt-BR
Ascia di netherite,Machado de Netherita,pt-BR
Ascia di pietra,Machado de Pedra,pt-BR
Ascia di rame,Machado de Cobre,pt-BR
At Çağırma Yumurtası,Ovo Gerador de Cavalo,pt-BR
Ateş Direnci İksiri,Poção de Resistência ao Fogo,pt-BR
Ateş Direnci Oku,Flecha de Resistência ao Fogo,pt-BR
Ateş Topu,Bola de Fogo,pt-BR
