source,target,tgt_lng
%s（%s）,%s (%s),pt-BR
(Bozuk veya uyumsuz),(Corrompido ou incompatível),pt-BR
(Broken or incompatible),(Corrompido ou incompatível),pt-BR
(Coloca los archivos de paquetes aquí),(Coloque os arquivos dos pacotes aqui),pt-BR
(Conçu pour une ancienne version de Minecraft),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Conçu pour une version plus récente de Minecraft),(Feito para uma versão mais recente do Minecraft),pt-BR
(Creato per una versione di Minecraft più recente),(Feito para uma versão mais recente do Minecraft),pt-BR
(Creato per una versione di Minecraft più vecchia),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Daha eski bir Minecraft sürümü için yapıldı),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Daha yeni bir Minecraft sürümü için yapıldı),(Feito para uma versão mais recente do Minecraft),pt-BR
(Danneggiato o non compatibile),(Corrompido ou incompatível),pt-BR
(Defekt oder inkompatibel),(Corrompido ou incompatível),pt-BR
(Diseñado para una versión de Minecraft anterior),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Diseñado para una versión de Minecraft posterior),(Feito para uma versão mais recente do Minecraft),pt-BR
(Endommagé ou incompatible),(Corrompido ou incompatível),pt-BR
(für eine neuere Version von Minecraft erstellt),(Feito para uma versão mais recente do Minecraft),pt-BR
(für eine ältere Version von Minecraft erstellt),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Inserisci qui i pacchetti),(Coloque os arquivos dos pacotes aqui),pt-BR
(Made for a newer version of Minecraft),(Feito para uma versão mais recente do Minecraft),pt-BR
(Made for an older version of Minecraft),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Paket dosyalarını buraya yerleştirin),(Coloque os arquivos dos pacotes aqui),pt-BR
(Paketdateien hier einfügen),(Coloque os arquivos dos pacotes aqui),pt-BR
(Place pack files here),(Coloque os arquivos dos pacotes aqui),pt-BR
(Placer les fichiers de packs ici),(Coloque os arquivos dos pacotes aqui),pt-BR
(Roto o incompatible),(Corrompido ou incompatível),pt-BR
(Đã hỏng hoặc không tương thích),(Corrompido ou incompatível),pt-BR
(Được làm cho một phiên bản Minecraft cũ hơn),(Feito para uma versão mais antiga do Minecraft),pt-BR
(Được làm cho một phiên bản Minecraft mới hơn),(Feito para uma versão mais recente do Minecraft),pt-BR
(Đặt tập tin gói ở đây),(Coloque os arquivos dos pacotes aqui),pt-BR
(Неисправен или несовместим),(Corrompido ou incompatível),pt-BR
(Поместите файлы наборов сюда),(Coloque os arquivos dos pacotes aqui),pt-BR
(Предназначен для более новой версии Minecraft),(Feito para uma versão mais recente do Minecraft),pt-BR
(Предназначен для более старой версии Minecraft),(Feito para uma versão mais antiga do Minecraft),pt-BR
