source,target,tgt_lng
ハードボイルドショット,冷酷无情射击,zh-CN
Hardboiled Shot,冷酷无情射击,zh-CN
Hard-Boiled Shot,冷酷无情射击,zh-CN
하드보일드 샷,冷酷无情射击,zh-CN
กระสุนแห่งความร้ายกาจ,冷酷无情射击,zh-CN
ノワールシュート,黑色攻击,zh-CN
Noir Shoot,黑色攻击,zh-CN
Noir Attack,黑色攻击,zh-CN
느와르 어택,黑色攻击,zh-CN
นัวร์ แอทแท็ค!,黑色攻击,zh-CN
ノワールシュート+,黑色攻击+,zh-CN
Noir Shoot+,黑色攻击+,zh-CN
Noir Attack+,黑色攻击+,zh-CN
느와르 어택+,黑色攻击+,zh-CN
นัวร์ แอทแท็ค!+,黑色攻击+,zh-CN
社長の威厳,社长的威严,zh-CN
社長的威嚴,社长的威严,zh-CN
The Gravity of a Boss,社长的威严,zh-CN
사장님의 위엄,社长的威严,zh-CN
เกียรติภูมิของหัวหน้า,社长的威严,zh-CN
社長の威厳+,社长的威严+,zh-CN
社長的威嚴+,社长的威严+,zh-CN
The Gravity of a Boss+,社长的威严+,zh-CN
사장님의 위엄+,社长的威严+,zh-CN
เกียรติภูมิของหัวหน้า+,社长的威严+,zh-CN
アウトローの流儀,法外狂徒之路,zh-CN
亡命之徒的作風,法外狂徒之路,zh-CN
Way of the Outlaw,法外狂徒之路,zh-CN
무법자의 길,法外狂徒之路,zh-CN
วิถีคนนอกรีต,法外狂徒之路,zh-CN
不屈の意志,不屈的意志,zh-CN
Undying Will,不屈的意志,zh-CN
불굴의 의지,不屈的意志,zh-CN
ความตั้งใจที่ไม่ย่อท้อ,不屈的意志,zh-CN
執念の猛撃,执念的猛击,zh-CN
執念的猛擊,执念的猛击,zh-CN
Single-Minded Assault,执念的猛击,zh-CN
집념의 맹격,执念的猛击,zh-CN
โจมตีเด็ดเดี่ยว,执念的猛击,zh-CN
執念の猛撃+,执念的猛击+,zh-CN
執念的猛擊+,执念的猛击+,zh-CN
Single-Minded Assault+,执念的猛击+,zh-CN
집념의 맹격+,执念的猛击+,zh-CN
โจมตีเด็ดเดี่ยว+,执念的猛击+,zh-CN
スペシャリストの休憩,专家的休憩,zh-CN
專家的休息,专家的休憩,zh-CN
Specialist's Respite,专家的休憩,zh-CN
스페셜리스트의 휴식,专家的休憩,zh-CN
การพักผ่อนของผู้เชี่ยวชาญ,专家的休憩,zh-CN
スペシャリストの休憩+,专家的休憩+,zh-CN
專家的休息+,专家的休憩+,zh-CN
Specialist's Respite+,专家的休憩+,zh-CN
스페셜리스트의 휴식+,专家的休憩+,zh-CN
การพักผ่อนของผู้เชี่ยวชาญ+,专家的休憩+,zh-CN
強靱な精神力,强韧的精神力,zh-CN
強韌的精神力,强韧的精神力,zh-CN
Iron Will,强韧的精神力,zh-CN
강인한 정신력,强韧的精神力,zh-CN
จิตใจที่แข็งแกร่ง,强韧的精神力,zh-CN
貫くエレガンス,优雅地贯穿,zh-CN
貫穿 Elegance,优雅地贯穿,zh-CN
Piercing Elegance,优雅地贯穿,zh-CN
꿰뚫는 엘레강스,优雅地贯穿,zh-CN
สง่างามทะลุเกราะ,优雅地贯穿,zh-CN
爆発するエキゾチック,爆炸的异国风情,zh-CN
爆炸 Exotic,爆炸的异国风情,zh-CN
Exotic Explosives,爆炸的异国风情,zh-CN
폭발하는 엑조틱,爆炸的异国风情,zh-CN
ระเบิดเอ็กซ์โซติก,爆炸的异国风情,zh-CN
美食家の気品,美食家的品格,zh-CN
Gourmand's Honor,美食家的品格,zh-CN
미식가의 기품,美食家的品格,zh-CN
ศักดิ์ศรีของนักชิม,美食家的品格,zh-CN
美食家の気品+,美食家的品格+,zh-CN
Gourmand's Honor+,美食家的品格+,zh-CN
미식가의 기품+,美食家的品格+,zh-CN
ศักดิ์ศรีของนักชิม+,美食家的品格+,zh-CN
美食家の冷静さ,美食家的严谨,zh-CN
美食家的沉著,美食家的严谨,zh-CN
Prudent Connoisseur,美食家的严谨,zh-CN
미식가의 신중함,美食家的严谨,zh-CN
ความสุขุมของนักชิม,美食家的严谨,zh-CN
助けて、ペロロ様！,佩洛洛大人，快帮帮我！,zh-CN
幫幫我，佩洛洛大人！,佩洛洛大人，快帮帮我！,zh-CN
"Help Me, Peroro!",佩洛洛大人，快帮帮我！,zh-CN
"도와줘요, 페로로 님!",佩洛洛大人，快帮帮我！,zh-CN
ท่านเพโรโร่ออกโรง!,佩洛洛大人，快帮帮我！,zh-CN
ペロロ様の応援,佩洛洛大人的助威,zh-CN
佩洛洛大人的應援,佩洛洛大人的助威,zh-CN
Peroro's Support,佩洛洛大人的助威,zh-CN
페로로 님의 응원,佩洛洛大人的助威,zh-CN
กำลังใจของท่านเพโรโร่,佩洛洛大人的助威,zh-CN
コレクター根性,收藏家的韧性,zh-CN
收藏家的毅力,收藏家的韧性,zh-CN
Collector's Spirit,收藏家的韧性,zh-CN
수집가의 근성,收藏家的韧性,zh-CN
ความกล้าของนักสะสม,收藏家的韧性,zh-CN
コレクター根性+,收藏家的韧性+,zh-CN
收藏家的毅力+,收藏家的韧性+,zh-CN
Collector's Spirit+,收藏家的韧性+,zh-CN
수집가의 근성+,收藏家的韧性+,zh-CN
ความกล้าของนักสะสม+,收藏家的韧性+,zh-CN
すばしっこいコレクター,敏捷的收藏家,zh-CN
Agile Collector,敏捷的收藏家,zh-CN
민첩한 수집가,敏捷的收藏家,zh-CN
นักสะสมผู้ฉับไว,敏捷的收藏家,zh-CN
終幕：イシュ・ボシェテ,终幕：伊施波设,zh-CN
終幕：Ish-bosheth,终幕：伊施波设,zh-CN
Denouement: Ishbosheth,终幕：伊施波设,zh-CN
종막: 이스보셋,终幕：伊施波设,zh-CN
ปิดฉาก: อิชโบเชท,终幕：伊施波设,zh-CN
リロードアンドデストロイ,重装与毁灭,zh-CN
Reload & Destroy,重装与毁灭,zh-CN
Lock & Load,重装与毁灭,zh-CN
리로드 앤 디스트로이,重装与毁灭,zh-CN
โหลดกระสุนและทำลาย!,重装与毁灭,zh-CN
リロードアンドデストロイ＋,换弹与摧毁＋,zh-CN
Reload & Destroy+,换弹与摧毁＋,zh-CN
Lock & Load+,换弹与摧毁＋,zh-CN
리로드 앤 디스트로이+,换弹与摧毁＋,zh-CN
โหลดกระสุนและทำลาย!+,换弹与摧毁＋,zh-CN
冷徹な風紀委員会,冷静的风纪委员会,zh-CN
冷靜的風紀委員會,冷静的风纪委员会,zh-CN
Prefect Team Member Judgment,冷静的风纪委员会,zh-CN
선도부의 냉철,冷静的风纪委员会,zh-CN
ความเยือกเย็นของกรรมการวินัย,冷静的风纪委员会,zh-CN
冷徹な風紀委員会+,冷静的风纪委员会+,zh-CN
冷靜的風紀委員會+,冷静的风纪委员会+,zh-CN
Prefect Team Member Judgment+,冷静的风纪委员会+,zh-CN
선도부의 냉철+,冷静的风纪委员会+,zh-CN
ความเยือกเย็นของกรรมการวินัย+,冷静的风纪委员会+,zh-CN
徹頭徹尾,彻头彻尾,zh-CN
Out-and-Out,彻头彻尾,zh-CN
철두철미,彻头彻尾,zh-CN
ความมุ่งมั่นที่แรงกล้า,彻头彻尾,zh-CN
戦術的鎮圧,战术镇压,zh-CN
戰術鎮壓,战术镇压,zh-CN
Tactical Suppression,战术镇压,zh-CN
전술 진압,战术镇压,zh-CN
กลยุทธ์พิชิต,战术镇压,zh-CN
応急手当,急救治疗,zh-CN
急救,急救治疗,zh-CN
Emergency First Aid,急救治疗,zh-CN
응급 치료,急救治疗,zh-CN
รักษาฉุกเฉิน,急救治疗,zh-CN
応急手当＋,急救＋,zh-CN
急救+,急救＋,zh-CN
Emergency First Aid+,急救＋,zh-CN
응급 치료+,急救＋,zh-CN
รักษาฉุกเฉิน+,急救＋,zh-CN
対策委員会の委員長,对策委员长,zh-CN
對策委員會的委員長,对策委员长,zh-CN
Foreclosure Task Force President,对策委员长,zh-CN
대책위원회의 부장,对策委员长,zh-CN
ประธานคณะกรรมการแผนงาน,对策委员长,zh-CN
対策委員会の委員長+,对策委员长+,zh-CN
對策委員會的委員長+,对策委员长+,zh-CN
Foreclosure Task Force President+,对策委员长+,zh-CN
대책위원회의 부장+,对策委员长+,zh-CN
ประธานคณะกรรมการแผนงาน+,对策委员长+,zh-CN
鎮圧のベテラン,熟练镇压,zh-CN
鎮壓老手,熟练镇压,zh-CN
Expert Suppression,熟练镇压,zh-CN
진압 숙련,熟练镇压,zh-CN
ยอดนักพิชิต,熟练镇压,zh-CN
一網打尽,一网打尽,zh-CN
一網打盡,一网打尽,zh-CN
Major Roundup,一网打尽,zh-CN
일망타진,一网打尽,zh-CN
กระสุนสายฟ้า,一网打尽,zh-CN
指名手配,悬赏通缉,zh-CN
懸賞通緝,悬赏通缉,zh-CN
Bounty,悬赏通缉,zh-CN
현상수배,悬赏通缉,zh-CN
ประกาศจับ,悬赏通缉,zh-CN
一撃必中,一发必中,zh-CN
一擊必中,一发必中,zh-CN
One-Shot Bullseye,一发必中,zh-CN
일발필중,一发必中,zh-CN
กระสุนพิฆาต,一发必中,zh-CN
一撃必中+,一发必中+,zh-CN
一擊必中+,一发必中+,zh-CN
One-Shot Bullseye+,一发必中+,zh-CN
일발필중+,一发必中+,zh-CN
กระสุนพิฆาต+,一发必中+,zh-CN
風紀委員の度胸,风纪委员的胆量,zh-CN
風紀委員的膽量,风纪委员的胆量,zh-CN
Prefect Team Nerve,风纪委员的胆量,zh-CN
선도부원의 담력,风纪委员的胆量,zh-CN
ความกล้าของกรรมการวินัย,风纪委员的胆量,zh-CN
世界をもっと色鮮やかに！,让世界更加鲜艳！,zh-CN
讓世界更加鮮豔！,让世界更加鲜艳！,zh-CN
World Beautification!,让世界更加鲜艳！,zh-CN
세상을 더 아름답게!,让世界更加鲜艳！,zh-CN
เนรมิตโลกงาม!,让世界更加鲜艳！,zh-CN
くらえ、ペイントボール！,投掷油漆弹！,zh-CN
接招吧，漆彈！,投掷油漆弹！,zh-CN
Paintball Lob!,投掷油漆弹！,zh-CN
페인트 볼 투척!,投掷油漆弹！,zh-CN
ยิงลูกเพนท์บอล!,投掷油漆弹！,zh-CN
芸術的な演出,华丽演出,zh-CN
藝術性的演出,华丽演出,zh-CN
Dazzling Display,华丽演出,zh-CN
화려한 연출,华丽演出,zh-CN
การจัดแสดงที่สง่างาม,华丽演出,zh-CN
芸術的な演出+,华丽演出+,zh-CN
藝術性的演出+,华丽演出+,zh-CN
Dazzling Display+,华丽演出+,zh-CN
화려한 연출+,华丽演出+,zh-CN
การจัดแสดงที่สง่างาม+,华丽演出+,zh-CN
芸術の苦しみ,艺术的苦痛,zh-CN
藝術的痛苦,艺术的苦痛,zh-CN
Suffering for Art,艺术的苦痛,zh-CN
예술의 고통,艺术的苦痛,zh-CN
ความเจ็บปวดแห่งศิลปะ,艺术的苦痛,zh-CN
あぁ？ぶっ殺されてぇか？,啊~？活腻了吧你？,zh-CN
啊？找死嗎？,啊~？活腻了吧你？,zh-CN
You Got a Death Wish or Somethin'?,啊~？活腻了吧你？,zh-CN
아앙~? 죽인다?,啊~？活腻了吧你？,zh-CN
อ๊ะ~? เดี๋ยวก็ฆ่าซะหรอก!,啊~？活腻了吧你？,zh-CN
あぁ？ふざけんな！,啊~？把我当傻子是吧？！,zh-CN
啊？開什麼玩笑！,啊~？把我当傻子是吧？！,zh-CN
Cruisin' for a Bruisin'!,啊~？把我当傻子是吧？！,zh-CN
아앙~? 까불지마!,啊~？把我当傻子是吧？！,zh-CN
อ๊ะ~? อย่าซ่าให้มันมากนักนะ!,啊~？把我当傻子是吧？！,zh-CN
あぁ？ふざけんな！+,啊~？把我当傻子是吧？！+,zh-CN
啊？開什麼玩笑！+,啊~？把我当傻子是吧？！+,zh-CN
Cruisin' for a Bruisin'!+,啊~？把我当傻子是吧？！+,zh-CN
아앙~? 까불지마!+,啊~？把我当傻子是吧？！+,zh-CN
อ๊ะ~? อย่าซ่าให้มันมากนักนะ!+,啊~？把我当傻子是吧？！+,zh-CN
コールサインダブルオー,代号00,zh-CN
Call Sign Double O,代号00,zh-CN
코드명 더블오,代号00,zh-CN
โค้ดเนมดับเบิ้ลโอ,代号00,zh-CN
コールサインダブルオー+,代号00+,zh-CN
Call Sign Double O+,代号00+,zh-CN
코드명 더블오+,代号00+,zh-CN
โค้ดเนมดับเบิ้ลโอ+,代号00+,zh-CN
激昂,愤怒强化,zh-CN
Enhanced Rage,愤怒强化,zh-CN
분노 강화,愤怒强化,zh-CN
โกรธทะลุจุดเดือด,愤怒强化,zh-CN
チーズチョコレートバーガー！,芝士巧克力汉堡~,zh-CN
起司巧克力漢堡──！,芝士巧克力汉堡~,zh-CN
Cheese 'n' Chocolate Hamburger!,芝士巧克力汉堡~,zh-CN
치즈 초콜릿 햄버거~,芝士巧克力汉堡~,zh-CN
ชีส ช็อกโกแลต แฮมเบอร์เกอร์~,芝士巧克力汉堡~,zh-CN
よーーい、BANG！,瞄准，砰！,zh-CN
預──備，BANG！,瞄准，砰！,zh-CN
"Ready, Set, Boom!",瞄准，砰！,zh-CN
"준비하고, 빠앙!",瞄准，砰！,zh-CN
เตรียมตัวและ...ยิง!,瞄准，砰！,zh-CN
よーーい、BANG！+,瞄准，砰！+,zh-CN
預──備，BANG！+,瞄准，砰！+,zh-CN
