source,target,tgt_lng
Ailes accompagnatrices,守候之翼,zh-CN
Ailes d'agapes,飨宴之翼,zh-CN
Ailes de brillance galactique,星汉灿烂之翼,zh-CN
Ailes de délicatesse,肴馔之翼,zh-CN
Ailes de festin étoilé,星筵之翼,zh-CN
Ailes de flamme montante,烈火腾燎之翼,zh-CN
Ailes de la descente,降临之翼,zh-CN
Ailes de la forêt,森郁花繁之翼,zh-CN
Ailes de lune silencieuse,夜驻月停之翼,zh-CN
Ailes de moment oisif,暇生一聚之翼,zh-CN
Ailes de rêve éphémère,梦生须臾之翼,zh-CN
Ailes des destins entremêlés,命轨爻错之翼,zh-CN
Ailes des tumultes miséricordieux,慈水怒涛之翼,zh-CN
Ailes du firmament,苍天清风之翼,zh-CN
Ailes du tempestrier,雷腾云奔之翼,zh-CN
Ailes du vol d'or,金琮天行之翼,zh-CN
Ailes nivales,雪隐之翼,zh-CN
Alas Protectoras,守候之翼,zh-CN
Alas de la Exuberancia,森郁花繁之翼,zh-CN
Alas de la Luna Silente,夜驻月停之翼,zh-CN
Alas de la Nieve Oculta,雪隐之翼,zh-CN
Alas de principiante,初始之翼,zh-CN
Alas del Banquete,飨宴之翼,zh-CN
Alas del Brillo Galáctico,星汉灿烂之翼,zh-CN
Alas del Descenso,降临之翼,zh-CN
Alas del Encuentro Ocioso,暇生一聚之翼,zh-CN
Alas del Ensueño Efímero,梦生须臾之翼,zh-CN
Alas del Entrelazamiento Predestinado,命轨爻错之翼,zh-CN
Alas del Gran Festín,肴馔之翼,zh-CN
Alas del Jinete de la Tormenta,雷腾云奔之翼,zh-CN
Alas del Oleaje Magnánimo,慈水怒涛之翼,zh-CN
Alas del Viento Celeste,苍天清风之翼,zh-CN
Alas del Vuelo Ardiente,烈火腾燎之翼,zh-CN
Alas del Vuelo Áureo,金琮天行之翼,zh-CN
Alas del tapiz estrellado,星筵之翼,zh-CN
Ali d'acque furenti e misericordiose,慈水怒涛之翼,zh-CN
Ali dei sogni fugaci,梦生须臾之翼,zh-CN
Ali del Cavaliere della Tempesta,雷腾云奔之翼,zh-CN
Ali del banchetto stellato,星筵之翼,zh-CN
Ali del convito,飨宴之翼,zh-CN
Ali del principiante,初始之翼,zh-CN
Ali del vento aureo,金琮天行之翼,zh-CN
Ali del vento celeste,苍天清风之翼,zh-CN
Ali dell'Intreccio predestinato,命轨爻错之翼,zh-CN
Ali dell'affinità,守候之翼,zh-CN
Ali della Luna silente,夜驻月停之翼,zh-CN
Ali della discensione,降临之翼,zh-CN
Ali della foresta,森郁花繁之翼,zh-CN
Ali della galassia brillante,星汉灿烂之翼,zh-CN
Ali della neve occulta,雪隐之翼,zh-CN
Ali della prelibatezza,肴馔之翼,zh-CN
Ali della spensieratezza,暇生一聚之翼,zh-CN
Ali delle fiamme volteggianti,烈火腾燎之翼,zh-CN
Altın Uçuş Kanatları,金琮天行之翼,zh-CN
Anfängerschwingen,初始之翼,zh-CN
Asas Brilhantes das Estrelas,星汉灿烂之翼,zh-CN
Asas Protetoras,守候之翼,zh-CN
Asas da Festa das Estrelas,星筵之翼,zh-CN
Asas da Floresta,森郁花繁之翼,zh-CN
Asas da Lua Enuviada,夜驻月停之翼,zh-CN
Asas da Neve Ocultadora,雪隐之翼,zh-CN
Asas das Chamas Ascendentes,烈火腾燎之翼,zh-CN
Asas das Águas Tormentosas,慈水怒涛之翼,zh-CN
